Date,Review,Score
"Apr 10, 2024","In my opinion I love this movie, I love kang as the villain, Paul Rudd and Kathryn Newton were great in this movie, The fact is the cgi we're not good.",POSITIVE
"Apr 9, 2024","It's not the worst thing Marvel has to offer, it's entertaining but that's all. It does not transcend to forge the future of this franchise. Many questionable performances, especially Kathryn Newton, and other performances like Jonathan Majors's a highlight.",NEUTRAL
"Apr 8, 2024","Despite the colorful world and little bits of fun moments, this movie really just isn't great. Certain bits of CGI stick out like a sore thumb, even when the world in concept and certain bits of execution is colorful and fun. The main plot and overall comedy in the movie is weak despite what it attempts to set up for the MCU, and things the movie advertised like Bill Murray's appearance and other big spectacles feels messy or underutilized to say the least. I really can't say much positive about the movie other than the bits of fun it can offer throughout with some rare laughs and in-concept other big spectacles executed rather messily. All things considered - it still isn't the worst movie I've ever seen.",NEGATIVE
"Apr 3, 2024","The film has some nice settings but has horrible CGI which is especially noticeable on MODOK. The film tends to be quite boring and lays the foundation for the big bad of the multiverse saga whose danger is not perceived.
Characters like Hank, his wife and Wasp are super secondary to the film almost non-existent",NEGATIVE
"Apr 2, 2024","The mighty have fallen. The modern-day MCU movie is so unbelievable, pathetic, and unserious that it's genuinely sad. This movie will leave you dumbfounded by how stupid the story is. Ant-Man and the Wasp: Quantumania is a 2-hour CGI mess.",NEGATIVE
"Mar 31, 2024","You made a movie titled Quantumania with almost no Quantumania. Not a bad film at all, but what leaves a bad taste in your mouth is the wasted potential of what this could have been.",NEUTRAL
"Mar 25, 2024",The CGI was terrible. Lois was not in it😭.,NEGATIVE
"Mar 20, 2024",I mean the visuals in this movie are stunning. The color choices for the scenery and the characters mesh so well together that it's almost criminal. We get to see how everything has evolved for Scott (Paul Rudd) and Hope (Evangeline Lilly).,POSITIVE
"Mar 17, 2024","Disappointing is the best way to put it. I really liked the first two Ant-Man movies, but this one just felt different, and lacked the charm of those two. I liked that Michael Douglas and Michelle Pfeiffer got a lot of screen time, but the overall story just seemed like a mess.",NEUTRAL
"Mar 11, 2024","Literally everything wrong with the modern Marvel machine in one movie. A movie so focused on furthering the story of the Marvel Universe it forgets the reasons why we liked Scott Lang and friends in the first place. Probably because this first time screenwriter didn't even bother to watch the previous movies to understand even the basics of Scott Lang's supporting cast. Hank Pym and Cassie Lang feel nothing like they did in the previous movies and Hope Van Dyne is barely a footnote in the movie because ""The Wasp"" in Ant-Man and the Wasp is clearly referring to Janet Van Dyne and not her. But don't worry, it's not just the previous movie's supporting cast that they Marvel forgets the fundamentals for, yet again, Marvel forgets why readers of the comics enjoyed these characters as well with the inclusion and butchering of Modok. But hey, at least Modok has an arc in this film, unlike any of our main protagonists! Also forget everything you knew about the Quantum Realm from the previous films, because it is entirely different in this film. Marvel has decided to turn it into a ""Guardians of the Galaxy"" rejected planet instead, one with Bill Murray and a bunch of other characters that you will forget about by the time the credits roll. Oh, and I almost forgot the morale of the story! According to Scott Lang himself, the literal morale of the story is ""Don't worry about it, it doesn't matter!"" Well Scott, if that is the case, then why are you wasting our time with yet another poorly written, over the top to it's own detriment, rushed CGI infested, slop? Maybe Marvel should go back to the drawing board and rediscover what made Phase 1 through 3 great, instead of making more movies like this one. Yikes.",NEGATIVE
"Mar 7, 2024","It was an okay movie, but I wanted an Ant-Man movie, not a commercial for Kang's Dynasty.",NEUTRAL
"Feb 28, 2024","Forget it. I want to forget about this movie. Reintroduce the Quantum Realm in another movie please. This movie had 0 entertainment level. The acting was good, but it cannot save a poor plot and poor resolution in act 3",NEGATIVE
"Feb 28, 2024",I know the first couple Ant Man movies had humor too but I swear I feel like Guardians of the Galaxy is turning into a curse on the Marvel movies.  Too many of the movies bringing in big bright and cartoony characters and comedy that feels forced.  But I am an old guy that liked the more serious tone of the pre-Disneyfied days.,NEUTRAL
"Feb 27, 2024",A very poor execution of the Multiverse Saga's Idea,NEGATIVE
"Feb 26, 2024","Filme mediano! É um filme importante para acompanhar a saga.
É um filme que da pra assistir e se entreter.",NEUTRAL
"Feb 25, 2024",A disappointing outing for the MCU that fumbles the Kang character and doesn't do much for the wasp character. The movie is filled with humor that sometimes lands and most of the time doesn't. Paul Rudd is still great as ant man but other than him it also has some stunning visuals and decent enough action. But all in all this film doesn't land well for me.,NEGATIVE
"Feb 23, 2024","I loved the design of the creatures and worlds in Quantumania, but that is where my love ends.  The comedy didn't hit for me, which is surprising since they brought in Bill Murray.  The action just wasn't that great.  

Lastly the villains were extremely lackluster.  This was supposed to build Kang into the next big bad and it fails quite miserably.",NEUTRAL
"Feb 23, 2024",This film could be shown to new physics students as a hazing torture ritual.,NEGATIVE
"Feb 23, 2024",The scenes where Antman grows into a Giant were sooo cool !!!! I hope we get to see him fight Godzilla in a future movie 🍿 🔮🥰💭 !?,POSITIVE
"Feb 22, 2024","The editing and visuals of this movie is majestic and i  bet they put 99% of their movies budget on it don't get me wrong but it doesn't cover the unfunny stuff and cringe this monstrosity and DONT EVEN GET ME STARTED ON THAT HORRFIFYING THING CALLED MODOCK. In summary, the movie's CGI is out of the world and acting skills fine but its cringe and barely has plot. Just a bunch of cringe and weird stuff throughout",NEGATIVE
"Feb 21, 2024","Just a mid MCU movie again.  The first Ant man movie is still the better one out of the 3.

There's way too much CGI in this movie, some scenes were just really badly edited and it looked very strange.  I did like the relationship between Scott and Cassie in the beginning, would be been better if we actually got to see more conflict between father and daughter.  

Janet withholding vital information from her family dragged on for waaaaay too long.  

I haven't really been a fan of the multiverse stuff since End game, still so many inconsistancies regarding multiverses, timelines etc.  Movie 6/10 for me.",NEGATIVE
"Feb 20, 2024",Amazing movie and even better breaker of imagination and space-time,POSITIVE
"Feb 20, 2024","Mid, forgettable, disappointing. Kang is the only redeeming factor about this film and he is shown amazingly here. But the rest of the film is a silly mess",NEGATIVE
"Feb 19, 2024","What the film lacks in originality, novelty, or depth is compensated for by fully immersing the viewer in a captivating new world.",NEUTRAL
