Date,Review,Score
"Apr 13, 2024",Not as good as the first movie. The first was a good balance between “geo-political” realism and prophecy/ supernatural. The second is too heavy on the supernatural/ fantasy aspect that it gets a little weird. Also in the first it was so exciting to be introduced to this universe and different locations— while the second is almost entirely dull dessert scenes. ,NEUTRAL
"Apr 13, 2024",Great photography and story!,POSITIVE
"Apr 13, 2024","It wasnt boring at all. I like music, visual effects, actors and in my opinion it is worth to watch this movie in theater.",POSITIVE
"Apr 13, 2024",Esta no es una pelicula es una experiencia Grafica,POSITIVE
"Apr 13, 2024","The movie is long, but it's awesome. The visuals and special effects were amazing. Timothy and Zendaya put their heart and soul into this movie. It's better than the first Dune.",POSITIVE
"Apr 13, 2024",Great movie that plays on all the emotions! Can’t wait to see what happens next.,POSITIVE
"Apr 13, 2024",Special effects and movie intensity were awesome.,POSITIVE
"Apr 12, 2024",one of the best sifi/movie ever,POSITIVE
"Apr 12, 2024","É interessante observar os detalhes qual foram desenvolvidos cada mundo de Duna parte 2 com seus efeitos, cores texturas, mas, infelizmente com um roteiro que deixou a desejar, em momentos apressado de mais deixando algumas parte da história sem contexto, em outras arrastado de mais deixando o telespectador um tanto entediado, talvez na espectativa de nos deixar com o desejo de quero mais. A espera da próxima fase desse universo intrigante, para sabermos o desfecho de uma grande guerra que aparentemente será travada. Aguardemos.",NEUTRAL
"Apr 12, 2024",One of the most impressive cinematic adaptations of all time.,POSITIVE
"Apr 12, 2024",A beautiful film but the plot moved slowly and was very choppy. It also did not have a satisfying conclusion.,NEUTRAL
"Apr 12, 2024",I was exited for film. Film was good.,POSITIVE
"Apr 12, 2024",Butchering the story for a contrived lazy and pointless plot twist featuring screen time for Zendaya to bring in more audience.,NEGATIVE
"Apr 12, 2024","Almost every scene is desert. Some great acting and some flat acting. Worth watching, but at times I was bored. Generally not impressed.",NEGATIVE
"Apr 12, 2024","This movie needs to be watched, and it needs to be watched only in IMAX.",POSITIVE
"Apr 12, 2024","Dennis does a fantastic job at painting Paul Atreides in the theme that Frank Herbert had originaly intended in his science fiction franchise.

Beautiful cinemetography, fantastic story telling, and great actions sequences.  I wish I had re-watched the original again prior to seeing this so I could really immerse myself into Arrakis; but the film is nonetheless a treat and easy to follow without that.

Incredible acting from everyone that is/was involved with this film.  Really hoping Dennis creates a trilogy out of this franchise.",POSITIVE
"Apr 12, 2024","Spellbinding, start to finish",POSITIVE
"Apr 12, 2024","Truly one of the most boring, clichéd and poorly put together movies of all time. I would say top ten worst movies, but quite honestly #1 worst movies with absurdly high ratings in the history of film. The reviews from both critics and the public are astounding, demonstrating the remarkable decline in human intelligence, even since such recent masterpieces as Avatar or any of dozens of sci-fi genre pieces of film art. Hours of desert, some of the worst acting—and casting—of all time. Timothea.. not even remotely believable as any kind of hero or warrior, temperamentally, physcially.. and with the charisma of a newt. His acting chops are simply non-existent, maybe the most lack lustre actor of his generation. Some good CGI here and there, but the whole dreary and somber portrayals of worlds and cultures are simply stereotypical, been there, done that. Well.. if you need something to put you to sleep, maybe. But even then, it is mainly annoying, and overall simply silly from start to finish. And not in an good ""made for kids"" way, but in an immature, inept way. These are facts. But hey.. apparently people ""love it"" so there goes civilization as we knew it.",NEGATIVE
"Apr 12, 2024","This is probably the greatest sci-fi movie I have ever been blessed to see. I came into this movie hearing the ""greatest movie ever"" comments from everybody and anybody on social media. While I was watching the movie I would often think ""is this what people think is the greatest movie ever?"" But when I finished the movie I thought to myself that these people might actually be right. So good I saw it a total of 3 times. Highly recommend!",POSITIVE
"Apr 12, 2024","In a time when audiences are fatigued from flavorless, CGI-heavy, cash-grabbing rehashes, Dune: Part Two spices up the industry with the quality of its craft. Everything from the writing, performances, costumes, cinematography, score, production design, and visual effects is a marvel to witness on the big screen. Those claiming it's the Star Wars and Lord of the Rings of their time fail to realize it's an average story in a simply well-made film given the proper budget and marketing, which was the norm for most films back when studios treated their movies seriously. Hopefully, more upcoming releases will receive the same support so that cinema can begin to heal from the degeneration caused by the MCU.",NEUTRAL
"Apr 12, 2024",One of the best films of my life.,POSITIVE
