Date,Review,Score
"Mar 12, 2023","I do not understand the glowing reviews of the ""experts"".  What is there to celebrate?    Monotony?  Polygamy?  Multiplicity?  Monogamy?  Who cares?  The editing was sorely lacking and the grand finale of the movie's namesake was cliche.  If we must see Gloria succeed by dancing alone and depending on no one, then bravo!  Otherwise, this seems too true to life, which is why movie-goers don't watch reality 📺",NEGATIVE
"Feb 15, 2023","Divorced for over a decade and working a seemingly dead-end job, Gloria (Paulina Garcia) is a grandmother in search of a partner.  Frequenting a local dance hall in search of her quest, she eventually meets and falls in love with Rodolfo (Sergio Hernandez), a mature and loving man who, much to Gloria's chagrin, chooses to mysteriously keep her a secret from his family.  The movie works primarily because of the brave performance of Garcia, who tackles the role of a lonely woman with passionate tenacity.  While the film does feel like it lags for a bit around the halfway point, it remains a poignant and moving story about loneliness and regret, all leading to an ebullient final scene.",POSITIVE
"Nov 23, 2021","It's a good chronicle, but to be able to connect it would require a lot of attention. One of the director's best films",POSITIVE
"Nov 9, 2021","Entretenida e interesante, la película logra adentrarnos en lo peculiar de lo cotidiano, sus personajes carismáticos logran conectar con los espectadores mediante el relato de lo común, de lo que no es ajeno para nadie. Excelente película.",POSITIVE
"Mar 11, 2020","Buon film con una ottima sceneggiatura che offre uno studio del personaggio intenso e sensibile. La presenza di alcune scene semplicemente ipnotiche eleva la qualità della pellicola, garantendo una discreta dose di emozione che rende l'esperienza assolutamente apprezzabile.",NEUTRAL
"Jan 4, 2020","Not your contemporary romance/drama, it really is anchored by the main actress and the director.",POSITIVE
"Mar 30, 2019",Fun movie about a woman who grows stronger with each challenge. Inspiring and a good lesson for living your best life.,POSITIVE
"Mar 24, 2019",Terrible. A complete disappointment.,NEGATIVE
"Jan 26, 2019","Sebastián Lelio's discerning perception of a middle-aged divorcée's desperation, despair and desires is rendered more heartbreaking with a courageous and exquisite performance from Paulina Garcia.",NEUTRAL
"Jan 10, 2018",Interesting divergence between critics and audience. I suspect for critics it's the fact that this is a film which fills a 'gap ins market' which makes this seem a better film than it really is. Yes it's good to see a film about an older woman which is psychologically realistic. But it isn't the most sparkling of cinematic experiences. It's a while since l saw it and l can barely remember anything about it. It's not terrible but not vivid either.,NEUTRAL
"Jan 4, 2018",I followed Gloria's emotions in a journey of almost two hours with the end result of being amazingly bored.,NEGATIVE
"Aug 17, 2017","'Gloria' follows our titular character as she -- an older, divorced and lonely woman -- does her best to put herself out there once again, trying to live her life and find her Mr Right at the same time. It's a character that you don't see much of in movies because, quite frankly, it doesn't seem to make for very interesting cinema, at least on paper. Well, if this film is anything to go by, that statement is proven right as it is rather tedious and drags a lot. However, a fantastically genuine-feeling and sympathetic performance from star Paulina Garcia may just be enough to keep you watching.",NEGATIVE
"Mar 4, 2017","This could have been a really compelling film, but there were too many scenes of her just drinking and smoking, smoking ganja, etc. that made it too myopic and self indulgent. The script just wasn't good enough to really keep the plot moving along.

All that said, Garcia's performance was brave and terrific, but not enough to make this a film I would want to see again. Her character didn't really grow or have any epiphanies. It was simply: I am a ""woman of a certain age"", and I will not be shut away. Point taken, but not exciting cinema.",NEUTRAL
"Feb 13, 2017","Lamentablemente, creo que es una profunda pérdida de tiempo, liviana hasta el cansancio, y con un personaje central poco querible y algo patético. En fin, lo único rescatable es la banda sonora, que apunta al inconsciente sonoro colectivo.",NEGATIVE
"Feb 13, 2017",refreshingly different,POSITIVE
"Dec 30, 2016",Undisciplined film which honours its forlorn heroine who embodies the idea of not compromising on your romantic dreams simply because death is around the next corner.,NEUTRAL
"May 23, 2016",Trully real and sadly realistic! It's a Must watch. Perfect acting and great directing!!,POSITIVE
"Feb 24, 2016",Maravillosa película!,POSITIVE
"Jan 15, 2016",Was thinking after 30 minutes ....is there someting gonna happen or what ? But then she met Rodolfo...and the movie goes on slowly and i beginning to like that Gloria a bit ! Liked it when she dumped Rodolfo !,NEUTRAL
"Dec 20, 2015","Bravely written, directed, and especially acted. So refreshingly un-hollywood. It was a real, honest, film which show the characters' warts and their beauty.",POSITIVE
