Date,Review,Score
"Apr 13, 2024","Honestly, as far as watching the third entry of the Godzilla MonsterVerse movies, this might as well be the weakest of the franchise.
I have seen worse movies, but in all honesty, most of the human acting are just all over the place and doesn't have much of a pace to work with alongside the monsters that even I look back and see the Godzilla movies back in 2014 being a fair use while Kong: Skull Island was much better.
If it focused on the family and used the loss of a child and working alongside the scientists from the first movie instead of some of the rushed add-ons like the one guy holding the mother and daughter hostage, it would've raised my rating higher.
Sadly, this felt like a step backward with it.
I still enjoy the CGI design of the monsters along with the fights.
It was fine at its best, but not the best as these movies goes.
6/10.",NEGATIVE
"Apr 12, 2024","This was the perfect balance of an OG Godzilla film, closes American version to a Japanese version. You keep getting more of the story and of the big guy!",POSITIVE
"Apr 12, 2024","No entiendo cómo pueden dirigir y crear secuencias de acción complejas, épicas y masivas, con un trasfondo interesante acerca del balance en la naturaleza y de lo peligroso que puede ser una especie invasora, pero que no tengan la capacidad de poder dirigir y darle un rumbo a algún actor en esta película. 

Deberían sacar otra versión de cada una de estas películas donde no exista ninguna toma con humanos.",NEGATIVE
"Apr 10, 2024","Critics need to learn how to have fun. Not one of the best godzilla movies, but one of my favourites. Its easy to rewatch and very enjoyable. I know that the 1954 style godzilla movies tend to be thought of more highly than ones like this, and I agree, but it's so much fun I can happily place it at 5 on my rankings. It's stupid, but I love it.",POSITIVE
"Apr 10, 2024",Godzila go rawwwwww! Great effect and interesting story!,POSITIVE
"Apr 10, 2024","It features some decent moments (cool end shot!), but overall I was feeling rather indifferent throughout 'Godzilla: King of the Monsters'.

A bad movie this is not necessarily, though it is not one I'd file under 'good' either. The run time ought to have been shorter and the human characters could've been more interestingly portrayed. The big fight sequences didn't really do anything for me either, which is kinda reminiscent of 2014's 'Godzilla' in truth. I do like the titular character, but these (sole) two experiences of it have been underwhelming.

Vera Farmiga is alright as one of those onscreen, I'm a fan since seeing 2011's 'Source Code' so have been wanting to see her act further. The cast, including Farmiga to be honest, are all quite forgettable in this (not helped by issues that I alluded to with their characters above) - so much so, I'm unable to pick a standout. Bradley Whitford's Rick Stanton, conversely, is somewhat irritating.

Here's hoping I will actually enjoy what 'Godzilla vs. Kong' has to offer.",NEGATIVE
"Apr 7, 2024",l Love the Godzilla Movies,POSITIVE
"Apr 6, 2024","It failed to portray Godzilla as the ""Real King Of The Monsters"". It was good in parts but massively failed when humans took most of the stage for nearly 90% of the film.",NEUTRAL
"Apr 5, 2024",very intresting BUT it has the worst character in creation,NEGATIVE
"Apr 5, 2024","me parece insolito que la mejor pelicula del monsterverse es tan mala segun los criticos
todo es perfecto la banda sonora es increible las escenas de accion son muy buenas y  la mayor desventanja en este tipo de peliculas son los humano pero hasta eso es genial.
para mi deberia tener minimo 87",POSITIVE
"Apr 4, 2024","La mejor de todas, excelente película",POSITIVE
"Apr 4, 2024","This film certainly improves from the first film in some aspects, but the character development is just really dumb compared to most other films. However, what they lack in character development makes up for pure dumb monster action everyone flocks to the theatre for.",POSITIVE
"Apr 3, 2024",Lot of action but was a little cringe,POSITIVE
"Apr 3, 2024",godzilla king of the monsters at first i was very excited for this movie but this movie is very disappointing the characters are really bad the decisions making of these characters horrible a character wants to portray everything than doesn't just annoying the action i really like but i was so confused where godzilla was he'll be there and disappear so idk the effects are amazing like usual but everything else was not that great 76%,NEUTRAL
"Apr 2, 2024",1000000/10. it's perfect .,POSITIVE
"Apr 2, 2024","very good movie, the scene I liked the most was when rodan flies through Mexico and when Godzilla plays with one of Ghidora's heads and melts it",POSITIVE
"Apr 2, 2024","I don't have any complaints for this movie, the pacing and storyline seemed to flow very rather nicely. The visuals were spectacular, loved getting to see all of my favorite kaiju's in action.",POSITIVE
"Apr 2, 2024",I don't understand how people hate this movie. I see ABSOLUTLY NOTHING wrong with this film. Everything looks perfect. Rodan looks almost exactly the way I imagined it to what it would look like in the American Godzilla movies. It's like the director put his hand through my thoughts and grabbed my ideas for the designs of the characters. I also love how they brought back the old sounds from the older movies.,POSITIVE
"Apr 2, 2024",La trama humana es lo peor pero los monstruos tienen buenas peleas es bueno ver a kaijus de Toho como antes,POSITIVE
"Apr 2, 2024",Not a bad CGI remake.   Decent popcorn flick.,NEUTRAL
"Apr 1, 2024","Now this was the ultimate Godzilla movie.  The critics have no taste and I never listen to them.  This is probably the best Godzilla movie, to me.  King Gidhora menaces the world to be the alpha monster.  The human story was OK, but you know why people watch these movies, is for the monsters not for the humans. I loved this movie",POSITIVE
"Apr 1, 2024","Still my all time fave Godzilla/Monsterverse film. From the moment i saw this in theaters back in 2019 i didn't gave a damn about the MCU, Star Wars or all the popular movies during the time. The heart knows what it wants even if others are attractive, in the end this is my Love since i was a kid. Who doesn't love Godzilla when they were young? I'll defend this movie always. This is my favorite Monsterverse film. It gave me tears of joy hearing Goji and Feeling the vibration of his presence. It just overwhelmed me. 

The Good Stuff:

-Amazing BGM 
-Amazing Kaijus
-Amazing Fight Scenes
-Serizawa's Scene
-Godzilla
-Mothra
-King Ghidorah
-Rodan

Let's not detail the bad stuff for this. 'cause in the end you paid a ticket to watch these iconic Kaijus. Not the human characters. 

Amazing Movie.
KING OF THE MONSTERS SUPREMACY!
LONG LIVE THE KING.",POSITIVE
"Apr 1, 2024","Every monsters are good at playing their character, nothing better than telling a story on their own.",POSITIVE
"Apr 1, 2024",Long live the king!!!!,POSITIVE
"Apr 1, 2024","This movie feels like a throwback to the earlier eras of Godzilla bringing back original Toho kaijus with an all new design. Although the humans were flawed in ways, the spiritually is still represented well and does not take away from the spectacle of this movie.",POSITIVE
"Apr 1, 2024","A letter full of emotions addressed to Godzilla fans. Everything we Godzilla fans wanted in a movie; Epicness in each encounter, Perfect villain, Excellent soundtrack.",POSITIVE
"Apr 1, 2024",It's out of the other world. Team Godzilla,POSITIVE
"Mar 31, 2024","The Godzilla movie I've always wanted growing up, it's perfect for a guy like me.",POSITIVE
"Mar 31, 2024","My favorite Monsterverse film. A loving tribute to all things Godzilla from beginning to end. Love the characters, love the music, love the cinematography - I love everything about this movie.",POSITIVE
"Mar 31, 2024","I loved this movie. They introduced so many fan favorites from the classic Godzilla series. The only issue was the human drama overriding the monster fighting. But, the music, visuals, lore, and creatures were amazing. I highly recommend this for Godzilla fans.",POSITIVE
"Mar 31, 2024",Don't like the human characters and it's to saturated,NEUTRAL
"Mar 31, 2024",This film was super interesting definitely the best Godzilla film to date.,POSITIVE
"Mar 31, 2024","Awesome movie, I would like to see rodan more. Becoming the fire rodan that breathes fire athout if he lives in volcano why wouldn't he breath lava, but ok.
Cimenatography, bgm, main themes , cgi, vfx, sound, story ok, plot awesome....
The movie is about godzilla becoming the alpha titan, but someone else opposes him and some human organizacion fights monarc, because they want zo rstore the order. King gidhoradh is on their side, menwille godzilla on monarch's.  Overall little bad story but awesome plot, cgi, acting, cimenatography  sound....❤️❤️❤️
It should get oscar nomimations for:
Best sound
Best visuals
Best cimenatography
Best original score",POSITIVE
"Mar 31, 2024",This movie is amazing I gave it a 10 out of 10 I love Mothra Rodan Godzilla And ghidorah I also love the new Titans in the film I love the story and the characters,POSITIVE
"Mar 31, 2024","Lots of your favourite titans in one place, what's not to enjoy.",POSITIVE
"Mar 30, 2024",Perfect...ghidorah is really cool,POSITIVE
"Mar 30, 2024","Way better than latest adaptaitons in the Monsterverse, last time we actually felt that it's a monster movie in the Monsterverse. Godzilla was really the Godzilla in this movie and we missed it.",POSITIVE
