Date,Review,Score
"Apr 13, 2024",Who knew a movie made me sympathetic towards the Joker?,POSITIVE
"Apr 13, 2024",'Joker' is a masterpiece of comic-book cinema.,POSITIVE
"Apr 13, 2024",SUCH A MASTER PIECE ITS SHOWS US DIFFERENT ASPECTS OF DAILY LIFE AND WHAT ITS LIKE TO BE THE OTHER PERSON,POSITIVE
"Apr 12, 2024","I loved this movie, Phoenix nailed as the joker",POSITIVE
"Apr 11, 2024","A masterpiece showing what would happen if a mentally ill would make his worst ideas real, most stunningly depicted by Joaquin Phoenix. He definitely earned his Oscar.
To me it's the best film so far taking place in the universe of an American superhero franchise. An absolute must-watch.",POSITIVE
"Apr 10, 2024","Excellent acting and cinematography, but of the 1000's of movies I've seen, there are only 2 that I would call disturbingly irresponsible pieces of art.  This is one.  Don't waste your time, it's 2 hours you'll never get back.",NEGATIVE
"Apr 10, 2024","Well mental illness and struggles are hard to define from person to person ...I am over 60 ..in pain with arthritis and loosing hearing plus anxiety & depression as conjoined twins .. which I never thought I would get to at this stage ...but finding anyone putting these awful issues of trauma ...hurt ..despise ...vengeful thoughts ?? I came out of the cinema pretty shaken and first words were ...' what the hell did I just see' ...I was put on the spot of my own issues of hate or seething..misunderstanding and just wearing life with a smile.
I have watched many a DC and Marvel commentary on the big screen ..some with 'pow' ...'zap' and gotcha ...to some nonsense 3 hour slog of bum.numness..which has beat me...what Todd gave us was not refreshing but a mirror to society of our current understanding that mental illness and struggle are too hard to deal with or comprehend (plus violence)  ..how to work it out ..so we going to visit part 2 and I stayed alive thus far to make it to part 2 ...however ...one day ...it will count for so much more than comic books or  madness ...mayhem please see further than the end of popcorn stuffed noses and cheese stuffed nachos ...and endless pepsi refills.",POSITIVE
"Apr 10, 2024",One of the most unwatchable movies I have ever had the displeasure of viewing.,NEGATIVE
"Apr 10, 2024","An okay movie. Worth a watch. 
My two biggest problems are:
1. Why did this need to be a batman movie? If you took the exact same plot, set it in Chicago, took out Thomas Wayne and replaced him with some other billionaire, and instead of calling himself joker at the end, he called himself something else, would it actually change the story? I don't think so.
2. The story's themes had been done better in other movies decades ago. For the modern generation of superhero fans who've never seen films like Taxi driver, King of comedy or Falling down, the film might seem groundbreaking, but those films did the same thing and they did them much better. 
It's basically a Taxi driver, King of comedy mashup with a hint of Falling down with a Batman coat of paint slapped on it.",NEUTRAL
"Apr 4, 2024",joker joker joker joker,POSITIVE
"Apr 4, 2024",Acknowledging that you're ripping something off (King of Comedy) doesn't make it okay.,NEGATIVE
"Apr 3, 2024",It was a good story of a person turning psycho.,NEUTRAL
"Mar 29, 2024","Was going into this film with low expectations, and boy did it surpass them! A very gritty and dark realism take on the Joker Character. Makes you see the world from his eyes and at points makes you feel a sense of dread just as the story's protagonist does. Nearly a flawless film in my opinion. Only main gripe is that this feels like a psychological horror film with Batman elements thrown in. But this is definitely a must watch for any movie goer.",POSITIVE
"Mar 29, 2024","Son unas de las mejores representaciones del origen del conocido personaje Joker, su oscuro pasado le da un toque al personaje dando más explicación sobre su personalidad demente.",POSITIVE
"Mar 27, 2024",Such an incredible movie! Excited for the sequel!,POSITIVE
"Mar 23, 2024","This movie feels like it doesn't belong in any sort of DC movie, and that's why it did well.",POSITIVE
"Mar 20, 2024",really like the vibes,POSITIVE
"Mar 14, 2024",10/10 I be dun needz the sequese ripe meow!!!!,POSITIVE
"Mar 13, 2024",this  is my second favorite movie,POSITIVE
"Mar 12, 2024","Una maravillosa pelicula, sin entrar en spoilers es una genial critica a la tirania y al poco cuidado de la clase obrera por parte de la gente con mayor poder politico. Una pelicula de culto.",POSITIVE
"Mar 8, 2024","Meh.  Underwhelming, mostly very boring Joker origin story.",NEGATIVE
"Mar 3, 2024","Pretty descent movie,I like how they showed his progression from being abused and how mental illness affects people.",POSITIVE
"Mar 1, 2024",Interesting take on mental illness and the control capitalism has on us but especially the vulnerable. Beautiful and sad and sort of scary at times while still feeling sympathetic.,POSITIVE
"Feb 29, 2024","In my Opinion it doesn't deserve a 69% and Joaquin Phoenix is the best Joker I've ever seen. Go watch the Movie, is pretty good.",POSITIVE
"Feb 28, 2024","Muito bom esse filme! Recomendo assistir.
Apesar de não parecer estar vinculado a um filme de Super herói, o filme entrega muita qualidade. O Ator mandou muito bem no personagem principal.",POSITIVE
"Feb 24, 2024","I didn't expect to enjoy the movie, but was surprised to discover it was much deeper than expected, and very satisfying.",POSITIVE
"Feb 24, 2024","I usually steer clear of films that consist of such disturbing themes but Joker was a brilliant exposition of the dispossessed and alienated in our society. I doubt anyone except Joaquin Phoenix could have carried the story the way he did, thoroughly deserving his Oscar.",POSITIVE
"Feb 23, 2024","So, if you asked me to describe Joker, I'd tell you it's an art film first and foremost. This is deconstructing the Joker mythos and applying it to a grittier Gotham backdrop for the sake of relatability and sympathy. I'm all for a sympathetic villain, but this was almost excessive. If it weren't an art film. Art films get a pass on heavy-handed social commentary, to me, because the ideas are meant to be impressionable. Very slow moving, kind of boring, but overall a decent film. Wouldn't watch again.",NEUTRAL
"Feb 20, 2024","How excelent of an actor do you have to be, for the viewer to forget the world around him and feel the pain the main character goes trough",POSITIVE
"Feb 19, 2024",Was extremely boring.,NEGATIVE
"Feb 18, 2024","Joker is a fantastic film, and a compelling origin for Joker. The whole film was enjoyable, though I would say that the second half is far better than the first half, and it's not particularly close. If the whole movie was as good as the second half, it would probably be a five-star. That's not to say the first half wasn't compelling or good, but it just couldn't really match the second half. Joaquin Phoenix's acting is nothing short of amazing, with his near-perfect portrayal of Arthur's descent into madness, which is a great time to watch. The overarching plot is also very well written, witch kept my eyes glued to the screen for nearly the entire runtime. This film was also really lacking in side characters, with almost all of them being very forgettable and uninteresting, which really left only one good character (albeit one very good character) carrying its entire 122 minute runtime. Besides these flaws though, Joker is a fantastic origin story for one of the greatest villains in media, and a great film. I can't wait to see what's coming next in the sequel.",POSITIVE
"Feb 17, 2024","It's pretty stupid, really.  It's like going to hear a rock band and the guitar player solos almost the entire time. There's nothing real in it.  A total wank that's been done before and alot better.",NEGATIVE
"Feb 16, 2024",Very god the realism the final,POSITIVE
"Feb 15, 2024",The build up origins of batman and joker at same time at the end was nuts the cast 10/10 soundtrack 10/10 the story was crazy humor 10/10,POSITIVE
"Feb 15, 2024",By far and away the greatest film that I do not ever want to watch again.,POSITIVE
"Feb 11, 2024","Yet another captivating performance per Joaquin Phoenix. Joker heavily touches on the outside influences society has on those with mental illness, as well as how society treats those with mental illness. Oh, and just what mental illness can look like from the perspective of the maniacal. For those thinking Joker has depression.... touch up on your crazy, they don't all come with blues. Some appear in shades of vibrant red and yellow.",POSITIVE
