Date,Review,Score
"Apr 12, 2024","Luckly not as Bad as Madame Web. But it's still Boring. Matt Smiths performance, The Soundtrack, The Colorful Credits and Some of the Action is the Good parts while the post credits, editing, Visuals, Jared Letos performance, script, pacing, story, writing and Grasp of Source Material is what I criticize (4/10)",NEGATIVE
"Apr 3, 2024","I don't understand the negative critique of this film. Perfectly goof origin story, fit a lot into a short viewing time, great special effects. Loved the ""venom"" reference. I hope to see the character again",POSITIVE
"Apr 3, 2024","The film features terrible CGI, meaningless scenes especially the post credit and action scenes that feel like you're on a roller coaster",NEGATIVE
"Mar 28, 2024",En efecto…es cine 🚬,POSITIVE
"Mar 27, 2024","I had stage 4 testicular cancer, and this was the last movie I saw while my family said goodbye with tear filed eyes",POSITIVE
"Mar 23, 2024","tremendous masterpiece, 20 out of 10 and GOD",POSITIVE
"Mar 23, 2024",Greatest movie ever made. Better than lord of the rings. First movie to sell of one trillion tickets.,POSITIVE
"Mar 23, 2024","A soulless mess. 

 I gave it a chance. I was hoping for a complex character, in conflict with himself - I was disappointed. It is surely one of the worst Marvel-inspired stories. 

But the toilet-paper thin plot isn't all to avoid. The ""fight"" scenes don't even get the pulse racing. It's just over-the-top CGI movements. They have removed any gore, so as to get a wider audience and that makes it worse. 

Avoid.",NEGATIVE
"Mar 21, 2024","I wouldn't say it's rotten, but neither would I say it's above mediocre. Whilst there are some pretty good ideas, there aren't enough to elevate the story to a level that leaves you wanting more. They also lack originality and the support of strong writing",NEGATIVE
"Mar 18, 2024",I really liked this movie. The end was a bit abrupt but I don't understand why it's got such bad reviews. Hoping for a morbious 2!,POSITIVE
"Mar 17, 2024",I enjoyed it.  Not sure why it was trashed so bad.,POSITIVE
"Mar 16, 2024",Loved it. Those with negative reviews even top critics screw your opinions. Let's see you do better. Oh you say you don't have the resources? Well that's why your opinions don't matter.,POSITIVE
"Mar 10, 2024","What the…. Can i get my life back? Watched the trailer at the movies and thought it would be awesome! Turned out those were the only good shots. Horrible at best. You don't feel for the main character at all, it makes no sense. Total waist of time, sorry.",NEGATIVE
"Mar 10, 2024",Morbius is truly one of the movies of all time.,POSITIVE
"Mar 9, 2024","I'm sorry, but the story literally makes no sense. Why would you choose to splice human and vampire bat DNA ? Plot is incredibly predictable and tropish, the amount of corny one-liners and lazily written dialogue makes me literally depressed, and I believe the only thing that kept this movie from being absolutely atrocious was the bigger budget, which is why the cgi and editing wasn't totally gargabe. Other than that, ew. Just ew.",NEGATIVE
"Mar 7, 2024",What is this film this film is so bad it bombed twice the writing is bad the action is bad the vfx is bad the acting is bad everything is bad and rotten and stinky even if you are a marvel/comic fan like me don't watch it because the film is garbage.,NEGATIVE
"Mar 7, 2024","No internal logic to the story, extremely bad biology even for shlock sci fi/fantasy. Setting new standards for how bad a movie can be made with a huge budget.",NEGATIVE
"Mar 6, 2024","This is the worst movie I've ever seen. If you want watch, please don't do that. Live fine and NO WATCH THIS, it's a torture",NEGATIVE
"Mar 6, 2024","En momentos me sentía confundido, esta película es muy extraña. La historia es torpe y desordenada y el guión muy superficial en algunos momentos de la película. Creo que los personajes carecen de motivación suficiente.

Las escenas de acción también son torpes y es fácil sentirse confundido en las secuencias de acción, la pelea final fue muy mal ejecutada, la coreografía es mala.",NEUTRAL
"Mar 5, 2024",This movie was so compelling with tons of action and drama. Jared Leto was excellent in this part. I'd never heard of this Marvel character but he's very interesting. I must say I was very disappointed in the end main fight scene and you could hardly see what was going on. Come on guys. It's definitely worth the watch.,POSITIVE
"Mar 5, 2024",Love it hopefully they make more,POSITIVE
