Date,Review,Score
"Aug 21, 2022","Well structured with some unique dynamics involved, but maybe a couple too many. Alot goes on in this, which naturally causes focus problems for some viewers... and explains while I didn't hear about it until now.  At least they avoided flash forwards and flashbacks.",NEGATIVE
"Aug 16, 2019",Raining all the time in this movie.....i wish it was that rainy here in Phoenix.....,NEUTRAL
"Sep 23, 2018","Danny Cannon's film noir features an impressive cast but nothing new, storywise.",NEGATIVE
"May 5, 2017",Watchable B-movie. Has many holes in its storyline but given the b-rate cast this is to be expected. Watch it without too much expectation/hope for it and you will enjoy it best. Ray Liotta gives a decent performance.,NEUTRAL
"Feb 18, 2016",another tale of a good cop gone bad,NEGATIVE
"Oct 19, 2014","Uninspired 1990's Tarantino rip-off, complete with violence, crime, humor, pop culture, and even a slow motion walk of a crew of dudes over the opening credits. Highly derivative and offering nothing original. The only saving grace is that the film somehow managed to wrangle a strong cast of leading men and women, along with a lot of familiar character actors including Ray Liotta, who was also one of the producers on the film, Anthony LaPaglia, Daniel Baldwin,  Jeremy Piven, Royce D. Applegate, Xander Berkeley, Brittany Murphy, Giancarlo Esposito Anjelica Huston, Tom Noonan, Giovanni Ribisi and Kari Wuhrer (who I've always kind of had a b-movie crush on). Graeme Revell provided the music.",NEGATIVE
"Jan 26, 2014","Ray Liotta flicks don't generate a lot of positive buzz, but I like his acting which I find personable and quirky. Here he plays a bad cop with a gambling addiction and manages to make me like the character. Throw in early performances by Brittany Murphy and Giovanni Ribisi and the always sexy Kari Wuhrer, and I was even able to stomach Anjelica Huston (something I can't usually do). Good stuff.",POSITIVE
"Jan 19, 2014","Crappy start, good ending.",NEUTRAL
"Nov 10, 2013",Good movie. Definitely not your typical bad cop movie.,NEUTRAL
"Oct 20, 2013",Ray Liotta really delivers in this role. Slow burning and character driven. This is one of the best neo-noir crime dramas doing the rounds.,POSITIVE
"Aug 23, 2013",Betrayal and deceit is the underline plot in this semi-heist movie. Its worth watching.,NEGATIVE
"Mar 31, 2013","The main character's role as an antihero-spiraling, looser is intriguing enough to watch. The villains are dynamic. The plot needed some more sustenance. I enjoyed it without any high expectations. A classic 'B' flick.",NEGATIVE
"Jan 17, 2013",Definitely one of the most underrated crime dramas I've ever scene. That's all thanks to a great cast and smart pacing back and forth between characters.,POSITIVE
