Date,Review,Score
"Apr 14, 2024","So dumb, bad acting, predictable, dumb... Like really dumb.",NEGATIVE
"Apr 14, 2024","It is an obvious Seven Samurai Sci Fi ripoff. Seven Samurai is an be if my all time favorites,  and this movie does it justice. The visual effects are outstanding and the creatures are some of the best ever. I am very pleased that I turned this on.",POSITIVE
"Apr 13, 2024","Characters are too dull,too many unnecessary scenes that tried to look cool. No chemistry among the ""rebels"". With all the scifi movies and series being released recently, this one seems outdated in terms of themes and direction. 10 year old kids would love this though.",NEGATIVE
"Apr 13, 2024",Another star wars imitation gone wrong . When the girl brought the bird back to life I just had to laugh. What the flip is this 😭,NEGATIVE
"Apr 10, 2024",One of the worst movies I've ever wasted time watching. Comical how bad this was.,NEGATIVE
"Apr 10, 2024","Visually it's a very impressive film. Lots of great sci-fi action sequences and the slow-mo fight scenes are pretty fun to watch. However, the overall story feels pretty generic and bland. The main characters literally just go on a fetch-quest for bunch of people that they've heard of who can help them on their journey, watch as they demonstrate some kind of badass ability or fight, and then they join the group. That's pretty much it up to the end fight against the main villain which was also pretty underwhelming. While it has its fun moments, overall it falls pretty flat. Let's hope part 2 coming up soon expands the story and makes up for the lack of substance in part 1.",NEGATIVE
"Apr 9, 2024",I'm impressed with the bad reviews...I loves this series. I thing was amazing!,POSITIVE
"Apr 8, 2024",Everything star wars still wishes it was!! Absolutely brilliant movie!,POSITIVE
"Apr 7, 2024","This movie was great.  Not perfect but great.  Funny, expansive, world building, familiar but not a duplicate.  It was FUN...remember when movies were sometimes just entertaining and FUN?  When everything did not have to be a shakesperean or orwellian masterpiece and it could just be loud and entertaining and scary and funny and diverting and FUN...well it was.",POSITIVE
"Apr 7, 2024",I really enjoyed the show nd can't wait for part 2,POSITIVE
"Apr 5, 2024",It was rushed and had the most generic charachters. And the big finale didn't make any sense. A Dreadnought that literally leveled planets a minute before gets defeated by a guy with a spear.,NEGATIVE
"Apr 4, 2024","It was nice break from reality which all this type of movie needs to be. Looking forward to part 2.

If you're expecting cinematic greatness go watch Citizen Kane or Ben Hur.",POSITIVE
"Apr 4, 2024","I knew nothing about this movie before I stumbled on it. Wow! Love the story, love the perfectly cast characters. It is a great action adventure movie. Not long before I hit pause to Google who the director is. No surprise. I've watched it twice and will watch it again.",POSITIVE
"Apr 3, 2024","Rebel moon has rich visual storytelling. The opening scene with the narrative of an empirical world who destroyed their planet and the tragedy that forced the loss of their Monarchy, teasing treachery, and political intrigue and strife while introducing an indomitably cruel and sadistic minor antagonist who is but a pawn for the final Villain antagonist directing things from the shadows is an ominous launching point for the story.  

The protragonist, Kora, later to be revealed to be a girl in hiding by another name has an intricately complicated relationship with the final Villain antagonist which only strengthens the plot surrounding her journey to gather individuals to her cause that could defeat this indomitable foe.

Her journey however, begins on a planet as a simple farmer, but we soon learn what she is and her intricate background soon reveals itself in narrative and action as well as her knowledge of how to deal with the newcomers to the planet Veldt, which to the imminent peril of the inhabitants of Veldt is largely ignored. 

The history of the story at times is spoken in narratives to move the story along, but this seems to be due to the time limits placed on the story, which sits roughly at 2 hours and 16 minutes. It could have been an 8 hour show, filling with  expansive descriptive storytelling about the people, the universe and the cultures.

The actual narratives accompanied by flashbacks are rich with historical significance and recognizable symbolism, and has all the action packed nuance of previous Zack Snyder works with well choreographed fight scenes that move the story in references to previous scenes, and expansion of the influence of powers in the universe. These action scenes also offer supplemental knowledge to the dialogue revealing strengths, weaknesses and experience of characters that help you understand who they are, where they came from and why they are there. 

This first installment is an incredible introduction into a rich and vibrant universe that has the potential to become more than just the story that's told, and I look forward to future installments that continue to create a more vibrant painting of a universe, it's politics and it's people who live within it.

With incredible performances by Sofia Boutella (Star Trek: Beyond, The Kingsman: the Secret Service) , Djimon Hounsou (Gladiator, Guardians of the Galaxy, A Quiet Place  part II), Ray Fisher (Justice League, The piano Lesson) , Anthony Hopkins (The Silence of the Lambs, The Father, One Life, The Mask of Zorro) and many more.",NEUTRAL
"Apr 2, 2024","When they walked into a bar full of weird aliens and then immediately picked a fight, I told my wife that if they walked out with a guy who had a spaceship to take them to the next place then we were turning it off.  So.  I don't know what actually happened because I had to be true to my word.",NEGATIVE
"Apr 2, 2024","It's like it was supposed to be a short series, with back stories and subplots, but instead we just get little episodes of characters that have meaningless background.

Cool action scenes but a bit over choreographed.

Setting changes were jarring and haphazard.

And the final scene was completely unnecessary.

Always good to see my boy Charlie Hunnam.",NEGATIVE
"Apr 1, 2024","It wasn't as bad as they say but beautiful visually and we shouldn't forget that 2nd part will also come, so just wait and watch.",POSITIVE
"Apr 1, 2024",Nice ! Entertaiment !,POSITIVE
"Mar 31, 2024","Rebel Moon starts off quite well but then the actors starting acting and things go WAY DOWN from there. There's also the immense issue with cinematography which is all over the place, not bringing the characters to life...and many many parts of the story feel cheap and hollow.

I WILL NOT be watching Part 2!",NEGATIVE
"Mar 31, 2024",Still enjoyed it thoroughly despite faults.,POSITIVE
"Mar 30, 2024","Action packed, top notch special effects. Zack has done it again.",POSITIVE
"Mar 30, 2024",Plot is messy acting is okay. Too many slow take action scenes. But it's a solid movie.,NEUTRAL
"Mar 28, 2024",This was entertaining.,POSITIVE
"Mar 28, 2024",Dreadful. This is why the DC universe was buried. Watch this then watch Dune for a real contrast in film making.,NEGATIVE
"Mar 25, 2024",Two hours of not caring,NEGATIVE
"Mar 24, 2024","Very predictable storyline. 

Too many cliche characters and introductions of characters with a constant use of average fight scenes to build a connection instead of a compelling narrative. 

Can't go 5minutes without something being in slow mo diminishing actual important/cool parts",NEGATIVE
"Mar 23, 2024",Why do they have electronic doors but do the rest by hand?! After this guy has this griffin ride I had enough.,NEGATIVE
"Mar 21, 2024","Could be cool, we'll see if a poor rating from most viewers kills this franchise where it started.",NEUTRAL
"Mar 21, 2024","Yes, the dialogue is cheesy. Yes, we've seen all the tropes portrayed in this movie before. Yes, the slo-mo was gratuitous. However, the story itself was relatively original, most shots were beautiful, and there's enough familiarity for any sci-fi/fantasy fan to just lock in and be entertained for a few hours. It may not be groundbreaking but it's still a good time and worth a watch if you enjoy the genre. Don't expect to be blown away by any twists or completely original ideas. Instead, enjoy it for what it is: a fun movie with some original creature designs and a classic good vs. space Nazis plot.",NEUTRAL
"Mar 20, 2024","Filme: Rebel Moon	@rebelmoonnetflix #rebelmoon			Assistido: 14/3/24
Elenco: @sofisia7 @charliematthewhunnam @edskrein @charlottemaggi_ @michielhuisman @doonabae @djimon_hounsou @anthonyhopkins @staz.nair
Modelo: #ficção #fiction #action #ação
Duração: 2h 14m	Ano: 2023
Minha opinião: Resumo é um Star Wars de 2ª classe. Existe um Imperio que domina a Galaxia. Que o seu líder imagina existir um grupo de rebelde e envia Noble no confins da galáxia para conter. Porem o planeta que ele vai é um planeta agrícola onde tem um povoado. Porem Noble tras terror a aquele planeta. E  lá também tem Kora, uma jovem, que esconde algo maior, mas quando ela vê uma jovem sendo molestada entra em ação e tem a ajuda do androide. Ela sabendo que seria eliminada resolve sair do planeta e conhece Kai e assim resolvem formar um grupo rebelde e vão de local em local buscar outros integrantes. Nemesis, Titus, Gunnar,... Até o momento que estão recrutando um exercito. Aparece Noble e neste momento descobre que eiste um traidor, quem será? Até que sonseguem fugir da emboscada. Os efeitos são bons, interpretações medianas, mas nada que traga de novidade, pois é um roteiro que já conhecemos. Lembra um pouco Han Solo. E temos o robô que acredito que no 2º filme tenha uma atuação maior. Pois aqui ele ganha vida própria.
Roteiro e enredo como já descrevi Classe B.
Vale apena assistir? Humm Se você já assistiu, Star Wars, você se desasmpotará. Não que seja péssimo, simplemente e classe B.
Nota: 6",NEUTRAL
"Mar 20, 2024","Absolutely abysmal, from beginning to end, with laughable action scenes, card board cut out characters, and the plot my 11 year old self would have written.",NEGATIVE
"Mar 19, 2024",Just a meh! I didn't really liked the main character...,NEGATIVE
"Mar 19, 2024",Why introduce man taming griffin when it won't even be of use later.,NEGATIVE
"Mar 19, 2024","Honestly, considering how much money and effort was obviously poured into this movie, it is one of the worst things I've ever watched. There are one or two okay action scenes, but even those suffer from being overproduced and pointlessly self indulgent. I wish they'd get rid of all the slow motion; maybe then they'd have enough time for an actual story. Terrible dreck, but if you are a fan of bad movies a la MST3K there is solid material for riffing here. Reminds me of Battlefield Earth.",NEGATIVE
"Mar 18, 2024",This was nothing more than a pretty collection of tropes.,NEGATIVE
"Mar 18, 2024","Solid scifi movie with tons of emotion, a good (if not tried and true) storyline, and one that takes itself seriously in a good way.",POSITIVE
"Mar 18, 2024","Great movie of every movie iv seen so far in my lifetime… This movie along with the scott ridley's alien series with prometheus are thee best. I wonder why it only has a low rating, do people not know what is good and bad??… All i can say is thank you Zack and cant wait to see the 2nd part of Rebel Moon!",POSITIVE
"Mar 17, 2024",I loved the movie and cast and excited for the second one.,POSITIVE
"Mar 17, 2024",I just find it boring. It just drags on. And then teases a part 2. But I don't care enough about the story or the cliché characters to want to sit through a sequel.,NEGATIVE
"Mar 17, 2024","The story is borrowed from quite a few different sources, so I felt like I'd seen the movie several times before in some form or another. The fight scenes weren't very well done, the slow motion they're shot in looked to me as if they were trying to hide how bad they were, but eventually made them look worse. 

I do give kudos to the worldbuilding visuals, they were awesome.",NEGATIVE
"Mar 16, 2024",While it has some good visuals everything else was just off. I found myself struggling to pay attention and the overabundance of slow-motion sequences was downright exhausting.,NEGATIVE
"Mar 16, 2024","This movie was in the same category as The Perils of Gwendolyn in the Land of the Yic Yak, which I saw on the recommendation of a 16 year old video store clerk 35 years ago. Lol.so that makes it the second worst movie I have ever seen. I did force myself to finish it.",NEGATIVE
"Mar 16, 2024","The movie had a good idea, but it looks like they couldn't implement their idea. Even though it's visually brilliant and a good idea. The plot doesn't stick together, the characters are largely flat. To sum up, it was a waste of time",NEGATIVE
"Mar 16, 2024",I really don't understand the hate. I agree it's not totally original but I was entertained. Looking forward to seeing the second half and the R rated versions.,POSITIVE
"Mar 16, 2024","Yet another Seven Samurai ""retelling"", this time as written by an apparent 15 year old who wanted to incorporate every Sci-Fi and Anime character they ever encountered.",NEGATIVE
"Mar 15, 2024","I could only manage 25 minutes of this, it is SO bad, it was awful! truly terrible, pacing was incredibly slow, characters were all people I wish they would all kill one another to save me the pain of watching any more, I just couldn't take it anymore after 25 minutes, thanks, but no thanks",NEGATIVE
"Mar 15, 2024",Quand on connaît le montant qu'à coûté le film et le résultat a l'écran. Les effets spéciaux sont parfois tellement risibles et les acteurs jouent si mal que c'est une perte de temps et que des millions de $ ont été dépensé pour un travail bâclé.,NEGATIVE
"Mar 15, 2024","I have no idea why people equate it with a star wars rip off. It seemed much more like a Chronicle of Riddick missed with bad Amime like One Piece. Input Vin Diesel in the main character and boom same thing. It's visually good, but world building was rushed and clearly made to be 3 movies, not one that stands on its own.",NEGATIVE
"Mar 14, 2024","An absolute mess, boring and had really bad acting.",NEGATIVE
"Mar 14, 2024","I really enjoy this film. The colors, tone and pace. Excited to see the directors cut and then part 2.",POSITIVE
"Mar 13, 2024",Seeing as all the reviews seem to be terrible I have to say I am very surprised by that. I found the movie to be very good as I am not one to usually watch sci-fi movies my father turned it on while playing board games and I surprisingly was drawn to it instantly. I think the main issue now days is people not being able to understand some movies aren't for them and instead of giving feedback of pros/cons it's a constant attack against the director and actors/actresses. Excited for part two.,POSITIVE
"Mar 13, 2024","some good materials, a real potential but it would deserve more screen time to go into details. A series format would have been more appropriate",NEGATIVE
"Mar 10, 2024","Zack stara się zrobić nowe star wars, tylko słabsze, nudniejsze, i bezsensowne. 
Świat przedstawiony jest absurdalny, fabuła to ciąg nudnych ekspozycji, same efekty nieźle, ale już ogólna warstwa wizualna średnia, do tego nadużywanie slow-mo.",NEGATIVE
"Mar 9, 2024","Way better than your stupid plastic Star Wars.
Seems to be mockery of every bit of sci-fi movies for the last decade or two.",POSITIVE
"Mar 8, 2024",Awesome popcorn si fi flick. Can't wait till next. Harsh critics can go fly a kite!,POSITIVE
"Mar 7, 2024","As someone who had nothing to do with the making of the film I thought it was a fun new adventure something That wasn't already an established Franchise. Like all the garbage That comes out of the Disney franchises These days that everybody seems to want to compare everything else to as if there some kind of masterpiece. That being said this movie is not immune to some hiccups.
 But I was entertained swept up into the universe, Love the cast And the special effects. I was Away from the world's problems for a few hours And enjoyed it, which is at its core. What entertainment is supposed to do i look forward
 To part 2.",POSITIVE
"Mar 7, 2024","I'm just not sure why this needed to be made, it felt like the plot for a video game from the early 2000s. Everything felt rather flat and uninspired and there were too many characters and not enough development or performance to make me care about any of them.",NEGATIVE
"Mar 7, 2024",I really enjoyed watching and am looking forward to the next movie.  I like the different angles and direction the director has used,POSITIVE
"Mar 7, 2024","This was trash. Going in not knowing anything about the movie, I actually paused it to see if it was not the result of some kind of high school project. The acting was ordinary (possibly the result of a poor script) and the story was just lazy. It was so bad that it inspired me to leave my first ever review.",NEGATIVE
"Mar 7, 2024",I don't pay much attention to what the critics have to say about any movie. I rate my movies based on if I was entertained. (and I was),POSITIVE
"Mar 6, 2024","Overall this movie is bad but not funny bad. The first thing one notices right away are the very unnatural cheesy dialogues that seems to spawn out of the blue. Then the acting... Even the main character is really bad. Maybe they had a really tight budget because they spent everything on visuals, which is the only somewhat decent thing in the movie. The plot is also fact paced and confusing, with many unnecessary details that do not make any sense. They use a lot of speech to fill in the gaps but it is not enough and it comes off weird. If I have to read the book in order to understand the movie, it's not a good movie. I had to quit halfway because it wasn't fun. Conclusion: rotten, do not watch unless you want to waste your time, especially if you liked the book.",NEGATIVE
