Date,Review,Score
"Mar 1, 2024","A comedy adventure film the likes of which are no longer being made. Although silly in places, it is fascinating, action packed and uplifting. One of the best of his type.",NEUTRAL
"Dec 18, 2023","One of those childhood staples that you aren't embarrassed about as an adult.  Decent jokes, creative, fun characters, crafty cinematography, etc.",NEUTRAL
"Aug 29, 2023",Entertaining enough but nothing special in comedy or action.,NEUTRAL
"Jan 23, 2023",The Golden Child is an okay film. It is about a private detective who is charged with the task of finding a special child whom dark forces want to eliminate. Eddie Murphy and Charlotte Lewis give decent performances. The script is a little slow in places. Michael Ritchie did an alright job directing this movie. I liked this motion picture because of the action and humor.,NEUTRAL
"Jan 20, 2023",LOL!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,NEUTRAL
"Dec 25, 2022","I'm not sure how this movie can be so poorly reviewed on here. The sheer volume of quotables from this movie is worth at least a 6/10.
All that aside, typical 80s movie with an above average story. If you're expecting Lawrence of Arabia going into it you'll be disappointed. If you enjoy a good scifi/fantasy/comedy then you'll definitely enjoy this.
Brother Numsie, please forgive me!",NEUTRAL
"Dec 10, 2022","I liked this film, Eddie Murphy was very funny in it and Charles dance was quite sinister in it.",NEUTRAL
"Oct 25, 2022",One of my favorite movies! I saw it in the theater when it first came out. I've watched it many times. I have no clue why anyone would rate it less that 4-stars! I purchased the DVD too!,NEUTRAL
"Sep 9, 2022","I dig the classic 80s comedy movie punch this one has.  I watched it many times as a kid, so I decided to revisit it today.  Eddie Murphy is in his peak comedic form as ""the chosen one"" destined to save the Golden Child from the clutches of evil.  There are many funny moments.  Special effects for the day are not bad, and the soundtrack represents the 80s era quite nicely.  It's kinda cool how there are many familiar 80s character actors in this.  I liked it.  It's ""possible"" I might revisit this again one day.  I long to be a kid again.",NEUTRAL
"Mar 7, 2022","descent flick.  Typical 80's movie.  Special effects where bad, but so was Ghostbusters",NEUTRAL
"Feb 13, 2022","Loved this film as a kid, the professional critics need to lighten up! It's supposed to be a bit daft, Eddie Murphy is hilarious, lighthearted and funny if you've not sat on a stick",NEUTRAL
"Nov 24, 2021","Com o passar dos anos esse filme foi perdendo seu encanto, porém não deixa de ter seus momentos.",NEUTRAL
"Nov 24, 2021",Back in 1986 that year it was good. Now not so much as then.,NEUTRAL
"Sep 11, 2021",Eddie Murphy is great with his comedy as his character cracks jokes while in dangerous situations.  Classic.,NEUTRAL
"Aug 23, 2021","""It's a good thing Buddhism teaches freedom from desire, 'cause I've got the desire to kick your ass!""",NEUTRAL
"Jun 26, 2021","An unfunny, forgettable, lame film with a story that had nothing going for it.",NEUTRAL
"Apr 28, 2021","This is one of those movies that I feel was pretty good for it's time, but didn't age very well. Eddie Murphy does a great job, but the script is a little bit weak and predictable by todays (2021) standards.",NEUTRAL
