Date,Review,Score
"Apr 11, 2024",Story is simple but charachters were well written!,NEUTRAL
"Apr 6, 2024","As a fan of the game I loved the movie. I feel like it really had the potential to be so much more than it was. The film should have been around 3 hours long, in order to cover everything this magnificent story can offer us.
I eagerly await a sequel.",NEUTRAL
"Apr 5, 2024","Beyond the wooden acting, the story was undermined by blatant foreshadowing. Watchable due the the impressive visual effects, but a struggle to due to the dry and hard-to-believe delivery of a poor script.",NEUTRAL
"Mar 31, 2024",I gave this movie a try and was not disappointed. It's been awhile since I sat down and actually enjoyed a movie. It wasn't the best movie ever made but was enjoyable and a feel good time.,NEUTRAL
"Mar 31, 2024",I thought it was good campy fun.,NEUTRAL
"Mar 18, 2024","Having absolutely no expectations and zero knowledge of the game, I liked it. There was lots of action and interesting lore. Doubt there will ever be a second but if they did come out with one I'd watch it.",NEUTRAL
"Mar 18, 2024",Another underrated fantasy movie. I enjoyed every second of this movie!,NEUTRAL
"Mar 17, 2024","I don't expect anything, but I liked it. Normally production companies don't adapt video games well at all, and even though I didn't play Warcraft, I guess it was a success. The CGI is quite well done, the story is entertaining, the violence moderate and the cast is great.",NEUTRAL
"Mar 10, 2024",Critics were too hard on this one. It is fun and entertaining at the very least.,NEUTRAL
"Mar 6, 2024","Maybe you have to know / like the games to like this movie. I found it so awful that I left the theater after just under an hour and preferred to watch ""Alice, Behind the Mirror"" a second time.",NEUTRAL
"Jun 23, 2016","Now I might have a bias for this movie, but I thought it was great! If you like Warcraft you'll love it, and if you don't, then you'll love it! What's the issue with this movie? Very solid, good action, everything was explained, and the characters were great. 5 battle axes out of 5!",NEUTRAL
"Jun 23, 2016","It is great,great story characters and visual effects,I do not know why people give it a low rating,thats probably because it is taking a great game and making a great movie,bunch of fucktards rated this movie 29%!Look at audience score idiots,people like it but fucking classy bitches who like animated shit like Finding Dory,thats just finding some bullshit.This deserves a way better rating!",NEUTRAL
"Jun 23, 2016","I was already tired before I saw this movie at the cinemas. I was kind of hoping that this was going to be a good action movie that would cheer me up and make me less tired. Instead I found myself close my eyes three times during the movie. I was kind of hoping that I was watching the movie from the sofa at my boyfriend's instead of at the cinema's so I could have fallen asleep with good conscience. 
I felt that the 3D effects were a lot worse in this movie compared to other movies that I have seen in 3D. I hardly noticed that I was seeing it in 3D at all. I usually like to see a movie in 3D if I have the opportunity, but it felt like there were only two scenes that were actually in 3D in this movie, so it didn't really feel worth it this time. 
I'm sorry to all World of Warcraft fans. The best part of this movie was the orch-baby.",NEUTRAL
"Jun 23, 2016","A movie with stunning visuals and some excellent action sequences. It does ultimately fall short of its ambition, one can be left feeling a bit lost if they aren't already a fan of the franchise. However ultimately it is probably the most honest and watchable video game movie to date and an extended cut may address many of the critiques people have had.",NEUTRAL
"Jun 23, 2016","Started off very slow,  but picked up and got very entertaining",NEUTRAL
"Jun 23, 2016","For someone who has no clue about the story, I felt it was a good movie and it kept me interested and wanting to know more.",NEUTRAL
"Jun 22, 2016",Underdeveloped characters and an uninteresting story are the main factor of this mess. This movie does no justice to the console to silver screen scene. 1 out of 5 stars.,NEUTRAL
"Jun 22, 2016","did not have high expectations!  but I walked out feeling wowed, thought it was intense and fun.  heard people saying that it's bad story telling I would have to disagree. Great story fun movie hoping for a sequel.",NEUTRAL
"Jun 22, 2016",I felt like I was re-living my childhood all over again. Great plot and stunning visuals!,NEUTRAL
"Jun 22, 2016",Never again will I waste my time and money on a movie like this.,NEUTRAL
"Jun 22, 2016",A potentially good story told by a horrible storyteller.,NEUTRAL
"Jun 22, 2016","If you never played the games and are unfamiliar with the background, this is a B-B+ popcorn fantasy flick. Fun but nothing special. If, however, you ever played the games and loved the world of Azeroth - it's a magical experience, like watching your childhood toys come to life.",NEUTRAL
"Jun 22, 2016",Warcraft is harmless fun,NEUTRAL
"Jun 22, 2016","Amazing! Loved - whats wrong with you rotten tomato, you are ruining it!",NEUTRAL
"Jun 22, 2016","Fantastic movie and not just for fans of the game. I have no idea what the ""critics"" are talking about, bashing this movie. Maybe they are just too accustomed to seeing rehashed comic book movies, I don't know. 

  The young wizard in the movie is awesome.",NEUTRAL
"Jun 22, 2016","I have no complaints. Solid cast, straight forward story, great acrtion. Im looking forward to a sequel. Much better than BVS or Xmen Apocalypse.",NEUTRAL
"Jun 22, 2016","So SO awful, even as a long time ex Warcraft player you will be very dissatisfied, AND there's gonna be sequels? Oh boy...",NEUTRAL
"Jun 22, 2016","Although lambasted by critics, Warcraft offers a surprising amount of entertainment.",NEUTRAL
"Jun 22, 2016",Must see movie of the summer.,NEUTRAL
"Jun 22, 2016",Ok movie but I thought there would be more game references,NEUTRAL
"Jun 22, 2016",The movie was great!Please carry on with sequels !!!,NEUTRAL
"Jun 22, 2016","Chop down the length of the first half hour or so and it'll be a better film, I nearly fell asleep at the beginning.",NEUTRAL
"Jun 22, 2016",I play Warcraft. Obviously biased. Good movie.,NEUTRAL
"Jun 22, 2016","Pretty awesome movie, can't wait for second movie lots of storyline to pull from.",NEUTRAL
"Jun 22, 2016","My credentials for reviewing this film: I've casually played World of Warcraft since its beta, played Warcraft II, Warcraft III, and their respective expansions. Admittedly, I never played Warcraft: Orcs and Humans. I watch a lot of movies, but rarely review them. However, I felt it necessary to review Warcraft, because I enjoy the games and desire to better understand its lore and origins.

Warcraft felt familiar to me from the beginning; re-introducing me to characters and locations I've come to know and love from the games. To see Orcs, Humans, Draenor, and Azeroth come alive and represented so accurately in a live-action (and a lot of CGI) was marvelous!

Unfortunately, the movie summarized, or ""paired down"" many of the characters and stories, leaving out a lot of detail and causing me to re-review some of my lore to better understand things. However, I now pay much more attention to characters, relationships, and history within the World of Warcraft and can more easily piece how everything fits together. I dare say that this was one of the primary goals of the movie, and I think it was executed well. Not great, but well.

Keep in mind that this is a sequel to what most World of Warcraft players are experiencing today in the game. It's latest expansion, Warlords of Draenor, introduces players to Draenor where they interact with the Frostwolf Clan (Durotan & Drakka) and other ""corrupted"" Orcs influenced by Gul'dan such as Blackhand.

As one who continues to appreciate the fantasy-inspired character design, apparel, and overall world that is Warcraft, this movie did a great job and re-creating that world for players - much better than I had anticipated.

My hope is that this movie does well enough to warrant a sequel or two where the story of Thrall's rise to power and the introduction of many more races and events can be told in similar fashion. I believe Duncan Jones has earned the vote of most players for more and I expect each subsequent Warcraft film to learn from its past mistakes in aims to earn the respect of more critics.",NEUTRAL
"Jun 22, 2016",A very solid high fantasy movie... don't go in expecting LOTR or other fantasy movies you've seen and you will probably really enjoy it.,NEUTRAL
"Jun 22, 2016",Sólo las escenas de pelea son buenas,NEUTRAL
"Jun 22, 2016","Great movie. Quite a Pleasant surprise. this movie had love, romance, suspense and great story line.",NEUTRAL
"Jun 22, 2016","DON'T LISTEN TO THE CRITICS!!!!  Movie was great, moved a little fast though, probably edited down for time..  The Effects are amazing and the 3D was great!  If you're in the mood for an awesome fantasy movie check this one out!!!!!!",NEUTRAL
"Jun 22, 2016",Epic story would have love to see stormwind  get destroyed,NEUTRAL
"Jun 22, 2016",I didnt hate this movie and it was fun. The problem I think was more along the lines of it played very much to its core audience who would know what a lot of this was without any kinda of exposition. That is killer for a wider audience. It also took itself very seriously which I think needed a bit more of the Blizzard Warcraft humor,NEUTRAL
"Jun 22, 2016","You need to have played the game in my opinion. If not you will have little invested in Lothar, Medivh etc. And no gnomes or tauren? No kitty's?",NEUTRAL
"Jun 22, 2016",It is a good movie except for a death,NEUTRAL
"Jun 22, 2016","My only gripe was that it was hard to follow the timeframe from the game, otherwise is was very well done.",NEUTRAL
"Jun 22, 2016",I enjoyed the movie. Started kinda slow and confusing. Not enough exposition about what the hell is going on. But I picked it up pretty quickly. All and all a fun movie.,NEUTRAL
"Jun 22, 2016",If you're a fan of warcraft and played the rts and the mmo then you'll love this movie. they even showed the flightpath to stormwind!,NEUTRAL
"Jun 21, 2016","They crammed a lot of story into this movie, causing it to feel slightly rushed.  But the dialogue was well-done, the acting was perfect for this story, and the graphics were fun to watch.",NEUTRAL
"Jun 21, 2016","Best Video movie so far.

I really charm and my friends like them.",NEUTRAL
"Jun 21, 2016","Critics are often out of touch and found with massive sticks up the butts. This was far above the average Hollywood drivel. Bottom line, my wife and I have become so jaded and burned out by major films, but this, we both left and looked at each other and said ""that was awesome"". That is all I could ask for.",NEUTRAL
"Jun 21, 2016","I personally enjoyed this film! As a player of World of Warcraft  (WOW) I loved ALL the Easter eggs here and there. They did change certain characters arcs from the lore of the games, but for the movie it serves them well. I say GO SEE THIS FILM if you are a gamer and if you want to see more video game franchises come to the BIG SCREEN  :)!!!!",NEUTRAL
"Jun 21, 2016",Great setup film for the franchise,NEUTRAL
"Jun 21, 2016","The CGI was great, and the story followed the original game pretty well.",NEUTRAL
"Jun 21, 2016","Honestly enjoyed the movie, my personal opinion is that they should have given everyone a British, Scottish, or Irish accent to put me more in the world and the costumes should have been a little more dirty and beaten up same with sets and also I would have flushed out the father-son relationship a tad more.  The effects were legendary, the characters were intriguing and the action was great. Overall was a solid movie.",NEUTRAL
"Jun 21, 2016","Critics are wrong. Warcraft is a great movie.

TL;DR: Critics are stupid.",NEUTRAL
"Jun 21, 2016",This movie was great for anyone that has an inkling of WoW or the old Warcraft games. This brought back some memories for me. Thumbs up!,NEUTRAL
"Jun 21, 2016","C'était bon :) l'histoire était correct, l'animation était wow ;) , la soundtrack était parfaite et ya enfin des fucking vrais mages! il était temps qu'on en voit!!",NEUTRAL
"Jun 21, 2016",As a Warcraft fan and player of WOW loved the movie,NEUTRAL
"Jun 21, 2016","A film with much love and passion put into it along with some fascinating visuals, however it is unfortunately working with a mediocre script.",NEUTRAL
"Jun 21, 2016","So, I think this is one of those rare cases in which critics are incapable of understanding why a movie is the way it is. As evidenced by the 29% critic rating versus the 81% audience score, there is clearly a great divide between two major factions of the viewing audience (no reference to the theme of the movie intended). 

So, as one of the rare few who is neither a critic nor a fan of World of Warcraft, allow me to give my honest opinion on this movie: it was SMART. But what does that mean? It means that this movie was not written and directed to cater to critics or the artsy; it means it was not made to cater to children to sell toys; it means it was clearly made for the fans of the original game. It catered to them so clearly, even I didn't have to know anything about the lore or game to know it. It just bleeds fan service, and you know what? That was a really intelligent decision on the director and writers' parts.

I'm not going to lie, despite not knowing the game I really actually enjoyed my viewing experience. I walked out with questions, but I want a sequel. I left wanting more.

I loved the CGI, character designs, and ability for me to understand the basics of the movie without any prior knowledge of the games. Even though some people complained about the depth of the lore, I really didn't feel that it was that difficult to pick up on. The characters felt well done, and the movie stuck to the lore (as later research found) overwhelmingly well--it didn't try to fix what wasn't broken. I can't even begin to explain how much I wish some other people took that approach to their products. Did that probably hurt it with critics? Yeah, the story is older, contains a lot of tropes, and doesn't ever feel ""ended"". But for the average fantasy-loving audience member? Heh, we can totally handle it.

Was the movie faultless? A perfect ten? No, no. It was paced very quickly despite it's nearly 2 hour runtime (but, fans of the game don't need the pauses to gather together what's happening) and paying attention won't let you down. But at the same time, I see the plight of the pacing--one movie wasn't long enough to pace nicely, but two movies would be far too much. I think they definitely picked the lesser of two evils in this case. There were some moments where I didn't understand the characters, as well as some moments where the actors' ""accents"" broke during fight scenes. Minor issues in my personal opinion, but I can see how it would bother others more than it does me.

In short, I'd love to see a sequel to this. I think critics aren't really giving this movie any breaks, and while they are entitled to their opinions, I disagree with many of them since it was clearly not meant for them. It was meant for fans, and God bless the director for making that choice. It may not be a great movie for those who don't like fantasy or World of Warcraft, but you can definitely go in with no knowledge like me and still come out happy.",NEUTRAL
"Jun 21, 2016","This movie was clearly made MAINLY for fans of the Warcraft universe.  If you went into it as a Warcraft fan, then you leave pleasantly surprised at a well told action flick that is deeper than ""Hulk-smash"" superhero movies we've seen repeat themselves over and over again since the original Iron Man.  

However, if you had no clue about the Warcraft universe (or little clue) going in, this is going to feel clumsy and crazy.  I'm really not sure that's Duncan Jones' fault, even though he's bearing the burden of blame with the critics.  Warcraft IS crazy.  Space aliens, portals, and teleporting all over the place?  That's Warcraft. Sure, they could have made the movie more accessible by making it ""fake"" Warcraft, which is what I would call a less authentic version.  But they didn't compromise on that.

So fans of the video games and the universe will enjoy this movie.  The acting IS NOT bad...the story IS NOT bad.  It's just Warcraft.",NEUTRAL
"Jun 21, 2016",don't... Just don't!,NEUTRAL
"Jun 21, 2016","Ugh!!  Let me rephrase, UGH!!  Maybe gamers can follow this tripe but humans cannot. The premise is ridiculous, we can care less about the characters human or otherwise and what passes for romance well, we won't go there. Oh and nothing could possibly eat with the mouth full of broken rotted tusks these creatures have. I think they are building up to a sequel but I sure hope not. I won't be wasting my time or money on it and I hope nobody else does too.",NEUTRAL
"Jun 21, 2016","I truly appreciate this movie in a sense that its starting from the beginning of the story line and will build up to the more ""exciting and eventful"" parts. The movie critics have no idea what they're talking about. Obviously since the audience score is much higher.",NEUTRAL
"Jun 21, 2016","I finally watched it an I loved it! I've played wow since 08 but that doesn't matter except for the easter eggs u pick up. I loved the story and don't see what all the BS about poor ratings from critics. The movie has it all comedy, love story, action, amazing cgi! if you go in with an open mind you will enjoy the acting of Travis Fimmel, and Ben Foster holy smokes.",NEUTRAL
"Jun 21, 2016","I really wanted to like this movie based on the trailers, but in all honesty it's pretty bad. It's convoluted with ideas and story lines that you've seen a hundred times. That I can deal with. What is a tough pill to swallow is that the writing is poor. The casting decisions are questionable at best. There didn't seem to be enough attention paid to the small details of this movie. (accents and non-accents co-existing in the same place. WTF is that about?) It didn't come across as a complete finished thought when it was all said and done. I wanted to care about the characters but I never got there. It's visually appealing but there is no way that is enough to overcome the shortcomings. Afterwards I was left feeling disappointed.",NEUTRAL
"Jun 21, 2016","Has some pacing issues and is weak in story, but it was better than I was expecting.",NEUTRAL
"Jun 21, 2016",First and foremost I just want to say the critics have gotten their score absolutely wrong! Warcraft is a fairly enjoyable movie throughout. Except for the middle of the movie. The middle of the is pretty darn confusing and sometimes the movie will drag due to lack of character presence. Overall a good story but just filmed and written wrong at times. The characters lack presence and their accents comes on too strong. Fantastic effects and graphics. The graphics mesh well with the costumes and everything. I had fun overall 76/100 for everything,NEUTRAL
