Date,Review,Score
"Apr 3, 2024",Fantastic movie. I still love it as an adult and my 7 year old son can't get enough.,NEUTRAL
"Feb 27, 2024","The movie is constantly turning fantasy conventions on their head (the ""chosen one"" is a baby girl, but the ""chosen one"" is basically a McGuffin, the title character/central hero of the story would typically be a sidekick, Kilmer would typically be the hero but he's the sidekick, etc.) While its visuals have held up remarkably well.",NEUTRAL
"Feb 23, 2024",Great movie!!! One of my favorites growing up,NEUTRAL
"Feb 21, 2024","Mediocre Lord of the Rings ripoff.  Ron Howard had a decent career, but this was no example...(you should wait another year to see Parenthood to see him at his best; which is pretty good.  Not this...)",NEUTRAL
"Feb 21, 2024",This movie was part of my childhood. I still love it till this day 👍,NEUTRAL
"Feb 19, 2024","Not perfect, but an 80s classic. And so, soooooo much better than the show, in so many ways",NEUTRAL
"Jan 4, 2024",A charming fantasy classic,NEUTRAL
"Dec 6, 2023",One of the classic childhood fairytale memories. First Val Kilmer movie I saw.,NEUTRAL
"Dec 5, 2023","It's Solid. I can see why someone would be really nostalgic for this if they grew up with it but also it's well done to boot. Warwick is the best thing and is likeable and charming. Everyone else does a solid job also. Kilmer can be a little weird and out of place every now and than but he eventually comes around and settles down and the two little guys can be a bit annoying also as the comedic relief. The villian isn't bad but I wish there was more focus and interaction between her and our heroes throughout besides the end. The music and cinematography are really good and are the highlight. There is amazing sweeping shots and really good effects throughout of all varieties. Sometimes it can be a little shotty but overally they are really clean. The editing and pacing are solid too. This can start a bit slow but once the action starts it's thrilling and a lot of fun. The main issue that holds this back from standing with contemporaries like The Princess Bride is it is VERY cheesy, senimental, and campy at times in the acting and over the top moments. Which are fun still. On paper this should'nt work as well as it does, but the overloading of charm and passion shines through. You can feel the love in making this and its chessiness is what gives it it's own identity. Also, I do wish there was perhaps a bit more characters besides Kilmer and Warwick to flesh out the adventure a bit more. If I was a kid watching this I'd probably love this a lot more which this is clearly aimed at. As it stands anyone who loves adventures, fantasies, any actors in this, the director, or grew up with this should check this out.",NEUTRAL
"Nov 2, 2023","Fun to see George Lucas' style on another movie! Yes the storyline is ‘generic' and doesn't say much below the surface level, but it's a solid story that is easy to watch. The winning aspect of this movie is the loveable characters, they draw you in and are easy to root for.",NEUTRAL
"Sep 6, 2023","Some magical beings show up at times with no explanation, but that doesn't stop this from being a really fun movie. Warwick Davis and Val Kilmer are hilarious together.",NEUTRAL
"Aug 25, 2023","Slowish and taking itself a little too seriously, like most fantasy of its period, but entertaining.",NEUTRAL
"Aug 12, 2023","Willow more like Willno, it's alright I guess",NEUTRAL
"Jul 24, 2023","It was a bit scary. 

The angel was spectacular. 

It was a bit long but it's a really good story.",NEUTRAL
"Jul 17, 2023","Ron Howard's finest Work in my opinion. A PERFECT Fantasy Adventure. I love how Willow's friend Migosh stayed with Willow, when everyone else from his Village would not. A good lesson in Loyalty and courage, seen it several times and I'll see it MANY more!",NEUTRAL
"Jul 16, 2023","Willow had a budget of 35 million dollars and since its release, it has made a portion of that back.",NEUTRAL
"Jul 4, 2023","4.5 is probably more than this movie strictly deserves, but I'm a sucker for the fantasy genre and Val Kilmer was so infectiously likable that I had to give it another .5 stars.",NEUTRAL
"Jul 4, 2023","A pretty fun movie, takes me back to my younger days. Decent storyline, and good acting from some notable stars but surprising newcomers as well. Definitely recommend this for an easy, and entertaining nights viewing.",NEUTRAL
"Jun 7, 2023",A Masterpiece. A great movie who need study in Cinema 's school.,NEUTRAL
"May 25, 2023",This is an amazing classic I overlooked for far too long,NEUTRAL
"May 24, 2023","Fun fantasy fluff. The characters aren't deep, and the plot isn't complicated, but it has nice sets/costumes/effects for its time...and is just fun! If you want a fantasy that doesn't get ""too dark"" or Too nerdy"" this is just right.",NEUTRAL
"May 24, 2023",THIS MOVIE FREAKED ME OUT AS A KID AND YET I STILL LOVE IT.,NEUTRAL
"May 21, 2023","Willow wasn't one of Ron Howard's biggest critical darlings but it did grow enough of a fan base in the last 35 years as far as fantasy-adventure pictures are concerned This was a big deal for vertically challenged actors and allowed Warwick Davis to get his first starring role ever since he started out in Star Wars Taking place in a magical land run by evil Queen Bavmorda she tries to kill a young baby destined to overthrow her The baby's mother dies and the mid wife smuggles the child out to safety but is lost in the river The child ends up in the hands of a small man named Willow Willow lives in his dwarf village with a family and many others He's an aspiring magician hoping to master his skills and he finds out the secret of the baby and her importance Willow is then set on a quest to deliver the child to a powerful enchantress and hopefully defeat the queen with the help of a wand The queen's daughter Sorsha is tasked to hunt the child down, while Willow runs into a disaffected warrior named Madmartigan Willow still has to master his skills so he's not the best at it, he even accidentally casts a love spell over Madmartigan which of course causes a hilarious rift between him and Sorsha The film is steeped deep in fantasy with witches, fairies and dragons The pacing is pretty lackluster in this as it doesn't follow its own urgency At best the plot is generic as it's been done better But it's nice to watch Warwick Davis and Val Kilmer bounce off each other The effects aren't spectacular but fit with a fantasy film of this caliber There's nice character designs and it'll provide escapism for kids seeking a sword-and-sorcery diversion 'Willow' and its sequel tv series has a charming hokey ness to it all and make high fantasy goofy",NEUTRAL
"Apr 29, 2023",A wonderful adventure with heart. It was great sharing this with my own children.,NEUTRAL
"Apr 27, 2023","This is one of those movies  which pulls off the Gilbert and Sullivan trick of subverting the form whilst reinforcing it. 

Yes the overall story is quote unquote ""Generic"",  but its the performances that really bring this story to life.  Val Kilmer brings the lovable rogue Madmartigan to life, whilst Warrick Davies (with hair !!) plays the eponymous hero with great enthusiasm and energy that was lacking in the reboot. 

In a 'generic' retelling it would have been Madmartigan who was the main character rather than the sidekick,  but subverting the form by having that role go to someone who would normally serve as the Hero's conscience (in effect Davies plays both roles) brilliantly subverts the form and reinforces it at the time. 

It plays well to Tolkien's view that it is the small things that enable us to resist great evil. Yes the CGI is laughable by 21st Century standards but it works well with the a great cast who really brought the story to laugh.",NEUTRAL
"Apr 19, 2023","Fun movie. A not too serious fantasy from 1988, so don't expect it to be anything near as good as a movie from 10-20 years later. However it's still enjoyable and funny. 

Modern critics on this site panned it for stealing from Harry Potter, apparently they don't know that this came out before Harry Potter was published. I'm not sure how one can be a professional critic without even knowing the dates that major influential works were published, it voids any review they give on an older work. 

It would be like accusing Dune of stealing from Star Wars or Lord of the Rings of stealing from Harry Potter, you just sound incredibly uninformed when you do that.",NEUTRAL
"Apr 17, 2023","Great movie, probably not good reviews because too many morons that only like super cheezy and generic movies rate things here.  I guess I have to start reviewing or be at the mercy of idiots.",NEUTRAL
"Mar 21, 2023",Still amazing after all these years.,NEUTRAL
"Mar 20, 2023","Fantasy story , lovely heart warming and good plot.",NEUTRAL
"Mar 17, 2023",classic and better than the remake XD,NEUTRAL
"Mar 16, 2023",An underrated classic that is a must see. Made back when movies were great! It's a shame that modern films aren't more like this.,NEUTRAL
"Mar 12, 2023",Best fantasy movie before Lord of The Rings.,NEUTRAL
"Mar 11, 2023","Willow no está mal, es una película bastante entretenida, aunque siendo un film de fantasía, hubiera quedado más atractiva con más efectos especiales, aunque los que se ven aquí son aceptables. La historia está buena, la banda sonora también y el elenco. Val Kilmer es lo mejor de la cinta con su personaje bien descarado y divertido a la vez. El protagonista Willow es algo torpe, lo cual hace difícil que él tenga que ser el héroe de la historia, pero es un personaje entrañable y merecía ser aprovechado al máximo. No puedo decir que Willow es una de las mejores películas de fantasía que existen, pero es un clásico de culto interesante para los amantes de la fantasía. Mi calificación final para esta cinta es un 8/10.",NEUTRAL
"Feb 26, 2023",Mediocre Tolkien knockoff.  A good cast makes up for the weak writing.,NEUTRAL
"Feb 24, 2023",Great movie. I just watched it with my eight year old and told him how I watched it when I was eight years old. We both loved it. Sad that they made such a horrible sequel last year but the original was just brilliant.,NEUTRAL
"Feb 9, 2023","So I watch this film for the first time, and it is corny as can be. I thought it was just a corny, lovable film, it has a lot of depth and a lot of entertaining moment. But it has a lot of corniness and cheesy aspects of the film. It's a film that I would watch ones which I did, and I probably would never watch again. It's not a bad movie. It's just not enjoyable all the way through.",NEUTRAL
"Feb 9, 2023",She desperately disappointing… gave up after 2nd episode…,NEUTRAL
"Feb 6, 2023","A great classic which I've seen many times.  But it's not perfect.  As the two Brownies can be very annoying.  Plus some of the effects are good but not perfect, lastly some shit humor.  Which I can always do without.  But like I said, it is a classic and worth checking out.",NEUTRAL
"Feb 2, 2023","Ah, 80's fantasy movies, how one can not love them? But let us not be blinded by our nostalgia for that kind of movies (which is currently strongly on the rise), let us see ""Willow"" for what it is. I've seen it recently for the first time, so I have no nostalgia for it and can judge it without that nostalgia. And what I see without it is a movie that is quite strange. And by that I don't mean Jim Henson strange, like in ""otherworldly"", but that it is all over the place – inconsistent in themes, in pacing, in character design... Sometimes it is hard to grasp what was the intention of a given scene, even when you know what precedes it and what comes after it. It seems like this movie was directed by three different persons, it really does. But it is not devoid of charm and the production design is also at least acceptable. It didn't bore me, so that's a plus. But there are far better 80's fantasy movies than this one. Shame I've already seen them all...",NEUTRAL
"Feb 1, 2023","Great Fantasy. Greater than the Tv Show for sure. The Tv Show really disappoints on numerous amount of times and levels. This was straight fun, fantastical,  magical, and actually made with love and care. The Tv Show was made for the bants.",NEUTRAL
"Feb 1, 2023",This is just another example of why the film industry and the audience are completely on opposite sides of what a good film actually is. With a smash of 52% from critics and like 90% from audiences. This film is amazing! Subtle and exciting! The kind of movie people get married to each other after it's over! There was something about George Lucas in the 80's. He made movies like you were reading the book. Directors try to hard or focus too much on unimportant things and forget about the plot and characters. Stick to the feel and story stop making things to surprise us. People want purpose and good writing like Willow the first one not the other one.,NEUTRAL
"Jan 31, 2023",The writing and music will absolutely date this. Rule of thumb is never put modern music in a show that supposed to be set in a fantasy setting. Definitely feels more like you're watching an older sci fi fantasy like hercules or xena than an epic adventure.,NEUTRAL
"Jan 30, 2023","I grew up watching this movie and I still love it as an adult. It's a wonderful blend of humor, action, and adventure, with plenty of heart, imagination, and an amazing musical score. Warwick Davis and Val Kilmer are both great in their roles, and the special effects are still impressive to this day.  It's one of my favorite movies of all time!",NEUTRAL
"Jan 27, 2023","I love ""Willow"", personally. While it's not my absolute all-time favorite film, it certainly ranks up there.",NEUTRAL
"Jan 23, 2023",Terrible. Turned it off within the first 20 mins.,NEUTRAL
"Jan 22, 2023",Love some good queer fantasy rep,NEUTRAL
"Jan 21, 2023","A fun movie that still has that 80's charm because of good acting. directing and script. It's telling the flip in ratings this has with the current show in both audience (much higher than the show) and critics scores.  If you want to know if something is good, look at the audience score and ignore ""professional"" critics.",NEUTRAL
"Jan 18, 2023","Watched it for the second time, since i forgot what it was about, and enjoyed it sososososo much! It's so funny and quirky and just not your typical fantasy movie. I can't see all those LotR copies anymore! Really suggest everyone to watch it",NEUTRAL
"Jan 18, 2023","a childhood favorite, full of warm feelings, excitement, laughter and great characters.",NEUTRAL
"Jan 18, 2023",Gran película que envejece muy bien con El Paso del tiempo.,NEUTRAL
"Jan 17, 2023","Nice fresh fantasy show, it's modernity is visible but it really enhances the all show without being out of place. The relationship between Kit and Jade feels real and in line with the story. The finale had a nice twist and I hope for more seasons.",NEUTRAL
"Jan 16, 2023",A redone classic. I love it the more I saw. The character all had a good back story that kept me excited. I wanted the hero's to do good and didn't want to see any die off. I loved the whole journey through the season. I really like the wardrobe and weaponry. I thought it was hilarious at moments and magical when needed. I loved the original movie I probably watched it every day as a kid and I'm very excited to see more of my childhood favorite and I think with this newer aged take my kids will now enjoy it as well. I'm very excited to see my favorite actor Warwick Davis be a yet another fantasy genre movie. I always say you can't make a good fantasy movie with him in it.,NEUTRAL
"Jan 15, 2023",Lost for words at this it's just poor poor poor disney sure is going down the toilet.,NEUTRAL
"Jan 14, 2023","I loved the series, I think the visibility that a platform as big as Disney invests in a lesbian protagonist is very important for the concept of a new world, an innate respect for what is said about love",NEUTRAL
"Jan 13, 2023","The first two or three episodes were a bit... meh, but from episode four I was absolutely hooked.  I'd go so far as to say it's the best fantasy I've seen in a long, long time. 
Totally recommended.  Really looking forward to a season 2!",NEUTRAL
"Jan 12, 2023",fantastic fantasy made my childhood,NEUTRAL
"Jan 12, 2023","Cute, funny, and unique show with amazing actors, plot, and visuals.",NEUTRAL
"Jan 11, 2023","One of the best series I have ever seen. All the characters are really deep and I love how they became a perfect group after being a total mess at the beginning. The film team did an awesome job and I hope they know that the bad ratings are just unjustified... 
If you have not watched it yet give it a try and I promise you, you won't regret it!",NEUTRAL
"Jan 10, 2023","loved this series, so differant to what was around at the time",NEUTRAL
"Jan 10, 2023","Love this! Such a well done series! The actors are all awesome, the cinematography incredible. Disney PLEASE renew for another season. My high schoolers only happened upon it, and it's just now becoming popular at their school. We all need another season!",NEUTRAL
"Jan 8, 2023","Overall, the decade-old picture Legend from the fantasy genre is equally as influential as Willow is now. It laid the way for subsequent fantasy epics and is a more than respectable movie on its own. It's definitely worth a look for any genre enthusiasts.",NEUTRAL
"Jan 8, 2023","Nice looking special effects but a boring script with some good actors but man the pacing is pretty bad. Val Kilmer and Warwick Davis are the best but everybody else is mediocre. 
Nov 29 22",NEUTRAL
"Jan 7, 2023","Willow is a good example of why you shouldn't listen to movie ""Critics"".",NEUTRAL
"Jan 7, 2023","Now I don't think Willow is the best fantasy film ever made(a three way-toss up between Pan's Labyrinth, Edward Scissorhands and The NeverEnding Story) nor is it the worst(Dungeons & Dragons). It does have problems, but I thought it was entertaining.

My first problem is Warwick Davis, now his title character is a very charming and likable character, but Davis's performance is somewhat uneven. At first it is uncomfortable and bland, then as the film progressed he got better as we got to know the character better. Another problem is that the special effects are a little dated especially the beast with the two heads. My final flaw is that there are one or two scenes in the middle half that felt a little forced.

However, thanks to a quirky, funny and honest script, it is actually entertaining. You may argue that the film is too long, and that the plot is unoriginal and formulaic, but the film does move quickly and a lot happens. The scenery, cinematography and costumes are also really nice to look at, maybe not as stunning as other fantasy films such as the Lord of the Rings movies, NeverEnding Story or Legend(which has one of the most exquisitely rendered forest sets I have ever seen on it) but it at least looks nice. The score by James Horner is also really pleasant though Horner has done better(I still bawl at the main theme for The Land Before Time), the main theme is definitely memorable and is surprisingly not generic. The direction from Ron Howard is good, and the acting is decent as they bring alive somewhat interesting characters. Davis is uneven as I have said already, but Joanne Whalley is alluring as Sorscha, while Val Kilmer does really well in a flashier and darker role with some good lines. Rool and Franjean are the funniest characters, and it is a delight to see Billy Barty again. However, Jean Marsh steals the show as Queen Bavmorda, her performance is the epitome of sheer evil.

Overall, flawed but decent fantasy film with some interesting elements. 7/10 Bethany Cox",NEUTRAL
"Jan 7, 2023","It's sort of cute. But, some of the dialogue is pretty cringe-worthy.",NEUTRAL
"Jan 7, 2023","It's beautiful, it's funny, the characters are charismatic, it's entertaining. The magic, the world, the story, Kit and Jade's relationship and its representation that it's unique in itself, everything about this show is perfect.",NEUTRAL
"Jan 7, 2023",Dumb and childish even for kids.,NEUTRAL
"Jan 6, 2023",An excellent film from start to finish! Definite must see.,NEUTRAL
"Jan 5, 2023",Painful Lucas LOTR knockoff. Threw in the towel after 45 minutes because why would I do this to myself for two hours,NEUTRAL
"Jan 5, 2023",What a grand film. :),NEUTRAL
"Jan 3, 2023",Amazing classic must-see movie.,NEUTRAL
"Dec 31, 2022",Rewatched this to regain the magic after watching 1 episode of the butchered reboot that Disney made. Will pretend the reboot never existed and only remember this classic ❤️,NEUTRAL
"Dec 30, 2022","I loved this movie as a child, I love it still today",NEUTRAL
"Dec 29, 2022",A classic and a must watch for any fans of fantasy.,NEUTRAL
"Dec 28, 2022",A classic fantasy story and a huge dose of dry humor! Any fan of similar classics like Princess Bride will love the Willow movie and recent TV series on Disney+.,NEUTRAL
"Dec 25, 2022",Wonderfull fantasy movie from the 80-s!,NEUTRAL
"Dec 23, 2022","some of the special effects aged poorly, however the characters, story and action scenes hold up. Loved it as a kid, offspring really enjoyed it, still enjoy it now",NEUTRAL
"Dec 20, 2022","Really liked it when viewing as a youngster. Rewatching it again as an adult in anticipation of the series, it holds up OK, but wasn't quite as good as I remembered it. Still decent for an 80s fantasy movie, but we've had better since then.",NEUTRAL
"Dec 19, 2022",mieux que la série que Disney a sortie .,NEUTRAL
"Dec 16, 2022","It's an original story. Despite the time it was released, very well built.",NEUTRAL
"Dec 14, 2022","We loved this movie when it first came out, the action and especially the love story always had a special place in not only mine but my sisters heart as well. Yes it can be a bit hokey here and there, but overall the movie is a fun little ride. Hopefully, it stands the test of time.",NEUTRAL
