Date,Score,Reviews
"Apr 8, 2024",NEUTRAL,I like the play on Civil War here as the Avengers turn against each other trying to sort out what’s best for them and the country. It’s not a Captain America specific movie as it has many Avengers in it to include Spiderman appearance!!!
"Mar 24, 2024",NEUTRAL,S-P-I-D-E-R-M-A-N. That is all there is to say.
"Mar 22, 2024",NEUTRAL,Yeah this is peak marvel top 5 movie
"Mar 20, 2024",NEUTRAL,"Another great Marvel sequence. I was hoping for this to be another solo Captain America movie as Iron Man had three of its own, but this movie focused on Captain America and what he believes is right and wrong and how this will cause rifts for other characters giving them more rounding and arc potential. This also sets up Tom Holland and his take on Spider-Man as we will eventually see."
"Mar 16, 2024",NEUTRAL,This was such a good movie the story was intense the acting was amazing and the characters omg. Such a good movie!
"Mar 6, 2024",NEUTRAL,The characters and themes of Captain America: Civil War are incredibly complex and realistic!
"Mar 4, 2024",NEUTRAL,"Cultural reset, it was a cultural reset"
"Mar 3, 2024",NEUTRAL,One of the best MCU movies of all time...the good old days
"Mar 2, 2024",NEUTRAL,"Quem fala mau desse filme é duente,esse filme é perfeito"
"Mar 1, 2024",NEUTRAL,"The film is nicely made and exciting, you need to see the Winter Soldier if you want to have a real relationship with this film."
"Dec 5, 2023",NEUTRAL,The most serious that an MCU movie has gotten to this point. Having the characters we love face off against each other brought something fresh to a genre that was starting to get repetitive.
"Nov 26, 2023",NEUTRAL,Great story line and conflicts
"Nov 17, 2023",NEUTRAL,"Good movie, the direction is very good here, it has great action, a very messy script... but I give it an 8/10."
"Nov 16, 2023",NEUTRAL,If you can come out of this movie where you and your friends are debating which side was morally correct...I  think you've accomplished what you set out to do with this film.
"Nov 15, 2023",NEUTRAL,At the time I watched this movie was way more superb then anything else. I was on the side of Iron Man obviously because who doesn't have the same feelings as Iron Man? The execution of the movie was wonderful and the introduction of new characters was perfectly shown. Spidermen's introduction was the best thing here. And Black Panther nailed his role here.
"Nov 13, 2023",NEUTRAL,Not really entertaining
"Nov 12, 2023",NEUTRAL,One of the best movies of all time.
"Nov 10, 2023",NEUTRAL,"Another amazing Avengers movie!
More please!"
"Nov 7, 2023",NEUTRAL,"A high-grade illustration of an inside conflict, showing that even the good guys aren't perfect and beef with each other sometimes. But anyways the Russo brothers did justice with the famous comic storyline, having made a heavy final product."
"Nov 7, 2023",NEUTRAL,"This movie does well what it tries to do, and introduces great characters to the marvel repertoire. 
But it sometimes fails to have a two sided plot."
"Oct 31, 2023",NEUTRAL,"it was ok, also didnt iron man literally retire at the end of iron man 3? so confusing..."
"Oct 28, 2023",NEUTRAL,This was so good it felt like an Avengers movie
"Oct 23, 2023",NEUTRAL,Best captain America movie ever made.
"Oct 20, 2023",NEUTRAL,The MCU at its peak. Even better Movie than Infinity War or Endgame
"Oct 15, 2023",NEUTRAL,"Not your typical superhero film, Captain America: Civil War doubles as an action thriller."
"Sep 29, 2023",NEUTRAL,Me encanta un buen villano y buena acción y gran guión es super entrenida y la acción es genial y personajes son geniales es un 8.9 de 10
"Sep 27, 2023",NEUTRAL,"Though the movie may portray this as a captain america movie, this is most definitely avengers pt3. Zemo is not a simple physical villain. He is a threat due to his iq and meticulous planning. Spider man is introduced well and tom holland brings the lovable charm of peter parker. The events in this movie does have consequences as it leads to the avengers success or failure in infinity war"
"Sep 6, 2023",NEUTRAL,"A movie that has the appeal of an Avengers film, yet still manages to progress Steve Rogers' character. A somewhat more mature outing, it explores themes such as the balance between personal agency and freedom, as well as the need for oversight and accountability. It also deals with the need for unity and understanding, as shown between the characters."
"Sep 3, 2023",NEUTRAL,Incredible! Love this movie!   Nuff said!
"Sep 2, 2023",NEUTRAL,"Cada pelea, cada escena...
Es una obra de arte.
Top 10 de mis películas favoritas de Marvel"
"Aug 24, 2023",NEUTRAL,"Perfect movie to end the cap trilogy and I believe this is such a perfect format for marvel, gotta agree with cap tho, he's always right"
"Aug 24, 2023",NEUTRAL,"This is how you do a VS. movie BATMAN V. SUPERMAN!!!!!!  It makes sure that the characters that are disagreeing with each other very personal and effective that we care about the characters fighting and makes not want them to fight, and also what i really loved is the character arcs between Captain America and Iron Man. Iron Man feels very personal for his actions in the avengers and wants to put the avengers in check, meanwhile the best character in this movie and in his trilogy is Captain America, a man who wanted to fight for what’s right for America and achieves, while he was in the ice he discovers the government is not to be trusted and now in this movie since he knows how government can be corrupt and dangerous he does not want the avengers to trust the government and the people who wants to choose where they fight. That is such a fantastic arc for Captain America overall for me it’s a 10/10"
"Aug 22, 2023",NEUTRAL,"Civil War is gripping and expansive. In addition to being the third Captain America film, it effectively serves as a third Avengers and a fourth Ironman film. That kind of range makes Civil War big and exciting but also reduces it to a franchise movie that relies on other projects to be relevant."
"Aug 8, 2023",NEUTRAL,Loved this damn movie. TEAM CAPTAIN AMERICA FOREVER!
"Aug 5, 2023",NEUTRAL,An Incredible Movie! Better then Winter Soldier and Age Of Ultron. Loved how this was a mini avengers movie and a Cap movie at the same time. Fantastic way to start Phase 3 of the MCU.
"Aug 4, 2023",NEUTRAL,One of the worst MCU movies for sure.  The inclusion of all those characters is stupid and they don't feel like the characters that we know from the comics.  There is a scene where Captain America tries to murder Spider-Man by dropping a 27-ton truck on him. In a follow up scene Bucky Barnes tries to kill Spider-Man and throws a big rock at him and then Spider-Man responds by trying to decapitate Bucky with the rock he just threw at him. This movie is bad for so many reasons. The fight scenes were nice and Black Panther was probably the only good character in the movie.  My main complaint is how none of the characters act the way you think they would. Cap would never throw a truck on a kid nor would Spider-Man ever try to decapitate someone.
"Aug 4, 2023",NEUTRAL,"I for sure loved how they managed to get the avengers to split up into to factions lead by the the ones who hold the mcu together; iron man and captain America. Although winter soldier is still slightly better, this movie is in my top 10! Really enjoyed the action, especially the iconic airport battle and final fight!"
"Jul 31, 2023",NEUTRAL,A n amazing film from marvel. The writing and characters were top notch!
