Date,Reviews,Score
"Mar 6, 2024","Fast X has many inconsistencies. It has plenty of mediocre performances and egregious attempts at fan service, too. But it doesn't matter. No one who pays money to see the TENTH installment in The Fast and the Furious watches the film for these reasons.",NEGATIVE
"Oct 27, 2023",The entire movie is an intellectual nightmare... This franchise peaked long ago. ,NEGATIVE
"Oct 3, 2023"," Fast & Furious se acerca a su final y se nota. Dos décadas después de haber comenzado, la franquicia se encuentra en un punto donde su identidad está perfectamente definida y justo eso es lo que ofrece Fast X, la undécima entrega: pura acción, explosiones y un toque de locura en el que te tienes que dejar llevar. Esta undécima entrega lleva todo lo que define la saga de Vin Diesel y lo lleva al extremo. La cinta marca el inicio del esperado desenlace y toda esta avalancha de guiños y referencias, sin duda, encantará a los fanáticos, pero puede resultar alienante para los recién llegados. A esta nueva aventura se suma Jason Momoa en el papel de Dante Reyes, el villano que amenaza a Toretto. Es uno de los puntos fuertes de la película y brilla con carisma propio. Es un psicópata con la habilidad de torturar con una sonrisa en el rostro. Un cambio fresco para una saga que se las sabe todas. Fast & Furious X mantiene los ingredientes clave y los lleva al extremo. Dos horas y media repletas de explosiones y persecuciones que hacen de la película dirigida por Louis Leterrier un espectáculo cargado de adrenalina no apto para espíritus sensibles.",NEUTRAL
"Oct 2, 2023"," “Mission: Impossible—For Dummies” continues, gaslighting action movie fans as it delivers garbage and labels it fun, taking extreme stupidity as seriously as possible and mixing it with an awful sense of humor and a belief that cliches and platitudes are moving explorations of family bonds. The main characters are always exceeded by the supporting ones, which really creates emotional investment as you itch for this annoying person and then that annoying person to go away. If you’re still reading, “Fast X” finds Dom (Vin Diesel) and co. squaring off against Dante (Jason Momoa), who is obsessed with revenge and suffering and played by an actor who feels like he’s in a different movie than everyone else. At least Momoa’s performance lends scenes a degree of impact and pizzazz; whether it’s an over-the-top action sequence that just feels like a stunt team overcompensating and makes you aware of the CGI-enhanced impossibility you’re watching (rather than a smooth, impressive display that brings you into the movie) or a conversation between characters for whom sentences are not a strength, “Fast X” (which apparently is just the first of the two-part finale here?) is tiresome in all the ways it should kick ass. From the mediocre banter between Roman (Tyrese Gibson) and Tej (Chris “Ludacris”) to Letty and Han again contributing nothing (it’s not too late to recast Michelle Rodriguez and Sung Kang, nobody would care) to Dom’s perpetual dopey intensity, it’s just hard to understand what about this is supposed to be entertaining, or even watchable in the slightest.  It’s not all lousy, of course. A few set pieces are genuinely cool (including John Cena as Uncle Jakob and Leo Abelo Perry as Dom’s son Brian escaping a plane in a different aerial vehicle), and all the family family family family talk occasionally stumbles into an OK moment of close bonds rising above petty squabbles or even city-destroying mistakes. But even the presence of Brie Larson as the daughter of Mr. Nobody (Kurt Russell) can’t account for the film’s exhausting inability to create momentum or weave together its narrative pieces, disconnected around the world. As a result, “Fast X” feels like it goes on forever, as (for the most part) everything the good guys do works and nothing the bad guys do does, regardless of how deliberate or insane the idea. When one of the heroes in a movie does something impressive, you should feel awe, and when a wild action sequence is accomplished, it should make you say “whoa.” In all areas, the reaction “Fast X” elicits is just “nope.” Matt’s new book arrived Sept. 27, 2022, and Richard Roeper raves: “Matt Pais deserves four stars for reintroducing us to many of the greatly talented but often unsung heroes of 1990s film. This is a terrific read.”",NEUTRAL
"Sep 8, 2023",Roman and Tej have their banter&#44; and Cena&apos;s Jakob brings some much needed self-deprecation&#44; but Momoa&apos;s Dante is a delightfully catty bitch&#44; and really saves Fast X from getting bogged down in the franchise&apos;s combo of gonzo idiocy and weepy telenovela&#46;,NEUTRAL
"Sep 7, 2023"," Fast X devours every iteration of the franchise and spits the biggest, fastest, and most ridiculous parts back at you, sometimes without chewing. The film, most likely the first entry in a three-part conclusion, performs like a Saturday Night Live skit with a $300 million budget and is the official opening of summer blockbusters of 2023.  The audience in my screening laughed at serious scenes and chuckled at the jokes that were actual jokes. About 45 minutes into the screening, the movie laughed back at us by being self-referential; then, and only then, was everyone in on the joke: this series is a cash cow and we’re all here for a good time. Most of the stars continue their usual, which makes it pretty easy for new-comer Jason Momoa to steal every scene he’s in except for one. Even though his approach to his villain may not be for everyone, the film surely delivers on its promise of family and extravaganza. One thing about The Furious Saga is whether you’ve seen all of the movies, none, or every other one, the script is going to catch you up with exposition disguised as dramatic dialogue very quickly.  This entry in the franchise sees Dominic Toretto (Vin Diesel) gather his family, friends, and enemies to protect them from new villain Dante Reyes, played expertly and curiously by Momoa. Dante has studied Dom ever since the death of Dante’s father, Hernan Reyes, in Fast Five. Dante knows every move Dom will make and takes advantage of Dom’s protective nature, purposefully putting each piece of Dom’s family at risk because Dante knows whenever someone is in danger, Dom will react. Dom struggles to save everyone, but still tries, which only intrigues Dante more and leads to the question of who Dom will save if the stakes are raised again? The returning cast is staggeringly large. I won’t ruin some of the surprises, but at a minimum, we have Michelle Rodriguez as Letty Ortiz, Brie Larson as Tess, Chris “Ludacris” Bridges as Tej Parker, Tyrese Gibson as Roman Pierce, Nathalie Emmanuel as Ramsey, Sung Kang as Han Lue, Charleze Theron as Cipher, Jordana Brewster as Mia Toretto, and Alan Ritchman as Aimes. Any other reveal would ruin the surprise or be an outright spoiler, but just know that’s only half of the cast. Momoa is the main newcomer, among a few others, that brings life and spice to the production. People have called him pure villainy, chaos, the Joker, and a goblin, but he’s channeling more than that.  He’s already a Hawaiiain and Polynisian actor playing a Portuguese and Brazilian man, but when he adds on other layers, it feels like a step backward rather than a step forward. I had to double check myself, so I ran the thoughts by a friend finishing their doctorate which clarified my fears that not many blockbusters are relying on villainized queer identity right now, so this move for the character definitely came as a surprise, though most audience members loved it. The action in Fast X is what you expect and what you’re here for: classic and souped-up cars and motorcycles, heavy-duty and military grade explosives, all mixed with a few surprises. As per usual, the movie abandons logic and science, but at least the film speaks to this head-on. In one of the funnier moments, a character recounts the teams’ history, going all the way back to their street racing days. He doesn’t seem impressed by their antics and basically acknowledges how crazy the stunts are. This gave the audience the opportunity to laugh at the movie at an appropriate time, which relaxed the rest of the movie for me.  Momoa is the main character that brings the humor. Ludacris and Tyrese, paired with Nathalie and Sung, do the rest of the lifting here. There’s plenty of action and decent fight scenes, but it’s the pace of the film that really keeps the momentum. We’re almost literally working with 5 minute discussions alternating with 15 minute action sets, either hand-to-hand or on wheels. The stunts are always either impressive or grandiose, so they work, and even when they don’t, the film quickly moves on to the next. If the post-credit scene hasn’t been ruined for you yet, stay off the internet until you see the movie. It’s the perfect ending for the direction of the series and fits in line with its style perfectly.  And if you already know, it’s still worth it to get on the ride. The post-credit scene probably got the second or third biggest pop of the night. Disney’s Percy Jackson and the Olympians takes bold risks in reimagining the iconic series for a new audience as the heart of the show lies in its young heroes.",NEGATIVE
"Sep 6, 2023"," Once upon a time there was a little film released in 2001 titled The Fast and the Furious which was essentially a riff on Point Break with street racing, not surfing, and small heists of consumer electronics, not bank robberies. A young LAPD officer, Brian O’Conner (Paul Walker) infiltrated Dominic Toretto’s (Vin Diesel) racing world, fell in love with Dom’s sister Mia (Jordana Brewster) and became part of the ‘family.’ From those humble beginnings one of cinema’s most profitable franchise was launched into the world, and by Fast 9 into outer space. The high-octane action series abandoned all sense of reality somewhere around the fourth instalment (possibly earlier depending on your tolerance) and went from a bunch of good-hearted petty crooks indulging in illegal street racing to Toretto’s family basically becoming a black ops group running espionage missions. There really isn’t much point recapping the series as audiences who are up for Fast X have been along for the ride for a long time. It is important to note that the events of Fast Five are essential to understanding Fast X, as the main antagonist Dante Reyes (Jason Momoa in high camp mode) is the son of drug dealer Hernan Reyes who Brian and Dom brought down with the famous cars dragging safes on a highway scene. Fast X recreates that set up and scene with the inclusion of a young Dante and the audience watches through his eyes. The past has consequences, and a time of reckoning is upon the extended Toretto family just as Dom is truly settling down into family life with Letty (Michelle Rodriguez) and Little Brian (Leo Abelo Perry). From the action sequence that begins the film we watch as the Toretto family, led in prayer by Abuelo Toretto (Rita Morena) have one of their famous cook outs. A surprise visitor appears at the door, Dom’s sworn enemy Cipher (Charlize Theron) who warns him something far worse than her is coming for his family. From that moment on Fast X tries to balance its action sequences (one mighty set piece in Rome involving a bomb shaped like a mini–Death Star) with Dom’s concerns about the safety of his son. Dante Reyes isn’t interested in just killing Dom and everyone he loves; he wants them to suffer and seemingly has the resources to make that happen on an epic scale. Almost everyone returns for Fast X (Brian is of course at home babysitting the kids, vale Paul Walker). Tyrese Gibson as Roman and Ludacris as Tej spend most of the film bickering an “reacting to shit” as is their wont. Nathalie Emmanuel is back as the tech genius who created God’s Eye. Helen Mirren’s Queenie turns up for about a minute. Han (Sung Kang) gets to face Deckard Shaw (Jason Statham) who killed him but didn’t kill him. Jakob Toretto (John Cena, one of the better performances in the film) who is back in the family’s warm embrace takes on caring for Little B. There are some new additions. Brie Larson plays Tess, the daughter of former Agency head Mr. Nobody (Kurt Russell who is ‘absent’) and Alan Ritchson plays Aimes, the new Agency head who has no time for Toretto and his group. Daniela Melchoir appears as Isabel, a Brazilian street racer who has ties to Dom. If that all sound like there are too many characters to keep track of it is because that is what is happening. Dante’s grand plan is to separate the family and make them outlaws ensuring they can’t help each other. His other plan is to obliterate them once he’s put them through enough pain. Fast X is another globe-trotting adventure (no outer space) which sees various characters all over the world. Few of them interact and there is only one character arc that is of concern or interest. Knowing the franchise even when the stakes are high they’re also quite low. It’s impossible for most characters to stay dead (there is a baffling resurrection in Fast X which the sequels are going to have to go to great lengths to explain). Sure, there are some fantastic action set pieces but writers Dan Mazeau and Justin Lin (based on a story by Mazeau, Lin, and Zach Dean) do little to give the audience new reasons to care. Dom telling Letty that he’s afraid every day that something will happen to his family is as deep as it gets. Director Louis Leterrier (Transporter) is a serviceable action director and keeps to the F&F formula without much deviation. The Fast and Furious franchise has been mostly undemanding fun. Fast X is a little more demanding because with the exception of Jason Momoa’s fantastic and often hilarious villain, there isn’t a lot of fun. There are street races, big explosions, cars being dropped by planes, helicopters exploding, planes blowing up… the standard fare. The problem is there is nothing to weight all the action. Vin Diesel’s Dom is particularly monosyllabic and earnest (Vin does takes these films very seriously) but mostly the rest of the crew turn up in scenes that are so disparate that it’s hard to connect with them. Mia and Letty get to kick some ass (amazing how Mia somehow became basically a professional martial artist somewhere along the way), Shaw is there until he isn’t, and the audience is treated (?) to a Pete Davidson cameo. Fast X ends on a massive cliff-hanger which is no surprise as audiences were aware that there was going to be a Fast Eleven. It has recently been revealed that Fast X is the first in a trilogy within the series, and one has to wonder if the franchise really has enough gas left in the tank to keep it going? After saving the world from a potential nuclear war at one stage, and reiterating, going into outer space, what more is there for the extended (and continually growing) Toretto family to do? Maybe we just all need to strap in for Vin Diesel’s superhero with a car fantasy and go along with it, or maybe, possibly preferably, we get out of the vehicle now. Nadine Whitney holds qualifications in cinema, literature, cultural studies, education and design. When not writing about film, art or books, she can be found napping and missing her cat. Excerpts and links may be used, provided that full and clear credit is given to The Curb with appropriate and specific direction to the original content. The Curb explicitly prohibits the use of published content for the development of any software program, including, but not limited to, training a machine learning or artificial intelligence system.",NEGATIVE
"Aug 27, 2023", All that we liked about the franchise is there including monster motors&#44; vaguely juvenile jousting &#40;we did find it funny when we were younger and more confused&#41; and a spot of street racing,POSITIVE
"Aug 12, 2023"," AKIRA KUROSAWA’S DREAMS (1990). One of Akira Kurosawa’s first loves was painting, and his affinity for art has never been more apparent than in this late-career entry he helmed at the age of 80. He uses the screen as a giant canvas, filling it with an array of colors and images. The film is split up into eight segments: “Sunshine Through the Rain” and “The Peach Orchard” concern childhood encounters with, respectively, human foxes and human dolls; “The Blizzard” and “The Tunnel” deal with ghostly apparitions; “Crows” offers a meeting with Vincent Van Gogh (entertainingly played by Martin Scorsese); “Mount Fuji in Red” and “The Weeping Demon” provide nightmarish visions of the future; and the final episode, “Village of the Watermills,” is a nostalgic piece that serves as the calm after the storm. Akira Kurosawa’s Dreams certainly comes nowhere near to matching his earlier accomplishments, masterpieces like Rashomon and Ran, and that’s largely because his abilities as a storyteller are placed on the back burner here, with the filmmaker content to offer a series of fractured musings. Still, despite an occasional aloofness, it’s an enchanting piece, from its visual splendor to its thoughtful embrace of the natural world. Extras in the 4K UHD + Blu-ray edition consist of film scholar audio commentary; a 150-minute making-of documentary from 1990; 2011’s Kurosawa’s Way, in which filmmakers (including Scorsese, Eastwood, and Miyazaki) discuss his influence; interviews with assistant director Takashi Koizumi and production manager Teruyo Nogami; and the theatrical trailer. ASTEROID CITY (2023). The latest exercise in quirk from Wes Anderson finds the writer-director in a typically playful mood. The time is 1955, and the plot is twofold: It’s about the creation of a teleplay, and it’s about the events that take place within and around the teleplay. Meta to the max, it finds a TV host (Bryan Cranston) explaining how the latest from playwright Conrad Earp (Edward Norton) is set in a desert town where brainy kids and their parents gather for a Junior Stargazers convention. Personal dramas initially command center stage, such as when a photojournalist (Jason Schwartzman) despised by his father-in-law (Tom Hanks) has to explain to his kids how their mother (Margot Robbie) died three weeks earlier, while a talented actress (Scarlett Johansson) must contend with an overriding sense of ennui. But everything turns wacky once an alien (a combo of CGI and Jeff Goldblum, here tackling an otherworldly entity far different from the one he essayed in Earth Girls Are Easy) briefly drops down for a visit, inspiring military intervention and mass quarantines. As someone who generally enjoys Wes Anderson films — heck, I even dug The Life Aquatic With Steve Zissou, a movie despised by many — Asteroid City unfortunately qualifies as a disappointment, with too many actors wasted in bland supporting roles and too much leaning on the whimsy (which is saying something for an Anderson flick). Still, it earns a modest recommendation on the strength of the dazzling color palettes employed by Anderson as well as superlative turns by Schwartzman (probably his best work) and especially Johansson. ENTER THE DRAGON (1973). While Bruce Lee was already well-known around the world, it was the blockbuster status of Enter the Dragon that made him an enduring legend stateside. This excellent actioner finds him playing a character also named Lee, who’s asked by the British government to travel to the island fortress of Han (Kien Shih), a Dr. No-like figure suspected of dealing in drugs and prostitution. Han regularly holds a martial arts competition on his island, which is how Lee is allowed entrance; while there, he meets Roper (John Saxon) and Williams (Jim Kelly), two ex-army buddies who also surmise that something’s not quite right about Han’s operation. Martial arts experts Angela Mao (as Lee’s ill-fated sister) and Bolo Yeung (as the muscular, murderous Bolo) are allowed to deftly show off their moves; ditto Saxon and Kelly, who are also given a few opportunities to develop their characters. Yet there’s never any doubt who’s the marquee attraction. Lee, who also choreographed the fight sequences, exudes charm and intensity in equal measure, relying on the former during the more sedate sequences and the latter during the action scenes. And what action! Lee’s astonishing to behold, and the climactic battle set inside a room full of mirrors caps a series of exemplary fights. (For a note-perfect parody of Enter the Dragon, check out the “A Fistful of Yen” segment in 1977’s Kentucky Fried Movie.) The 4K UHD release contains the theatrical version and the special edition containing slightly more footage. Extras consist of audio commentary by producer Paul Heller and scripter Michael Allin, and an introduction by Lee’s widow, Linda Lee Cadwell. FAST X (2023). Just as surely as the Earth circles the sun, there are some certainties to be found in the Fast & Furious franchise as it hits #10 in the series. 1) Pretty much every character who appeared in a past installment will eventually turn up in a later entry, be it Scott Eastwood’s Little Nobody, Bow Wow’s Twinkie, or the third mechanic from the left in the second race featured in The Fast and the Furious: Tokyo Drift. 2) With even greater frequency than a George Romero zombie, pretty much every dead character who appeared in a past installment will eventually turn up alive in a later entry, be it Michelle Rodriguez’s Letty Ortiz, Sung Kang’s Han Lue, or … well, no fair telling, since it provides the “shocking” ending of Fast X (with yet another character brought back during the mid-credits sequence). 3) Villains (or at least antagonists) in past entries will eventually come to the aid of Vin Diesel’s Dominic “Dom” Toretto. That probably won’t be the case with the new baddie, Jason Momoa’s psychotic Dante Reyes, but it did turn out to be the case with Jason Statham’s Deckard Shaw, John Cena’s Jakob Toretto, and now a heinous villain who inexplicably adopts an “enemy of my enemy” stance. 4) To paraphrase a line from my The Fate of the Furious review, Dom will continue to yammer about “family” with even more frequency than any given Walton, Ingalls or Ewing. 5) Even the dipsticks and crankshafts will give better performances than Tyrese Gibson as tiresome Roman. Extras in the 4K UHD + Blu-ray + Digital Code edition include audio commentary by director Louis Leterrier; a making-of featurette; scene breakdowns; a pair of music videos; and a gag reel. FERRIS BUELLER’S DAY OFF (1986). Over the years, Ferris Bueller’s Day Off has arguably sprinted to the top of the list as the most championed of John Hughes flicks. Beloved by conservatives for its unapologetic embrace of the Reagan-ruled “Me-First Decade” (no surprise to learn that Hughes was a Republican) and presumably adored by liberals for its flouting of societal rules, it seemingly hits the sweet spot for everyone. Well, almost everyone. Matthew Broderick plays Ferris, who feigns illness in order to skip school and hang around Chicago with his girlfriend Sloane (Mia Sara) and his best buddy Cameron (Alan Ruck). The only two people who see through his ruse are his sister Jeanie (Jennifer Grey), who resents how he gets away with everything, and Vice Principal Rooney (Jeffrey Jones), who’s incensed that he has already missed nine days due to various manufactured sicknesses. Bueller’s smugness and superiority would be insufferable in the hands of another actor, but Broderick makes him charming and thus bearable. But Sara’s Sloane is a colorless character, while Ruck’s Cameron is a poorly written mass of tics whose ultimate transformation isn’t believable for one nanosecond. Some individual scenes shine, a few Ferris monologues connect, and I enjoyed the turns by Grey, Jones (a great foil), and even Charlie Sheen in his brief appearance. But the picture is ultimately too surface-skimming and scattershot to have such delusions of greatness thrust upon it. Extras in the 4K UHD steelbook edition include audio commentary by Hughes; a making-of featurette; interviews with cast members; and a piece examining the title character. INVALUABLE: THE TRUE STORY OF AN EPIC ARTIST (2018). He may not be as well-known as fellow makeup and effects artists Ray Harryhausen, Dick Smith, and Rick Baker, but Tom Sullivan will always maintain his own corner in horror film history for his contributions to the 1981 classic The Evil Dead and its sequels, 1987’s Evil Dead II and 1992’s Army of Darkness. Invaluable is basically a love letter to Sullivan, with director Ryan Meade bypassing the larger names connected with the franchise, director Sam Raimi and star Bruce Campbell, to focus on a less publicized MVP. While the documentary does touch upon the tragedies in Sullivan’s life (the death of his wife as well as his own car accident), it’s mostly a celebration of the man and his art. Although Sam Raimi is MIA from the newer interviews, most of the other principal players are on hand, including Campbell, Ted Raimi, and The Evil Dead actresses Betsy Baker, Ellen Sandweiss, and Theresa Tilly, the latter three describing Sullivan as their gallant protector. It’s always nice to see a shout-out to Famous Monsters of Filmland (Sullivan grew up on the magazine), and this interesting doc even contains footage of the 8MM stop-motion films he made as a boy. Blu-ray extras include a 1989 interview with Sullivan; an interview with The Evil Dead cinematographer Tim Philo; Other Men’s Lives, a bonus documentary about filmmaker and Raimi friend Josh Becker, featuring appearances by Campbell, Sullivan, and actress Lucy Lawless (Becker had written and/or directed a few Xena: Warrior Princess episodes); and two short films from Meade, 2011’s Cosmos Locos and 2013’s Bong Fly. ROMAN HOLIDAY (1953). A star was born with Roman Holiday, as the unknown Audrey Hepburn became a household name with the release of this utterly disarming romantic comedy. She’s cast as Princess Ann, who, bored with her lot in life, escapes during a goodwill tour to Rome and takes in the sights of the city. She’s accompanied in her escapades by an American reporter (Gregory Peck) who feigns ignorance as to her true identity in the hopes of landing a great story. Naturally, the pair fall in love. The chemistry between Peck and Hepburn is palpable (they remained lifelong friends), and there’s a riotous supporting turn by Eddie Albert as the newspaper photographer who aids Peck’s journo in his covert assignment. The “Mouth of Truth” scene is a genuine classic, but the film is packed with equally delightful interludes. Although Dalton Trumbo was the film’s principal writer, the heinous Hollywood blacklist meant that his name was nowhere to be found in the credits; it wasn’t until 40 years later that his contribution was officially acknowledged (and even longer before his name was added to the on-screen credits). Nominated for 10 Academy Awards (including Best Picture, Best Director for William Wyler, and Best Supporting Actor for Albert), this earned three statues: Best Actress for Hepburn, Best Motion Picture Story for Trumbo (whose widow accepted the award on his behalf in 1993), and Best Black-and-White Costume Design for the legendary Edith Head. Extras in the 4K UHD + Blu-ray + Digital Code edition include a conversation about the film with critic Leonard Maltin; pieces on Hepburn and Trumbo; and a featurette on the costumes. STOOGE O-RAMA: THE MEN BEHIND THE MAYHEM – AND EVEN MORE MAYHEM! (2023). To quote that eminent philosopher Curly Howard, “I’m trying to think but nothing happens!” — or, more specifically in my case, “I’m trying to think of something to write but nothing happens!” Frankly, the overall excellence of this three-disc Blu-ray set left me momentarily speechless. Aimed at knuckleheads into nyuk nyuk nyuks, this is a collection of specials, shorts, and other goodies relating to The Three Stooges: Moe Howard, Larry Fine, Curly Howard, and all the others who were ever slapped, rapped, or whapped as part of the outfit. The “feature attraction” (so to speak) would be the hour-long, 1994 A&E Biography episode “Stooges: The Men Behind the Mayhem.” Also included are outtakes from home movies and newsreels, movie trailers, archival interviews, TV commercials (including the boys plugging Instant Simoniz car spray in 1960 and Larry promoting his autobiography Stroke of Luck in 1973), and more. As a lifelong fan of entertainment artifacts from earlier eras, my favorite inclusion was the photo gallery of Stooge memorabilia, including board games, comic books, and a toy movie projector — there’s also a previously lost theatrical featurette, 1937’s Surprise, Surprise, in which the trio tell kids how they can get that projector (equipped with Stooge shorts, of course). Indeed, the only reason this doesn’t receive a perfect score is because of the inclusion of some wince-inducing modern-day material involving Stooge descendants and other comedians (who the heck are Shwartzy and Panaga?). ASSAULT ON PRECINCT 13 (1976). Film fans argue all day over whether certain remakes/sequels/updates/etc. are opportunistic rip-offs or sincere homages, but to my knowledge, no one has ever saddled John Carpenter’s Assault on Precinct 13 with a derogatory copycat label. This film is pure tribute, a fond salute to Howard Hawks’ 1959 Western masterpiece Rio Bravo (reviewed in this column last week) with the structure of George Romero’s Night of the Living Dead thrown in for good measure. The setting is the mean streets of Los Angeles, and the members of the gang Street Thunder are on the prowl, killing citizens as they see fit. After one particular slaying — still to this day one of the most shocking murders ever put on film — the guilty party is himself gunned down, inciting the rest of the mob to exact their revenge. This leads them to an L.A. police station that has officially closed down and is now populated by only a handful of people, including one cop (Austin Stoker), two secretaries (Laurie Zimmer and Nancy Loomis), and a pair of convicted killers (Darwin Joston and Tony Burton). Perhaps Carpenter’s best film next to The Thing, this is a model of low-budget filmmaking, with a tight script, appropriately tight-lipped actors, and atmospheric location shooting. In addition to writing and directing duties, Carpenter also composed the excellent score (one of his best, up there with Halloween and Escape from New York) and served as film editor under the pseudonym John T. Chance (John Wayne’s character name in Rio Bravo). Ethan Hawke and Laurence Fishburne starred in a lame 2005 remake that was nothing more than an attempted cash-grab.",NEUTRAL
"Aug 11, 2023"," “Fast X” Grade C-: The multi-car pile-up that is “Fast X” is either an example of how there are no original ideas left in a franchise that ran out of gas five films ago or just the fact that no one cares anymore because they know moviegoers will buy tickets even if the film is a total wreck. In the case of this clunker, it is a bit of both. Don’t worry if you haven’t seen “Fast Five.” A major part of “Fast X” features flashback scenes, characters talking about how those who have been fast and furious have escaped the law and an endless string of cameo appearances. If anyone even walked across a scene in one of the nine previous movies, they are back like a celebrity game of Whack-a-Mole. This franchise has gone from a tale anchored in a reality dealing with street racing to a point where the action sequences are more unbelievable than the Coyote’s efforts to catch the Roadrunner. A certain degree of improbability is acceptable in a massive action film but eventually the laws of physics do trump everything else. “1921: Season 1”: The streaming series tells the story of a multi-generational ensemble as they fight for their legacies to endure and hope that those they depend on will return to the places and people they call home. “Spider-Man: Across the Spider-Verse”: Spider-Man is catapulted across the Multiverse where he encounters a team of Spider-People. It will be available on DVD and Blu-ray on Sept. 5. “Asteroid City”:  Junior Stargazers and Space Cadets assemble for the annual Asteroid Day celebration, but the competition is upended by world-changing events. It will be released on DVD and Blu-ray on Aug. 15. Still looking for the perfect Mother’s Day gift? Find the perfect one for your mother figure this Mother’s Day with these top picks from Amazon.",NEGATIVE
