Date,Reviews,Score
"Apr 12, 2024"," Period action adventure starring Harrison Ford, Ray Winstone, Cate Blanchett and Shia LaBeouf. Nevada in the late 1950s: intrepid archaeologist Indiana Jones finds himself up to his neck in trouble again when he encounters Irina Spalko and a gang of Soviet agents at a military base in the desert. However, this is only the start of a series of adventures that will take Indy deep into the Amazon jungle in search of a mysterious crystal skull. Almost 19 years after the release of Indiana Jones and the Last Crusade, director Steven Spielberg and producer George Lucas exhume their globe-trotting archaeologist for another crack of the whip. It's now 1957, and Professor Jones (Harrison Ford) is bundled out of a car boot with his cockney sidekick ""Mac"" (Ray Winstone). After an explosive and chilling opening at a nuclear test site in the Nevada desert, Indy's latest quest begins via an exhilarating motorbike chase through a university campus. The sought-after prize is the fabled Crystal Skull of Akator and, this being the Cold War era, the baddies are the Soviets, led by Cate Blanchett. Then it's all aboard for more of the same Saturday matinée thrills that helped make the franchise so successful: a multi-vehicle pursuit through the Amazon jungle; giant ants; umpteen secret passageways; and even alien visitors. Though exhausting and relentless, it's hard to dislike, thanks to Ford's weary charm, his leather-jacketed new wingman Shia LaBeouf, and an emphasis on pleasingly ""old school"" stuntwork.",POSITIVE
"Jul 7, 2023"," BODY SLAM (1986). Body Slam is occasionally labeled the final theatrical release of stuntman-turned-director Hal Needham (Smokey and the Bandit, Stroker Ace), but that’s not quite accurate. While it was meant to play theaters, bad blood between Needham and the film’s writer-producers, Shel Lytton and Steve Burkow, resulted in the film missing multiplexes altogether and emerging as a straight-to-video title. It’s hard to imagine it would have mustered much box office business, as it’s a mediocre comedy that will appeal to wrestling fans far more than anyone else. The A-Team regular Dirk Benedict plays Harry Smilac, a struggling agent whose career is revitalized once he decides to mix professional wrestling with rock ‘n’ roll by featuring both on the same tour (the film was inspired by the rock ‘n’ wrestling boom in the 1980s). Benedict and Charlie’s Angels one-and-done Tanya Roberts are drab leads, with wrestler Roddy Piper stealing the show in his film debut. CAREER OPPORTUNITIES (1991). Among all the John Hughes joints, this is one of the worst. Written by Hughes but directed by Bryan Gordon, this is yet another Hughes male-fantasy-wish-fulfillment film in which a beautiful girl falls in love with the biggest dork around. Riiiiight. Frank Whaley is absolutely insufferable as Jim Dodge, a loser-of-all-trades who’s hired to work as the cleanup boy at the local Target. It’s during his first night on the job that he bonds with unhappy rich girl Josie McClellan (Jennifer Connelly), who happens to be camped out in the store, and fights off two bumbling criminals (real-life brothers Dermot and Kieran Mulroney). The fact that Hughes tried (and failed) to have his name removed from this movie tells you pretty much everything you need to know. Only a funny, uncredited turn by John Candy and Connelly’s ethereal beauty save this from a one-star rating. THE COURIER (2021). The best Cold War thrillers are the ones that were made during the actual conflict, with such pictures as The Manchurian Candidate and The Spy Who Came In from the Cold possessing a grittiness and urgency that are, perhaps naturally, missing from the vast majority of post-1991 yarns of this nature. Like 2015’s Bridge of Spies, The Courier often feels like the celluloid equivalent of a history book, with the true-life tale unfolding in measured, respectful beats. Benedict Cumberbatch plays Greville Wynne, a British businessman who’s tapped by MI6 and the CIA to develop an association with Oleg Penkovsky (Merab Ninidze), a Soviet officer passing along state secrets in an effort to cool the East-West tensions that culminated with the Cuban Missile Crisis. By focusing so intently on Wynne and his relationship not only with Penkovsky but also his own wife (Jessie Buckley), the movie works on a small scale but never quite conveys the enormity or sheer terror of the global situation (for that, watch 2000’s Thirteen Days). GODZILLA VS. KONG (2021). The four films released thus far in the so-called MonsterVerse ably demonstrate that King Kong still reigns supreme. The 2017 Kong: Skull Island (reviewed here) is superior to all three Godzilla films, and that includes this latest one, which finds both behemoths sharing marquee billing. Decidedly more complicated (if not necessarily more engaging) than 1962’s Toho-produced King Kong vs. Godzilla (see King Kong: Ranking the Giant Ape Films here), this finds the big fellas squaring off against each other before ultimately teaming up to battle Mechagodzilla. As with the two previous Godzilla flicks (2014’s Godzilla and 2019’s Godzilla: King of the Monsters), the creature-on-creature action is often invigorating and always executed with excellent CGI, but the human characters (particularly the one played by Millie Bobby Brown) couldn’t be drippier. Extras on the 4K Ultra HD + Blu-ray + Digital Code set consist of audio commentary by director Adam Wingard and 10 making-of pieces covering the titans’ histories, the visual effects, and more. GUNS FOR SAN SEBASTIAN (1968). One doesn’t need to read the credits for Guns for San Sebastian to instantly peg the music as a Morricone. Contributing to a Western that is not of the Spaghetti strain, Ennio provides a lesser if still engaging score that works for this yarn focusing on Leon Alastray (Anthony Quinn), a Mexican outlaw who’s befriended by an elderly priest (Sam Jaffe). They journey together to the remote village of San Sebastian, but after the priest is fatally shot, Alastray is himself mistaken for a clergyman by the locals. Keeping up the ruse, he eventually becomes attached to the community and helps protect it from attacking Yaqui Indians. Charles Bronson co-stars as the thorn in Alastray’s side; although he generally excelled in his pre-stardom supporting roles, he’s underwhelming here, a condition shared by many of the characters and plot developments. The climax is rousing, but it’s Quinn who makes this worth a peek. INDIANA JONES 4-MOVIE COLLECTION (1981-2008). The Indiana Jones adventures have finally been released in a 4K Ultra HD edition (digital codes also included), and the results — in both the video and audio departments — are absolutely mesmerizing. As for the movies themselves, they hardly need any introduction. A dream project between Steven Spielberg and George Lucas, Raiders of the Lost Ark (1981) is simply one of the all-time greats, a delightful thrill-a-minute flick in the grand swashbuckling and movie serial traditions. Harrison Ford is perfection-plus as Indiana Jones, so iconic a character that the AFI cited him as the second greatest movie hero of all time (just under Atticus Finch and just above James Bond) in its 2003 “100 Heroes & Villains” list. Every character is richly brought to life, particularly Karen Allen’s Marion Ravenwood, Paul Freeman’s Belloq (a frequently underrated villain), and, oh, yeah, that treacherous capuchin monkey. Nominated for eight Academy Awards (including Best Picture and Best Director for Spielberg), it nabbed four statues for its film editing, visual effects, sets, and sound, as well as a Special Achievement Award for sound effects editing. Indiana Jones and the Temple of Doom (1984) is easily the most underrated film in the franchise, with its dark tone working perfectly in the context of its often macabre tale. Still, the comparatively bleak material and gross-out bits of this PG endeavor worked in tandem with the icky elements of that same summer’s Gremlins to lead to the creation of the PG-13 rating (reportedly at the suggestion of Spielberg himself). Kate Capshaw’s Willie Scott is a weak character when compared to the previous film’s Marion Ravenwood, but Short Round (Ke Huy Quan) is an engaging sidekick, and the action and atmospherics are tops. This earned an Oscar for its visual effects (beating 2010 and, perhaps surprisingly, Ghostbusters). Indiana Jones and the Last Crusade (1989) closed the decade in style, with Sean Connery an inspired choice to play Indy’s dad and River Phoenix (who died four years later) an equally sensible selection to play the teenage Indiana Jones. Alison Doody’s Elsa Schneider is a better bet than Willie Scott (due largely to her duplicitous nature), and it’s wonderful to see Indy’s friends from Raiders, Marcus Brody (Denholm Elliott) and Sallah (John Rhys-Davies), returning to again help out our hero. This nabbed an Oscar for its sound effects editing. The belated installment Indiana Jones and the Kingdom of the Crystal Skull (2008) is the runt of the litter, although there’s still plenty to enjoy. Karen Allen returns as Marion Ravenwood, and, even at 65, Ford still excels as the intrepid archaeologist-professor-adventurer. Despite more hiccups than usual (dry villains, a protracted third act), Spielberg keeps the film loose and limber. P.S. I will never understand the hatred for the refrigerator scene — it’s a marvelous set-piece and very much in the spirit of the whole franchise. You want a low point? How about Shia LaBeouf’s brash greaser Mutt Williams swinging through the trees alongside a bunch of CGI monkeys? (Honestly, LaBeoufing the Monkeys would have been a more accurate diss than Nuking the Fridge.) The bonus features are all carried over from the previous 2012 Blu-ray box set, with a total running time of over seven hours. Extras include making-of featurettes and theatrical trailers for all four films; on-set footage from Raiders of the Lost Ark; a joint discussion with leading ladies Allen, Capshaw, and Doody; and various pieces on the series’ stunts, music, visual effects, sound effects, and more. LAST TRAIN FROM GUN HILL (1959). Reuniting many of the key players from 1957’s Gunfight at the O.K. Corral (including director and star) but more similar in tale and tone to 1957’s 3:10 to Yuma, John Sturges’ Last Train from Gun Hill casts Kirk Douglas as Matt Morgan, a marshal seeking the two men who raped and murdered his Native American wife (Ziva Rodann). He discovers that one of them is Rick Belden (Earl Holliman), the son of his friend and former partner Craig Belden (Anthony Quinn). Morgan is determined to bring the killers to justice, while Belden, now a powerful cattle baron, is equally hellbent on protecting his son. The unique situation provides the scenes between Douglas and Quinn with additional subtext that in turn expands the actors’ performances, with Carolyn Jones offering fine support as the woman caught between the pair. Blu-ray extras in this latest installment in the Paramount Presents line consist of a discussion of the film with film critic Leonard Maltin and theatrical trailers. THERE WAS A CROOKED MAN… (1970). The penultimate film of director Joseph L. Mankiewicz (All About Eve) is a tart-tongued Western written by the same gents (David Newman and Robert Benton) who had penned Bonnie and Clyde three years earlier. Kirk Douglas is excellent in the complex role of Paris Pitman Jr., a bank robber who’s captured and sent to an Arizona prison that’s soon run by reform-minded warden Woodward Lopeman (yet another nicely understated turn by Henry Fonda). Lopeman hopes that Pitman will be a model prisoner; for his part, the outlaw is plotting a great escape with the help of his cellmates. The heavy pre-release cutting hurts (blink and you might miss Lee Grant’s entire performance), but the marvelous cast helps — among Pitman’s cohorts in crime are Burgess Meredith as the once fearsome, now decrepit Missouri Kid, Warren Oates as a dim-witted cowboy, and Hume Cronyn (particularly wonderful) and John Randolph as a bickering homosexual couple. VOYAGERS (2021). The pitch meeting for Voyagers must have been the shortest in history. “It’s Lord of the Flies in space! Now where should we go for lunch?” Yet it’s the faithfulness to the plot put forth by William Golding that prevents the film from exploring various other themes that perpetually remain on the margins. The early going is the best part, with Colin Farrell as a scientist who accompanies a group of children heading to a habitable planet 86 years away, knowing that it will actually be these kids’ grandchildren who will set foot on the brave new world in the future. Medicated to remain docile, the now-teenagers on the craft rebel by discontinuing their treatments; newly awakened, these formerly well-behaved kids grow horny and violent. Complex issues are tossed aside in favor of obvious action beats, and the breakdown of wicked and complacent kids vs. good kids is absurdly one-sided in favor of the former (approximately 80%-20%; even in the last election, the evil Trump only garnered 47% of the vote) and then summarily dismissed for the wrap-up. ZIEGFELD FOLLIES (1946). Ziegfeld Follies opens with showman Flo Ziegfeld (William Powell, reprising his role from 1936’s The Great Ziegfeld) in Heaven, looking down and wishing that he could put together one final production packed with songs and stars. This setup leads to a compendium of musical numbers and comedy skits featuring approximately two dozen celebrities, including two future I Love Lucy actors in Lucille Ball and William Frawley. The quality between sketches is inconsistent — respectively taking the gold, silver and bronze are Fred Astaire and Gene Kelly (in their historic first teaming) performing “The Babbitt and the Bromide,” a smokin’ Lena Horne crooning “Love,” and Judy Garland getting into the spirit of “The Interview.” Blu-ray extras consist of a retrospective featurette; audio-only outtakes; the Oscar-nominated 1947 short The Luckiest Guy in the World; the 1946 Tom & Jerry cartoon Solid Serenade; the 1946 cartoon The Hick Chick; and the theatrical trailer. Love the Indiana Jones franchise, the first three were big inspirations for my life long love of cinema, and I like the 4th entry just as much as the others.",POSITIVE
"Jul 1, 2023"," Y llegamos a la infame cuarta entrega. Spielberg, Lucas y compañía se demoraron, pero finalmente lograron estrenar “Indiana Jones y el Reino de la Calavera de Cristal” en mayo del 2008, y los resultados fueron… mixtos. Sí, la película recaudó un dineral —más de 700 millones de dólares en todo el mundo—, pero la recepción por parte de la crítica Y de los fans no fue la mejor. Muchos agradecieron el trabajo de Harrison Ford como Indy —impecable, como siempre—, pero varios se quejaron de la abundancia de efectos visuales digitales de calidad cuestionable, escenas poco creíbles, y por supuesto, los Aliens. Los benditos Aliens. El punto es que, con el beneficio de la compresión retrospectiva, y habiendo visto las primeras cuatro películas de Indiana Jones seguidas en poco más de una semana, resulta interesante comentar “Indiana Jones y el Reino de la Calavera de Cristal”. Se trata, pues, de la menor de las cuatro cintas; de un filme que no es tan horrendo como a muchos fanáticos les gustaría hacernos creer, y que contiene varios momentos brillantes, mezclados con otros… bastante flojos. Ciertamente se nota un cambio entre esta entrega y “La Última Cruzada”, como si algo hubiese cambiado en Spielberg, y en la forma en que ve a Indy y sus aventuras. Es una película de “Indiana Jones” a medias, pues, que igual resulta entretenida, pero que ciertamente pudo —y debió— ser mucho mejor. “Indiana Jones y el Reino de la Calavera de Cristal” comienza en los años 50, y luego de ser testigos de una suerte de “drag race” entre unos adolescentes y unos soldados —al más puro estilo de la genial “American Graffiti”, de George Lucas—, acompañamos a Indy (Ford) y su compañero, Mac (Ray Winstone) mientras son obligados por un grupo de comunistas rusos, liderados por la coronel Irina Spalko (Cate Blanchett) a buscar un misterioso objeto en el mismo hangar repleto de cajas que vimos al final de “Los Cazadores del Arca Perdida”. El cual, dicho sea de paso, está ubicado en el Área 51, porque obviamente —son los años 50, y como las cintas anteriores, “Indiana Jones y el Reino de la Calavera de Cristal” hace referencia a la cultura popular del momento. La eventual presencia de los Aliens no debió sorprender a nadie. Nuestros protagonistas y su captores terminan encontrando dicho objeto, pues, pero Indy logra escapar, viéndose obligado a buscar refugio en un pueblo falso utilizado para pruebas de bombas nucleares. Esto resulta en uno de los momentos más controversiales y parodiados de la película: Indy sobreviviendo a una explosión nuclear en el interior de una refrigeradora alineada con plomo —una idea de Spielberg y no de Lucas, contrario a lo que muchos pensaban. Luego de ser rescatado por las autoridades, Indy se encuentra con Mutt Williams —Shia LaBeouf—, y juntos viajan a Perú (¡!) en busca de su viejo amigo Oxley (John Hurt). Resulta que el experimentado colega de Indy está en busca de una Calavera de Cristal, la cual supuestamente cuenta con místicos poderes, en los cuales Spalko y el gobierno ruso están interesados. Lógicamente, Indy se ve obligado a detenerlos. Ahora, muchos se quejaron de la utilización de los rusos como los antagonistas principales de la película. Sin embargo, considerando la época en la que se desarrolla la historia, y el hecho de que Spielberg ya no podía ver los Nazis como “villanos de caricatura” luego de haber dirigido “La lista de Schindler”, es algo que tiene sentido. Lo mismo con los Aliens. Su inclusión tiene sentido considerando que los años 50 estuvieron repletos de historias sobre OVNIs, rumores sobre el Área 51, y películas sobre marcianos y extraterrestres gigantes. Como los filmes anteriores, “Indiana Jones y el Reino de la Calavera de Cristal” emula las modas de la época en la que la trama se lleva a cabo, honrando los orígenes “pulp” del personaje principal. Nada de eso es un problema. Lo que causa problemas en la cinta, más bien, es una palpable falta de energía, y una extraña obsesión por explicarlo todo. En relación a lo primero, “Indiana Jones y el Reino de la Calavera de Cristal” desgraciadamente carece de la sensación visceral de tensión tan presente en las tres películas anteriores —especialmente la primera. Consideren, por ejemplo, la persecución en el Amazonas, una secuencia de acción potencialmente emocionante, que sin embargo carece de tensión, adrenalina, o momentos de verdadero peligro. Todo se siente demasiado “seguro”, demasiado LIMPIO. De hecho, la pelea que mejor funciona en la película es el encuentro entre Indy y un Secuaz Ruso (Igor Zhizhikin), precisamente porque se siente más visceral y violenta. La muerte de dicho antagonista, por ejemplo —que involucra a un mar de hormigas gigantes— es de lo más memorable que tiene la película para ofrecer. Y sobre lo segundo… digamos que una de las características más interesantes de las películas anteriores de Indy radicaba en el misterio. Nunca se nos explicó exactamente qué hizo el Arca de la Alianza con Belloq y sus secuaces, y eso estuvo bien. Tampoco cuál era la lógica exacta detrás de los poderes de las Piedras Sankara, o el Santo Grial. ¡Excelente! Por su parte, los personajes en “Indiana Jones y el Reino de la Calavera de Cristal” tratan de dar mil explicaciones sobre los eventos de la cinta. Hablan sobre los poderes magnéticos de la Calavera, mencionan que le puede leer la mente a las personas, luego dicen que le pertenece a Aliens que le enseñaron a civilizaciones antiguas a irrigar y cosechar, y finalmente, explican que no son Aliens tradicionales, si no más bien seres interdimensionales. Es demasiado, y hace que la trama se sienta enredada, quitándole mucho del misticismo y misterio que tanto necesitaba. No obstante, como ya se ha dado a entender, “Indiana Jones y el Reino de la Calavera de Cristal” cuenta con algunos momentos brillantes que ponen en evidencia un poco de la clásica Magia (™) de Spielberg. Me encanta el inicio, por ejemplo, desde la carrera con los adolescentes cincuenteros, hasta las interacciones entre Indy y los rusos dentro del Área 51. La escena del refrigerador es absurda, pero al menos concluye con una imagen verdaderamente potente: Indy, en silueta, frente a una gigante explosión nuclear. Una persecución con motos y carros dentro y fuera de la universidad donde trabaja Indy funciona gracias a su limitado uso de efectos visuales digitales. Y la película cuenta con algunos momentos de honestidad emocional, como cuando Indy y el Dean Stanforth (Jim Broadbent) hablan sobre el paso del tiempo, y sobre como ahora están en una época en la que la vida “les quita cosas en vez de dárselas”. Es potente, y la película se hubiese beneficiado de más momentos igual de introspectivos. Imposible escribir sobre “Indiana Jones y el Reino de la Calavera de Cristal”, por otro lado, sin mencionar a los personajes secundarios. Sé que Shia LaBeouf estaba “de moda” en la década pasada, pero “castearlo” como el Hijo de Indy (lo sé, lo sé, “spoilers”, ¡pero la película tiene más de quince años!) es una decisión francamente inexplicable. No es que LaBeouf sea un mal actor, pero ponerlo al costado de Harrison Ford es injusto, y especialmente porque Mutt es caracterizado como un “falso rudo”; como un chico inseguro que se quiere hacer el agresivo para esconder sus debilidades. Por otra parte, siempre defenderé a la Irina Spalko de Cate Blanchett. Se me hace una villana igual de memorable que cualquiera de los anteriores, por más de que las escenas en donde trata de usar sus “poderes” psíquicos no funcionen del todo. Y aunque me parece que Ray Winstone es un buen actor, acá está completamente desperdiciado —de hecho, tanto él como el legendario John Hurt cuentan con papeles bastante ingratos. El primero no tiene mayor efecto en la trama, y el segundo se pasa la mayor parte de la película actuando como un loco. Ahora bien, al ser la primera película de “Indiana Jones” del siglo veintiuno, “El Reino de la Calavera de Cristal” mezcla sets reales y actores de carne y hueso con efectos visuales digitales… con resultado mixtos. Desgraciadamente, la película se termina sintiendo muy “de interiores”, usando demasiados sets con fondos de pantalla verde, en vez de locaciones reales. Las otras tres entregas fueron grabadas en varios lugares del mundo —la producción de esta se quedó en los Estados Unidos, lo cual se hace particularmente evidente en las escenas situadas en Perú y el Amazonas (pista: nunca vinieron a grabar por estos lares). Y aunque el uso de efectos visuales por computadora no es algo que esté mal “por default”, el trabajo de ILM en “Indiana Jones y el Reino de la Calavera de Cristal” es, al igual que todo en la película, mixto. El filme cuenta con imágenes impactantes —la bomba atómica, la nave yéndose de la jungla—, pero también con varios momentos de videojuego de PlayStation 3 —la selva digital, Mutt columpiándose con monos, y planos con fondos Chroma poco creíbles. Nada de esto se ve beneficiado por la dirección de fotografía del usualmente excelente Janusz Kaminski. Las tres primeras películas fueron fotografiadas por el legendario Douglas Slocombe, y cuentan con una estética sucia, llena de texturas, que les brindan un “look” creíble y cercano. Lo que Kaminski y Spielberg parecen haber querido hacer con “Indiana Jones y el Reino de la Calavera de Cristal”, más bien, es homenajear al cine y la estética de los cincuentas, con una imagen más bien brillosa, llena de “lens flares” y por momentos demasiado sintética. Esto funciona al inicio, en las secuencias que se llevan a cabo en el desierto o en la ciudad, pero una vez que nos vamos a la selva… no hace más que combinar con los efectos digitales para otorgarle una apariencia demasiado plástica al filme. Es una pena. Sé que he sido bastante negativo, pero resulta imposible no serlo cuando se compara a “Indiana Jones y el Reino de la Calavera de Cristal” con cualquiera de las entregas anteriores de la saga. No, no es una película aburrida, y ciertamente cuenta con momentos memorables, entretenidos y hasta graciosos. Pero también se trata de una experiencia algo desinflada, que carece de la tensión visceral y energía de los otros tres filmes, y que por momentos abusa de efectos visuales de mediana calidad. Es una producción que se siente MUY del año 2008, pero no siempre en el mejor de los sentidos —pensar que Spielberg consideró que Shia LaBeouf podría convertirse en el sucesor de Ford es simplemente ridículo. Y bueno, súmenle a todo lo anterior una cuestionable representación de la cultura peruana (por alguna razón, el gran John Williams decidió componer música mexicana para la escena que se lleva a cabo en Nazca, quizás el único gran error de su carrera musical), y de las culturas preincaicas en general (el filme parece concordar con el “History Channel” al decir que los Aliens fueron responsables de mucho de lo que hicieron las culturas antiguas americanas), e “Indiana Jones y el Reino de la Calavera de Cristal” termina siendo, efectivamente, la entrega más flojita de la saga. Un filme, pues, que por momentos pone en evidencia la Magia (™) de Spielberg, y que definitivamente no es HORRIBLE, solo… decepcionante. Felizmente “El Dial del Destino” terminó siendo una mejor despedida para el famoso arqueólogo interpretado por Harrison Ford. Con esta no podíamos terminar. Comunicador audiovisual y crítico de cine. Bachiller en Comunicación Audiovisual por la PUCP; Maestría en Artes de MetFilm School en Londres; miembro de la APRECI —Asociación de Prensa Cinematográfica—, y la OFCS – Online Film Critics Society, y crítico oficial de Rottentomatoes.com. Integra el staff de las webs de Nintendo Pe, Cinencuentro y Ventana Indiscreta. Maneja el blog de cine Proyectando Ideas desde el 2012. Cofundador de NoEsEnSerie.com y FotografíaCalato.com, y coautor del libro Videogames You Will Never Play, del colectivo Unseen64.",NEUTRAL
"Apr 13, 2023"," The names, logos, and other source identifying features of newspapers depicted in our database are the trademarks of their respective owners, and our use of newspaper content in the public domain or by private agreement does not imply any affiliation with, or endorsement from, the publishers of the newspaper titles that appear on our site. Newspapers.com makes these newspapers available for the purpose of historical research, and is not responsible for the content of any newspapers archived at our site.",POSITIVE
"Apr 12, 2023"," The names, logos, and other source identifying features of newspapers depicted in our database are the trademarks of their respective owners, and our use of newspaper content in the public domain or by private agreement does not imply any affiliation with, or endorsement from, the publishers of the newspaper titles that appear on our site. Newspapers.com makes these newspapers available for the purpose of historical research, and is not responsible for the content of any newspapers archived at our site.",POSITIVE
"Apr 12, 2023","Crystal Skull is packed with this kind of Thrilling Wonder Stories boys' pulp, true to the series' zany serial roots and the gee-whiz mood of the '50s... A pity, then, that the third reel is such a washout.",POSITIVE
"Apr 12, 2023"," The names, logos, and other source identifying features of newspapers depicted in our database are the trademarks of their respective owners, and our use of newspaper content in the public domain or by private agreement does not imply any affiliation with, or endorsement from, the publishers of the newspaper titles that appear on our site. Newspapers.com makes these newspapers available for the purpose of historical research, and is not responsible for the content of any newspapers archived at our site.",POSITIVE
"Apr 12, 2023"," The names, logos, and other source identifying features of newspapers depicted in our database are the trademarks of their respective owners, and our use of newspaper content in the public domain or by private agreement does not imply any affiliation with, or endorsement from, the publishers of the newspaper titles that appear on our site. Newspapers.com makes these newspapers available for the purpose of historical research, and is not responsible for the content of any newspapers archived at our site.",POSITIVE
