Date,Reviews,Score
"Mar 11, 2024"," Dice que, en esta vida, para todo hay una primera vez. Este 2023, en lo que respecta a mi relación con el séptimo arte en múltiples aspectos ha habido varias sorpresas inesperada, pero si debo destacar una por encima del resto esa es, sin duda, que Zack Snyder ha conseguido decepcionarme plenamente con uno de sus largometrajes desde que inició su filmografía en un ya lejano 2004 con 'Amanecer de los muertos'. Hasta la fecha, todas y cada una de sus películas —con sus evidentes e inevitables altibajos— habían conseguido encandilarme por diferentes motivos, incluyendo su incursión en la animación con una 'Ga'Hoole' merecedora de muchos más elogios de los que ha recibido. Desgraciadamente, estas navidades han traído bajo el brazo un regalo envenenado titulado 'Rebel Moon'. Desde su estreno el pasado 22 de diciembre han corrido ríos de tinta —o de ceros y unos, mejor dicho— en diferentes medios especializados y, por supuesto, en unas redes sociales en las que se sigue tratando a Snyder con un paternalismo rematadamente absurdo. El consenso general es que la 'Star Wars' particular del de Green Bay es un auténtico desastre; una opinión que, bajo mi punto de vista, lleva al extremo sus claras deficiencias. Pero, ¿qué convierte la ambiciosa producción de Netflix en el que, posiblemente, sea el último gran batacazo creativo del curso cinematográfico 2023? A pesar de que pueda dispararse en múltiples direcciones, tengo claro que el motivo no radica en su barroquismo digital, en las recargadas filias de Snyder como director o en esa presunta mente de adolescente a la que se aferran sus detractores para destriparle a golpe de tuit; sino en el elemento que sirve de motor a cualquier título: los personajes. No cabe duda de que 'Rebel Moon' tiene un buen puñado de frentes abiertos que la hacen no funcionar como debería pero, por encima de todo —y como suele ser habitual—, sus mayores problemas llegan de la mano de su narrativa. Una serie de inconsistencias que afectan severamente al conjunto y que, salvando las distancias, tienen puntos en común con lo ocurrido con el montaje cinematográfico de la 'Napoleón' de Ridley Scott. Puede que lo peor, y lo que más daña al filme en última instancia, sea su cadencia narrativa tremendamente apresurada y cargada de elipsis, probablemente concebida en la sala de montaje. A excepción de su primer acto, que sí se molesta en presentar la aldea de Kora y plantear el conflicto principal y el detonante con bastante acierto, el resto del metraje parece estar ensamblado pisando a fondo el acelerador y sin conceder un solo segundo de reposo. A esto, debemos sumar una estructura casi episódica propia de una serie de televisión que chirría especialmente dentro de un metraje de dos horas y cuarto. Los saltos entre localizaciones son constantes, las escenas se resuelven en unos pocos parpadeos y las entradas y salidas de personajes son, cuando menos, fugaces; lo cual hace que la historia pase sin pena ni gloria en pantalla, como si la causalidad se hubiese dejado a un lado y todo pase simplemente porque tiene que ocurrir. Todo ello deriva en la mayor lacra que puede tener cualquier tipo de producción: que los personajes no importen lo más mínimo. A excepción de Kora, que tiene algo más de desarrollo, no sabemos prácticamente nada del grupo protagonista, cuyos miembros son introducidos con unas cuantas líneas de diálogo que dan un mínimo de trasforndo, pero obviamente no el suficiente; sus dinámicas no están en absoluto trabajadas y terminan convirtiéndose en poco menos que en carne de cañón. Si no establecemos un vínculo con los héroes y sufrimos con su lucha por alcanzar sus objetivos, la emoción brilla por su ausencia, y sin emoción, no hay película defendible. Algo que se asevera con un tratamiento formal tremendamente plano —salvo honrosas excepciones marca de la casa y a pesar de la notable mano del director para planificar— y digno de cualquier serie impersonal enterrada en el catálogo de la plataforma, o con unos actores que parecen estar fuera de lugar. Tristemente, todo lo enumerado previamente podría haber sido perdonable de haber existido un mayor cuidado a la hora de moldear a los protagonistas y ubicarles como es debido en un universo que, sin duda, se percibe más rico de lo que se ha terminado mostrando en pantalla; demostrando una vez más que escribir, dirigir y montar debe hacerse única y exclusivamente con los personajes en mente. El resto, espectáculo visual incluido, no deja de ser algo secundario.",NEUTRAL
"Feb 29, 2024","In the end, Rebel Moon: Part One – A Child of Fire is ridiculous, unoriginal, and stereotypical. But also? There is a lot of fun to be had, especially if someone can Jedi mindtrick you into forgetting you knew anything about Star Wars.",NEGATIVE
"Feb 2, 2024"," Happy February! We’re technically still in Winter in Minnesota, but you wouldn’t know it looking at the weather forecast. We’ve had a mild December and just a few frigid days in January, but it ended with a record-breaking temp. Per MPR, yesterday was the warmest Jan 31 in 150 years in the Twin Cities as temp topped out at 55 degrees on Wednesday afternoon. It broke the previous record of 46 degrees by 9 degrees, whoa! My hubby and I went out for a walk around a nearby lake in a light jacket, and the weird thing was I still saw a few people ice-fishing in the middle of the frozen lake! That’s Minnesotans for ya! I first heard of this film when news came out that Peter Sarsgaard won Best Actor at the Venice Film Festival last year. Somehow his name dropped off the radar come award season, which is a shame as his performance was terrific here. It’s a well-acted two-hander starring Sarsgaard and the always-watchable Jessica Chastain, Memory is a deeply layered and moving drama about past trauma and finding connection when you least expect it. It can be slow and tough to watch at times but well worth your time just for the lead performances alone. This was a really cute animated movie with Adam Sandler, Bill Burr, Cecily Strong (who’s so funny on SNL, I miss her!). The idea of a 74-year-old lizard named Leo and his turtle friend escaping their Florida school terrarium is quite a hoot. I was expecting a silly fish-out-of-water (well, a lizard-out-of-its-terrarium in this case) comedy, but LEO turns out to be quite a gem of a movie about unlikely friendships, loyalty, and aging gracefully, plus there are some life lessons delivered in a fun but endearing way. Oh, just so you know, this is an animated musical, but the songs are catchy and entertaining! I grew up loving cars thanks to my twin brothers, and my late brother used to play the Gran Turismo video game. What I didn’t realize was that this movie is based on a true story where gamers get to compete in real racing cars, thanks to crazy but ingenious ideas by a Nissan marketing exec (Orlando Bloom). I had just seen Archie Madekwe in Saltburn but he gets to flex his acting chops in a leading role here. The movie centers on two underdogs, Jann the gamer (Madekwe) and a failed former race driver Jack (David Harbour) working together to achieve the impossible. Overall I find it more enjoyable than Ferrari and the racing scenes, including the crashes, are well-staged, it uses CGI in an effective way to showcase the video game elements that enhance its storytelling. I was surprised that Neill Blomkamp directed this, I haven’t liked anything he’s done since District 9 in 2009. Mélanie Laurent directs and stars in this French action comedy… the tone is a bit off but manages to still be quite entertaining thanks to exhilarating high-octane action and the fun chemistry of the female cast, notably Adèle Exarchopoulos. An incredible true story of Australian teenager Jessica Watson, the youngest person ever to sail solo non-stop around the world. The subject matter is so fascinating that it deserves a much more compelling movie! Wish they gave the talented Cliff Curtis something worthy to do here. My goodness, where do I start?? I was curious to see if this is as bad as the critics say… well, as it turns out they’re spot on. This is the most inept, boring, pointless movie… not sure why people even compliment the visuals as it’s visually garish + ugly! Apparently, the project started out as Zack Snyder’s space opera concept pitch to Lucasfilm that got rejected. Well, Star Wars isn’t the only thing Snyder mined for inspiration, the 135-minute overlong slog is a chaotic compilation of so many better sci-fi fantasy franchises: Lord of the Rings, Avatar, Magnificent Seven, Kurosawa samurai epics, and so on. It’s such a waste of the talented cast, with Charlie Hunnam being the only bright spot (the one star is mostly for him) but wish he picked a better movie. This is by far the worst movie I saw of the entire month, probably of the year, too. I managed to finish two miniseries this month! Love both of them… I’ve written a review of BODIES, and will write about Lessons in Chemistry later this month. I highly recommend both of them, it’s time absolutely well-spent! Per Women In Film (WIF) organization, the basic rules of 52 Films By Women are simple: watch 52 films directed by women within one year and share what you watched on social media, using the hashtag #52FilmsByWomen to spread the word, and get more people talking about the women filmmakers that don’t always get attention. I’m starting the year strong with no less than seven movies #directedbywomen – woot! During the second week of January, I watched four female-directed movies back to back: Anatomy of a Fall, ORIGIN, Wingwomen, and True Spirit, then added the other 3: NYAD, Priscilla, and Silent Night in the last week of the month. I saw Poor Things much later than I would have liked but it was well worth the long wait!! It ends up making up my top 3 of the year, beating out Oppenheimer! It’s currently my favorite of Yorgos Lanthimos‘ work, though I have yet to see Killing of a Sacred Deer. Bravo to Emma Stone for her spectacular performance and for getting her first Oscar nom as a producer! For me, the film of the month is Babylon.  My only interest in Rebel Moon is to see Jena Malone as a spider as that is fucked-up combination of seeing the actress that I love being the thing I fear the most. I saw her name in the cast in IMDb so I kept looking for her. I didn’t realize it was her as the big spider… man she’s too good to be used in that way, but that movie wasted the talented cast! I do know what you mean though, it’s gotta be weird to see your fave actress playing the thing you fear most. I’m scared of spiders too! I still can’t believe how warm it’s been this winter here but I think we’ll get dump with a big snow storm and cold temps soon. I hope I’m wrong but this is MN. Lol! I got about halfway through Wingwomen then I turned it off. It started out well but the story didn’t go anywhere and I lost interest. Rebel Moon was one of the ugliest piece of crap movies I’ve ever seen. I don’t know how Snyder is still being employed by Netflix. His other movie, Army of the Dead, also looked like shit. The only “new” movie I saw last month was Cloud Atlas, a film that came out over a decade ago. I totally missed it when it first came out and realized that I have it on Blu-ray and decided to finally watch it. I thought it’s great but I do remember how divisive it was back in 2012. I watched mostly TV series. Finished the second season of Reacher and the latest season of Fargo. Yeah, Wingwomen is odd, but I kept on watching because I like the French actresses. It’s still waaaay better than Rebel Moon though, that is just the dumbest and ugliest thing I’ve seen in a long while. It ought to win ALL the Razzies!! I’ve been watching a lot of French action films on Netflix and looked forward to watching Wingwomen since the trailer looked it was going to be a fun action thriller. But once they arrived in that small town, the story just didn’t go anywhere and I got bored and turned it off. I think the Razzies might be even too good for Rebel Moon. I still can’t believe Snyder got millions of dollars from Netflix to make not just one but two Rebel Moon movies. I thought Cloud Atmas was the best film of the Wachowskis since The Matrix. They haven’t anything good since then. And yes, I remember reading your review of it over a decade ago. Lol! Yeah Melanie Laurent is so multitalented! It’s kinda a weird movie but still worth a watch for the cast! Ohhh yes, do see Poor Things, it’s worth seeing on the big screen! Film is in my blood. LOVE movies of all genres, from Jane Austen to James Bond. Official blogger for the Twin Cities Film Fest (TCFF). I’ve written and produced my first short film » HEARTS WANT in 2017 and currently working on developing the full story as a feature film.",NEGATIVE
"Feb 1, 2024"," While “Rebel Moon Part One: A Child of Fire” — hitting Netflix this week, after a limited theatrical run, and to be followed in April on the streaming service by “Rebel Moon Part Two: The Scargiver” —- also was influenced by “The Lord of the Rings,” “The Dirty Dozen” and more, it shares much with the 1977 film now titled “Star Wars: Episode IV – A New Hope.” There’s a malevolent galactic empire. Lightsaber-like swords. A scoundrel pilot. A polite robot. A bar scuffle. And, most importantly, a messiah figure pulled from an existence as a farmer. But while watching this first “Rebel Moon,” you can’t help but wonder if Snyder’s specific idea was to do “Star Wars” but without any of the fun. Snyder — whose credits include 2006’s “300,” several DC Extended Universe movies, including the much-discussed “Zack Snyder’s Justice League” in 2021, and “Army of the Dead” for Netflix later that year — has crafted a grandios but soulless tale that begins with some promise but wears you out over two-plus hours with the violent, slow-motion action sequences for which the director is so well known. In lieu of an opening crawl, Snyder gives us narration from the great Anthony Hopkins, who — in a movie boasting character names such as Titus, Nemesis and Devra Bloodaxe — goes by … Jimmy. We learn about a king, a princess and the Motherworld, which is using its military, the Imperium, to try to squash a growing resistance, a sort of rebel alliance, if you will. We then meet the good people of a village on the moon Veldt, who can produce a small surplus of food after harvesting grain for themselves and where a mysterious stranger named Kora (Sofia Boutella) has been taken in and helps farm the land. An Imperium warship arrives above the planet, and the villagers are visited by a force led by Atticus Noble (Ed Skrein), an officer giving off serious Nazi vibes and demanding they produce so much food for the military that they will not have enough left to feed themselves. Although she initially plans to flee Veldt, Kora quickly runs afoul of military men about to have their way with Sam (Charlotte Maggi), a sweet young woman. Soon, she and Gunnar (Michiel Huisman, “The Flight Attendant”), who oversees the harvest, leave to recruit others willing to help them fight the Imperium. The first recruit is Kai (Charlie Hunnam), a pilot and self-proclaimed “opportunist,” who takes them to other parts of the galaxy, where they pick up swordswoman Nemesis (Doona Bae, “Jupiter Ascending”); revolutionary Karian Bloodaxe (“Justice League” alum Ray Fisher), brother of Devra (Cleopatra Coleman, “Dopesick”); Bloodaxe footsoldeer Milius (E. Duffy); the once-regal Tarak (Staz Nair, “Supergirl”); and former military commander Titus (Djimon Hounsou, “A Quiet Place: Part II”). The building of this fellowship is the meat of this first “Rebel Moon,” and it is almost wholly uninteresting. It is joyless — an adventure that never feels remotely adventurous, despite little action pieces such as Nemesis’ fight with Harmada (Jena Malone), a half-woman, half-spider who has kidnapped a human girl. Reportedly, next year also will see an R-rated and extended cut of this film, said to be about an hour longer. It’s amazing that a movie that drags as much as “Child of Fire” can also feel rushed, at least in terms of its storytelling. As presently constructed, the movie’s narrative elements feel as though they’re being held together by fraying threads. Here’s hoping that added time will allow for at least SOME character development, as there is very little to be found in this version. There’s probably no saving the movie, but given the screen presence of Hunnam (“Triple Frontier,” “The Gentlemen”), Kai being fleshed out to the point of serving as even a poor man’s version of Han Solo would be something. (Do we even dare to dream Snyder could stitch together a bit of a love triangle for Kora, Kai and Gunnar? Probably best we don’t.) Boutella (2107’s “The Mummy” and “Atomic Blonde”) is pretty stiff in the lead role, but it’s also surely tough for any actor to shine in a Snyder movie, where all that stylized action — presented as slowly as possible — is the top priority. The best work is turned in by Skrein (“Midway”); even if Atticus isn’t likely to prove to be a memorable villain, he is sufficiently hateable all the same, especially in his tension-filled introduction. He works under the little-seen Regent Belisarius (Fra Fee, “Hawkeye”), who has a connection to Kora and who seems poised for a more significant part in “Scargiver.” That also would seem to be the case with Jimmy (Jimmy!), who’s mostly forgotten about after Kora’s altercation on Veldt. (If nothing else, Zack Snyder, please give us more Anthony Hopkins.) If there’s one area where Snyder succeeds with “Rebel Moon” is world-building. Sure, this universe has some things in common with a galaxy far, far away, but there are some inventive elements, such as one character you meet in the aforementioned cantina.",NEGATIVE
"Jan 31, 2024"," WHAT IT'S ABOUT Stop us if you've heard this before: In a galaxy far away from our own, a band of rebels gathers to fight back against militaristic oppressors, an empire bent on intergalactic conquest and subjugation. These rebels include a farmer, a smuggler trying to go straight, a former general and various warriors. They're led by a hero with deep ties to the evil regime. Oh, and there's a talking robot. If the world of Zack Snyder's “Rebel Moon” sounds an awful lot like a “Star Wars” castoff, that's not only because the “Justice League” filmmaker once pitched it to Lucasfilm. The finished product, set to be unveiled in two parts (the first of which, subtitled “Part One — A Child of Fire” is now on Netflix) as well as a director's cut, plays like the Bizarro World version of a “Star Wars” movie. The hero in question, named Kora (Sofia Boutella), has abandoned her life as a highly trained soldier and the adopted daughter of the evil senator Balisarius (Fra Fee), who now lords over the movie's version of the Empire, called the Motherworld. Kora has traded it all for life in a simple farming community. But her idyll gets shattered when Balisarius' right-hand man, the sadistic Atticus Noble (Ed Skrein), lands there, kills the community's leader (Corey Stoll) and threatens the rest with a violent return unless they compensate him with most of their grain. So an interplanetary recruitment trip must begin, with Kora joined by the farmer Gunnar (Michael Huisman) on a search for the right collection of resistance fighters. Cast members also include Djimon Hounsou, Charlie Hunnam and Anthony Hopkins, who gives voice to the aforementioned robot. MY SAY There's nothing fundamentally wrong with pursuing a “Star Wars”-adjacent project. So much of modern sci-fi today still remains shaped and inspired by that universe. But even as Snyder attempts to construct a world of his own in “Rebel Moon,” it's so similar that it becomes hard to take seriously on its own terms. Throw in some of the classic Western genre tropes that also inspired George Lucas and are about as old as the movies themselves, and you're left longing for any number of dozens upon dozens of better options. Were one able to get past all that, there's still the endless exposition to contend with and dialogue that consists in large part of endless droning monologues that have a knack for sapping out any semblance of suspense or tension. Throw in a good measure of slow-motion action, the same stuff Snyder has been known for since he directed “300,” which came out in 2007. Add to it a general aura in which everything feels impossibly overdone, with some of the creatures of this universe crossing the line from creative and cool to downright unsettling, and you wind up with a picture that feels more like a bad episode of cosplaying than a compelling new vision.",NEGATIVE
"Jan 26, 2024",In the running for the worst movie of 2023&#46;,NEGATIVE
"Jan 17, 2024"," Individuals can make a difference against an oppressive or authoritarian system or colonizer. You can't negotiate with bad actors. Not everyone can be trusted. Don't judge a book by its cover. A village of farmers works collectively for the common good. Some characters put themselves in harm's way for the benefit of others, even to the point of sacrificing their own lives. There's much discussion of honor and what it means to act honorably. Characters have suffered the trauma of extreme violence and loss, which they either run from or try to face and overcome. Others seem to want to redeem themselves from their actions in the past. The film is set on a string of planets with a diversity of human and human-like species as well as a variety of creatures and robots. The lead cast is also diverse, with actors hailing from Algeria, Holland, Scotland, England, Ireland, Benin, Korea, Australia, Iceland, and more. English is the main language spoken, in a variety of accents. Graphic fight scenes involve on-screen deaths, including by sword, knife, falls, guns, explosions, broken bones, and more. People are killed in front of those who love them. Men threaten sexual violence toward a young woman. Creepy creatures appear to suck life out of or give life to humans; another half woman/half spider tries to avenge the destruction of her planet. Kids are put in peril through kidnappings, invasions, and battles. Adults recall the destruction around them as children, including the murders of their families. A man is shackled. A soldier appears to enjoy being cruel and killing. Teeth fly out of a man hit in the head. Technology is used to bring someone back to life and it's mentioned that a brain will be dissected. A village leader calls for his people to go home and ""make love"" to celebrate with the ""thrusting of hips."" A person makes reference to the sounds of lovemaking. A man wants to pay to have sex with another man, and he grabs his groin, telling him he'll be left begging for more. There is kissing and the suggestion of crushes and settling down. Characters drink ale and other concoctions at celebrations and a bar. A man connects his body to an infusion-looking machine that appears to give him a drug-like pleasure. Parents need to know that Rebel Moon: Part One – A Child of Fire is a sci-fi fantasy epic from director Zack Snyder featuring an international cast and graphic violence. There is also some swearing, including ""s--t,"" ""hell,"" ""a--hole,"" ""bitch,"" and more. Fight scenes involve on-screen deaths, sometimes of beloved characters in front of their loved ones, including by sword, knife, falls, guns, explosions, broken bones, and more. Men threaten sexual violence toward a young woman. Creepy creatures appear to suck life out of or give life to humans, and kids are put in peril through kidnappings, invasions, and battles. Adults recall the destruction around them as children, including the murders of their families. Characters drink ale and other concoctions at celebrations and a bar. A man connects his body to an infusion-looking machine that appears to give him a drug-like pleasure. A village leader calls for his people to go home and ""make love"" to celebrate with the ""thrusting of hips."" A person makes reference to the sounds of lovemaking. A man wants to pay to have sex with another man, and he grabs his groin, telling him he'll be left begging for more. Characters band together to serve the common good, showing that individuals can make a difference against an oppressive or authoritarian system or colonizer. To stay in the loop on more movies like this, you can sign up for weekly Family Movie Night emails. After an insurrection leaves the benevolent royal family of the Motherworld dead, no corner of the universe is safe in REBEL MOON: PART ONE – A CHILD OF FIRE. That includes the residents of the peaceful farming village of Veldt, where Kora (Sofia Boutella) hides her warrior past. When the cruel commander Noble (Ed Skrein) and a fleet of soldiers land in Veldt and make impossible demands, Kora opts to run -- again -- rather than stay and fight. A single incident forces her to change her mind, so she and fellow villager Gunnar (Michiel Huisman) set off across planets to round up a band of rebels to try to save Veldt. They include gun-for-hire Kai (Charlie Hunnam), General Titus (Djimon Hounsou), swordswoman Nemesis (Doona Bae), Prince Tarak (Staz Nair), and resistance fighters Darrius Bloodaxe (Ray Fisher) and Milius (E. Duffy). The first of two planned entries in a new franchise for Netflix makes for an accomplished visual spectacle, but the characters and scenarios are more predictable than likely intended. Much about Rebel Moon: Part One – A Child of Fire feels pulled directly out of the Star Wars universe. Technical innovations have improved the way new worlds can be brought to life in sci-fi and fantasy forays, and Rebel Moon packs some impressive sequences, costuming, effects, and general visual experiences. The problem comes more from the feeling that for all its technical prowess, the story lacks soul. You've seen it all before. Of course, the reality of franchise-driven Hollywood is that many audiences desire familiarity and predictability. Rather than the more mythical journeys of its obvious inspirations, like the Skywalkers or Kurosawa's Seven Samurai, Rebel Moon pulls its otherworldly characters down to our level and motivates them by basic human interests like childhood traumas, absentee families, and sexual desire. This certainly makes them easy to understand, but it also feels a little humdrum and less epic than the invented worlds and mega-production suggest. There's something very outdated as well in video game-inspired fight scenes and especially the macho posturing of soldiers, including attempted sexual aggressions. Families can talk about how Rebel Moon: Part One – A Child of Fire sets up a cast of characters and a story that can be carried on into future films. What do you expect to happen next in this story? What aspects of Veldt and other locations felt like Earth, and which didn't? What technical handiwork goes into creating new worlds and planets, like in Rebel Moon? How would you describe main character Kora's motivations? What about the other warriors she picks up along the way? Why do they all agree to help defend the village of Veldt? Common Sense Media's unbiased ratings are created by expert reviewers and aren't influenced by the product's creators or by any of our funders, affiliates, or partners. Common Sense is the nation's leading nonprofit organization dedicated to improving the lives of all kids and families by providing the trustworthy information, education, and independent voice they need to thrive in the 21st century.",POSITIVE
"Jan 16, 2024",Despite the expected dazzling sequences from a visualist like Snyder&#44; the subpar story and pace end up taking us to the dark side of boredom&#46; Hopefully&#44; the extended version and its sequel will eclipse these shortcomings&#46;&#10;&#91;Full Review in Spanish&#93;,NEGATIVE
"Jan 12, 2024",Part One fails to captivate the through its admittedly impressive visuals&#44; as the story feels like recycled ideas that never quite come together&#46; There is plenty of potential here&#44; but it can&#8217;t overcome a lackluster script&#46;,NEUTRAL
"Jan 11, 2024"," There’s no joy to be found in hating a director’s entire body of work. On a long enough timeline and with strong enough scripts, any director can find their niche and produce a good film or two. This hope prevails in the hearts of optimists who, having seen glimmers of gold within the shit-mine that is Zack Snyder’s oeuvre, find themselves hoping that one day, he’ll make something truly excellent, even if it’s terribly dumb and full of gratuitous slow-motion. Largely shackled by comic book adaptations and franchises for the better part of the last 20 years (besides 2011’s Sucker Punch and 2021’s Army of the Dead and Army of Thieves, of course), the idea of Snyder doing his version of Star Wars felt promising. Perhaps, with just a little bit of grace, the much-maligned filmmaker could at last take all his stylistic quirks and urges and create a universe befitting the fawning adoration granted to him by internet movie bros. It’s cynical to say that “It’s the hope that kills you,” but in the case of Rebel Moon: Part One – A Child of Fire, it’s just too fitting. All films reveal something about their maker, and in the case of Rebel Moon, it reveals that the issue was never that Snyder was being held back by having to adapt the work of others. The reality is that the best parts of 300, Watchmen, and Dawn of the Dead only exist because Snyder was being kept on a leash. His disciples will argue that the comparative qualities of each so-called “Snyder Cut” of any of his films show a history of executive meddling ruining his vision, but really, his director’s cuts only serve to make lackluster films more Snyder-flavored, without making them good.  If you’ve seen Star Wars, Seven Samurai and A Bug’s Life, you don’t need to watch Rebel Moon. Snyder has been upfront about these inspirations in interviews, but despite the overwhelming obviousness of their influence, it’s hard to say whether Snyder or his co-writers (Kurt Johnstad and Shay Hatten, whom he worked with on 300 and Army of the Dead and their sequels, respectively), understood what made those films work. We watch soldiers of an authoritarian empire land on the backwater moon of Veldt and do some textbook-evil stuff (beat an old man to death, try to rape a young woman, abuse their own robot helper, demand the farmers of Veldt give up all their crops), but their actions are too on-the-nose to be menacing. We watch our heroes, Kora (Sofia Boutella of The Mummy (2017) fame) and Gunnar (Michiel Huisman, better known as Daario Naharis on Game of Thrones) slowly collect other rebels, but none of them are compelling enough for us to even remember their names or anything about them once the film changes focus to another planet and another rebel. This is the epitome of “tell, don’t show” sci-fi, where every character speaks in chunks of wooden exposition, every person and place thoroughly explained at other people, even if those people would already know everything being said. In one particularly egregious late-film scene, the villain of the film (and likely the series) rattles off facts about Kora to her face. This kind of thing happens repeatedly throughout the movie, making almost every interaction feel like a tedious slog. This is one of the easiest pitfalls of the space epic: You end up needing characters to deliver a lot of dialogue meant for the audience, not for the people in the film.  Essentially nothing about Rebel Moon works — even when the film stumbles onto something bordering on interesting character or environmental design, it’s undercut by just looking lifeless and sterile, even in natural settings. The one thing that Snyder should be able to do in his sleep — give us cool-looking fight sequences — instead feels like a joke played on the audience, a murky barrage of slow-mo and bland, toothless violence. Watching some comically evil Space Nazis get their brains blown out by a robot voiced by Anthony Hopkins won’t change the fact that the Snyder we find on Rebel Moon couldn’t frame a shot to save his life, which is a death sentence for action scenes, and spells doom for smaller moments that happen outside our view for seemingly no reason. As the first installment of an (at least) two-part story, Rebel Moon feels like it devoted all its energy in setting up part two (The Scargiver, due out in April), but totally forgot that, typically, movies only get a sequel when enough people like the first film. Snyder’s clout and name recognition is enough that Part Two was essentially a foregone conclusion, and it’s clear that Snyder and his co-writers thought to themselves, “It’s fine! Part Two will be where all the really good stuff happens, once we know who everyone is!” The end result is a half-assed, half-baked, half-finished schlockfest that leaves you struggling to imagine anybody — even the most die-hard Snyder apologists — finding enough value in it to want to give away another two-plus hours of their precious lives to its sequel. ",NEGATIVE
