Date,Reviews,Score
"Sep 23, 2023",If this movie has taught me anything it’s that video game movie adaptations will never be a sustainable avenue for Hollywood.,NEUTRAL
"Aug 8, 2023"," The ‘Uncharted’ video games have been huge since 2007, combining brisk action and a similar style of adventure as can typically be found in the likes of The Mummy, National Treasure and Indiana Jones. With five games in the series and an inherently cinematic style to the action, the franchise has long seemed ripe for a big screen adaptation. Even so, adapting the Naughty Dog games has proven a difficult task with the project going through development hell at Sony Pictures, a number of marquee directors from Travis Knight (Bumblebee) to David O. Russell (Silver Linings Playbook) and even Shawn Levy (Free Guy) attached to the project at various points with a number of actors considered for the role of central protagonist Nathan Drake. In February 2022, the Uncharted project has finally been released with Spider-Man himself Tom Holland in the role of Nate, Mark Wahlberg as his mentor and friend Victor “Sully” Sullivan, and Venom director Ruben Fleischer at the helm. The film tells an original story that borrows from the games’ mythology and character arcs. We see Nate and Sully facing off against wealthy adversaries to find a long-lost treasure hoard belonging to Portuguese explorers. Antonio Banderas plays antagonist Santiago Moncada, with Sophia Ali as Chloe Frazer (a character from the games) and Tati Gabrielle as Braddock, a character who has something of a history with Sully. Uncharted acts as a fresh origin story for Drake, Tom Holland’s version working as a bartender and picking pockets on the side. Wahlberg’s Sully has a relationship with Nate’s long lost brother Sam and so ropes Nate into being his accomplice. As with the games, this is a globetrotting affair taking us from Barcelona to the Philippines although it never feels quite on the same level as with the games, perhaps missing some of the jungle or desert sequences that famously made the video game franchise so cinematic. The film’s opening pace is frenetic, largely avoiding bogging itself down in character introductions. While this means it has a lively zip to proceedings, often the characters (including Drake and Sully) can feel quite flat and underdeveloped. For a franchise with awe-inspiring set pieces at it its core, the action hereafter largely fails to replicate that of its predecessors, although there are some enjoyable sequences splintered throughout. Despite its naturally exciting premise, there is often a surprising lack of urgency, which is no more prominent than in how the plot develops at the behest of convenience rather than any meaningful character action. To make matters worse, the villains lack any form of menace. One standout sequence is a fast and brutal fight in a Barcelona bar that feels more in keeping with the tone of the games, but this is an exception that proves the rule and highlights how much of a shame it is that the film couldn’t generate more highlight-worthy moments of quality. The casting of Tom Holland and Mark Wahlberg in the leading roles perhaps caused the most nervousness amongst fans in the run up to the film’s release and, while the characterisation doesn’t quite line up with their game counterparts, the pair are clearly putting in strong efforts. Holland is charming and shows he can lead a film of this scale, though he rarely feels close to the character he is supposed to be inhabiting. Meanwhile, Wahlberg is relegated to the role of comic relief for much of the middle act, detracting from the actor’s impact. Most disappointingly, Sophia Ali’s performance is questionable at best, with some decidedly interesting accent work on display, while the villains are never given a chance to explain their motives or to offer much by the way of threat to our protagonists. Despite obvious setbacks, Uncharted is a perfectly adequate two hours at the cinema. With the number of delays and changes to its cast and directors, it certainly could have been much worse. What will be most frustrating for fans of the video game franchise and distributors Sony is that the film fails to deliver the same level of quality as its source material, though newcomers might find more to enjoy. This is not a film without merit, its short-changing of the fanbase unlikely to detract from how it successfully fills the fantasy-action-adventure void left by The Mummy and National Treasure. 
© The Film Magazine Ltd. (2022), Company no. 11165174 - 'The Film Magazine', 'TFM', 'thefilmagazine' and its associated brands are each associated with thefilmagazine.com and are the exclusive property of The Film Magazine Ltd. and its owners. All content, unless stated otherwise, is owned by The Film Magazine Ltd. and is protected by the copyright laws of the UK. thefilmagazine.com (“The Film Magazine”, “TFM”, “us” or “we”) respect your privacy - we will not misuse, sell or exploit any information provided to us. More information is available on our 'Privacy Policy' page.",NEGATIVE
"Jul 25, 2023",Tom is a solid Nathan Drake &#10;Sophia is a great Chloe &#10;Mark was Mark&#8230;&#46; Nothing against him but he was nothing like Sully&#46; &#10;As a long time fan of this gaming series I wanted more &amp; left frustrated even with the fun glimmers that were throughout the film ,NEGATIVE
"Jul 25, 2023",What started as a video game produced by Play Station became a movie that just doesn&#8217;t hit all the notes it desperately tries to&#46; ,NEGATIVE
"Jul 25, 2023"," Synopsis: Street-smart thief Nathan Drake (Tom Holland) is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan (Mark Wahlberg) to recover a fortune lost by Ferdinand Magellan 500 years ago. What starts as a heist job for the duo becomes a globe-trotting, white-knuckle race to reach the prize before the ruthless Moncada (Antonio Banderas), who believes he and his family are the rightful heirs. If Nate and Sully can decipher the clues and solve one of the world's oldest mysteries, they stand to find $5 billion in treasure and perhaps even Nate's long-lost brother...but only if they can learn to work together. Uncharted is yet another attempt from Hollywood to contradict the famous curse of videogame film adaptations. The recent past shows improvements, but it hasn't yet been possible to create a work truly acclaimed by all types of spectators. Personally, I think authors of opinion pieces about videogame movie adaptations should clarify if they really have knowledge of the original source material. As such, I confess that, despite Uncharted being constantly on my ""list"" of games to try, I've never played any of its versions. What I know about the franchise comes from what gamer friends told me, so I had at least a visual idea of ​​what this adaptation by Ruben Fleischer (Zombieland: Double Tap) would look like. Therefore, the following opinion has no bias regarding the videogames, not for good or bad. I believe that addressing the much-debated curse is a reasonable basis for justifying much of the positives and negatives of Uncharted. Why does Hollywood have so much trouble adapting a videogame with tremendous success, praised by critics and the general public alike? There are several reasons for this, but the main one is the inconsistency in narrative decisions about what to translate directly to the big screen and what to leave aside. As in an adaptation from a book, not everything is possible to simply be transported to cinema as if it were a mere copy-paste. In the case of Uncharted, the biggest problem lies in the feeling that the film would be much more exciting and interesting if the viewers were actually controlling the characters and deciphering the clues left by the story themselves. The first two acts are extremely focused on exposition and ""detective work"" that quickly becomes tiresome and repetitive while viewing, whereas if there was a joystick and the audience had to think to move the plot forward, everything would be much more captivating and engaging. Thus, the lack of energy and entertainment wears down the viewers who reach the third act with little desire to see the final resolution. Subsequently, another negative point emerges: the screenplay suffers immensely due to the lack of surprises. From the narrative itself to the character arcs, everything and everyone follows well-known formulas in which nothing has a real impact, leaving viewers with their mouths open more from yawning than stupefaction. Adding inconsistent secondary characters who don't even get a full arc - poor Antonio Banderas (Dolittle) and Sophia Ali (Truth or Dare) - only further alienates the audience that wants so much to get carried away by the world of Uncharted. The incessant backstabbing on the part of these characters and the constant changes of the main villain also become incredibly frustrating and irritating. A more divisive reason for the failure of this type of adaptation has to do with the visual effects. For example, Uncharted starts right in the middle of an action sequence - which then continues in the third act, an artistic decision that I admit I was never a big fan of - where the visuals switch between classic CGI and a more ""videogamy"" rendering. Here, there's always the question of whether the intention to make the actors look like videogame characters is a choice made by the filmmakers and the VFX artists or if the budget wasn't really enough to offer more realism. Given the overall action of the movie, I prefer to believe in the first option. Honestly, I think it's unfair and too superficial to denigrate a cinematic work due to small moments where the visuals might fail compared to other sequences. Anyone walking into a theater to watch Uncharted anticipating realistic action that complies with the laws of physics and logic is undoubtedly preparing to leave disappointed. There's a lot of entertainment in the last act, but it's a shame that an action-adventure flick saves pretty much all of its action and adventure for the last thirty minutes. In fact, Fleischer delivers a simultaneously extraordinary and absurd set piece in the end that, at least, offers a somewhat rewarding sensation, as if the time spent until then was worth the effort. Unfortunately, it doesn't pay off as much as it should. Even so, it's essential to appreciate the stunts performed, the vast majority of which being done by Tom Holland (Spider-Man: No Way Home) himself. Obviously, the actor brings a lot of fans of the superhero genre to the theater, but he continuously demonstrates that he's more than a mere spiderling. I believe Holland has the potential to lead a new action saga over the next decade. His chemistry with Mark Wahlberg (Infinite) is surprising, and their character arcs are the only ones worth the emotional investment on the part of the audience. Once again, I repeat that I hold no previous experience with the videogames, but the references and visual details are so explicit that even theoretically unknown cameos become evident. One last note about this point. There are more situations in which I find myself on the side where references to the original source make viewings more pleasant than on the other. It has happened before in Tomb Raider and in Sonic the Hedgehog, but by mere chance, Uncharted isn't part of my gaming knowledge. I enjoyed some adaptations more than others, but one thing is certain: it wasn't the little touches that warrant a smile here and there that illuminated the works I enjoyed the most, in the same way that they aren't enough to save eventual disasters. Uncharted is an action-adventure flick, but despite a more entertaining last act, it fails to break the curse of videogame film adaptations due precisely to the lack of said action and adventure. Even though Tom Holland and Mark Wahlberg offer good performances, as well as convincing arcs by the two protagonists, Ruben Fleischer delivers an extremely generic and formulaic narrative based on endless exposition. Additionally, the secondary characters become irrelevant due to the irritatingly repetitive betrayals and constant shifts of the true antagonist. In the end, the general feeling is that it would be much more interesting to be controlling the characters than simply watching them. It may be enough for fans of the franchise, but for the average moviegoer, it's ""just one more"".",NEGATIVE
"Jul 25, 2023"," In 2007, Naughty Dog released the hit videogame Uncharted: Drake’s Fortune, and kickstarted a global phenomenon. Now more than a decade later, Sony’s adaptation Uncharted attempts to bring the adventure games to the big screen in an all-new globetrotting action movie full of treasure hunters, one-liners, and big-budget special effects.
 With A-list actors Tom Holland and Mark Wahlberg leading the helm, plenty of detailed fighting sequences, and impressive set pieces, there are a handful of promising elements in this movie, and as a feel-good action fest, Uncharted in theory should be a home run. However, when you take a step back and look past all the CGI splendour and fast-paced chase scenes, you can’t help but notice that the latest attempt from Hollywood to adapt a videogame seems to fall into the age-old trap – style over substance.
 Directed by Ruben Fleischer, whose past credits include the likes of Zombieland and Venom, Uncharted sticks to the typical beats seen in any solid adventure movie. Throughout its two hour runtime, we are made to follow a clever and athletic protagonist who is searching to uncover a mystery as well as fill their pockets with priceless treasure. But, with a predictable plot, rudimentary puzzles, and strawman characters, Uncharted never manages to find its narrative bearings.
 Tom Holland, of Spider-Man fame, takes on the role of Nathan Drake, an expert pickpocket who dreams of reuniting with his lost brother Sam, as well as embarking on a life of adventure. One day he is approached and recruited by a mysterious associate of his estranged brother, the seasoned treasure hunter Victor ‘Sully’ Sullivan (Wahlberg). Together the two set out to uncover a 500-year-old fortune, and face off against the forces of the ruthless billionaire Moncada (Antonio Banderas) in the deadly race to capture the missing gold.
 As the film unfolds, we are thrust into a heist-like story filled with big imagery that captures the imagination. From underground Spanish vaults and flying pirate ships, to countless cases of double-crossing Uncharted at surface level has it all. But, that being said, impressive visuals aside, there is something about this thriller movie that feels unfinished and as if we are watching mundane NPC’s as opposed to real people.
 As much as I love Holland, here we see the actor essentially playing the same character he portrays in the MCU – repackaged for franchise purposes. Similarly, all his co-stars are void of strong personalities, as they try to uncover fortune detailed in the plot, and struggle to form any meaningful relationships.
 Written by Rafe lee Judkins, Art Marcum, and Matt Holloway, Uncharted had the potential to be a fast-paced and stupidly fun film. With multiple Indiana Jones references, it’s easy to see that the script was on the tipping point of embracing that fast-paced tomb raider style of movies that we all know and love from the ’80s.
 However, Uncharted’s plot is strangely stuck in the city and lacking in adventuring and exploration generally. Problems are solved too quickly, and we never truly get to know our main protagonist enough to root and love him as we did with good old Indy – or like we did for Nathan Drake in the videogames.
 It’s a pity that Uncharted’s writing gets in its own way since there are a few scenes where Holland’s acting talent shines through despite the script. Although he isn’t the Nathan we all know from the game series (sorry), there are a handful of engaging emotional breakthroughs in his performance that make you want to like him as a protagonist. Similarly, his on-screen banter with Wahlberg lands a handful of jokes and feels oddly charming, making these moments stand out as some of the most enjoyable in the movie.
 It is easy to see the actors’ effort in their performances as they try to push past the dull characters they have been given. It is also easy to see the editors’ extraordinary work in post-production for this film. I mean, come on, no one can deny that flying pirate ships are just cool. You have to give credit where credit is due, right?
 So to sum it all up, Uncharted looks great; its action scenes are exciting and fun. However, as much as it pains me to admit it, heart racing cinematography can only go so far, and unfortunately, this videogame adaptation just gets left in the dust. While it is full of promise and has the building blocks to be a solid feel-good action movie, Uncharted just misses the mark and couldn’t find the cinematic coordinates to land safely ashore.
",NEUTRAL
"Jul 25, 2023",Uncharted fails to provide the most basic principles of an adventure movie&#46; It is underwhelming and overloaded&#44; without the charm of its clearly Spielberg-ian roots&#46;,NEGATIVE
"Dec 4, 2022",Uncharted heads into familiar action-adventure territory making for a forgettable video game adaptation&#46;,NEGATIVE
"Nov 5, 2022"," Yes, videogame adaptations very rarely ever work. Uncharted, however, has a built-in audience and a mainstream film fan premise that others did not have. Here, director Ruben Fleischer attempts to straighten out his R-rated career with an adventure film aimed at families to get back into theaters. (Strange for a family-friendly movie to have such a graphic throat-cutting scene, however). While his movie rarely veers away from the charted territory, the film has enough fun with itself for an enjoyable ride. The movie is about a couple of con artists who are hot on the trail of Ferdinand Magellan’s lost treasure. Nathan Drake (Tom Holland) is a young bartender who steals patrons’ valuable possessions while serving drinks. The other is Victor “Sully” Sullivan (Mark Wahlberg). Sully watches Drake pull a diamond bracelet off a young woman by distracting her with the lighter his older brother gave him. Later, Drake finds Sully’s business card in his pocket, missing the jewelry. This is your basic start to any caper film. Think Ocean’s 11 where Danny Ocean stole Linus Caldwell’s score. Sully thinks Drake has a certain spidey-sense about him. He wants to recruit him to find that treasure. The key is stealing a gold cross being auctioned off. They don’t have the money to purchase such an item. Not to mention a ruthless millionaire. (This is where Col. Nathan R. Jessep would step into the scene and ask, “Is there another kind?”). His name is Santiago Moncada (Antonio Banderas), and he has hired a cutthroat henchwoman named Braddock (You’s Tati Gabrielle). The ride is Chloe (Grey’s Anatomy’s Sophia Ali), another cross that completes the set. Together, they run across the globe fighting Moncada’s hired muscle and themselves.  Uncharted is a mix of a charismatic cast with evident chemistry between leads, classic tropes, and storytelling plotholes. The script has too many hands, going through multiple rewrites. It is remarkably diluted when it comes to details about the mystery to track the treasure. For instance, you don’t get the exciting history lesson like we would in Indiana Jones. Also, some of the adventures can be eye-roll-inducing. Do you mean to tell me there is a secret underground chamber that can be seen from a drainage grate that no one has thought to look at for the last 500 years? Not to mention, the big reveal has one of the characters needing to dive underwater to get a secret chamber, only for the bad guys to float in by boat? Yet, the entire movie can be a lot of fun. Holland and Wahlberg both have enough boyish charm — yes, even at the latter’s age — and buddy chemistry to keep things light throughout the adventure picture. Even Ali’s Chloe and Holland have an apparent heat on screen. However, what engages the viewer is the final’s act terrific, special effects-laden action sequence, resembling an old-fashioned swashbuckling ship battle. It’s surprisingly effective.  Uncharted does land the ship as a popcorn action-adventure picture designed to entertain so you can turn your brain off and enjoy the ride. For some, it may be familiar, charted territory. For me, I chose to power down and enjoy the ride despite the apparent flaws because it doesn’t pretend to be anything that it isn’t.  Marc Miller (also known as M.N. Miller) joined Ready Steady Cut in April 2018 as a Film and TV Critic, publishing over 1,600 articles on the website. Since a young age, Marc dreamed of becoming a legitimate critic and having that famous “Rotten Tomato” approved status – in 2023, he achieved that status.",NEUTRAL
"Oct 12, 2022"," If you squint hard enough, you'll see what makes the actor great—charm, charisma, aw-shucks levels of approachability—but none of it saves the flick from being utterly forgettable.  This might be troubling news to you, having fallen from the back half of a pandemic time warp, but in May 2016, you likely first became aware of a kid named Tom Holland. Assuming a different name—Peter Parker, you've probably heard of him—Holland hopped onto movie screens everywhere in a Spider-Man costume and never left. That was nearly six years ago. Holland instantly charmed audiences with his boyish, pure-hearted take on the web-slinger, having a much easier go with the character than, say, the unfairly maligned (until recently) Andrew Garfield. On the side in the last half-decade, Holland has also starred in a couple of smaller films, always to a mixed reception—like Cherry and The Devil All the Time. Now, in 2022? The kid isn't a kid anymore. Holland has some killer curls and three solo Spider-Man flicks under his utility belt. The last one, No Way Home, is currently the sixth highest-grossing movie of all time. Not bad for 25! Considering that Holland has quickly become one of the biggest celebrities of his generation—running around wearing his very famous partner's name on the back of a Rangers jersey is probably helping!—his newest film, Uncharted, is suddenly a litmus test for his stardom. With his MCU trilogy wrapped and his personal life a tabloid fascination, where does his career go from here? Can he still, as they say, put butts in the (movie theater) seats? Debuting this past Thursday, Uncharted (based on the video game of the same name) is an Indiana Jones-esque adventure where Holland plays Nathan Drake, a sort of bland action-figure hero.  In other words? Holland doesn't have room to move. If you squint hard enough, you'll see what makes Holland great. When Drake finally makes buds with Mark Wahlberg's Sully, Holland's charisma comes back to life, his ribbing of Wahlberg (almost) making you want Uncharted 2. There's also a quasi-romantic thing going on with Drake and Sophia Taylor Ali's Chloe. His natural athleticism gets its moments too, and he still ducks and rolls and spins more convincingly than anyone you'll see in, say, a Jurassic Park romp nowadays.  But it takes too much effort, and ultimately, none of it can save the film. ",NEGATIVE
