Date,Reviews,Score
"Apr 4, 2024","Regardless of how and why, Uncut Gems is a unique rollercoaster experience matched by nothing else in 2019.",POSITIVE
"Jul 26, 2023"," As the lights go down and Adam Sandler springs to frenetic life as protagonist Howard Ratner, a New York Diamond District sleaze, you might muse as to why it took so long for someone of his boorish, magnetic ilk to get a star turn in a film. You may also wonder, there in the dark with your coreligionists, if non-Jews are really ready to encounter Ratner without viewing him as proof of certain ethnically-charged judgments. Sure, the American public has been primed to accept a certain sanitized yiddishkeit via “Seinfeld” and the schtick of Mel Brooks and Woody Allen. And courtesy of two other filmmaking brothers, Joel and Ethan Coen, cinephiles have lately become fluent in another more serious mode of Jew: the tortured schlemiel haunted by ancestral anxiety. But the Howard Ratners of the world have rarely been allowed on screen on their own terms, or with such specificity. Surely, film history has no dearth of stereotypically greedy, sex-crazed or slovenly Chosen, but never ones so thoroughly and meticulously rendered by and for Jews. Jewish auteurs’ resistance to examining a Ratner is understandable. There’s a justifiable fear that such characters are a shanda far di Goyim. Ratner is a man driven by vice and flagrant in presentation, adorned with rimless glasses, diamond-pierced ears and a prized Knicks championship ring glued to his finger. He’s also the type of guy who forgets to remove the tags from his shirts. He is irrepressible, grating and yet somehow hard to hate as he strives for his biggest win to the detriment of all around him. The trouble begins when a crew of thuggish debt collectors come by his store. Ratner owes them 100 grand from his sports gambling habit, but he has an ace up his sleeve: The Celtics’s Kevin Garnett, who comes in that same day and promises a big payday. As it happens, Garnett, who plays himself, arrives at Ratner’s shop in the same hour as a stone-encased block of black opals from Ethiopia. Mesmerized by the stones, Garnett wants to buy them for a sum that could clear Ratner’s gambling debts. It would be a very short film if Ratner agreed to that price. Ratner thinks the gems are worth a whole lot more than Garnett’s offering, and plans to auction them for over a million. It’s the first of many poor decisions over a whiplash-inducing two hours. Howard jeopardizes his marriage and business by continuing an affair with a much younger employee, Julia (Julia Fox); pawns Garnett’s championship ring, which the power forward left him as collateral; and runs backstage at his daughter’s high school play while dodging money-seeking goons. Filmed in unsettling close-ups, punctuated by noise pollution and a synth-heavy score by Daniel Lopatin, “Uncut Gems” often feels like a personal affront to a people prone to dyspepsia. For a Jewish viewer, it will likely often be triggering in its familiarity. Ratner is a new brand of ambassador for the People of the Book, an alternative to the nebbishes and benignly annoying types we’re used to seeing, and one not so distant from villains whose portrayals flirt with — or outright buy into — anti-Semitic tropes. Your tolerance for his cringe-y behavior may best be judged by whether or not you enjoy that most Jewish of properties, “Curb Your Enthusiasm,” which is as fundamental to the film’s DNA as the anti-heroics of “The Sopranos” or “Breaking Bad.” The Safdie brothers have been working up to “Uncut Gems” for a decade. While its scope is more ambitious than their previous work, it retains their hallmarks — first-time actors (Fox, Garnett and a crew of actual jewelers), real locations and a refusal to explain the lived-in world the film presents. When Julia gets a tattoo of Howard’s name, he says, “You can’t even be buried with me now,” but doesn’t go into the halacha of it all. Howard’s kids tear up their grandfather’s house looking for the afikomen, but the film stays mum on what the afikomen is, or why it matters. Most of all, “Uncut Gems” feels no need to explain Howard Ratner, positioning him as a fact as eternal and unchangeable as the black opals he hopes to use to make his fortune. In a time of growing anti-Semitism, the choice to devote a film to an unflattering face of American Jewry might appear treacherous. In fact, it is as humanizing as it is defiant. We, like any other people, have unsavory characters who root their personal identities in our peoplehood. We should not have to make excuses for or overlook them for fear of what others might say. We need not sit shiva for them either. And, yes, we can even enjoy them. The first decade of the 2000s ended with the Coens’ “A Serious Man” (2009), a Midwestern, Jobian parable of a Jewish school teacher whose life falls apart due to his unavoidable fecklessness. With “Uncut Gems,” the Safdies take things a step further by activating a new type of Jew, concluding this decade with a New York tale of a man whose utterly avoidable actions undo him. The contrast makes one wonder what Jewish cinema might look like if we were unafraid to be obstreperous, lewd, crude and amoral. In other words, permit ourselves to show our people as just as flawed — really, just as ordinary — as everyone else. In this age of misinformation, our work is needed like never before. We report on the news that matters most to American Jews, driven by truth, not ideology. At a time when newsrooms are closing or cutting back, the Forward has removed its paywall. That means for the first time in our 126-year history, Forward journalism is free to everyone, everywhere. With an ongoing war, rising antisemitism, and a flood of disinformation that may affect the upcoming election, we believe that free and open access to Jewish journalism is imperative. Readers like you make it all possible. Right now, we’re in the middle of our Passover Pledge Drive and we still need 300 people to step up and make a gift to sustain our trustworthy, independent journalism.  Make a gift of any size and become a Forward member today. You’ll support our mission to tell the American Jewish story fully and fairly.  We’re happy to make this story available to republish for free, unless it originated with JTA, Haaretz or another publication (as indicated on the article) and as long as you follow our guidelines. You must credit the Forward, retain our pixel and preserve our canonical link in Google search.  See our full guidelines for more information, and this guide for detail about canonical URLs. To republish, copy the HTML by clicking on the yellow button to the right; it includes our tracking pixel, all paragraph styles and hyperlinks, the author byline and credit to the Forward. It does not include images; to avoid copyright violations, you must add them manually, following our guidelines. Please email us at [email protected], subject line “republish,” with any questions or to let us know what stories you’re picking up.",POSITIVE
"Apr 25, 2023","Uncut Gems is unlike any movie I’ve ever seen before, and more people definitely need to see it. It’s an ugly look at the horror of gambling addiction.",POSITIVE
"Mar 1, 2023","Sandler's portrayal as Howard, the degenerate gambler and jewelry man, makes us garble anxiety with his high energy running around to pay off debts while playing footsie with Kevin Garnett over a stunningly large opal.",POSITIVE
"Dec 2, 2022","Overstuffed on every level—Uncut Gems is definitely not boring, but it’s a lot, more than I can comfortably handle.",POSITIVE
"Nov 11, 2022"," Uncut Gems was a brash, bold and nerve-shredding choice for this year’s #LFF Surprise Film. One that proves writer-directors The Safdie Brothers are diamonds in the rough. Howard Ratner (Adam Sandler) is a New York jeweller who is up to his eyes in debt at the bookies. Upon receipt of an uncut opal stone, Howard sets in motion of chain of events that will either set him up for the ultimate win or find himself digging a deeper hole he won’t get out of. It has many similarities with their previous film Good Time, which drew you in to the protagonist’s story and chase for resolution. The real skill is taking characters who are not necessarily the most likeable but still have you willing them to succeed. Adam Sandler is someone who has delivered a number of questionable films over the years. To the point that finding a quality film or performance is like finding a sterling silver needle in a haystack. Yet here, he is absolutely magnetic that, just like the eponymous uncut gem, you cannot take your eyes off him. He is like a cinematic Energiser Bunny. His energy keeps the audience on the edge of their seat. Channeling that anger and charm into arguably his finest performance since Punch Drunk Love. The Safdie Brothers take that energy and use it to propel the film forward. Using Darius Khondji’s cinematography and Daniel Lopatin’s score to maintain its breakneck pace that never takes its foot off the gas for a second. It is one of the most intense movie-watching experiences of the year. Audiences will find themselves captivated and completely emotionally invested in the outcome of a basketball game… even if they are not sports fans. It was famously said that “Diamonds are a girl’s best friend”. For fans of cinema, especially those who love A24 films, Uncut Gems is your new best friend.",POSITIVE
"Aug 22, 2022",The Safdie brothers&#8217; third act is ferocious&#44; fervent&#44; and one of the most jaw-dropping of the decade&#46;,POSITIVE
"Aug 21, 2022"," I can’t tell you the last time I was genuinely curious about an Adam Sandler movie. Maybe 2002 with “Punch Drunk Love”? His latest man-child venture, the blandly titled but propulsive “Uncut Gems”, reminds us that when given the right kind material Sandler is more than capable of keeping your attention. And he certainly keeps you watching here even when other elements of the film test your endurance. “Uncut Gems” comes from the directing duo of Josh and Benny Safdie. The pair also co-wrote the film along with Ronald Bronstein. It doesn’t take long to notice the movie doesn’t have much in terms of narrative. The Safdies seem far more interested in breaking the single movie f-bomb record than really putting together a compelling plot. Obviously I’m being a little facetious, but with the exception of a character or two, no one can hardly utter a line of dialogue without it. It’s a pretty big distraction. The story is as simple as this: Sandler plays Howard Ratner, a sleazy jeweler working in New York’s Diamond District who owes some really bad people a lot of money (for what, I don’t know). We do learn he is a compulsive high-stakes sports gambler and he’ll pawn off anything for money whether it belongs to him or not. We end up following him around for over two hours as he works different angles to try and score some cash to pay off his debt. It requires a lot of lying, a lot of yelling, and a lot of avoiding various people he owes. Howard thinks he has found the answer to all his problems when he gets his hands on a rare Ethiopian opal which he values at $1 million. Normally that would be an incredible score, but Howard fails to consider his one biggest hurdle – himself. He’s a natural screw-up and after one irresponsible act here and a poor choice there he finds himself deeper in trouble than he was before. The Safdies do try to add a little depth to Howard by throwing in some scenes with his estranged wife (Idina Menzel) and kids. To no one’s surprise they don’t like him very much since he’s proven himself to be self-centered and unreliable. About the only person who does is his girlfriend-on-the-side Julia (Julia Fox) who he secretly shares an apartment with. She’ll pretty much help him with anything and forgive him regardless of what he does. None of the family scenes add much other than to establish his credentials as a crappy husband and father and also that he is Jewish. But again, the Safdies aren’t too concerned with that. They’re all about propelling forward at an adrenalized fever-pitch. The film’s aggressive pacing is relentless. There’s no nuance or complexity. It simply wants you to grab hold and brace yourself as it bulls forward. Stop to look for more and you’re going to be disappointed. One of the film’s big upsides is Darius Khondji’s kinetic cinematography. Khondji has shot several films I truly love including “Se7en” with David Fincher, “Midnight in Paris” with Woody Allen, and “Amour” with Michael Haneke. Here he creates a gritty, street-level aesthetic that maintains this steady fluorescent glow. He uses tight closeups and assertive camera movements which gives the movie some extra kick. Many have mentioned anxiety and frazzled nerves when talking about “Uncut Gems”. I didn’t really have that kind of reaction. Instead I found myself asking more questions than I should have. How has Howard not been arrested? How has he not been killed? How does he still have a business? How is he still married? How can so many people be swindled (either emotionally or in business) buy such an obvious scumbag? I guess you could argue that Howard is shrewd and charismatic. But in “Uncut Gems” all we see is him consistently failing. But again, the Safdie’s are more interested in the ride. So if you’re into what the Safdies are doing you’ll probably love this. But for others it will be similar to colonoscopy we see at the very beginning – extremely unpleasant. Sandler’s character may not be the best company, but his performance is solid. All of them are including from Lakeith Stanfield and NBA star Kevin Garnett. But I think you could make a case that this film wants to be off-putting. If so, mission accomplished. I didn’t love Good Time but I am genuinely interested in how this goes. I’m pretty sure the last movie I thought Sandler was good in was Spanglish. It has gotten a ton of praise and in many ways I can see why. If you can lock in to what it’s doing you’ll probably enjoy it. I found myself wanting something deeper. I’m still interested in seeing this just to see what Sandler would do when he’s not catering to the lowest common denominator.  Plus, I still haven’t seen anything by the Safdie Brothers though I think Good Time is the film I want to see from them first. I’m in the minority on this one it seems. Lots of people are crying Oscar nomination. I don’t see it but again, lots of people love it, and I admit Sandler is quite good in it. Highly enjoyed this movie, which shocked me as I didn’t love Good Time like everyone seemed to. Since I last stated on Twitter that it was in my top 5, I’ve since rethought that take. But, can still say it’s in my top 10 easily with only a few more “must sees” to get through. I think Star Wars is the last thing I need to see. I’ve given up on 1917 coming to my area this year. Bums me out but out of my hands. Already started a rough draft of my Top 10. Hard to believe it’s already that time of year. I think realistically I think I just can’t be bothered. I am a huge fan of both The Wedding Singer and 50 First Dates but Sandler just seems like he chooses the most ridiculous projects! He’s getting tons of praise for this one. Maybe even an Oscar nomination soon. I just couldn’t get in with it though. I feel like I’m in the minority. Bummer that you didn’t like the ride man! 😉 I liked Good Time better, but shit, a 2-hour movie has rarely flown by so fast!! I do respect what the movie is going for and it is good to see Sandler do something other than juvenile non-funny comedies. Maybe he’ll pay attention to the praise he’s getting. “The film’s aggressive pacing is relentless. There’s no nuance or complexity. It simply wants you to grab hold and brace yourself as it bulls forward. Stop to look for more and you’re going to be disappointed.” Maybe this is just me, but nowhere does it say that all films need to be really complex in order to be good. A film like “Die Hard” may not have the deepest plot in the world (terrorists seize large building, smart ex-cop in said building runs wild and eventually takes them all out), but it’s so well-crafted and well-written that I didn’t care in the slightest. Personally, I think the same is true for “Uncut Gems” as well, though I might have to watch it again in order to be sure. Also, “Uncut Gems” was heavily inspired by the directors’ father’s experiences with the NYC diamond district trade, so it’s obviously a very personal film for them. At the very least, you have to admit that it captures the lives of these rough, down-and-dirty hustlers very authentically. Nope, all films don’t have to be complex in order to be good. I have tons of reviews in my archives that prove that to be true. But sticking with your comparison, Die-Hard isn’t a deep think-piece. But it has so many other things that make it such a great film: great genre appeal, thrilling action, terrific characters, a top-notch villain, etc. It’s a film where you CAN look elsewhere and see more things worthwhile. That’s why I would call Die-Hard a significantly better film than Gems. Different genres of course but you get what I mean. Also, your review never mentions the incredible music by Daniel Lopatin (also known as Oneohtrix Point Never), which I absolutely loved. Even if you didn’t like it yourself, it’s at least worth bringing up there. Perhaps. It’s just not something that stood at to me which is why it’s not mentioned. To be honest I don’t remember a thing about the music. I do know others who really liked it though.",NEUTRAL
"Feb 22, 2022"," Uncut Gems may feel like pure chaos shot into the viewer’s brain, but it only seems that way from the countless number of reversals, switches, setbacks, and impulsive choices that befall its protagonist. Adam Sandler plays Howard Ratner, a fast-talking gambler who owns a store in New York’s diamond district. Howard’s unrelenting procession of can’t-lose hustles, unforeseen disasters, and big scores on the verge of paying off make Josh and Benny Safdie’s film an exhausting, breathless, and turbulent experience to behold. Except, every choice has been expertly rigged and wired to explode at a specific moment. The Safdies have orchestrated Howard’s life into an endless, discordant visual and aural barrage: a film of overlapping, Altmanesque dialogue; pestering cell phone calls; enforcers lingering in the distance, hoping to collect on Howard’s past-due account with a bookie. It’s a relentless disharmony that makes the viewer squirm in their seat with exhilaration and dread, as though the Safdies have tied us down in the pit and forced us to watch the pendulum swing ever closer. Though the pressure-cooker environment of the film leaves us roasting in our seats, it’s also evidence of two filmmakers in complete control of their craft.  The Safdie brothers have mastered anxiety-ridden stories about self-destructive characters perpetuating their own downfall in a series of hastily made bad decisions. Their brand of storytelling reflects the unyielding pace of their usual New York milieu, captured on actual city streets, often with real pedestrians in the shot. If there’s a template to their work, it must be Martin Scorsese’s After Hours (1985), a pulpy nightmare comedy that never lets up. Neither does the central character in the Safdies’ Daddy Longlegs (2009), about a dysfunctional father driven by impulse and his own sense of victimhood. The same is true of the heroin addicts in Heaven Knows What (2014), as well as Robert Pattinson’s desperate criminal in Good Time (2017)—the closest comparison to Uncut Gems both tonally and structurally. Both Pattinson’s and Sandler’s characters are interminable hustlers, exploiting every relationship and acquaintance before setting the bridge ablaze and mining another. The Safdies have replicated the DNA of Scorsese’s early work on the mean streets of New York and, with Scorsese executive producing, they have earned his blessing. But their efforts do more than merely clone Scorsese; they create a fascinating mutation whose limits reach the cosmos. The inspiration for Howard Ratner comes from Josh and Benny’s father, who shared stories with his children about his time working in the once-great diamond district, a largely Jewish neighborhood that has been reduced to a single block in Manhattan. Howard runs a shop with bulletproof glass doors and broken buzzer, and he tries to sell iced-out Furbies to his clientele. Despite his expensive inventory, he owes thousands to a fed-up bookie (Eric Bogosian), not that his debts prevent him from pawning items he doesn’t own to secure cash for another in a long line of sure-thing bets. His wife, a strained Idina Menzel, has stopped humoring him with affection. And no wonder, since Howard keeps a mistress, Julia (Julia Fox), also his employee at the shop, in a separate apartment. But the story, set in 2012, kicks into gear with the arrival of Boston Celtics basketball champ Kevin Garnett, playing himself. Garnett is the latest client of Demany (Lakieth Stanfield), Howard’s partner who calls him a “fucking crazy-ass Jew.” Demany wrangles customers into the shop for Howard, and though the All-Star plans to buy a watch, his presence is kismet—at this same moment, Howard receives a long-awaited package. Wrapped in plastic and styrofoam and hidden inside the stomach of a bagged fish is a rare, almost otherworldly, unpolished black opal the size of a large mango.  The opening sequence transitions from the opal’s spatial iridescence into Howard’s colonoscopy, implanting an immediate sense of dread over the exam’s results. If there’s another inspiration for the Safdies, it’s the Coen brothers’ A Serious Man (2009), about a beleaguered Jewish protagonist whose punishing trials—including the dreaded results of a medical exam—have almost biblical consequence. Much like the Coens’ Larry Gopnik, Howard scrambles to find some grand purpose to his life. He agrees to lend the opal to Garnett, who believes the stone to be a good-luck charm, in exchange for the player’s diamond-encrusted championship ring. It’s a temporary swap, as Howard needs the opal for an upcoming auction, where he expects it to fetch nearly a million dollars, especially with Garnett’s interest. Is the basketball player’s sudden presence a sign in Howard’s destiny with the opal? Almost immediately, Howard leaves his shop to temporarily pawn Garnett’s ring, securing him $21,000 for a bet, on Garnett’s game no less. It’s a bold move and just the latest in Howard’s juggling of maneuvers to get ahead, which proceed onward without the slightest consideration of their personal or professional consequences. Howard craves the possibility of winning regardless of the cost, and the Safdies have littered enough small victories throughout the tense narrative that we come to understand his addiction.  Uncut Gems cannot be called a pleasant experience. It’s like being forced to take a double dose of uppers and dance barefoot on a floor littered with broken glass. Much like Good Time, it thrills even as the viewer recoils from the frantic ride and the strained morality of its central anti-hero. Many will reject the film as unpalatable and deeply nasty, but it’s an unquestionable joy when filmmaking of this caliber propels the viewer and manipulates us at every jittery turn. From the Safdie’s oversight of the film’s squirm-inducing scenes to the brilliant, hypnotic score by Daniel Lopatin (aka Oneohtrix Point Never), which sounds like the lovechild of Vangelis and Tangerine Dream, Uncut Gems never stops stimulating. All the while, Sandler’s performance is so pitch-perfect, just the right blend of detestable yet charming, that he almost makes us forget about our foreboding. What could be more appropriate for a compulsive gambler who fails to recognize his pattern of behavior? It’s a testament to the Safdie brothers’ enveloping schema that, in the climactic scenes, when Howard seems to have masterminded his escape from under the boot of his many creditors, we actually believe he might come out ahead. ",POSITIVE
"Oct 22, 2021"," What’s the best movie I can watch on Netflix? We’ve all asked ourselves this question, only to spend the next 15 minutes scrolling through the streaming service’s oddly specific genre menus and getting overwhelmed by the constantly shifting trend menus. Netflix’s huge catalog of movies continues to expand day by day, week by week, month by month. This makes the challenge of keeping up to date with best the service has to offer — let alone finding something the best of what to watch after a long day — a task that feels herculean at best and impossible at worst for someone not plugged into its inscrutable rhythms. We’re here to help. For those suffering from choice paralysis in February, we’ve narrowed down your options to not only our favorite current movies on the platform, but the best movies Netflix has to offer. If you’re looking for a specific genre, we’ve got the best action movies on Netflix, the best horror movies on Netflix, the best thrillers on Netflix, and the best comedy movies on Netflix ready for you. And for our readers across the pond, we have a list of the best movies on Netflix U.K. We’ll be updating this list weekly as Netflix cycles movies in and out of its library, so be sure to check back next time you’re stuck in front of the app’s home screen. Our latest update added The Killer as our editor’s pick. The Killer is too good to fit into any specific boxes. David Fincher’s latest movie, once again a Netflix-only release like Mank, feels distinctly post-genre. Sure, technically it’s a thriller about an assassin who botches a hit and has to deal with the consequences, which include a price on his head too. But it’s so much more than, like a comedy about one bad day of work, or a tragedy about a guy who loves The Smiths too much. Fincher’s real flex in The Killer is to present all of these seemingly competing genres and styles as one consistent tone where no moment ever feels out of step with another, whether it’s jokes about McDonald’s or bone-crunching fights.  Aside from Fincher’s technical skills, the other thing that makes The Killer’s dexterity possible is Michael Fassbender’s terrific performance as the assassin at the movie’s center. Fassbender goes from a winding monologues about the requirements of precision in every aspects of one’s life, to lamenting his latest fuck up in a moment’s notice without ever losing his put-on bravado. And it’s hilarious every single time. Polygon’s staff consistently keeps up with new Netflix originals and titles added to the streaming platform, adding to this list with the best movies across both Netflix productions and library titles. We prioritize quality, unique artistic vision, and variety — different genres, different eras, different vibes, different filmmaking nations — to make sure every reader finds multiple options that interest them, as well as movies they may have never encountered before. Suburban paranoia is as time-honored of an American tradition as baseball, apple pie, and redlining. In this 1989 horror comedy, Gremlins director Joe Dante taps into a wellspring of simmering communal tension and urban superstition and strikes gold. Tom Hanks stars as Ray Peterson, an overstressed homeowner trying to enjoy his weeklong vacation, if only everyone in the cul-de-sac of Mayfield Place would just leave him the hell alone. Unfortunately for him, the mysterious goings-on of his reclusive new neighbors have drawn the over imaginative ire of fellow suburbanites Art (Rick Ducommun) and Mark (Bruce Dern), who enlist Ray in a harebrained scheme to uncover what they’re absolutely certain is a murderous home-grown conspiracy.  A sleek and sexy thriller that makes hacking look extremely cool, Michael Mann’s unfairly maligned Blackhat stands tall as a high mark in digital filmmaking. It is peak Mann — if you’re not a fan of the Heat director’s work, your mileage may vary. In the film, Chen Dawai (Wang Leehom), a captain in the PLA’s cyber warfare unit, is tasked with getting to the bottom of a computer attack that melts down a nuclear power plant in Hong Kong. While liaising with the FBI investigation, Chen insists on the aid of his old friend Nicholas Hathaway (Chris Hemsworth, who has never been hotter or cooler), an imprisoned genius hacker. When Hathaway and Chen’s sister (Tang Wei), a networking engineer also helping with the case, fall for each other, it adds an extra wrinkle to an already high stakes situation. Viola Davis and Holt McCallany feature as FBI agents who aren’t super happy to have to rely on a notorious criminal. This scintillating neo-noir captures Denzel Washington as he was ascending the mountain of movie stardom, all in a brilliant story of postwar racial tensions in Los Angeles, featuring some of the best cinematography of the 1990s. Eega is a delightful slapstick romantic comedy from the director of RRR, about a fly and his human girlfriend conspiring to ruin a man’s life and then murder him for vengeance. If that doesn’t sound up your alley, I’m not sure what will. Eega tells the story of a man who is murdered by a wealthy businessman. After being reincarnated as a fly, he makes it his mission to exact vengeance on the man who killed him. As a fly. One of the smartest movies about the gig economy and our modern money struggles, Emily the Criminal was criminally (ayyy) underappreciated when it came out in 2022. The movie follows a debt-ridden woman (Aubrey Plaza) who gets involved in a credit card scam to pay off her student loans. This pulls her in the orbit of charismatic ringleader Youcef (the reliably handsome Theo Rossi), and also deeper and deeper into the world of crime, as she looks for a way out of her difficult situation. Director Bassam Tariq recently got replaced on Marvel’s upcoming Blade movie, and it’s as good a reason as any to catch up with his masterful 2019 short. Best known for the hip-hop drama Mogul Mowgli starring Riz Ahmed, Tariq’s previous movie is an enthralling documentary well worth the 21-minute running time. Earlier this week, I stumbled across a group of random posts discussing Inside Man, Spike Lee’s 2006 heist movie starring Denzel Washington. Naturally, my interest was piqued: I hadn’t seen the movie in a while and I wanted to give it another shot to see if it stood the test of time. After settling in for a rewatch, I can say without a doubt that it most definitely does.  There’s no better time than the present to watch the best Quentin Tarantino movie ever (and by some margin). I said it and I meant it. Adapted from Elmore Leonard’s terrific novel Rum Punch, this crime thriller stars the unmatched Pam Grier as a flight attendant who is caught bringing back money from Mexico for an arms dealer (Samuel L. Jackson). When a bail bondsman (Robert Forster) is assigned to pick her up, the two forge an unlikely bond in the midst of a complex scheme. Movies about the Power of Cinema™ can be self-important, saccharine, and worst of all, boring. Jigarthanda DoubleX is none of those things. A sprawling tale of gangsters, movie stars, politicians, and the people caught between them, it’s one of my favorite movies of 2023, and a truly special film. It’s the 1970s, and a coward who believes it’s his destiny to become a cop gets framed for a quadruple murder. He gets released from prison by a corrupt movie star/politician on the condition that he kills one of the lieutenants of that movie star/politician’s rival. Naturally, our coward poses as a movie director, because his target (a notorious gangster who loves Clint Eastwood) has made it his new mission in life to be the first dark-skinned movie star in India. While making their silly movie (a biopic of the gangster, of course), they fall in love with the magic of cinema and its transformative power on a personal and societal level. In 1984, director Jonathan Demme made one of the finest concert films of all-time with the Talking Heads in the raucously triumphant Stop Making Sense. A little more than three decades later, Demme’s final feature film was another joyous concert movie. Justin Timberlake + The Tennessee Kids depicts the final show of a long tour for Timberlake and his excellent backing band at the gigantic MGM Grand Garden Arena in Las Vegas. In typical Demme fashion, the staging and framing of the energetic pop numbers is electric, but he also takes time to show just how much work goes into setting up and breaking down such a large production. The Oscars are this weekend (or, at least, they are when I’m writing this), so I thought it would be fitting to recommend one of the bigger Oscar snubs of the year. Yes, May December got nominated for its (great) screenplay, but it is also one of the best films of 2023 and features three of the most outstanding performances of the year, none of which had room in a stacked nominations list. The latest film from New Queer Cinema icon Todd Haynes (Carol, Safe) sees the legendary director reunite with frequent collaborator Julianne Moore for one of their most intriguing projects yet. May December follows an actor, Elizabeth (Natalie Portman), who travels to Georgia to prepare for a role based on Gracie (Julianne Moore), a woman who became a focus of national attention after sleeping with (and eventually marrying) Joe, a 13-year-old boy when their relationship first started. The Night Comes for Us just fucking whips, OK? Why waste time on subtlety and preamble; the film certainly doesn’t! Indonesian action thrillers have been enjoying a renaissance period ever since Gareth Evans’ 2011 film The Raid kicked the door down and mollywhopped everything else in sight. Timo Tjahjanto’s 2018 film certainly follows in the footsteps of Evans’ own, with The Raid star Joe Taslim starring here as Ito, a gangland enforcer who betrays his Triad crime family by sparing the life of a child and attempting to flee the country.  2018’s Spider-Man: Into the Spider-Verse was a genuine before-and-after moment in the history of American animation. The film not only introduced a new generation of audiences to Miles Morales, but sent a shockwave through the entire industry through its pioneering approach to CGI animation that drew heavily from the texture and techniques of comic book storytelling. In short, it was a bona fide cultural phenomenon. How exactly do you top that? Spider-Man: Across the Spider-Verse feels like an answer to that question on several fronts; visually, tonally, and technically. Miles is faced with a personal and moral dilemma in the form of the Spot, a dimension-hopping supervillain whose vendetta against Spider-Man threatens to endanger the entire multiverse. If that weren’t enough, Miles inadvertently runs afoul of Miguel O’Hara (Oscar Isaac), the leader of a group of Spider-People from alternate universes, who believes Miles himself is the source of the problem.  This 2021 French-language animated drama centers on Makoto Fukamachi, a tenacious reporter who accidentally stumbles upon the biggest mountaineering story of the century: Proof that George Mallory and Andrew Irvine, not Sir Edmund Hillary, were the first climbers to reach the peak of Mount Everest in 1924. However, his only lead to break the story — an elusive mountain climber known as Habu Joji — has been missing for several years. Poring over the details of Joji’s life in the years preceding his disappearance, Makoto finds himself inadvertently drawn by the very same sense of accomplishment and meaning that has compelled countless climbers to crest Everest themselves. As far as horror movie premises go, it’s hard to get more fundamentally terrifying than “zombie outbreak on a train.” Yeon Sang-ho took that basic idea and ran with it to create a gory, pulse-pounding survival thriller about perseverance in the face of the apocalypse.  It’s easy to forget sometimes, but Adam Sandler really is one hell of a dramatic actor. The Safdie brothers’ 2019 crime thriller Uncut Gems was a bracing reminder of that fact, giving Sandler the opportunity to flex his chops as Howard Ratner, a duplicitous gambling addict whose chaotic attempts to play every angle — and everyone — to come out on top backfires in spectacular fashion.  The film is stacked with terrific, surprising performances, from basketball superstar Kevin Garnett’s portrayal as a fictionalized version of himself to Julia Fox’s breakout turn as Howard’s mistress, Julia. To top it off, the score is phenomenal; Daniel Lopatin (aka Oneohtrix Point Never) reunites with the Safdies to deliver a mesmerizing soundtrack to Howard’s downfall, including an exquisite track inspired by the 1988 anime classic Akira.  Quality sports dramas are a rare thing in Hollywood. In Warrior, two estranged brothers — one a former Marine and onetime wrestling prodigy (Tom Hardy), the other a former MMA pro turned high school physics teacher (Joel Edgerton) — compete in a massive MMA tournament, with more at stake than just the big cash prize. Gavin O’Connor’s heartfelt siblings-destined-to-collide story features terrific central performances, terrific MMA fight scenes (second unit director J.J. Perry is a modern action legend), and a strong tournament narrative structure that holds the whole thing together.  There’s a place for movies like Alien, where a script written for a male lead character was left unchanged when a woman was cast in the role. But there’s also a place for movies like Wingwomen, an action comedy that thrives in its specificity around its characters and their experiences as women in our world. In Wingwomen, Carole (director-star Mélanie Laurent of Inglourious Basterds) has a very close and protective relationship with younger Alex (Adèle Exarchopoulos) — a found family situation. They are both caught in the web of crime lord Marraine (Isabelle Adjani) and looking for a way out. When they meet a new member of their team — skilled racer Sam (Manon Bresch) — they see an opportunity for one last score to break away from their life of crime and live peacefully together.",POSITIVE
