Date,Score,Reviews
"Apr 13, 2024",POSITIVE,"Denis is a master... 

If they had of kicked off Star Wars with him at the helm it would have been better than anything Lucas did"
"Apr 12, 2024",NEGATIVE,Unwatchable. Go watch Tremors instead.
"Apr 12, 2024",POSITIVE,This movie and Dune 2 are some of the best films to come out in a very long time. A must-see
"Apr 9, 2024",NEGATIVE,"I watch a lot of good sci-fi. All the Terminators, Predators, Aliens, AvPs, Stargate, Startrek, etc. The original Dune was horrible in everyway possible. This dune was even worse and more boring than the original. The second Dune is just as bad. Probably the worse movies of any genre I've ever seen."
"Apr 9, 2024",NEUTRAL,"It's just the start for this whole new world, so wouldn't want to hate it, until seeing part two... However I loved it! The characters are building up to they're potential form."
"Apr 8, 2024",NEGATIVE,"slow, kinda inconsistent, hoping part 2 and others will be better"
"Apr 8, 2024",POSITIVE,"AMAZING MOVIE, AMAZING ACTORS, WRITING, PLOT, AND ACTION! I HIGHLY RECOMMENED WATCHING IT!"
"Apr 7, 2024",NEGATIVE,My first attempt at watching this failed due to it being very slow and just plain boring.. the good reviews did not match up! Saw the reviews for part 2 so decided to suffer through. Hope it was worth it!
"Apr 7, 2024",POSITIVE,pretty good adaptation of the book. wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
"Apr 7, 2024",POSITIVE,"Great special effects, acting, action, and overall execution of many of the ideas of Frank Herbert's Dune. 9.2/10"
"Apr 6, 2024",POSITIVE,Pacing is a bit slow at certain scenes but the exploration of the lore and the characterization of the main characters were excellent. Soundtrack was spot on with the tense atmosphere.
"Apr 5, 2024",POSITIVE,"Great movie, great cast, great special effects, great story. Love the movie."
"Apr 5, 2024",NEUTRAL,The 1984 Movie was the best even compared to this! Paul is so much more in the original movie. The new Paul is just a pampered aristocrat and the actor can't emote he is lacking and dead faced. Modern actors are all dead pan looks and no emotion just graphically airbrushed stand-ins. I love the story so much I have watched the new movie about 3 times. The original I have watched at least 50 times.
"Apr 5, 2024",POSITIVE,This film was absolutely excellent and finally adapted a difficult story into a sensical film unlike the previous Hollywood attempts. Exactly the refreshing movie that jaded theater goers needed when it came out. I'm very excited for the sequel.
"Apr 4, 2024",POSITIVE,2nd one makes this better
"Apr 3, 2024",POSITIVE,Lets hope it's building for something great in part 2.
"Apr 3, 2024",POSITIVE,Until this film people thought dune was unadaptable to the big screen but Denis Villeneuve proved them wrong!
"Apr 3, 2024",NEGATIVE,"Dune is overrated for me personally. The story is nothing special, the acting is lukewarm, and the explanation of what is happening is rather weak. The only good thing about Dune is the effects/production"
"Apr 3, 2024",POSITIVE,"I loved it, it's beautiful, slow but not boring."
"Apr 3, 2024",NEUTRAL,i don't find the movie to be great i felt it was too slow it was hard to get into these characters the main character did like nothing whole movie which bugged me but when dune part 2 it should be better but this movie just was fine i like the cinematography and the score but everything else was ok 76%
"Apr 2, 2024",POSITIVE,not bad much better than the original for once
"Apr 2, 2024",POSITIVE,"The best Sci Fi epic of the last 30+ years. There isn't a negative aspect to this film. Denis Villenueve does it once again, just like with Blade Runner 2049, creates an immersful, deep, & rich world. One I can't wait to go deeper into."
"Apr 2, 2024",NEUTRAL,A little boring. It can't stand on its own at all because it's just world-building for the second part and doesn't really have any payoff. But really good acting and cinematography prop this movie up.
"Apr 1, 2024",POSITIVE,"Excellent storytelling, stunning visuals."
"Mar 31, 2024",NEUTRAL,"A little slow? Yes. A little plain? Yes. A magnificent technical achievement? Absolutely. An awesome cinematic experience? Of course. Many people tend to forget that this is just an introduction; the first part of something bigger, the preparation of the table for the big banquet..."
"Mar 31, 2024",NEUTRAL,"""Dune"" (2021) garners praise for its cinematic scale, visual and auditory magnificence, though some critics find its pacing and tone challenging. The performances, especially Timothée Chalamet's, are lauded, but the film's seriousness and lack of humor have drawn mixed reactions. Its narrative feels like a prologue, leaving audiences eager yet unsatisfied, awaiting a sequel for closure​."
"Mar 31, 2024",NEGATIVE,Overrated. I don't get the fuss about the movie beside the esthetics.
"Mar 30, 2024",NEUTRAL,"🍅 7.0/10


2h 35m long L'Oreal Paris commercial. Grade B+"
"Mar 30, 2024",NEUTRAL,"The story line and the acting are very good, however it does not need to be that long. It could be half the time if all the scenes of staring into the distance and panning the scenery was cut down significantly. It made the story drag needlessly."
"Mar 30, 2024",POSITIVE,Hands down one of the best films ive seen since my mother took me to see Fellowship of the ring in 2001 in the cinema.
"Mar 30, 2024",POSITIVE,"Caveat; In order to fully appreciate the plot and not be lost initially, it helps greatly to have read the book or have seen the 1984 David lynch version first. If you already understand the ""Dune ""universe"" you're in for a stunning visuals and epic updated version!"
"Mar 30, 2024",POSITIVE,"Epic. In every aspect, just epic.."
"Mar 29, 2024",NEGATIVE,That was a huge waste of 2+ hours of my life. Nothing about this movie called my attention besides the good actors that it had. It was slow and boring and we had to pause it 3 times to take a break so that we didn't fall asleep out of boredom. I don't really understand how this got so many great reviews.
"Mar 29, 2024",NEGATIVE,Could barely stay awake!
"Mar 29, 2024",NEGATIVE,"I liked it until I realized it was to be a multiple-part series.  Adapting a book to the big screen takes time and obviously requires a longer movie run-time, but waiting years between releases is a major turn-off.  Haven't seen Part 2 and likely won't."
"Mar 29, 2024",POSITIVE,This movie is amazing in every way except for the fact the movie had an unsatisfactory ending.
"Mar 29, 2024",POSITIVE,Dune: Part 1 is a film that I pay of respect towards rather than I enjoy watching it. This is because it is extremely difficult to follow if you haven't read the books.
"Mar 29, 2024",POSITIVE,A bit slow but still built on the characters and loved it overall
"Mar 29, 2024",POSITIVE,Extremely well done.  The music and cinematography in particular are outstanding!
"Mar 29, 2024",NEUTRAL,"Haven't finished watching it yet … just over halfway through…sometimes it's a bit slow going and I lose interest, but I have to say, the worst part of this movie is Rebecca Ferguson's acting….omg!!! Her constant whispering and forced dramatic faces is the main reason I can't focus on this movie. How the heck did she ever get this part???? She needs to go back to Acting school or find another career…."
"Mar 25, 2024",POSITIVE,Great movie! Watched 4 times already
"Mar 25, 2024",POSITIVE,Excellent movie. Only thing holding it back from a 5/5 is the slower pacing.
"Mar 25, 2024",POSITIVE,"Beautiful movie just gorgeous, would watch again!"
"Mar 25, 2024",NEUTRAL,Solid film. A little too slow in the beginning.
"Mar 25, 2024",NEUTRAL,Me u viera gustado que le dieran mas tiempo en pantalla además es muy violenta
"Mar 24, 2024",POSITIVE,Great start!! It sets the story for something bigger.
"Mar 24, 2024",NEGATIVE,Boring. 😴 2.5 hours of my life I'll never get back.
"Mar 24, 2024",NEGATIVE,"This movie was dogsh*t. Clearly, noone read the book. So much was altered and/or left out. Some acting was atrocious.  Some actors shouldn't have even gotten their roles. Chani wasnt an annoying little b. Dogsh*t"
"Mar 24, 2024",POSITIVE,"5/5. Hits all the marks and does so with great casting and exceptional visuals and sound. Was it faithful to the books? No, but realistically since he stated from the beginning, he intended to only do the book in two movies, that wasn't realistic. I think it hit the marks it needed to tell the story. If you want a more faithful telling, I'd suggest the Sci-Fi channel's mini-series, because while lacking in visuals and sound, did a much better job on that end."
"Mar 23, 2024",POSITIVE,"An immersive and impressive portrayal of the novel, letting the viewer bask in the stunning imagery and world-building.  Puts every other adaptation of this work to absolute shame."
"Mar 23, 2024",POSITIVE,Amazing!!! Best sci-fi movie in literal years
"Mar 23, 2024",POSITIVE,"never read the book but i LOVED the movie, both one and two. Beautiful cinematography, interesting characters and really cool costume design. My favorite part about it was the world building. Super unique and creative."
"Mar 23, 2024",POSITIVE,Great ....a saga is born
"Mar 22, 2024",POSITIVE,I literally made an account so I could rate this movie. I think about this movie daily - it's my Roman empire.
"Mar 22, 2024",NEGATIVE,"1984s Dune is so full of David Lynch's somber atmosphere, so intriguing... Villeneuve's watered down version is some kind of Star Wars, but boring"
"Mar 22, 2024",POSITIVE,I love that I watched it about four times now.
"Mar 22, 2024",NEUTRAL,"I think they put way to much money and time in that movie for it to turn out like it did. I was very very disappointed with Part 1 and now disappointed with Pt 2, esp the fact that it seems ti imply a PT 3- I hope not.  The 1984 version was so much better, and the actors did a far better job with alot less money. I stretched to give it a 3....."
"Mar 21, 2024",POSITIVE,One of the best movies i've seen. It doesn't compare to anything.Such great actors and all praise to Denis!
"Mar 21, 2024",NEUTRAL,it was a pretty good movie
"Mar 21, 2024",NEGATIVE,Nothing about it is good. Skipped through the entire thing. The story isn't any good. The acting is wooden. The dialog is atrocious. Just not for me.
"Mar 21, 2024",NEUTRAL,Movie started out very slow but got better as it went on. Plot was confusing at times. Overs well done movie just needed to be shorter.
"Mar 20, 2024",POSITIVE,"I have no words. This is cinema at its greatest. The acting is great, it is the perfect mix of action and dialogue, and the plot is amazing. The only sci-fi thing I can think is better is the original Star Wars or the book version of Dune. (So much for no words)."
"Mar 20, 2024",NEUTRAL,I love to kick back and relax to a three-hour transhumanist space opera with elements of social science fiction. Helps me unwind in the evening.
"Mar 20, 2024",POSITIVE,"La primera parte de Dune combina muy bien la política, la narrativa de ciencia ficción y una variedad de personajes cautivadores y de nueva generación (en el caso del cast). Además, se destaca bastante por su calidad visual (espectacular fotografía) y un diseño de sonido excepcional que complementa a la perfección la narrativa (si uno se fija, una de las mayores tendencias en rrss, corresponde a contenido con la música del metraje, realizada por el maestro Zimmer).
"
"Mar 19, 2024",POSITIVE,Best movie I have seen in a long time. I've watched it 3 times. I usually do not rewatch movies.
"Mar 19, 2024",POSITIVE,"Slow but beautifully shot with interesting world building. The movie takes time to take off but the overall experience is quite spectacular. Acting, cinematography, direction all top notch. A worthy adaptation that even non book readers can follow and enjoy."
"Mar 19, 2024",NEGATIVE,"It was a long, drawn out, boring film."
"Mar 19, 2024",NEUTRAL,"A film that was at once wonderful and mediocre🔆

When it comes to the technical and visual aspects, it's hard to find a better technical execution and special effects in recent years. A film whose sound was in wonderful synergy with what was on screen. In this respect, at least, Hans Zimmer was at the top of his game. The visuals were also very spectacular and evoked powerful emotions. I believe that emotions might have been even more powerful in the cinema in 2021 than they are now on TV.

However, as for the story itself, as someone who has not read the books, it was too drawn out and slow to watch. The most exciting part of the over two-hour film was the last 15 minutes. It does, however, give hope that the second part will be more interesting and with more action. Perhaps after watching the second part, I will understand why the first part was portrayed rather slowly.

Nothing bad can be said about the acting. Stellan Skarsgård as Baron Vladimir Harkonnen was an extremely believable and interesting character. He conveyed the serious side that Skarsgård has managed to do in the Chernobyl series for example, but in addition, there was a deeper mystery to this film that made you believe that this was an individual with maniacal tendencies."
"Mar 19, 2024",POSITIVE,"A fantastic rendition on the first half of the Dune book, and beautifully shot and acted too."
"Mar 19, 2024",POSITIVE,One of my favorite movies of all time. A great movie with a great cast.
"Mar 18, 2024",NEGATIVE,Very nice story.. but very slow and boring to watch
"Mar 18, 2024",POSITIVE,"Interesting story, if you look into it a little beforehand. Very nice pictures and good characters, even if a little sterile in places."
"Mar 18, 2024",POSITIVE,The force armor and welding way was off. See the original. Instead.
"Mar 17, 2024",POSITIVE,Watched first 20 minutes when it came out and stopped because I thought it was terrible I couldn't be more wrong about this movie it's starts slow but wow did the end get way better great movie .
"Mar 17, 2024",POSITIVE,"The intricate world-building, stunning visuals, and gripping storyline left me in awe."
"Mar 17, 2024",POSITIVE,This movie was a masterpiece I loved the CGI and sci-fi it was so awesome experiencing it at home. Tim did so good I haven't seen number 2 but I will totally watch it soon!
"Mar 17, 2024",NEGATIVE,"Audio mixing was truly awful. Why must we crank speakers to 100 to hear speech, and then have our ears blown out when a ship flies in?"
"Mar 17, 2024",NEGATIVE,"A lot of flair but no heart.

Male lead is mediocre."
"Mar 17, 2024",POSITIVE,"Great movie, Timotheee Chalamet was great, and the effects were amazing."
