Date,Score,Reviews
"Apr 12, 2024",NEGATIVE,"One of the worst movies I watched, incredibly boring and pretty confusing with a lot of plot holes"
"Apr 12, 2024",NEGATIVE,"I'm a huge fan of diverse casting. It reflects the changing demographics of the US and the world and it allows marginalized groups to see possibilities previously closed off to them (even ridiculous ""possibilities"" like being a superhero). Diverse casting is not, however, a substitute for a good movie, and I suspect that a number of critics thinking that it is explains how this bloated, dull turkey of a film has anyone going to bat for it. Look: we got multiple ethnicticies and queer characters and disabled characters all packed into one film! It must be good! 

But it's not. It's bad as a superhero movie: the fights are dull and lack any sense of danger; the visuals are odd and uninspired; the characters are dour and unsympathetic; it's not clear who we're rooting against and why. 

It's bad as a drama, wasting so much time on a silly backtory in the the ancient world and a getting-the-band-back-togther premise that no one could possible develop the actual personalities amidst the sprawling waste of time that is the plot.

And for all the noise to the contrary, it's not interesting as philosophy: it dangles the provocative possibility that humans and Earth might be expendable in a cosmic utilitarian scheme before deciding, nope, humans are Earth are magic and anyone who thinks otherwise is a nazi. It tempts us with the idea of a real ethical discussion and then immediately chickens out. 

So shave about 20% off of this grade-inflated RT critic average and you get a sense of the movie: it's about as good as the ninth Transformers sequel--long and noisy and pointless and feels even longer."
"Mar 31, 2024",NEUTRAL,"The movie dragged so much for that sake of presenting us each one of the eternals and yet failed to establish a connection strong enough to make us care about them.

Realy hope they work out this out in the future.

In terms of action and visuals it was ok.

One area were it shines is in the top tier casting, and yet somehow i feel that it was underutilized. The acting is great, but it's something missing, probably that strong connection that i was talking about. They might had leveraged if they had chosen to go as a tv show instead a movie, but idk lets see what the future brings.

I dont say that is a bad movie, but it's not a good one neither.

In the end i recomend ppl to watch it and made their one conclusions. (it's not a wast a time)"
"Mar 31, 2024",POSITIVE,This would have worked better as a long series.  Time to develop the characters.  Ending wasn't great. Still a fun ride.
"Mar 28, 2024",POSITIVE,"Many say it's the worst thing about Marvel, but believe me, it's not. Visually I consider it good, in the plot part as well and in the special effects as well. recommendable"
"Mar 23, 2024",NEGATIVE,"This movie was so bad that I honestly was on my phone most of the time. I tried to force myself to watch it because I wanted to watch the whole MCU timeline, but I couldn't."
"Mar 22, 2024",NEUTRAL,"It could have been better, but overall I enjoyed it. I think there were just too many new characters to introduce."
"Mar 21, 2024",POSITIVE,"I was on the edge of my seat the entire movie ,every second of this movie was perfect. I couldn't even blink it was beautifully made. Crossing my fingers and wishing that there is a part 2."
"Mar 20, 2024",NEGATIVE,I'm not quite sure what Marvel was doing with this one. It gave the same energy as the original Hulk movie and I hope Marvel doesn't end up switching roles and confusing us with this one.
"Mar 17, 2024",POSITIVE,"I think it's a very underrated movie, coming out during Covid too. It deserves its sequel. The movie was one of the greats that came out during that period of movie releases.
A Really interesting story, stacked cast, great cinematography. If you shelve this. It's a disservice."
"Mar 16, 2024",POSITIVE,"Not a perfect movie but it is much better than the numbers say.  It's long but very entertaining and if you love the comics, it's a must see!"
"Mar 14, 2024",NEUTRAL,This was not as good as it could have been but I liked it. Would like to see more about the Celestials.
"Mar 13, 2024",NEGATIVE,Not the worst movie I have ever seen. But it is the worst Marvel movie I have seen
"Mar 12, 2024",NEGATIVE,By far the worst marvel movie I've ever seen. I cannot believe they actually put this out.
"Mar 10, 2024",POSITIVE,"If you ever wanted an artsy, deep, thoughtful, fun superhero movie.  Here it is. Recommend for anyone looking for a marvel formula palette cleanser. Although it can be formulatic at times it seems different, in a good way.  At least to me!!"
"Mar 7, 2024",NEGATIVE,"Thank God I waited and recorded it when it was free because I would've been embarrassed spending money on that. What producers and Hollywood people get a boatload of other peoples money and says ""hey, let's make a movie about a group of God type people that no one has ever heard of or read their comic books And tie it into the Marvel universe so we can ride on their reputation of greatness?"" Who does that?
This movie failed in so many ways I can't describe them all… CGI wasn't half bad, they take one of the best actresses of our time and give her a half a dozen lines in the whole movie, half the time is spent doing mundane and interpersonal relationships And the action, if you can call it that, is short-lived for each encounter and uneventful. I honestly don't see how the audience gave this is 77%. All I can say is thankfully it was free…"
"Mar 3, 2024",NEGATIVE,"There's the germ of a good idea here; the ancient gods being resurrected and changing over time; and their modern regime; and it's struggles; and their attempts to stop the apocolypse...But this is such COMIC BOOK writing...Why couldn't they have gotten more serious writers and addressed this on a deeper, cooler, more epic level; as opposed to another stupid episode of Smallville?  The ideas aren't bad but the execution is very mid, very meh, very comic book ..It's the kind of thing that will be laughed at and ridiculed down the road...Much like disco and break dancing movies are now...Or stupid Rom/coms from the 2000s...It isn't SERIOUS.

Overall: Not recommended"
"Mar 2, 2024",NEUTRAL,Very Underrated film. It will age well.
"Mar 1, 2024",POSITIVE,"De lo mejor de marvel, creo que muchas de las críticas negativas son superficiales."
"Feb 29, 2024",NEGATIVE,This is one of the most boring movies I have ever sat through. Well I made it to 45 minutes hence the half star. It would have been given no stars but since I walked out I could not speak to the rest of the movie.  I also realize this review is late but it will hopefully stop you from wasting any of your time or at least 45 minutes.
"Feb 28, 2024",NEGATIVE,Lost my intrest halfway then continued watching and then just left
"Feb 28, 2024",POSITIVE,"Freshest MCU movie to date imo. Rewatched it and it still holds up on its own. The world building is perfect, and relationships between the cast members is believable and relatable. The movie gets hate for no reason, actually for bad reason, as all the MCU movies that follow up until the end of 2023 is so bad that you really wish Eternals carried the torch on how to keep MCU movies fresh for the next phases. Audiences need to grow with the movies (most of us are working, married with kids, paying huge bills, etc. now) and we need MCU movies that are completely different with the cookie cutters to be exciting again. 10/10 and I hope the sequel stays exactly the same design-wise, bring back the director please."
"Feb 26, 2024",NEGATIVE,Lo único rescatable para mí es la actriz lía mchugh
"Feb 26, 2024",NEGATIVE,The fight scenes were fun to watch but pretty short.  The time jumping is annoying.  Unnecessary love interest.  The plot is dumb to me.  Tries making infinity stones irrelevant.  But the celestials are so unnecessary and unneeded.
"Feb 24, 2024",POSITIVE,"A wandering landscape, epic timelines, they fit a novel into the pictures and relationships, but not a ton of dialogue. I enjoyed it for being a chill super hero movie."
