Date,Score,Reviews
"Dec 9, 2022",POSITIVE,"Subtle, sometimes too much... However, brining a festive note to characters that others reject and make fun of is always welcome. [Full review in Spanish]"
"Jan 20, 2021",POSITIVE,Gloria is magnetic and radiant... I left the theater feeling a little sad that a female lead like Garcia and a film like Gloria are both so rare.
"Mar 14, 2019",POSITIVE,There's less of an endgame than a scenario allowed to run its course. García is fantastic in the role with an attitude that refuses to stay quiet when something must be said.
"Mar 5, 2019",POSITIVE," Chilean director Sebastián Lelio’s Gloria (2013) is a lighthearted examination of a country in a state of flux, told beautifully through the tragic endeavours of its hopelessly romantic protagonist, that’s both charming and culturally enlightening. Gloria (Paulina Garcia) is an ageing divorcee living alone in her one bedroom apartment, who’s determined not to spend the rest of her days alone. She spends her evenings at a local singles club where she drinks cocktails and dances to disco music amongst a rabble of similarly lonely souls, each desperately attempting to rebel against their solitude and fight off the advance of old age. It’s here that Gloria meets Rudolfo (Sergio Hernandez), an ex-naval officer, seven years her senior, who whisks her of her feet. That evening, a night of awkward, fumbling lovemaking becomes the catalyst for a steady relationship. However, despite an encouraging start, it quickly becomes apparent that Rudolfo’s divorce is far more recent than Gloria’s, and the scars of his troubled marriage are still clear for all to see. Gloria sees potential for a lifelong relationship, yet Rudolfo’s inability to completely separate himself from his past slowly begins to raise question over his commitment to her and his capacity to adapt to a new life. The camera’s gaze never leaves our heroine’s presence, and the film is all the more enjoyable for it. With Gloria, Garcia has created a complex and incredibly affable character that oozes heartfelt emotion, be it her charming romantic optimism or how she copes with the stifling isolation of singledom. A refreshingly empowered woman of advancing years, this fragile yet confident woman seizes control of her life and embraces the liberation she’s presently enjoying, culminating in a film full of vivacity, warmth and charisma. Not dissimilar to the majority of Chilean film’s that have found themselves an appreciative audience overseas, Lelio’s offering does provide a non-to-subtle allegory for a country in transition, learning to except its freedom from dictatorship whilst constantly undergoing a political metamorphoses. Whilst nowhere near as powerful or alarming as Pablo Larraín’s Post Mortem (2010) or as pensive and contemplative as Nostalgia For The Light (2012), Lelio’s lighthearted approach is no less effective at illuminating Chile’s bleak and troubled history. A s smart, sensitive and bitterly funny romantic comedy, elegantly played out against the backdrop of a county whose political scars are still very much evident, Lelio’s endlessly impressive Gloria is on of the most enjoyable and heartwarming films of the year."
"Dec 3, 2017",POSITIVE,"The wonder is that Gloria becomes truly beautiful as the movie goes on. As in real life, as we get to know her, we fall in love with her, and the way she appears to us changes."
"Jun 8, 2016",POSITIVE,"What truly makes the film riveting is Paulina Garca's performance as the title character -- and she appears in nearly every shot. With a wide, truly contagious smile, Garca exudes a lived-in confidence and control with every movement."
"Sep 10, 2015",POSITIVE,One of the best Chilean films of the 21st century. [Full review in Spanish]
"Sep 9, 2015",POSITIVE," Malentender la soledad como un veneno está matando a Gloria (Paulina García). Lánguida, taciturna, esta mujer entrada en sus 50 es el éxito de un fracaso universal: la búsqueda de la felicidad en la presencia de los otros. Gloria es la costumbre de enajenar al yo en un mundo que considera la extroversión un valor esencial, y la introversión un pecado contra la comunidad. Como muchos entre nosotros, ella no está sola; se siente así. Gloria cree que la soledad se cura con los ansiolíticos que improvisa la desesperación: el baile de pareja, el sexo, el romance por encima del amor, el tabaco. Todas son soluciones emergentes, efímeras, necesidades creadas que bloquean la comunión esencial del humano, que es la reunión con el yo. La primera imagen de la protagonista de Sebastián Lelio expresa su angustia con una esencialidad fuerte: ella bebe sola en la barra de un animado club nocturno y se mueve despacio entre la gente de su edad, que baila con ánimo mientras ella los contempla con el rostro manchado de tristeza. Cuando comienza a platicar o a bailar con otros su expresión cambia, su corazón se alivia. El contraste viene inmediatamente, cuando Gloria irremediablemente abandona el escape de su vida y regresa hacia la normalidad. El retorno a la innegable soledad es doloroso para Gloria, quien se busca un respiro en sus pequeños vicios y las llamadas a sus hijos. “Soy tu mamá”, les deja dicho en el buzón de voz, como orden, más bien chantaje, para que le arrojen un salvavidas, un permiso para visitarlos. En Gloria (2013), Lelio utiliza un contexto de enajenación cultural para exigir un rescate de la introspección. Convertida en minoría, Gloria, que se siente vieja y apartada por la cultura de la omnipresencia, del celular que no deja hablar con el interlocutor presente ni con el remoto; de las nuevas concepciones de familia, y del cultivo del físico, no puede integrarse al mundo sin sentirse remota y decide terminar sus largos años como soltera divorciada con un hombre de su edad, Rodolfo (Sergio Hernández), y escapar al fin hacia un sueño donde nunca más estará sola. Se le olvida que Rodolfo, como ella, es real. También divorciado, el novio de Gloria tiene un pasado. La incapacidad de ambos para aceptar el bagaje del otro se convierte en el derrumbe de la ilusión que logran crear con lecturas de poemas y apasionados encuentros eróticos. Rodolfo tiene dos hijas y una exesposa que no sólo dependen de él, sino que son dependientes. Gloria se muestra intolerante desde la primera llamada entrometida que corta un rato de amor, porque después de sentirse tan aislada ella hubiera esperado que su relación fuera perfecta. Rodolfo desaparece cuando Gloria lo ignora en una fiesta familiar y, peor, se sienta al lado de su exesposo para ver las fotos de sus hijos. Indignada por su reacción, Gloria no vuelve a contestarle el teléfono. Lelio encuentra en el egoísmo, en la furiosa obsesión por lo idóneo, el fracaso del amor porque para él, como para Erich Fromm, amar es conocer, respetar, cuidar, responsabilizarse. Gloria y Rodolfo se incomodan ante el otro cuando descubren el pasado de cada quien y se rehúsan a aceptarse, pero la soledad que cargan en sus almas y que les hace necesitar del otro los reúne sólo para terminar en la recurrencia. Esta visión tan limitada se percibe en los símbolos que Gloria ignora, como el independiente gato que restaura el orden, o que reconoce con horror, como el esqueleto bailarín que le recuerda su mortalidad, porque, según nos expresa Lelio, Gloria va de error en error, como consecuencia de su búsqueda del amor y la aceptación afuera y no adentro de sí. Pero Gloria concluye con esperanza, aunque requiere de una epifanía real entre las muchas distorsiones  de su protagonista el que finalmente se pierda en la masa que baila una famosa canción que lleva su nombre. Gloria se confunde entre los otros después de rechazar una invitación a bailar porque al fin ha dejado de necesitar a la comunidad tras una violenta catarsis y un encuentro en el abandono: el de sí. Lelio cumple su objetivo después de hacer luchar a su protagonista y la recompensa con la contradicción de su deseo por un gran escape: una gran captura. El estereotipo de la soledad se invierte cuando Gloria se aprehende y puede, al fin, bailar sola. Gloria se presenta actualmente en MUBI México, los invitamos a probar el servicio de manera gratuita durante 30 días en el siguiente enlace: mubi.com/butacaancha. Cada película del catálogo de MUBI estará disponible 30 días, cada día habrá una nueva película. La suscripción a MUBI tiene un costo de 69 pesos al mes y está disponible en diversas plataformas. En caso de pagar por un año de servicio, se les hace un 30% de descuento. Aprovechen."
"Jan 5, 2015",POSITIVE," The first time the viewer sees Paulina García’s Gloria at the bar of a crowded nightclub for middle-aged singles, the sound of Frecuencia Mod’s upbeat ‘Duele, duele tu amor’ (‘Your Love Hurts’) rings out. With a glass of pisco sour in her hand and her arm positioned confidently on the bar, she casts her eye around the room and then swings purposefully across the dance floor to introduce herself to a potential new partner as Donna Summer’s ‘I Feel Love’ resonates across the room. The sonic commentary offered by the two opening numbers sets the scene for Sebastián Lelio’s perceptive and entertaining study of a feisty, free-spirited 58-year-old divorcee, putting aside the pain of past relationships in her search for passion, companionship and a partner who shares her zeal for dance. Gloria’s early scenes are framed against a series of torch-song numbers that both comment on the action and complement the snippets of exposition revealed by Gloria’s encounters and conversations. Divorced for over a decade, she lives in a small apartment where she suffers upstairs neighbours – it is never clear if it is a single disturbed neighbour or a warring couple – arguing noisily late into the night. She leaves buoyant messages for her grown-up daughter Ana (Fabiola Zamora) and son Pedro (Diego Fontecilla), reminding them to call her – the implication being that she hears from them less than she would like. Gloria is single and lonely but refuses to give up. She croons along in the car to Massiel’s ‘Eres’ (‘You Are’) as she drives to work. The lyrics – “You are the response I couldn’t find in my silence… You are my king” – point to the traditional relationship model she’s searching for. The plethora of songs and music that underscore the film’s action, from the melancholy of Bach’s Partita in D minor for solo violin to Paloma San Basilio’s ‘Libre’, position Gloria’s adventures within a litany of tales of emotional survival in the aftermath of romantic heartbreak. Gloria is surrounded by a number of less than perfect relationships. “Are you going to tell me what to do?” thunders one of her neighbours to the other, ominously. Her son Pedro responds in an acerbic tone to the absent mother of his small child when she rings home. Her ex-husband Gabriel (Alejandro Goic) evidently has a strained relationship with his daughter – he is the last to know that she is expecting her Swedish boyfriend’s baby. And yet the film seems to suggest that Gloria’s family dynamics are no more problematic than those experienced by other characters in the film. The recently divorced Rodolfo (Sergio Hernández), the retired naval officer Gloria begins a relationship with, has two grown-up daughters who appear utterly dependent on him. When Gloria brings him along to meet her family at Pedro’s birthday dinner, Rodolfo sheepishly reveals that his daughters never graduated, have no employment and still live at home. Indeed, on many levels Gloria enjoys a good relationship with her children: she visits her son and helps with his sick baby; and when she drives Ana to Santiago airport to catch a plane to join her boyfriend in Sweden, Ana appears genuinely distraught at parting from her. The film’s pulse comes in many ways from García’s brave and beautiful central performance. She dominates the movie from the very beginning as the camera picks her out in the swarming disco. She is present in every frame and Lelio shapes the film to ensure that the viewer is given the sense of entering her world, sharing the front seat of her car as she drives to work and the intimacy of her lovemaking scenes with Rodolfo. Her large round glasses frame slanting, expressive eyes and heavy lids noticeably dressed up with eye shadow; her flicked-back hair has something of a 1970s feel. García exudes the humanity of Carmen Maura’s genial Pepa in Almodóvar’s Women on the Verge of a Nervous Breakdown (1988), with the sexual energy of Diane Keaton’s Theresa Dunn in Richard Brooks’s Looking for Mr Goodbar (1977). Her positive outlook and willingness to try anything – including bungee jumping and marijuana – generate Rodolfo’s pick-up line: “Are you always this happy?” Gloria and Rodolfo’s sexual encounters are marked by the sight of flabby flesh and the sounds of slobbering kisses and heavy breathing. Gloria is a film about ageing and the management of change: Rodolfo has had a gastric bypass to deal with obesity but can’t handle his sagging waistline. He constricts himself within a girdle – a potent metaphor for his own emotional imprisonment – which Gloria rips off with a glorious sense of purpose. Gloria herself is diagnosed with glaucoma and must take action to avoid going blind. The film’s strength is that it operates both as a compelling character study of an alluring, humane protagonist whose fragility and resourcefulness sit side by side, and as a wider contemplation of the state of the nation, without the latter dimension ever appearing forced or imposed. There are scenes of protests on the TV as Gloria chats on the telephone at home, testifying to the wider turmoil besetting Santiago; she is framed by crowds of protesters carrying placards as she leaves a city café; and at a dinner party she bemoans the cost of medical treatment while her friend describes Chile as a ghost nation. Like Gloria and Rodolfo, the country is managing transition, from the lasting infrastructures of a dying dictatorship to a more pliable democratic model. But whereas Gloria is determined to move forward and let her children live their own lives, Rodolfo is trapped by a past that he can’t (and perhaps doesn’t even want to) let go. The fact that his adult daughters rely on him financially and emotionally is perhaps a comment on a generation who grew up in the shadow of a dictatorship that would not let them make decisions for themselves. Rodolfo seems content to let this culture of dependency continue, to the detriment of his relationship with Gloria. Hernández imbues Rodolfo with childish attributes: pleading eyes, overblown declarations of devotion, a petulant inability to deal with not being the centre of attention. He takes Gloria paintballing on their first date. “Men like to play war,” he informs her in a telling indictment of the macho culture that spawned and cocooned the Pinochet regime. The disclosure of Rodolfo’s military past leads to an awkward silence at Pedro’s birthday dinner. “Who is this man?” asks Ana after his embarrassing silent departure. There is an admirable visual economy to Gloria. The central protagonist’s emotional state emerges not only through the music, which works, the director has said, “almost like a Greek chorus”, but also through image association: a dancing skeleton in a shopping arcade embodies both Gloria’s sense of mortality and her lissom energy; the use of Mahler’s Adagietto from his Fifth Symphony as she sits at the hairdressers with her hair sculpted in tight curls suggests a parallel with the ageing Aschenbach in Visconti’s Death in Venice (1971). At the end of the film, Gloria embarks on a spring clean, hoovering her car (and by association her life) of unnecessary clutter. She returns Rodolfo’s paintballing guns with a flourish: dressed in black dress, heels and a red sequined bolero jacket, she fires green paint across both Rodolfo and his house while his overweight daughters rush like giant toddlers to his aid – a playful reference to Women on the Verge. In the final sequence she styles her hair in the mirror, cigarette in mouth, creating a new look for herself. Singing along to Umberto Tozzi’s ‘Gloria’ at a wedding party, she refuses an invitation to dance and subsequently takes to the floor at her own rhythm. Her style is all her own: passionate, fearless, determined and, like Lelio’s film, eloquently uplifting."
"Jan 5, 2015",POSITIVE,"The film is a showcase for Garca's rich and varied performance. When it comes to finding meaning in Gloria's story, though, Lelio leaves that up to us."
