Date,Score,Reviews
"Apr 12, 2024",POSITIVE,This movie is great from start to finish
"Apr 12, 2024",POSITIVE,I think this Godzilla movie is fantastic but one of the worst theater experience ever from amc but the rest of the movie was amazing and terrifying and sad but I am excited for the DVD and Blu-ray
"Apr 12, 2024",POSITIVE,"THIS WAS THE BEST MOVIE EVER!
One of the first times when human action was awesome!
Such an emotional and awe inspiring journey!
Loved it would recommend
10/10"
"Apr 12, 2024",POSITIVE,This is how a Godzilla movie should be! Driven by by Japanese-style human drama instead of mindless Hollywood destruction and special effects. The best Godzilla movie ever.
"Apr 12, 2024",POSITIVE,"WHY IS IT SO GOOD?! Everything down to the soundtrack, characters, and story are absolutely flawless. Even the 10 million dollar budget CGI, although flawed, was amazing. I can't believe I cried for the half of the movie's runtime. I also hate and love Godzilla so much."
"Apr 12, 2024",POSITIVE,La película más realista de Godzilla.
"Apr 11, 2024",POSITIVE,"This is what Hollywood should aim for. This was a beautiful movie with a very well written cast of characters and Godzilla maintained his charm without loosing it from the Human characters and was used quite well.
I'm glad that this movie has been extremely successful and that Toho continues to make more well written and thought out stories with Godzilla."
"Apr 11, 2024",POSITIVE,It was great! It's waaaay better than the garbage Hollywood has been churning out. Hollywood is only producing leftist trash. I loved how Godzilla minus one showed that people don't need to rely on government. It also focuses on family. It's an absolute must watch!
"Apr 10, 2024",POSITIVE,"Setting aside my love of Godzilla. This may have been the best movie of the year. As an OIF/OEF vet, much of what he went though, and several different themes rang true. Even without ""Big G"", this was just a great drama. I hope they don't make another one, how could it be better than Minus One?"
"Apr 9, 2024",POSITIVE,Película de Godzilla muy fina de ver y con tan bajo presupuesto se pudo hacer una obra de arte
"Apr 7, 2024",NEGATIVE,"This movie was trash. Human characters are stupid, plot is same as others movies that have the same plot, VFX effects are actually good and godzilla was only good part. is a waste of time -1/10"
"Apr 7, 2024",POSITIVE,"Amazing film, definitely top 3 in the Godzilla universe."
"Apr 7, 2024",POSITIVE,Low key masterpiece!
"Apr 6, 2024",POSITIVE,"Man oh man what a ride this one was. I chanced the trip to Tucson in my van that is edging ever closer to 300,000 miles, and that is about the payoff I got. 

The plot is masterful, the creature spfx are enormous, and rightly deserved the Oscar it won, and the best part? There are no oxygen destroyers, no fantasy fictitious scientific weapons. Nothing but real life applications such as ship cabling and explosive laden aircraft to employ in their frantic effort to take the monster down. And the cliffhanger of the dorsal fin shaped radiation burn spreading across the female protagonist's neck was the best part.
I sincerely hope that there will either be a direct sequel or that Yamazaki is tapped to do another kaiju film. I know I will be watching!"
"Apr 5, 2024",POSITIVE,"I wanted to wait a bit to make sure it wasn't recency bias, but I'm confident in calling Godzilla Minus One the best Godzilla movie in the franchise's 35+ catalog. With a gripping story of confronting and dealing with grief and guilt, the film utilizes Godzilla as a perfect representation of the internal and external chaos we encounter in life. Only by learning to value and cherish his own life does Kōichi find true purpose in living. Every human character is incredible in their writing and acting. Godzilla is a terrifying presence that capitalizes on every element that makes him a great antagonist. The low budget is often brought up as part of the mind-blowing realization that this movie fits right in with Hollywood's best effects, and for good reason. With Oscar-winning visuals, Godzilla Minus One is able to deliver one of the best stories of 2023 with a beautiful canvas in its presentation. Always thrilled to see the Kaiju genre be used so masterfully."
"Apr 4, 2024",POSITIVE,"""THE BEST MOVIE OF 2023"" IS ALL I CAN SEE WHEN I WATCHED THE MOVIE. It was perfect, every single bit of the movie. The atomic breath scene with the dorsal fins look very clean. I thought for a second when I watched the trailer that the city behind Godzilla really was destroyed, turns out I was wrong, it was just the best CGI I have ever seen. This movie shouldn't just deserve only 1 Oscar for just best action movie, It deserves best movie of the year."
"Apr 4, 2024",POSITIVE,This is an absolute masterpiece!!! Highly recommend
"Apr 3, 2024",NEGATIVE,This is a boring and and quite lacking film. This doesn't even come close to Godzilla x King Kong.
"Apr 3, 2024",POSITIVE,This movie is perfection. I have no complaints. It's absolutely amazing. Godzilla having meaning again and being a metaphor for the horrors of humanities creation is tragically beautiful. Definitely the best human plot I've seen in any film of the daikaiju genre
"Apr 2, 2024",NEUTRAL,"A little too talky, but the monster stuff is way good!"
"Apr 1, 2024",POSITIVE,"This is the first and only Godzilla movie that made me care about humans in movie all other Godzilla movies America and japan I never like boring except for one and two nothing more Godzilla actually looks terrifying to me any other Godzilla movies he never look scary to me this is better than shin Godzilla human parts are not as boring compared to shin Godzilla and more likable and Godzilla fights as should not like transformer in shin Godzilla shooting lasers from tail and back fins.,"
"Apr 1, 2024",POSITIVE,"This movie was perfectly executed. From the storyline and acting, to the visual effects and cinematography- my expectations were far exceeded. I found zero faults with this film."
"Apr 1, 2024",POSITIVE,"The greatest solo kaiju feature of all time, a beautiful story, mixed with beautiful effects, and amazing acting from everyone involved.
I had to wipe my tears away in time for the next scenes constantly."
"Apr 1, 2024",POSITIVE,"I never expected even to watch another Godzilla movie, but luckily I read some rave reviews and went. This is one of the strongest recent movies from any country, and it may be the greatest giant monster movie ever made, in part because of the stellar special effects, cinematography, editing etc., but mainly because you care deeply about the human characters--all of them, including the nameless city dwellers who have to face destruction. There's a strong sense of tragedy that is right up front and really makes you love the characters, even the ones who seem at first to have been crushed by the war. They recover in moving ways. There's a moment early on when an embittered neighbor lady who has lost everyone in her family suddenly makes a decision to help an orphaned baby and the young mother who has taken her in. It sounds cheesy, but the actors make it work really well. At that point I realized this might be something special, and it keeps getting better and more gripping from there. There's another moment where a major character gets swept away, as if she were nothing, that made me sob loudly  in a theater for the first time in years. Great psychological depth throughout, and politically interesting in that its disillusioned heroes are striving toward a different form of heroism than the fascist wartime version of heroism as self-destruction.  If you want to see a convincing movie about the power of hope, watch this. Plus it's got the best little crying girl in movie history."
"Mar 31, 2024",POSITIVE,"I can't add anything more than what has been said, except that the hype is real.  This IS an exceptional film, that just happens to be a Kaiju movie."
"Mar 31, 2024",POSITIVE,Simply moving and brilliant on a human scale and the brutal terrifying force that is GODZILLA takes the whole movie to 11! Best Godzilla movie next to the original 1954 film.
"Mar 31, 2024",POSITIVE,Easily the best and scariest Godzilla movie so far. The time spent with the human drama could stand to be a little shorter but still a great movie.
"Mar 31, 2024",POSITIVE,Expected to enjoy the movie but surprisingly loved it. Top 5 movies i ever seen. Can't wait to see it again.
"Mar 31, 2024",POSITIVE,This is the one I wanted to meet after all! The long-awaited Godzilla's overwhelming presence is the best!
"Mar 31, 2024",POSITIVE,"Es impresionante, es simplemente... arte"
"Mar 31, 2024",POSITIVE,Unica y de verdad es una obra de arte
"Mar 31, 2024",POSITIVE,I love this movie and the story and Godzilla this is definitely the best Godzilla movie I've seen 10 out of 10
"Mar 30, 2024",NEGATIVE,EHHHHH.  it's whatever.  I fell asleep.
"Mar 30, 2024",POSITIVE,"This film is beyond your average monster movie, it has a thrilling story, deep and fleshed out human characters and gorgeous visual effects.
Godzilla in this film, although smaller than his monster-verse counterpart, is pure terror and an unstoppable force of nature. Deserved Oscar winner, the atomic breath scene gives me chills every time."
"Mar 30, 2024",NEUTRAL,"Yes it is soooooooo
Hooooooooody wooody looody heoes"
"Mar 30, 2024",POSITIVE,Truly amazing to see the human side done so well
"Mar 30, 2024",POSITIVE,Truly an amazing and beautiful piece to have the pleasure of viewing. Can't wait for the digital release!
"Mar 29, 2024",POSITIVE,One of the best movies I have ever seen. Didn't really know what to expect as it was the first Japanese style Godzilla film I had seen in a very long time and it blew me away. Enjoyed it alot
"Mar 29, 2024",POSITIVE,"The amount of emotions you go through in this movie is crazy for a monster movie.
But it isn't just that, it has heart, character and the humans in this you actually care for.
I never expected to be emotional over a Kaiju movie.
A well deserved Oscar too."
