Date,Score,Reviews
"Apr 7, 2024",POSITIVE," One year shy of its 70th anniversary, Godzilla makes a return to the big screen with a Tojo effort that makes the American renditions look like drive-in disasters in Godzilla Minus One. At the tale end of World War II, a Japanese kamikaze pilot (Ryunosuke Kamiki) makes an emergency landing on a small mechanics’ island where he hopes no one will figure out that he’s deserted in the face of fear. His worst nightmares are realized but no one will bear witness as Godzilla strikes and kills nearly everyone on the island except our protagonist and one mechanic. As he returns home, the destruction of the war has left the country reeling and with his parents dead, he seems adrift in his shame and frustration, returning to work as a necessity. It’s while working on a wooden fishing boat blowing up floating mines that he and his crewmates discover that Godzilla is back and will be heading for mainland Japan. They can’t stop him the first time but a crew of retired military seamen will certainly try to stop his eventual second arrival. While the film doesn’t entirely deal with the human devastation the war caused, nor the nuclear origins of Godzilla, it paints the Japanese people as beleaguered but undeterred in rising from the devastation and preventing it from happening again. That theme succinctly frames the post-war struggle of Japanese society and its intent to rise from the ashes stronger and better. It gives the narrative added resonance even with all the monster elements that make it fit within the long history of Godzilla films. The performances range from passive (Kamiki and Minami Hamabe as his wife) to excessive (Kuranosuke Sasaki as the gruff boat captain) with only Yuki Yamada as the young crewman who didn’t get to fight in the war due to his age striking the right balance. While those exaggerated performances fit better within a traditional Godzilla movie, this felt like it was trying to be a more crafty disaster movie than monster movie. To that end, the visual effects were largely good, though the opening sequence where Kamiki is landing on the island looked incredibly chintzy as if they wasted their budget on everything else and had to make do with the start. Beginning poorly can have its benefits but that’s a rare situation and this wasn’t one of them. Godzilla Minus One, in spite of its flaws, is an enjoyable film that hits its beats nearly perfectly, eliciting emotion with careful precision. The king of monster/disaster films remains such in his latest outing. While it might not be the dramatic interpretation we should have gotten, it’s still immensely entertaining."
"Apr 1, 2024",POSITIVE,Yamazaki is using &#8220;Godzilla Minus One&#8221; to create an alternate history where the World War II Japanese veterans are not possible war criminals&#44; but valiant defenders of people&#46; 
"Mar 29, 2024",POSITIVE,Imagine asking not &#8220;how cool would it be if&#8230;&#8221; rather&#44; &#8220;how can our monster test our fully-realized human characters&#44; and &#8220;how can we use our monster as a tool of social commentary&#44; a means to explore and critique aspects of the culture that created it&#63;&#8221; 
"Mar 21, 2024",POSITIVE,&quot;Godzilla&apos;s properly menacing&#44; the emotional &#91;moments&#93; work&#44; &#91;and it makes you&#93; excited to see what Toho has coming next&#46;&quot;
"Mar 12, 2024",POSITIVE," While it might have felt like the cinema of 2023 was all about Barbie and the Bomb, there were plenty of other films that likewise made their marks, whether critically, commercially or controversially. Here, then, are my picks for the 10 best movies of 2023, followed by 10 worthy runners-up and other assorted superlatives. 1. POOR THINGS (Yorgos Lanthimos). The best film of 2023. Working from Alasdair Gray’s same-named novel, director Yorgos Lanthimos (whose 2018 release The Favourite earned my vote as the best picture of that year; go here) and screenwriter Tony McNamara have fashioned a true oddity, a Frankenstein Meets Forrest Gump flick filtered through a feminist focus. Emma Stone, taking a bold leap up to the level of today’s greatest actresses, stars as Bella, a suicide victim who’s brought back to life in the most fantastical way by quirky scientist Godwin Baxter (Willem Dafoe). Under the tutelage of Godwin, the childlike Bella receives an education within the strict confines of home, but as she matures, she realizes she wants to explore the outside world. And thus she takes off with a seedy lawyer (a hilarious Mark Ruffalo), growing ever more bold as she samples life’s perils and pleasures and in the process discovers her true self. To say that Poor Things isn’t for everyone is an understatement, yet those willing to go along for the sometimes gross yet always giddy ride will experience a movie that, much like Barbie, illustrates how a woman who knows nothing of our world’s crippling problems and prejudices might carve her own path in pursuit of becoming fully human and fully independent. 2. THE HOLDOVERS (Alexander Payne). No stranger to my 10 Best lists — The Descendants was my #1 for 2011 while 2004’s Sideways and 1999’s Election also placed extremely high — director Alexander Payne (working with scripter David Hemingson) serves up a small-scale gem that, by utilizing a 1970s setting, manages to recall the intimate cinema of that period. Paul Giamatti is perfect as Paul Hunham, a grouchy professor at a New England prep school. Despised by practically everyone, he’s given the unenviable task of looking after a group of kids with nowhere to go over the Christmas break. When he’s not hanging out with the school cook (Da’Vine Joy Randolph, matching her marvelous performance in Dolemite Is My Name), he’s spending time with the most troubled of the students (Dominic Sessa, an actual New England prep school student making a remarkable film debut). Full of humor and pathos, this is one of those unassuming treats that overpowers the viewer with its enormous humanist bent. 3. ALL OF US STRANGERS (Andrew Haigh). No movie from 2022 emotionally wiped me out as much as Charlotte Wells’ Aftersun, and no movie from 2023 emotionally wiped me out as much as Andrew Haigh’s All of Us Strangers. Paul Mescal proves to be the connective tissue: Delivering a performance in Aftersun that earned him a Best Actor Oscar nomination, he’s in support here; the star is Sherlock and Fleabag regular Andrew Scott, in a performance that should have earned him (but didn’t) a Best Actor Oscar nomination. Scott offers a wonderfully nuanced turn as a gay writer who sees dead people — namely, the parents (Jamie Bell and Claire Foy) who died in a car crash when he was a child. His time with his folks is intercut with time spent with his equally lonely neighbor (Mescal), but it’s not long before the two worlds converge. Rich in meaning and metaphor, and open to various interpretations, this is a rueful and haunting study about letting people in and letting people go. 4. OPPENHEIMER (Christopher Nolan). It was quite gratifying to see that both halves of the Barbenheimer phenomenon lived up to the hype, with the approving frenzy so ear-piercingly loud that it probably belonged in an IMAX production directed by Christopher Nolan. While Barbie offers sunshine and rainbow colors to go with its satiric and social themes, Oppenheimer understandably hangs under a mushroom cloud of darkly troubling sociopolitical issues. Cillian Murphy is excellent as J. Robert Oppenheimer, the physicist whose work on the Manhattan Project led to the creation of the atom bomb — as for the all-star cast surrounding him (Emily Blunt, Robert Downey Jr., etc.), Nolan hasn’t merely collected A-listers as if they were baseball cards but instead employs their characters to help round out Oppenheimer’s story, in the process lending greater import and understanding to the thorny proceedings. 5. ARE YOU THERE GOD? IT’S ME, MARGARET (Kelly Fremon Craig). Based on Judy Blume’s landmark novel, this focuses on 11-year-old Margaret Simon (Abby Ryder Fortson) and the circumstances that arise when her mom (a phenomenal Rachel McAdams) and dad (Benny Safdie) decide to relocate from NYC to a New Jersey suburb. With the full backing of Blume, writer-director Kelly Fremon Craig (The Edge of Seventeen) has fashioned a splendid coming-of-age film that’s both sensitive and perceptive — it steers clear of condescension, mean-spiritedness, and glib humor in order to truly understand the tribulations of not just Margaret but also her friends and family. This unfortunately proved to be a commercial underachiever — given what was dominating the box office at the time, perhaps they should have renamed it Are You There Mario? It’s Me, Luigi. 6. AMERICAN FICTION (Cord Jefferson). A formidable actor who has lent his support to everyone from James Bond to Katniss Everdeen, Jeffrey Wright finally lands the (leading) role of his career in this black comedy about Black literature. Wright delivers a beautiful slow-burn performance as Thelonious “Monk” Ellison, an academic author whose novels are rejected for not being “black” enough. After another scribe (Issa Rae) hits it big with a book called We’s Lives in Da Ghetto, a frustrated Monk writes a deliberately pandering novel in the guise of a fictional former convict (“Stagg R. Leigh,” from the similarly titled blues folk song) and then is flabbergasted when it’s a success. Few films from 2023 can match this one for sizable belly laughs, but the guffaws never obfuscate the issues at hand, particularly the reductiveness and stereotyping of the Black experience in America. 7. BARBIE (Greta Gerwig). What’s left to say about this cultural tsunami, a zeitgeist rattler so potent that even the usual armies of MRAs couldn’t disturb one strand of hair on its perfectly coifed head? (Not that they didn’t try; see the FOX “News” rants as well as all those down votes on IMDb.) Writer-director Greta Gerwig and co-scripter Noah Baumbach have created a colorful confection that benefits from the inspired casting of Margot Robbie and Ryan Gosling as Barbie and just Ken. The laughs are plentiful — some of the year’s biggest nyuks can be found in its digs at film school grads, Justice League fanboys, and Matchbox Twenty — but what makes Barbie truly work is its deft tackling of themes like existential crises, toxic masculinity, feminist self-worth, overarching capitalism, and the dangers of both the patriarchy and the matriarchy (the latter a key point conveniently ignored by the whiny detractors). 8. THE TASTE OF THINGS (Trần Anh Hùng). I certainly didn’t expect a porn flick to land on this list, yet here we are. To clarify, I mean “food porn”: Like Babette’s Feast, Eat Drink Man Woman, and others, this is the sort of film where one can get aroused not only by the mouth-watering shots of delectable cuisine but also by the filmmakers’ ability to allow the gastronomy and the philosophy to commingle. Think of it as the art of the meal. Titled La Passion de Dodin Bouffant in its French homeland, this lovely effort from French-Vietnamese director Trần Anh Hùng centers on a 19th-century gourmet (Benoît Magimel) and the woman (Juliette Binoche) who has served as his cook and lover for 20 years. I suppose the central romances in Fallen Leaves and Past Lives might hold slightly more urgency and currency, but those films didn’t offer co-starring roles to a vol-au-vent and a Baked Alaska. 9. THE TEACHERS’ LOUNGE (Ilker Çatak). Movies have long employed the high school to serve as a microcosm of an ailing society at large, and this German import can proudly and profoundly be added to the ledger that also includes the likes of Election, Brick, and the underrated Teachers. A middle school harbors a thief from within, and the teachers automatically assume a student is the culprit. But when an idealistic teacher (Leonie Benesch) arrives at a different conclusion and reports her findings, all hell breaks loose. As tense as any thriller, this slowly and masterfully introduces a host of real-world problems into its storyline, including the tendency of people to offer opinions without all the facts, the employment of social media to distort and distract, and the blurring of lines between ostensible heroes and villains. The non-ending is a letdown, but everything else merits a circled red A. 10. SALTBURN (Emerald Fennell). Certainly, it doesn’t feel like this divisive effort from writer-director Emerald Fennell (whose Promising Young Woman was my pick for the best film of 2020; go here) should be placed above some of the heavy hitters cited on my Honorable Mentions list below. And those folks who groused about this largely being a rip-off of The Talented Mr. Ripley weren’t entirely incorrect. Yet there’s something to be said about movies that take root in the mind’s eye and refuse to leave, and this one has lingered more than many on this list. This story about a young man (Barry Keoghan) worming his way into an aristocratic family’s everyday existence is occasionally predictable, but the daring nature of Fennell’s approach, the spectacular visual palate, and Keoghan’s letting-it-all-hang-out (literally) performance are anything but pat. It’s Gothic stateliness by way of Goth subculture — enter at your own risk. 2023 Movie I’m Most Sorry to Have Seen:
The Killer. I was initially going to go with The Exorcist: Believer, but since it was from the writer of Halloween Ends and Firestarter, it probably never stood a chance of being watchable to anyone but the easily startled. The Killer, on the other hand, hails from David Fincher, who’s made a few fine movies (Seven, The Social Network) over the decades. This dismal dud isn’t one of them. It plays like a John Wick flick for people who think they’re too good for a John Wick flick, and the problem with Michael Fassbender’s borderline incompetent assassin isn’t that he’s unappealing but that he’s a boring zero. 2023 Movie I’m Least Sorry to Have Missed:
Rebel Moon: Part One – A Child of Fire. Since it was made by a pair of QAnon nutjobs, I was initially going to go with Sound of Freedom, but why give them even the time of day? Rebel Moon, on the other hand, hails from Zack Snyder, who actually directed a pair of decent movies (Dawn of the Dead, Watchmen) decades ago but has been flailing since. So if even the fanboys who worshipped the silly Sucker Punch, the miserable Man of Steel, and that excruciating 15-hour cut of Justice League are turning their noses up at this one, then it must be a real stinker. For now, I guess Rebel Moon: Part Two – The Scargiver has dibs on 2024 Movie I’m Least Sorry to Have Missed. None of the reviews of ANATOMY OF A FALL mention the extraordinary performance of the young actor who plays Daniel, the son of Sandra Hiller’s character. What is his name?"
"Mar 12, 2024",POSITIVE,A surprisingly emotional melodrama bolsters what may stand as the most enjoyable Godzilla movie ever made in Yamazaki&apos;s call back to the nuclear creature&apos;s origins&#46; 
"Feb 6, 2024",POSITIVE," Next month, Hollywood’s latest Godzilla movie will hit theaters. Titled Godzilla x Kong: The New Empire, it will join Warner Bros.’ “MonsterVerse,” a glitzy American spin on a formula that Toho Pictures began in 1954 with the original Godzilla. The film features a fearsome monster doing battle with King Kong and other beasts, while an all-star cast looks on in horror. But although Hollywood’s approach to translating the monster has relied on pure silly spectacle—understandable for a series about a nuclear lizard beast smashing cities—Japan has, of late, found new and original angles on its kaiju hero. The newest, Godzilla Minus One, was good enough to draw a surprising amount of attention in the U.S., a signal that domestic audiences are open to high-concept spins on familiar characters. Made to celebrate the franchise’s 70th anniversary, Godzilla Minus One is the creation of the Japanese auteur Takashi Yamazaki, a visual-effects innovator with a long run of success in his country. The original Godzilla tapped into Japan’s anxieties about nuclear fallout after Hiroshima and Nagasaki; Godzilla Minus One takes place from 1945 to 1947, in the immediate aftermath of Japan’s surrender. Despair and loss pervade the film: The protagonist is Kōichi Shikishima (played by Ryunosuke Kamiki), a pilot struggling with survivor’s guilt from making it through both the war and an attack from a not-yet-fully-grown Godzilla, who destroyed a military base where he was stationed. Kōichi is haunted by his cowardice in the face of the monster and by the wartime devastation of Tokyo, which has left him without a home or family. He takes up with a woman named Noriko (Minami Hamabe) and a child named Akiko (Sae Nagatani)—both also orphaned by the war—and becomes a minesweeper, trawling the sea for unexploded ordinance with other disaffected veterans. Into this uneasy present wanders Godzilla, now gigantic and mutated by nuclear testing. Over his 70 years of stardom, Godzilla has been variously depicted as a rampaging destructive force (in the early films), an evolutionary system keeping the world in balance, and an avenging angel doing battle with even worse monsters. His films, broken into different eras with loose continuity, range from horrifying to goofily camp. But his portrayal in Godzilla Minus One might be the most terrifying I’ve ever seen on-screen—he’s not just shambling through buildings and stomping on cars; he’s wrecking city blocks with singular purpose. His “atomic breath,” a mainstay of the series since the beginning, is represented by Yamazaki as a pulverizing nuclear blast that creates new mushroom clouds on the horizon. It’s scary. I’ve seen plenty of Godzilla movies and enjoyed most of them, but the title character has rarely been so frightening to behold. Of the American attempts, Gareth Edwards’s 2014 Godzilla came closest by emphasizing the scale of the creature, shrouding him in darkness and doling out his terrible roar with admirable restraint. Though I like that film, the humans in it are either boring or plainly risible, a problem in many a Godzilla—while the monster spectacle may draw in viewers, Godzilla himself takes up only a slim chunk of a run time largely devoted to people running around in awe and horror. That is why Godzilla Minus One is a great film rather than merely an impressive feat of monstrous visual effects (although those were justly Oscar-nominated last month, the first time a Japanese film has received a nod in that category). Kōichi is not just a cipher who exists to move the narrative along; his personal guilt and sense of hopelessness about Japan’s future are successfully entwined with the wider destruction being wrought by the monster. Kōichi’s crew of misfit survivors on the minesweeper ship, portrayed by a charming bunch of veteran Japanese character actors, are all clinging to vague hope as they look for a way to stop Godzilla. Yamazaki has said that he saw modern parallels in his story too, particularly in the national sense of confusion and futility during the early months of COVID. Whether you focus on the historical analogy or the contemporary one, the point of Godzilla Minus One is the same: Triumphing over the monster is less about destroying him and more about finding the will to live after a great cataclysm. These are deeply affecting emotional stakes, and they help the film stand as an impressive counter to the previous Godzilla film released by Toho Pictures, Hideki Anno and Shinji Higuchi’s brilliant Shin Godzilla, which was a bald-faced satire of modern governmental incompetence in the face of a kaiju attack. Viewed back to back, the films reveal how impressively versatile the series can still be; they also make Hollywood’s endless slap-fest between Godzilla and King Kong or a slew of other, anonymous monsters feel even more juvenile. Godzilla Minus One was warmly received in Japan, and its American reception has been especially surprising. On top of the Oscar nomination, the film has grossed $56 million in the U.S., by far the most for a Japanese Godzilla movie—in comparison, Shin Godzilla made just under $2 million—and the third-most of any foreign film in history. Its theatrical run concluded last week with a terrific black-and-white version that further emphasized Yamazaki’s despairing tone. Godzilla x Kong will storm into theaters next month and should stir up plenty of ticket sales on its own, but as audiences understand how artfully made and visually arresting these movies can be, they may lose interest in the corny American knockoffs."
"Jan 25, 2024",POSITIVE," Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb. When Godzilla first destroyed Tokyo in 1954, he was a metaphor for Japan's recent atomic terrors. Despite many outings since, rarely has he been as terrifying... until now. Godzilla Minus One refreshes this original tale and, crucially, remembers that it should be a horror movie. Despite this Japanese production's small budget (by Hollywood standards, at least), writer/director Takashi Yamazaki shows off the scaly beast's carnage as inventively as possible. Even when Godzilla isn't on screen, tension still builds; fans of Jaws may recognise certain tricks. The human cast is excellent, too, led by Ryunosuke Kamiki as kamikaze pilot Koichi Shikishima. Stumbling into a Godzilla attack at the start of the film, his cowardice costs lives. So, when the creature stirs again a few years later, Shikishima has a chance to redeem himself and save his new family, but can he face his greatest fear? A tough call, as this Godzilla is an elemental, uncaring force, a manifestation of Japan's darkest psychology. Just as he should be."
"Jan 25, 2024",POSITIVE,But the horror&#44; or evil&#44; in Godzilla Minus One isn&apos;t limited to the Big G&apos;s rampages&#46; Indeed&#44; Takashi Yamazaki&apos;s monster is a secondary source of trauma&#44; and the attendant destruction is dwarfed by the war which immediately preceded his attacks&#46; 
"Jan 22, 2024",POSITIVE," If you enjoy adventure films with a combination of intense action and dramatic flair, Godzilla Minus One might be the movie for you. Directed by Japanese filmmaker Takashi Yamazaki, the film offers a visceral and fast-paced fantasy with striking visuals and a strong sense of conviction. Yamazaki employs blockbuster tactics to depict multiple dangerous situations with a radioactive Godzilla wreaking havoc on a postwar Japan.  The story revolves around Koichi Shikishima (Ryunosuke Kamiki), a former kamikaze pilot turned deserter and sea-mine extractor. His lack of courage brings shame to many of his fellow countrymen. However, when he encounters Noriko Oishi and her rescued orphan baby, he discovers a new purpose in life. As Godzilla heads to Tokyo, Koichi sees an opportunity to redeem himself and prove his bravery and piloting skills. The film explores strong anti-patriotic sentiments associated with the loss of war, mixed with a sense of unity among a group of civilians led by former naval weapons engineer and strategist Kenji Noda (Hidetaka Yoshioka). Despite some plot holes and sentimental moments, Yamazaki enhances the film with stylized visuals, well-composed frames, and knockout sequences that blend ferocity with desolation. The director bends the rules of the genre by providing reinforced visual effects and relying on an intense musical score. While Godzilla's new roar is a result of a simple amplification of the original, the overall experience feels fresh and new."
