Date,Score,Reviews
"Apr 13, 2024",POSITIVE,Who knew a movie made me sympathetic towards the Joker?
"Apr 13, 2024",POSITIVE,'Joker' is a masterpiece of comic-book cinema.
"Apr 13, 2024",POSITIVE,SUCH A MASTER PIECE ITS SHOWS US DIFFERENT ASPECTS OF DAILY LIFE AND WHAT ITS LIKE TO BE THE OTHER PERSON
"Apr 12, 2024",POSITIVE,"I loved this movie, Phoenix nailed as the joker"
"Apr 11, 2024",POSITIVE,"A masterpiece showing what would happen if a mentally ill would make his worst ideas real, most stunningly depicted by Joaquin Phoenix. He definitely earned his Oscar.
To me it's the best film so far taking place in the universe of an American superhero franchise. An absolute must-watch."
"Apr 10, 2024",NEGATIVE,"Excellent acting and cinematography, but of the 1000's of movies I've seen, there are only 2 that I would call disturbingly irresponsible pieces of art.  This is one.  Don't waste your time, it's 2 hours you'll never get back."
"Apr 10, 2024",POSITIVE,"Well mental illness and struggles are hard to define from person to person ...I am over 60 ..in pain with arthritis and loosing hearing plus anxiety & depression as conjoined twins .. which I never thought I would get to at this stage ...but finding anyone putting these awful issues of trauma ...hurt ..despise ...vengeful thoughts ?? I came out of the cinema pretty shaken and first words were ...' what the hell did I just see' ...I was put on the spot of my own issues of hate or seething..misunderstanding and just wearing life with a smile.
I have watched many a DC and Marvel commentary on the big screen ..some with 'pow' ...'zap' and gotcha ...to some nonsense 3 hour slog of bum.numness..which has beat me...what Todd gave us was not refreshing but a mirror to society of our current understanding that mental illness and struggle are too hard to deal with or comprehend (plus violence)  ..how to work it out ..so we going to visit part 2 and I stayed alive thus far to make it to part 2 ...however ...one day ...it will count for so much more than comic books or  madness ...mayhem please see further than the end of popcorn stuffed noses and cheese stuffed nachos ...and endless pepsi refills."
"Apr 10, 2024",NEGATIVE,One of the most unwatchable movies I have ever had the displeasure of viewing.
"Apr 10, 2024",NEUTRAL,"An okay movie. Worth a watch. 
My two biggest problems are:
1. Why did this need to be a batman movie? If you took the exact same plot, set it in Chicago, took out Thomas Wayne and replaced him with some other billionaire, and instead of calling himself joker at the end, he called himself something else, would it actually change the story? I don't think so.
2. The story's themes had been done better in other movies decades ago. For the modern generation of superhero fans who've never seen films like Taxi driver, King of comedy or Falling down, the film might seem groundbreaking, but those films did the same thing and they did them much better. 
It's basically a Taxi driver, King of comedy mashup with a hint of Falling down with a Batman coat of paint slapped on it."
"Apr 4, 2024",POSITIVE,joker joker joker joker
"Apr 4, 2024",NEGATIVE,Acknowledging that you're ripping something off (King of Comedy) doesn't make it okay.
"Apr 3, 2024",NEUTRAL,It was a good story of a person turning psycho.
"Mar 29, 2024",POSITIVE,"Was going into this film with low expectations, and boy did it surpass them! A very gritty and dark realism take on the Joker Character. Makes you see the world from his eyes and at points makes you feel a sense of dread just as the story's protagonist does. Nearly a flawless film in my opinion. Only main gripe is that this feels like a psychological horror film with Batman elements thrown in. But this is definitely a must watch for any movie goer."
"Mar 29, 2024",POSITIVE,"Son unas de las mejores representaciones del origen del conocido personaje Joker, su oscuro pasado le da un toque al personaje dando más explicación sobre su personalidad demente."
"Mar 27, 2024",POSITIVE,Such an incredible movie! Excited for the sequel!
"Mar 23, 2024",POSITIVE,"This movie feels like it doesn't belong in any sort of DC movie, and that's why it did well."
"Mar 20, 2024",POSITIVE,really like the vibes
"Mar 14, 2024",POSITIVE,10/10 I be dun needz the sequese ripe meow!!!!
"Mar 13, 2024",POSITIVE,this  is my second favorite movie
"Mar 12, 2024",POSITIVE,"Una maravillosa pelicula, sin entrar en spoilers es una genial critica a la tirania y al poco cuidado de la clase obrera por parte de la gente con mayor poder politico. Una pelicula de culto."
"Mar 8, 2024",NEGATIVE,"Meh.  Underwhelming, mostly very boring Joker origin story."
"Mar 3, 2024",POSITIVE,"Pretty descent movie,I like how they showed his progression from being abused and how mental illness affects people."
"Mar 1, 2024",POSITIVE,Interesting take on mental illness and the control capitalism has on us but especially the vulnerable. Beautiful and sad and sort of scary at times while still feeling sympathetic.
"Feb 29, 2024",POSITIVE,"In my Opinion it doesn't deserve a 69% and Joaquin Phoenix is the best Joker I've ever seen. Go watch the Movie, is pretty good."
"Feb 28, 2024",POSITIVE,"Muito bom esse filme! Recomendo assistir.
Apesar de não parecer estar vinculado a um filme de Super herói, o filme entrega muita qualidade. O Ator mandou muito bem no personagem principal."
"Feb 24, 2024",POSITIVE,"I didn't expect to enjoy the movie, but was surprised to discover it was much deeper than expected, and very satisfying."
"Feb 24, 2024",POSITIVE,"I usually steer clear of films that consist of such disturbing themes but Joker was a brilliant exposition of the dispossessed and alienated in our society. I doubt anyone except Joaquin Phoenix could have carried the story the way he did, thoroughly deserving his Oscar."
