Date,Score,Reviews
"Apr 13, 2024",NEGATIVE,I don't usually leave reviews but I have just watched madame Webb and it was one of the most awful movies I have ever seen. I would leave 0 stars if I could. The script is rubbish and Dacota Johnson's acting is so terrible that it is painfully to watch. Do NOT watch this movie if you value your time and money
"Apr 13, 2024",NEGATIVE,"Absolutely a waste. The whole storyline was all over the place. They are trying too hard to make you hope it might be a good marvel movie but failed dismally to create one.
The acting was terrible, I don't thing dakota was the right actress for this roll she is better off being spanked in 50 shades.
I felt my brain melting with the boring story line."
"Apr 13, 2024",NEGATIVE,"I felt that the casting in this movie was questionable with the exception of Sweeney and Adam Scott.  This movie hits some very perfect notes of universe references right to Ben Parker being at his unborn nephew's mother's baby shower.    Adam Scott delivers nearly flawless execution of every scene and has a pervect level of relatability to a common man with influence of a super hero (in the future).   

Johnson has the acting range of Liv Tyler, but that may be the limitation of the director's focus and capabilities.   The story is disjointed and confusing.

Another strog point was the sheer terror that the 'Dark Spider' presents when attacking and gives insight as to how an evil Spiderman would be.  The voice dubbbing was an insult to the actor and signs of the traditional Sony comittee inteference.    I feel that The Spiderverse flicks were near perfection becasue these committees and executives viewed animation as unimportant and disposable.

Sony has a problem in that Sony causes the problem and, on a corporate level, suffers the Dunning-Kreuger Effect and lacks the intelligence to see the lack of intelligence they have.

Its worth seeing, but not at cinema prices."
"Apr 13, 2024",NEGATIVE,This movie wery bad madam web actors role cast its horrible
"Apr 12, 2024",NEGATIVE,"There's no connection to whatsoever, events happening fast. Lack of sense. Gave one star because if Dakota. Tl"
"Apr 12, 2024",POSITIVE,It was a good storyline and it was action packed movie. Hope there will be more series to it.
"Apr 12, 2024",POSITIVE,"I don't understand why the rotten tomatoes rating was so low. I think maybe whoever was responsible for that rating just didn't pay attention to the movie or didn't understand the medical things. It did jump around some with the flashes of the future, but it wasn't too hard to follow"
"Apr 12, 2024",NEGATIVE,"Filme: Madame Teia @madameweb @dcofficial				Assistido: 8-4-24
Elenco: @dakotajohnson @sydney_sweeney @isabelamerced @emmaroberts @mradamscott @taharrahimofficiel 
Modelo: #herois #DC #ação 
Duração: 2h	Ano: 2024
Minha opinião: Depois de ter assistido As Marvels, imaginei que não pudesse existir algo pior, mas acreditem existe. E este lixo. Se Marvels era patético, Madame é Lixo. Imagine perda de tempo. Ainda bem que ouvi novamente o Peter do Einerd. Pois se tivesse gasto dinheiro para assistir no cinema. Estaria muito irado, que desrespeito com as pessoas de produzir algo assim. Até Morbius ficou um bom filme. Na DC não imaginei que pudessem superar Shazan, mas este superou. A DC esta uma decepção imensa, se continuar assim vai falir, pois qualquer negócio que faça lixos, ela abre falência. Sei que para as atrizes este filme é aquele tiro no pé. Ainda mais para Dakota que nem com suas parceiras conseguiu se conectar. Dakota você sente tanto o descontentamento dela com o filme que transparece na sua atuação como a dê Larson. E ainda colocam Emma no filme, para que, não sei, só para parir? O filme deveria ter outro nome e talvez saísse melhor PREMONIÇÃO 6. Pois parece mais este filme, do que um filme de super-heroi. Temos um vilão Ezekiel que ele usa o mesmo uniforme de Miles Morales, mas no Aranha-Verso ele é um herói, aqui é o vilão. E quem tem poder aqui é o vilão. E Dakota só premonição. O diretor, roteirista, quem escreveu este lixo, nunca leu um gibi. Tive que por várias vezes avançar o filme para que terminasse logo a tortura e a decepção.
Roteiro e enredo LIXO.
Vale apena assistir? NUNCA
Nota: 0 Se para Marvels dei 1, aqui so da para dar 0. Um filme que tem um orçamento de 80 milhões de dólares, um ponto positivo, não foi 220 milhões de dólares de Marvels."
"Apr 11, 2024",NEGATIVE,This movie was so bad. I genuinely would turn this on if I had plans to torture someone but even then I don't think anyone deserves that much pain.
"Apr 11, 2024",NEGATIVE,not even with the studios Paid Bots they could get a decent rating.
"Apr 11, 2024",NEGATIVE,madam mid………………………….
"Apr 11, 2024",NEGATIVE,"Just such a waste for Marvel, I struggled even getting through most of it. Couldn't finish the rest"
"Apr 10, 2024",NEGATIVE,Solo una palabra: H-O-R-R-I-B-L-E
"Apr 10, 2024",NEGATIVE,Worst superhero movie you'll ever see. Ridiculously awful ! Don't waste your time !
"Apr 9, 2024",NEGATIVE,"this movie didn't make sense at all I didn't even finish it but I couldn't bare watching another second of this horrible ""Movie"". I saw the other reviews going into the Movie thinking that a lot of people were over exaggerating, but no this movie is one of the worst movies I've ever seen I could only write bad notes about this movie.

      first, Like I get the fact that his movie is scientific-fiction but this just crossed the line. A spider that can paralyze you and kill you? Then why wasn't the baby at least a little bit disabled? Oh that's right instead of her being disabled she gets super powers and holds a bunch of teens hostage so she doesn't go to jail. Which makes no sense at all because if you hold teens hostage then you will have a grater chance of going to jail. Speaking of the topic there is one scene where she is being handcuffed and then when the guy comes, which we'll talk about later, when they run the handcuffs just disappear. the guy is just a bad reboot of Spider-Man
 the story telling sucks, and lastly all the blood is just a bit of food coloring.



DO NOT WATCH!!!"
"Apr 8, 2024",NEGATIVE,"Boring film, without meaning or morals.
Sony wants to destroy the Spider-Man universe, and it is succeeding.
I think that without a doubt this is the worst superhero film in recent years and I think it's impossible for anyone to take that title away from this film.

HORROROUS!!!!!!"
"Apr 8, 2024",NEGATIVE,nothing special or exciting about this movie it was plane and dual all the best parts where what you saw in the trailers of this movie. please don't make a sequel.
"Apr 8, 2024",POSITIVE,i enjoyed every minute. A perfect origin story!
"Apr 8, 2024",NEGATIVE,I have never hated a movie more. I want my money back.
"Apr 8, 2024",NEGATIVE,"Madame web

Madame Web emerges as the origin tale of Cassie Webb. Her quest leads her to rescue three girls from the clutches of Ezekiel Sims, a ruthless figure intent on their demise to evade his own fate at their hands in the future.

Films in Sony's Spider-Man universe have received criticism, and Madame Web isn't exempt from that. However, contrary to many reviews, Madame Web is a straightforward and enjoyable superhero film. It doesn't aim for grandeur, which aligns well with its storyline. Despite uninspiring dialogue hinted at in trailers, the actual movie doesn't suffer from this. Though not particularly imaginative, the dialogue effectively propels the story forward.

The film effectively captures the nostalgia of its 2003 setting. The soundtrack plays a significant role in this, and the homage to Beyoncé's ""Dangerously In Love"" was a delightful touch.

Madame Web does indeed encounter several challenges. The unfolding of subplots relies too heavily on convenient occurrences, which can be frustrating for viewers. While the exploration of the titular character's powers is intriguing, it diminishes the suspense that should accompany this genre of film. As obstacles arise, the predictability of their resolution removes any sense of genuine tension or dread.

For a superhero movie where the principal characters are battling a villain palpably stronger and possessing no impressive powers of their own, the action scenes manage to be more effective than one would expect.

The performances in this film may not be stellar, but they are well-suited to their roles. Dakota Johnson portrays just the right balance of detachment and confusion required for her character. Her reluctance to embrace heroism is palpable and serves as a driving force throughout the movie. The rest of the cast also meet the expectations for their respective roles.

Numerous aspects of Madame Web require refinement and clarification but it's notable that the runtime isn't adversely affected. Surprisingly, the two-hour duration passes smoothly without feeling prolonged or dragged out.

Madame Web would benefit from better writing but overall it's a simple and decent movie that knows what it is and doesn't try to go beyond that.

5.5/10"
"Apr 7, 2024",NEGATIVE,"I was eager to watch Madame Web, but I was disappointed by the poor writing. The movie lacked depth. The dialogue, especially for the antagonist, was particularly bad."
"Apr 7, 2024",NEGATIVE,Terrible waste of time. would rate it 0 stars if it were an option.
"Apr 7, 2024",NEGATIVE,So bad that no one even jokingly praises it.
"Apr 7, 2024",NEGATIVE,"I don't know where to start, I thought it was a parody film (at least I'll be ok with that), but apparently this film is a million dollar production. The acting is very bad, the transitions make no sense and are sometimes awkward. The characters seem to have their dialogues in front of their eyes. The main character is supposed to be a paramedic, but I don't think anyone would trust her with their life, given the troll-like scenes. Let's not even talk about the visions, she doesn't understand what they're trying to tell us after 1 hour in the film. The whole film seemed to be a perfect parody, but that didn't seem to be the point. Save your time and money and get out."
"Apr 7, 2024",NEGATIVE,"I couldn't finish it. The acting was horrendous and I can't tell if the main villain had his lines dubbed over, but whenever he would talk, it never matched his lips."
"Apr 7, 2024",NEGATIVE,The only reason i watched this is because of the connection of it to the spider verse.This movie is disappointing.I want my money back.
"Apr 7, 2024",NEUTRAL,I wanted the movie to be more about her and less about three annoying teenagers. They take up a lot of time and overall don't do much for the story.
"Apr 7, 2024",NEGATIVE,"Story was mediocre, saw it in theaters. I felt like there was so much money put into this, but it ended up being a disappointment. It was funny at some moments, other jokes didn't land well. If you don't want spoilers, skip to the next review, but why and how does the antagonist not die to the miniature bombs know as fireworks, survive gunshots, grenades, fire, but die to a falling sign? It feels like the budget was running low so they had to end the movie early. Wouldn't say it was horrible, but definitely not Marvel quality."
"Apr 7, 2024",POSITIVE,Great movie! We will need an additional Madame Web!
"Apr 6, 2024",NEGATIVE,"Absolutely rubbish, the most ridiculous unbelievable made modern film I've ever seen....the story, the acting, the actual whole context of the film plotline if you could call it that is just a complete farce.
How did someone not notice this during the production of this rubbish.
Dakota Johnson must seriously have been hard up for cash to agree and then continue to do this thrash, there is no other explanation because it has single handedly destroyed whatever reputation she might have had in the acting world.
I usually am more forgiving when I see bad reviews of films, I always feel that the reviewer didn't understand the point of the film whether it be just a no brainer action film or a serious proper epic but in this case I am the one who is 100% standing tall in saying that Madame Web is probably the worst modern film I've ever seen....end of!"
"Apr 6, 2024",NEGATIVE,"Worst ""hero""-movie with worst actresses."
"Apr 6, 2024",NEGATIVE,"Verily, let me regale thee with a lamentation of cinematic proportions, for 'Madame Web' doth stand as a testament to the egregious misadventures of modern filmmaking. With an air of anticipation akin to the unveiling of a grand tapestry, I embarked upon this odyssey of moving pictures, only to find myself ensnared within a maelstrom of mediocrity. Verily, the plot unfurls like a tangled skein, weaving a narrative so convoluted that even the most astute of scholars would find themselves lost amidst its labyrinthine machinations.

In truth, 'Madame Web' doth serve as a veritable magnum opus of disappointment, a cacophony of cinematic sins that assail the senses with all the subtlety of a rampaging herd of swine. From its lackluster performances to its insipid dialogue, every facet of this cinematic endeavor doth conspire to transform what could have been a masterpiece into naught but a hot pile of dog dudu. Alas, if thou art tempted to partake in this ill-fated venture, I implore thee to spare thyself the torment and seek solace in more worthy pursuits."
"Apr 6, 2024",NEGATIVE,Eye cancer..........
"Apr 6, 2024",NEGATIVE,This movie couldve been great. The cannon had a great story but it was pathetically executed here. Another Sony ruined Spiderman story.
"Apr 6, 2024",NEGATIVE,Madame web movie is so bad! I ain't like so far why didn't have Spider-Man on it!
"Apr 4, 2024",NEGATIVE,"El reparto lo intenta con ganas, pero no es capaz de salvar el resultado final de la película. 𝘔𝘢𝘥𝘢𝘮𝘦 𝘞𝘦𝘣 se puede resumir diciendo que es terriblemente aburrida. Ni siquiera es tan mala que te la puedas tomar con humor y reírte, ni tiene buenas escenas de acción (de hecho, tiene pocas y las que hay están resueltas de la peor manera posible), ni tiene presupuesto para al menos explotar la faceta técnica, ni tiene una dirección que imprima algo de personalidad a la película. No tiene nada y pese a ello dura casi dos horas, exasperantes, en la que encontramos personajes planos, una historia llena de lagunas, un montaje que resulta confuso y sin ritmo, una dirección desangelada, un villano que no aporta nada y una trama insulsa. Los últimos instantes de la película indican lo que podía haber sido y nunca será. Las referencias veladas a Spider-Man chirrían continuamente y en algún momento determinado producen carcajadas, porque no encajan. La película desaprovecha a su interesante reparto, especialmente a sus secundarios, donde hay nombres muy curiosos. Mala adaptación, pero, ante todo, mala película. Sin alma ni personalidad, excesivamente larga y muy aburrida."
"Apr 4, 2024",NEGATIVE,"Weak Marvel comic book character who has never been popular enough to score her OWN comic book, inexplicably is the leading character in this new superhero epic.  (Which explains why this is the year's biggest bomb). You know the superhero genre is getting played out when they make a movie about a character who is simply a lady psychic...not exactly a stunning new concept brimming with exciting story ideas!..I mean we can just watch Miss Cleo for this kind of stuff; or That's So Raven.  They're actually much more exciting than this drivel.

Overall: Not recommended 👎"
"Apr 4, 2024",NEGATIVE,"It's not THAT bad, it's just another meh origin story film. It has some cool special effects, the beautiful face of Dakota, and kind of a backstory for Uncle Ben. So yeah, don't take it too serious, maybe some day we will have all these characters in a movie. Or not. Who cares."
"Apr 3, 2024",NEGATIVE,"I went to see this movie earlier today; I had hopes for this movie even after seeing the bad reviews. However, the acting was terrible, the plot was weird, and just overall a bore. This movie is 100% a flop. I would not recommend watching unless you like these kinds of movies. The trailer was also terrible; basically being a summary more than a trailer. I should have listened to other reviews that told me it was bad before I watched it. I'm not usually skeptical of movies and can sit through most movies that flopped, but this movie was the last straw for me."
"Apr 3, 2024",NEGATIVE,"Haha, I did kind of like this movie but also yet this movie is amazingly horrible, and at first when I first saw the trailer it's kind of like Final Destination my favorite movie franchise. This was kind of like that instead it was Marvel made by Sony! the ones that also made Morbius. Overall the concept of this is cool and it's like the Marvel comics but it just wasn't good and Sydney Sweeney is just to good of an actor to be in this like it literally got a 12 percent and is rotten like have you seen Sydney on Euphoria???"
"Apr 3, 2024",POSITIVE,I didn't expect this movie to be so good. The story line is awesome. Had me in tears some parts had me excited some sorts had me routing for them as well. I'm the beginning of the movie I was all for him defending himself against the girls but then when it started getting more into the video and I seen he was evil I wanted the girls to win. I loved the movie a lot!!!!!! Even my guy friend thinks it was a 10!
"Apr 3, 2024",NEGATIVE,"I think this is the worst cinecomic in history. During the duration of the entire film nothing happens with scenes where the camera moves randomly making you feel bad. All the characters are flat without in-depth analysis. The film does not give explanations of any kind about what is happening. In addition, the film has a very badly done CGI. I think it's even worse than the Morbius movie which at least in that movie had scenes that made you laugh and that became memes"
"Apr 3, 2024",POSITIVE,"Loved this, as someone unfamiliar with the comic I found the movie very entertaining. Would love to see what happens after this."
"Apr 3, 2024",NEUTRAL,82% didn't hate it i heard the worse things but for me yes some parts of the cgi was ok but i liked the lead in the movie i wish there were spider-man easter eggs it's very frustrating that there isn't and the villain is stupid he gets hit by everything which has me laughing my asf in the theater i just wish sony cared about the source material bc ik they could be better and the movie should of put her in her suit definitely a complaint i had the whole movie i enjoyed the lead and the future past thing they did
"Apr 2, 2024",POSITIVE,"When it comes to ""Madame Web,"" I've noticed there's been a bit of a stir, but honestly, I'm a bit puzzled by all the fuss. It seems like some folks went in expecting the usual Marvel roller coaster, but here's the thing—I'm all for mixing it up. Why settle for the same old plots when we can explore something new, right?

Personally, I found ""Madame Web"" to be a breath of fresh air. Sure, it had a few moments where things felt a bit offbeat, but doesn't every movie? These little quirks didn't spoil my fun; if anything, they added a unique flavor to the whole experience.

The movie really shines by stepping off the beaten path and giving us something different from the Marvel universe. And let's be real, in a world teeming with superhero tales, bringing something new to the table isn't just nice—it's necessary.

All in all, ""Madame Web"" was a pretty enjoyable ride for me. It's a reminder that there's room in the superhero genre for all kinds of stories, and I'm here for it. The movie might not hit the mark for everyone, but it's definitely a bold step in a refreshing direction."
"Apr 2, 2024",POSITIVE,"Los verdaderos fans de Marvel ,disfrutamos la película y valoramos, el que hayan echo una película,en versión ficticia y real de personajes tan icónicos de Marvel , nunca hago un crítica, en ninguna película, ni nada por el estilo ,pero hay que parar, con creernos cineastas y con creer que podría ser mejor de lo la an realizado ,detrás de ello hay un gran trabajo de actores, actrices,guionistas,directores,realizadores etc Y ya cansa que le busquen un pero a todo y realmente ,quién se está cargando, todas las sagas ,películas ,series etc es la audiencia ,que después ,veo las quejas de cancelaciones de películas ,cancelaciones de series etc y después decimos, que esta generación es de cristal, noooo, la generación de cristal ,somos los adultos ,mientras los niños y adolescentes, disfrutan de las películas sin un pero olé por esos fans que vamos a disfrutar de una película y agradecemos,poder disfrutar ,en versión real de nuestros personajes icónicos y para terminar me gustó mucho ese cambio de visión más cómica y estás nuevas historias"
"Apr 2, 2024",NEGATIVE,"Awful, just awful!
Terrible directing, even worse writing and mediocre acting and visual effects make this film one of the worst I've ever seen."
"Apr 2, 2024",NEGATIVE,"No hate towards any of the actors, btw 
Between the dry plot , the nonsensical scenes and y'all to drag my girl Sydney Sweeney into this after she just got a good rep from anyone but you . It's giving wattpad vibes the director definitely played the game life is strange ifykyk"
"Apr 2, 2024",NEGATIVE,"Absolutely awful movie. Again, making another female flop of a super hero movie. Marvel is going down the drain."
"Apr 2, 2024",NEGATIVE,Everything about this movie seemed so lazy and low budget it made me want to shove scissors in my eyes. Hot Garbage.
"Apr 1, 2024",NEUTRAL,"Since I went in without knowing anything about Madame web. The movie was ok. However, there were a lot of motions within the movie that had no depth. Like the teen girls in the movie felt like NPC's (Non-playable characters) that have 2-3 lines that fit their age group. No depths in their characters at all. We had moments of their lives within the movie, but they were the meat of the plot? I wish they gave us more. Made us feel for why they had to run more desperate. Death in this movie had been taken lightly because I thought Cassie could reverse it. However, that's not how her powers work and it confirms that she's not omnipotent."
"Apr 1, 2024",POSITIVE,"Literally don't understand the bad reviews for this, online reviews are becoming ridiculous, it's a good movie, enjoyable."
"Apr 1, 2024",NEGATIVE,Don't waste you're money
"Apr 1, 2024",NEGATIVE,This made morbius look like interstellar 
"Apr 1, 2024",POSITIVE,"I watched this with my girls and they loved it. 
Can't wait for the 2nd if there is one :)"
"Apr 1, 2024",POSITIVE,10/10 I made an account just to counter the bad reviews because I actually enjoyed it. For some off reason I related to the main character & it was tripping my whole family out lol
"Apr 1, 2024",POSITIVE,"Great movie , sad it didn't do better"
"Apr 1, 2024",POSITIVE,"Debió tener post créditos, definitivamente me gustaría ver a Dakota Johnson en más películas de Marvel"
"Apr 1, 2024",NEUTRAL,This movie was an ok movie. If you like the movie Next starring Nicolas Cage that came out in 2007 you'd like this movie. Her powers work the same as his just filmed better. They using shoving in are face that this was a prequel to by making everybody say ben alot and at the end madame web basically confirmed the baby was peter. I get it thats ben lets move on
"Apr 1, 2024",NEGATIVE,"Absolutely cringe. 
The acting, the storyline, all of it - complete garbage. The last two minutes of the film show the ""future"" in that this movie is really just a stepping stone for the next movie which features three Spidergirls and seems just as cringe.
If you want to put this movie on for background noise, go for it… but if you actually want to spend your time watching a good movie, then hard pass."
"Apr 1, 2024",NEGATIVE,"Haven't watched the movie and never intend to, BUT, I had to comment on the reviews.  You can absolutely tell that Sony has been salting the reviews with 5 star reviews.  Short sentences followed by ""I don't understand why it was rated so low.""   You see this comment again and again, and again. Gee, maybe read the reviews and you'll realize why Sony."
"Apr 1, 2024",POSITIVE,"Nada de horripilante, gostei da historia de surgimento das heroinas..."
"Apr 1, 2024",NEGATIVE,"can't describe how shitty it was, every mili second of this movie was a waste, the only thing i was hyped with is the Peter birth at the end in post credits, also turned out to be built up from nothing and was just made to give a reason to watch the movie, sucks i would watch 10hs of pure cringe rather then ever seeing that movie again"
"Mar 31, 2024",POSITIVE,"Muy buena película
Personajes con personalidad propia y un buen desarrollo
Buenas escenas de acción y un final que te deja a gusto y con ganas de más aventuras de estas nuevas heroínas.

Cada una de las chicas tiene una personalidad propia que refleja sus traumas y problemas en la vida.

La gente fue muy dura con esta película y espero haya una secuela en la cual se empiece a desarrollar un nuevo universo de Spiderman.

PD: Muy buena música 🎵"
"Mar 31, 2024",POSITIVE,"Achei um filme bem interessante e fiel as hqs, faltou muita coisa para contar, e infelizmente não terá uma continuação para seguir essa linha/história, não vejo esse filme como um péssimo filme, porém não foi um filme top 10 também!!

Minha nota para o filme de 0 a 10: 7,00"
"Mar 31, 2024",NEGATIVE,Meant for ladies that are afraid of pop culture
"Mar 31, 2024",POSITIVE,"Li muitos comentários ruins sobre o filme, mas quando assisti, realmente gostei! 
A atuação da Dakota Johnson foi muito boa e as meninas se destacam pelas personalidades diferentes mas que se completam. 
Achei o filme de muito bom gosto e abre as portas para sequencia de muita qualidade!
Acho que as pessoas que ficam reclamando na verdade não querem gostar dos filmes e sim julgar negativamente para passar por ""entendidos em Hqs""... Acordem e curtam o filme, que é muito bom sim!"
"Mar 31, 2024",NEGATIVE,"This movie should be CULLED. It was designed for people with 7 braincells. I have never seen such a waste of money in my life. If they took the money they used to make this movie, had gone to an open area, put it all in a big pile and set it on fire, we would have gotten more joy and comfort from the heat it produced than we had from watching this PILE OF RUBBISH."
"Mar 31, 2024",POSITIVE,I really liked the movie and would love another one!
"Mar 31, 2024",NEGATIVE,Brother ughh.. what's that?
"Mar 30, 2024",NEGATIVE,"una pelicula que no ofrece mucho en lo que es crear una buena trama, mi parte favorita es cuando el villano le explica todo en un sueño y que se olvida que puede usar armas de fuego."
"Mar 30, 2024",POSITIVE,"This movie is the greatest movie ever, and dropped one of the hardest one-liners, ""The girls were never your future I was!"" GIRL POWER!!!"
"Mar 30, 2024",POSITIVE,I honestly loved this movie! Hidden references to other movies the actresses have been in. I love superhero movies and to have one with female leads is honestly so refreshing! Hope they do a sequel
