Date,Score,Reviews
"Apr 11, 2024",POSITIVE,"I've never been a huge Superman fan. Even as a kid I did not like Superman. I couldn't tell exactly what I did not like. But now I can. Superman was too much of a Mary Sue character for me.

Superman is still all mighty, yes, but the story was greatly told. With a good script, great visuals and even better actors."
"Mar 29, 2024",POSITIVE,It is the best Superman movie
"Mar 28, 2024",POSITIVE,man of steel define the dceu and visual effects in a superhero film it is good superman should not kill zod but this is great storyline great Russel Crowe is great Superman is starting to balance his alien heritage with his uprising as a person in humanity by his father John Kent this is great general Zod is the best villain by far in the DC EXTENDED UNIVERSE I will see it again
"Mar 25, 2024",POSITIVE,"A mi me pareció genial ,un superman fuerte pero lo que pone siempre en peligro a las películas de Dc es su cambio continuo de actores ,cuando las personas nos encariñamos con el personaje lo cambian sin importar la audiencia."
"Mar 20, 2024",POSITIVE,"The hate on this movie is unwarranted. The score is something special, the leads are incredible, the villain has a motive that almost warrants sympathy, the action MY GOD THE ACTION! The sheer sense of speed and power you get from flight is a feeling that fails to be replicated today. 2nd favorite super hero movie to this day."
"Mar 13, 2024",POSITIVE,Best comic book movie ever. Totally underrated
"Mar 7, 2024",NEUTRAL,This film is very conflicted this film does have a vision but this is a film this does not feel like a superman movie he has no emotion and everything is dark and gritty and i feel like WB saw how much money they made from the dark knight trilogy and they hired Zach for the film to make it dark like those films but it makes sense in the dark knight trilogy because Batman is a mostly dark franchise but with superman he is a symbol of truth but this film is not that.
"Mar 5, 2024",POSITIVE,"Para mim é a origem definitiva kripton é magnífica, trilha sonora elenco incrível"
"Mar 3, 2024",POSITIVE,"This movie develops the Superman character in an amazing way. Showing the internals behind the Man of Steel, the motivations, moral dilemmas, and growth does an amazing job at humanizing Superman. This along with the great visual effects, amazing new suit and near perfect casting makes this a classic that I can watch over and over and never get tired of it."
"Feb 27, 2024",POSITIVE,This movie gets so much unwanted hate. When it's easily one of the best made.
"Feb 24, 2024",POSITIVE,"This made Superman cool to me. It was the first time I didn't see him as a vanilla superhero, and after reading multiple comics I now like the character. This movie is quite good. CGI is very good, action is great, music is top tier, and I even think the story is quite good with some nice emotional moments, particularly with Jonathan Kent. I'm shocked this was rated so low by critics. A high recommendation, and the best out of the DCEU."
"Feb 22, 2024",POSITIVE,"the best superhero movie I've ever seen, dark, serious, without cringe humor"
"Feb 21, 2024",POSITIVE,It was an all around great movie 🎬
"Feb 19, 2024",NEUTRAL,"Definitely better on this rewatch (me and this film have been love-hate) but it's staggeringly great, definitely Snyder's best cinematography, and finds its footing with Clark in a pretty satisfying way, and Shannon is still the MVP when it comes to DCEU villains. I will say, the narrative is still weak in this and the stoic attitude doesn't fit right for Superman (at least to me)."
"Feb 18, 2024",NEUTRAL,"A.K.A. what Superman would have been like if Jon Kent was a paranoid ahole that taught Clark to prioritize his secret at the expense of human life, instead of compassion. But pretty."
"Feb 17, 2024",NEUTRAL,"Special Effects: 1,0/Sound Effects: 1,0/Acting: 0,5/Story: 1,0"
"Feb 13, 2024",NEGATIVE,"Not a big fan of this movie, just not a big fan of Superman movies. Oddly, though, Supergirl is my favorite superhero."
"Jan 31, 2024",POSITIVE,"The most relatable Superman we've ever gotten on screen. He shows his human-side and heart. The villain being a fan favorite from Christopher Reeve's Superman II: General Zod, but unlike in Superman II, Superman and Lois don't send Zod and his henchman plummeting to their deaths with a toss and a punch after draining their powers in the fortress of solitude. In this version, Zod takes a more realistic and ideal approach Earth to find Kal (Superman) and Kal-El has a harder time fighting the intelligent and strategic General. Fueled by the anger of actions done by Kal-El's father, Zod hunts Kal down in hopes to rebuild Krypton. This movie not only is a poetic telling Superman, but it also shows us the best parts of what we love about the Man of Steel: His heart and his desire to do the right thing no matter how hard things get. Superman quite literally is a symbol of hope in this film. And for every comic book fan like me: eater eggs galore! And for those of you that want to see the best Superman fight scenes (PLURAL) in history, this movie more than delivers. It's got everything we want is an origin story pre-reassured Superman. This movie made me cry when I watched it. It was everything I wanted in a modern Superman film. Perfect part 1 of 5 in Zack Snyder's story-arc."
"Jan 30, 2024",POSITIVE,This movie is ahead of its time. Too much MCU funny colorful nonsense on the go to see past.
"Jan 30, 2024",NEGATIVE,Why does Zack Schneider suck so bad at making movies.
"Jan 28, 2024",POSITIVE,My favorite Superman movie. It's too bad they rushed his arc after this film.
"Jan 24, 2024",NEUTRAL,Casi no se le entienda a la historia te ponen el presente y el pasado no tiene sentido me u viera gusta que la película se llamara Superman
"Jan 22, 2024",POSITIVE,"Really just a great film that rivals the original Richard Donner Superman. Not just in quality but also in building/molding this superman into who we know, rather than just having superman right out the gate.
8/10"
"Jan 22, 2024",POSITIVE,"This is the best superman movie ever made, which is hard to say because I grew up watching Christopher Reeves.  This is also the only movie I liked in the Justice League film series."
"Jan 22, 2024",POSITIVE,"Absolutely a great film. We see the physical and emotional power of Superman as he makes a choice between humanity, and krypton."
"Jan 17, 2024",POSITIVE,"Powerful, visually stunning. IMO, it only gets better with age."
"Jan 15, 2024",POSITIVE,"Excelente películas un Superman distinto al tontolon de siempre de las viejas películas, Hombre de Acero es una de las mejores películas de super héroes de la época actual, a quienes esperan ver una comedia de super héroes está no es película para ellos, esta es una de acción  de super heroes, muy recomendada."
"Jan 14, 2024",POSITIVE,"( Non spoiler review ) I thought this was a great movie! The plot was very good and the music was AMAZING ! I would definitely recommend this movie if you haven't already seen it, i would say it's not for children but if you think they're mature enough for it, it's really up to you. 5 stars from me, and the acting was really great too. ( sorry i'm a few years late )"
"Jan 14, 2024",NEUTRAL,Underrated regardless of its flaws especially regarding its tone and structure.
"Jan 9, 2024",NEUTRAL,Very depressing and dark movie. Superman was depressed throughout the movie. I missed the silliness of comics and the vibrancy of 80's movies
"Jan 1, 2024",POSITIVE,I personally thought that this version of Superman was well done and my favorite and more up-to-date and realistic as far as you can be with a flying man.
"Dec 31, 2023",POSITIVE,By far the best superman movie ever made !!
"Dec 28, 2023",POSITIVE,Where does Rotten tomatoes get their ratings?? lol …. This one is actually hilarious at a 56 rating. Best DC movie ever made. Outstanding cast. Greet script. Great director. I just come here to see what RT says because they're always wrong.
"Dec 27, 2023",NEUTRAL,Best Superman movie for sure
"Dec 23, 2023",POSITIVE,"Though a bit dark with not much humor, Man of Steel is a great action film."
"Dec 23, 2023",POSITIVE,This Superman movie is the better movie. But the rest of the DCEU movies Sucked
"Dec 22, 2023",POSITIVE,"Epic!. Best adaptation of Superman I have ever seen. Dark gritty, and an amazing battle with general zod."
"Dec 21, 2023",POSITIVE,Prefect casting. Perfect soundtrack. MOS is the best best superman film by miles.
"Dec 21, 2023",POSITIVE,We finally have an actor who actually fits the part. He showed raw emotion. The script was not perfect but we got to see the MoS actually kick some butt for once.
"Dec 21, 2023",POSITIVE,Just absolute masterpiece and the music was so strong. 
"Dec 21, 2023",POSITIVE,Have always been a batman fan n not a superman one but this movie changed that. The soundtrack is perfect acting is perfect. Thanks to this I now can say superman is awesome n wished they did man of tomorrow cause the guy in this was perfect cast. Can't remember his name but he is superman
"Dec 20, 2023",NEGATIVE,What happens when you take the most optimistic and hopeful character in DC's lineup and hand him over to one of the most divisive filmmakers in Hollywood? You get a film that completely misrepresents the essence of the character of Superman and what he stands for.
