Date,Score,Reviews
"Mar 24, 2024",NEUTRAL," After multiple delays, Morbius, the “highly anticipated” new entry into Sony’s Spider-Man Universe, arrives with some of the worst world-building we have seen in a long time.  During the last couple of years, Sony has been trying to find their box office-hit franchise for almost the past decade. Even in the past three years, you could see their many attempts at a franchise–throwing them to a wall, waiting to see what stuck. While most of them don’t have the punch to stand independently. the friendly neighborhood Spider-Man will never fail them. Some good has come from that venture, Spider-Man: Into the Spider-Verse, albeit some bad arrived with it as well, Venom. After the 2018 symbiote “romp”, they didn’t know where to go next. So, their next big move was to “exploit” the rights and make a film about multiple characters to create their own universe – the supporting cast of villains who clearly don’t deserve a solo project. Currently, they have numerous projects at the ready: Kraven the Hunter, Madame Web, Black Cat, Silver Sable, Silk, you name it. Out of all those projects, Sony decided to go with Morbius, the living vampire. And after its multiple delays (it was initially going to be released in July of 2020), it’s finally here.  The film centers around a biochemist named Michael Morbius (Jared Leto), who had a troubled past dealing with a rare blood disease. The only way to tend to this disease is through blood transfusions three times a day. Morbius’ main goal in life, thanks to his unique gift of excellent knowledge, is to find a cure for it so that his best friend, Milo aka. Lucian (Matt Smith, whose pantomime performance steals the show and makes the film partly tolerable) can live an everyday life. Morbius has “found” the solution to all of his problems thanks to some “vampire” bats found in a hidden cave. After multiple tests with rats, he decides it’s time for a human guinea pig to take on the trial: himself. When his experimentation goes wrong, he inadvertently injects himself with a form of vampirism that cures his ailments but causes a side effect: the thirst for blood. All of this sounds somewhat compelling for it to be a solo project, albeit, with the Marvel tag on it, everybody knows there isn’t going to be much breathing space for creativity. And indeed, that is what happens – this is the most precise definition of a “product” rather than an actual film.  The first part of the story is interesting enough for the viewer to hang on for the ride as it deals with a morally complex character, thanks to his ethics regarding science. As he mentions multiple times, Morbius says he will do anything to find the cure that curses him and his friend Milo. Nevertheless, once Michael gets his powers from injecting the bat-blood serum, everything worsens. Action sequences with shoddy graphics that look like they came from a cutscene of a PlayStation 3 game are followed by melodramatic conversations between him and his love interest, Martine (Adria Arjona, who is not given the best to work with), that don’t move the plot along. Things just happen in this film with no thought or context. One could have thought that there would be a “man or beast” scenario while dealing with how his morality shifts, but it isn’t close to such thematics. Another issue that I have, although it may be a minor one, is that there is no sight of blood in the picture. Multiple people are killed in this film, as well as the fact that it deals with vampires, yet there is no presence of it.  Even in the five to ten minutes that Morbius is experimenting with his vampiric tolerance and chugging gallons of blood, we don’t see the red fluid. There is a moment where a throat is supposedly slit open by one of his claws, albeit there is no wound. This sort of moment happens once or twice more during the feature’s runtime. For a film that is supposed to build up the Sony Spider-Man universe, there is no commitment to this character from the director and the production company. Morbius is supposed to be an introduction of a character, and it feels like a pre-curtain raiser for something “bigger” and “broader”. This isn’t the worst thing in the world, nor is it close to being it. I have seen way worse films in the past couple of years, and there are a handful of good aspects. Matt Smith chewing up the scenery for all that he’s worth makes the picture watchable, and I was rather engaged with the first couple of minutes, right until the superhero parts of the story kicked in. However, this type of movie devalues a “well-established” brand. It serves little to no purpose on its own–it’s only worth “something” when in union with its franchise. "
"Sep 17, 2023",NEGATIVE," Right off the bat (pun unintended), it needs to be said that Daniel Espinosa’s Morbius reeks of Sony trying to cash in on Marvel’s enormous audience appeal but with little to no understanding about what makes a comic book IP interesting or entertaining. It’s a film devoted to an antihero origin story, which gives us no reason to really care about the protagonist nor his ethical struggles. Dr. Michael Morbius was first introduced to the Spider-Man universe in 1971 by writers Roy Thomas and Gil Kane. Since then, he’s been a low-tier antihero who occasionally scuffles with Spider-Man as a sometimes friend and sometimes foe. Morbius is a man who suffers from guilt over his vampiric existence but can’t control his need for human blood. When we first meet the cinematic Dr. Michael Morbius, played lazily by Jared Leto, he is trying to cure the rare blood disease that is slowly killing him. He walks on crutches and is visibly decaying. He needs infusions of blood regularly to keep him alive. Despite his debilitating condition, he is also a Nobel Prize-winning biochemist, having invented a highly successful form of synthetic blood, and also a caring MD who watches over his chronically ill patients. Years of research have led him to believe that he can create a cure for his condition using the saliva of vampire bats as a way to create a coagulant to keep his blood from doing whatever it is that is killing him (none of this is really made clear in the script, we don’t actually know what the blood disease is). Added to his need to cure his own illness is the fact that his best friend since childhood, Milo (Matt Smith), is also suffering from the same condition. Time is running short for the two men, and Morbius is willing to go into the ethical grey areas to find a solution. Flashing back to Michael’s childhood, we meet the kindly doctor and mentor Emil Nikols (Jared Harris), who cared for the young Michael (Charlie Shotwell) and Milo (Joseph Esson) in a facility in Greece. Michael and Milo form a lifelong friendship, which is disrupted when Nikols recognizes Michael’s genius and suggests he study in a prestigious New York school. Left behind and at the mercy of bullies, Milo opens himself up to resentment. Years later, he too has relocated to New York and is living as a wealthy shut-in, visited only by Michael and Nikols. When Michael comes to him asking for help in administering the cure (which is highly experimental and illegal and, for some reason, has to be done in international waters), Milo is able to find a cargo ship and a group of mercenaries to act as crew. Coming along for the journey is Michael’s close associate Martine Bancroft (Adria Arjona). She injects Michael with the formula, and hey presto, it’s the birth of Morbius the Living Vampire. Morbius, now part man, part bat-like creature, has an insatiable hunger for human blood and drains the entire crew. Martine, having been knocked unconscious by one of the mercenaries, misses the action, and the audience can consider her the lucky one because, wow, the action is so generic and poorly realized it’s almost unbelievable that it will be the blueprint for what we see in the rest of the film. The cargo ship incident puts Morbius on the FBI’s radar. Agents Stroud (Tyrese Gibson) and Rodriguez (Al Madrigal) eventually track down Morbius at the hospital where a nurse has been exsanguinated. Morbius has been using his synthetic blood to curb his appetite, and we’ve been given enough of his tortured dilemma in clumsy voiceover to know that he’s not responsible for her death, which leaves only one other person in contention. To absolutely no one’s surprise, Milo has snuck into Morbius’ lab and taken the cure. The rest of the film essentially boils down to a fight between the regretful Morbius and the elated Milo. Matt Smith, Last Night in Soho (2021), is deeply relishing his villain persona and is the highlight of the film with his unhinged performance. A man without power suddenly has superhuman strength and can unbottle all his anger and resentment with unbridled glee. Morbius feels responsible for his friend but also has to stop him from laying waste to innocent people, and yadda, yadda, can we please get a better script? The action beats in the film are so poorly shot. In “vampire time,” we see some kind of hazy smoke effect that makes a lot of the movements blurred and muddy — to combat this, there is some lazy slow motion, so we can apparently marvel at the enhanced power of Morbius. For those who found the fight scenes in last year’s Venom: Let There Be Carnage ridiculous, the scenes in Morbius are next-level bad. Jared Leto, Suicide Squad (2016), mumbles his way through his performance. We are told repeatedly that he’s a good guy who has just made a terrible mistake. Franky, it’s very hard to care about him and his dilemma with dealing with the Hippocratic Oath he swore and his overwhelming bloodlust. His relationship with Martine is characteristically without depth, with there being no indication that Michael pre-transformation was in love with her but perhaps trying to spare her a life with his illness. The usually excellent Jared Harris, Chernobyl (2019), is barely given any screen time, which is a shame as perhaps more time with a wise mentor figure would have given both Morbius and Milo more depth. It’s so very difficult to care about any of these underwritten characters. It’s harder still when they’re given the weakest of plots (writers Matt Sazama and Burk Sharpless clearly didn’t receive any studio notes on revisions), all for an origin story of a character who is at his core so deeply uninteresting that it’s almost impossible to be invested in whatever happens to him. Of course, since the opening of the Multiverse in Spider-Man: No Way Home (2021), we are given two post-credits scenes that reintroduce us to a former Spider-Man villain. Both of these are as inert as the preceding film and do very little to excite the audience for a sequel. Morbius is a prime example of what Scorsese was trying to point out about the generic nature of superhero films. There are always some excellent films in the pool of the cape genre (see Matt Reeves’ The Batman as a recent example) but increasingly, as the IP gets stretched further and further, there is less to work with that has true cinematic value. Morbius is a thin piece that lacks any reason to entice comic book fans, genre fans, or action fans. No doubt, because of the aggressive marketing Sony has done, it will get some traction and take a bite out of the box office, but a good film it is not."
"Aug 9, 2023",NEGATIVE,I can&apos;t even comprehend how they thought this was worth putting out&#46; Worst of all&#44; it connects itself to an actual good Spider-Man villain&#46;
"Jul 25, 2023",NEGATIVE,A terribly dull movie that takes you back to the worst CBM&#8217;s in the 2000s&#46; Jared Leto brings dedication&#44; Matt Smith brings charm &amp; is having the time of his life&#8230;&#46; But god the script&#44; the editing&#44; the pacing was all terribly brought together
"Jul 25, 2023",NEGATIVE," Michael Morbius is anything but mild-mannered. He is a biochemist and Nobel Prize worthy egomaniac determined to achieve greatness no matter the cost. He is also plagued with a rare blood disease that cripples his every move, every thought, and every action. It’s this disease that ends up shaping the way Dr. Morbius sees the world and clouds his judgment when he finally discovers a cure for what ails him.  “Morbius” is the newest addition to what audiences have started calling the Sony Spider-Man Universe. It is an introduction to a character that breeds life into an antihero, much like the SSMU’s 2021 film, “Venom: Let There Be Carnage.” However, in this newest Marvel journey, we have a main character who completely lacks charisma, common sense, and ethics. We meet Dr. Michael Morbius (Jared Leto) early on in Costa Rica, where the cane-wielding protagonist cuts his hand to bleed open, attracting bats from a cave like Marvel’s version of Bruce Wayne. Yet, we quickly discover, this man is no Dark Knight. He is experimenting with new treatments in an attempt to cure his disease, as well as the blood disease of his childhood friend, Milo (Matt Smith). They have always had a pact between them: “Like the original Spartans, we are the few against the many.” This is a quote often repeated throughout the film, although it strikes many meanings towards the climax. After many failed trials, Dr. Morbius finally finds a way to cure himself, leading to side effects of vampiric proportions. During an experiment on a ship in international waters, an incident occurs that leaves several men dead and Dr. Morbius on the run. After becoming a living vampire, Morbius feeds off of synthetic blood in an effort to delay the inevitable: having to feed off of human blood for survival. His disease may be cured now, but his urge for human blood grows stronger by the minute, as he goes from barely walking to superhuman strength and powers beyond his control. He feels a kinship with bats and perfects his echolocation, otherwise known as bat radar. When he is finally detained and questioned by detectives about the ill-fated ship, Morbius exclaims, “I’m starting to get hungry, you wouldn’t like me when I’m hungry.” This is an obvious nod to Marvel’s Hulk, but it falls flat in this film.  While Morbius comes to the realization that his new existence will prove to be tumultuous in the end, Milo suddenly discovers a new lease on life by injecting the same serum to cure his disease. Angry and confused as to why Morbius would have kept this “cure” all to himself, Milo becomes his ultimate competitor in a world that would have been better off if neither of them existed. In this instance, Milo is almost literally biting the hand that feeds him. It’s not that “Morbius” is bad, but that it is SO bad that it’s almost unwatchable. Matt Smith is a waste of great talent in a role that sees him go from practically paralyzed to supervillain in a matter of seconds. You would’ve thought that Jared Leto learned his lesson from the negative reviews his Joker received from “Suicide Squad,” yet here he is again hamming it up for cameras where not even his shirtless scenes can deflect from bad writing. There is a severe lack of female performers, so much so that actress Adria Arjona playing Martine (aka Morbius’s girlfriend?) has to pick up the slack for all female representation in a big budget film that claims to be a bridge between Spider-Man and the multiverse. We have two post-credit scenes that help to build that bridge for audiences, but they have absolutely nothing to do with the 1 hour and 44 minutes of dreck that came before it.  In the end, we witness a mediocre duel between Morbius and Milo, where bats are summoned and Martine gets caught in the mix. It’s anticlimactic at best. It would have been much better if the filmmakers made a 7-minute version of the post-credit scenes, uploaded them to Disney+, and called it a day."
"Jul 25, 2023",NEGATIVE," Synopsis: Dangerously ill with a rare blood disorder and determined to save others suffering the same fate, Dr. Morbius (Jared Leto) attempts a desperate gamble. While at first it seems to be a radical success, a darkness inside him is unleashed. Will good override evil - or will Morbius succumb to his mysterious new urges? Since the pandemic started, movies have suffered numerous delays. Changing release dates constantly inevitably affects the hype surrounding each work, especially from major studios. However, while this particular moment raised more problems than solutions, it also provided film companies with a way to deal with their ""disposable flicks"". The COVID excuse to justify bad decisions by executives has been used here and there, so I find it surprising that Morbius has gone through so many delays instead of Sony just dumping it in January as usual. Unfortunately, Daniel Espinosa's (Life) movie kept moving through the calendar due to its own problems and not because of any external factor. When Jared Leto (The Little Things) is genuinely one of the few positive aspects of a film, something must have gone very, very wrong with its production. The actor is known for his extreme dedication to his roles, but his off-screen ""method acting"" generated unbelievable stories that his peers, filmmakers, and cinephiles either disapprove of or applaud. That said, despite being an admittedly controversial actor, Leto possesses immense talent and demonstrates it in this third installment of the Sony-Marvel cinematic universe - officially named Sony's Spider-Man Universe (SSU). Both Leto and Matt Smith (Last Night in Soho) try to carry the first half of Morbius, mainly while their characters focus on finding the cure for their rare diseases. The two actors have excellent chemistry, and their interactions before the whole uncontrolled action are interesting enough. The action itself contains pleasing visual elements created by VFX artists and cinematographer Oliver Wood (The Equalizer 2), including three sequences with more suspense and tension than anticipated. However, from the somewhat old-fashioned mix of slow-motion with a faster pace to the dreadful third act with an incomprehensible CGI blend filling the screen, it's still one of the most inconsistent components of the movie. From here, it won't be easy to find praise, with the screenplay by Matt Sazama and Burk Sharpless (Gods of Egypt) being the biggest negative factor. A narrative heavy on cheap, unnecessary exposition with a main plot so generic that Morbius could very well have been released in 2005. There's no surprise factor in a story incredibly predictable from the first few minutes, where the lack of character development not only raises mind-boggling logical questions but also keeps viewers from empathizing with any hero, villain, or other ""bodies present"". Adria Arjona (Sweet Girl) plays the ""pretty scientist"" stereotype, Jared Harris (Allied) the cliche role of ""fake dad"", Milo (Smith) goes from being a child with nothing to a millionaire adult - who knows how and what job he has - and Michael Morbius, the alleged anti-villain with complex motivations, is, after all, developed as a head-to-toe ""good guy""... which wouldn't be a problem if the most confusing post-credits scenes of Sony-Marvel's history didn't completely contradict the preceding 104 minutes, in addition to breaking several storylines explained in previous MCU and SSU films. The credits teaser addiction is so powerful that it's already beginning to impact the movie viewers have just seen. On the technical side, Pietro Scalia's (Ambulance) editing ruins pretty much the entire film, making quite an impactful contribution to the overall mess. Scalia may not have been the only culprit, but the editing of the various narrative points and the action sequences can make a viewer dizzy due to so many sudden shifts in location and characters. Jon Ekstrand's score (Child 44) ​​should be a plus since it actually elevates some moments in Morbius. It's just a shame that it's a pretty blatant copy of the music that accompanies Batman in The Dark Knight. Marvel and Sony have a tremendous opportunity to transform Hollywood again. If cinematic universes are the popular type of franchise every studio wants these days, cinematic multiverses could be ""the next big thing"". Unfortunately, this MCU-SSU combination will be analyzed as ""the example to not be followed"". Not only has the SSU still not delivered a single movie acclaimed by both critics and audience, but the merger comes at the cost of destroying the entire narrative logic built in the last Spider-Man flicks. Morbius is yet another disaster from the Sony-Marvel shared universe. Despite good performances from Jared Leto and Matt Smith and even a couple of visually captivating action sequences, the formulaic screenplay that seems to originate from the beginning of the century ruins everything in its path. From the predictability and zero creativity of the main plot to the heavy reliance on uninteresting, unnecessary exposition, Daniel Espinosa finds his most significant problem in the blatant lack of care in the treatment of the characters. The narrative logical lapses are too many to ignore and even amplified by extremely messy editing, a third act wrapped in an unfathomable blend of CGI, and a plagiarized score. One of the most embarrassing productions by a major studio in recent years."
"Jul 25, 2023",NEGATIVE,It comes as no surprise that the extremely delayed Moribus is not the finest superhero movie ever released&#46; The film lacks depth and intrigue&#46; It&#8217;s a slow-moving exploration of a character that barely makes the case for its existence&#46;
"Jul 20, 2023",NEGATIVE," “All the less than favourable rumours circulating about Morbius made me apprehensive, to begin with. But I went into it hoping for better, and unfortunately, the movie ended up being even worse.” On the heels of Sony’s Spider-Man: Now Way Home success story, you’d think they would be able to keep the moment going with its introduction of Marvel’s favourite vampire, Dr. Michael Morbius. But unfortunately, Morbius stops that success in its track with an awkward attempt at an origin story. There’s not much that redeems the movie because its predictability renders the story too weak to carry through anything of substance. No real foreshadowing occurs in the film, as you can see the plot coming a mile away. It’s like being told a tale by a child relying on ‘and then this happened, and then this happens’ to keep the story going. We’re introduced to a pallid Dr. Morbius (Jared Leto) using crutches to keep himself upright due to an incurable blood disease. And within seconds, we hear of his obsession with vampire bats, and he cuts open his palm with a dirty knife to lure them to him. Just like that, we know what’s to come. Next, we get a flashback of young Michael (Charlie Shotwell) in a hospital/boarding school, playing chess against himself, surrounded by kids with the same condition and about to meet his soon-to-be friend. The child actors who play young Moribus and his friend Milo are the most compelling characters in the film. Especially Joseph Esson, who plays young Milo, manages to deliver more emotion and depth in a couple of mins than the adults in Morbius. That lack of depth is primarily due to the aggressively fast pacing of the story, which leaves you little time to become invested in the characters or their plights. The in-story timeline of the movie’s events is a week that simultaneously feels like too much time and not enough since so much is happening to the characters. Still, they seem to take everything in stride and process it all immediately. In the trailer, we learned about the ship full of bodies that wash ashore. The police’s immediate conclusion that it must’ve been a vampire comes off as comedic and ridiculous. Milo (Matt Smith), upon coming face to face with a blood starved Michael, immediately leaps to embrace his friend. Even after having just watched him down a pint of blood. Despite being chased by allegations of murder, people seem indifferent, cracking holy water and Dracula jokes as if they aren’t fighting against a ticking clock counting down to a disastrous end.  And speaking of disastrous ends, the final boss battle severely underwhelms. MattSmith’s Milo as an antagonist lacks any gravitas or villainous presence; he comes off more as petulant and inconsistent. The excessive use of CGI to show off Morbius’ powers and affinity for bats also obscure what could’ve been phenomenal stunt work making the combat even less impactful. All the less than favourable rumours circulating about Morbius made me apprehensive about attending the press screening, to begin with. But I went into it hoping for better. Unfortunately, the movie ended up being even worse than the rumours led me to believe. The saving grace is that both end credit scenes happen almost immediately after the movie ends, so you can leave immediately."
