Date,Score,Reviews
"Sep 7, 2011",NEGATIVE,
"Dec 6, 2005",NEUTRAL," Does it really make a difference if a Guy Ritchie film is based on actual historical events? Because, in the end, Guy Ritchie is going to... James Bond is a character that has been playing on the world's screens since 1962. Its most recent interaction came out in 2021, with another expected in... Poker and movies have had a long history of collaboration. It doesn't matter the movie's genre or the year it was released; there is a high possibility... Casino movies? They have those extraordinary yet relatable twists that can keep you glued to the screen for hours. It might seem like the director has been... Before you start promoting your film, ensure you have a clear visual and verbal identity in place. A compelling poster or key image is crucial to grab... Film Threat cares about your privacy and the security of your information. Visit our full length Privacy Policy to get informed on our policies regarding the collection, use and disclosure of information we receive from users."
"Oct 9, 2005",NEUTRAL,
"Jul 10, 2005",NEUTRAL,
"Mar 27, 2004",NEGATIVE,
"Mar 18, 2004",NEUTRAL,
"Sep 2, 2003",NEUTRAL,
"Dec 8, 2002",NEUTRAL," Does it really make a difference if a Guy Ritchie film is based on actual historical events? Because, in the end, Guy Ritchie is going to make a Guy... Film Threat cares about your privacy and the security of your information. Visit our full length Privacy Policy to get informed on our policies regarding the collection, use and disclosure of information we receive from users."
"Apr 12, 2002",NEGATIVE,
"Jan 1, 2000",NEUTRAL," Our certified organic orchard of 365 heritage and connoisseur apple varieties is home to Ciderworks cidery, sales of our fresh apples and apple treats, Salt Spring Apple Company apple tree sales and our orchard-front, oceanview B&B @ Salt Spring Apple Company."
"Jan 1, 2000",POSITIVE," Like many recent Ritchie movies, this one has a lot of frenetic action, a fair amount of spectacle, some cheeky dialogue, and a hefty dose of machismo. Designed to be corny and loopy but with a kernel of sentimentality at its core, and is sufficiently different to make it almost worth seeing for that reason alone. ""Civil War"" does a good job dissecting the damage done by a desensitization to violence but it botches the backstory and features an ending that belongs in another movie. The actors do what they can with underwritten roles but it is hard not to see that a lot more could have been developed from the premise. For those who have an orgasmic reaction to kaiju confrontations, far too little of the film is devoted to them and the overreliance on CGI leeches away the awe associated with the spectacle. It is at times unsettling and the ending contains a strong shock element but the movie as a whole feels a little too familiar to engage its audience."
