Date,Score,Reviews
"Apr 11, 2024",POSITIVE,"Absolutely phenomenal, could not give a higher recommendation to a modern animated film."
"Apr 11, 2024",POSITIVE,"A mastery of pacing and animation. Movie tuckles havy themes like batteling over ones mortality, looking for happiness and forming meaningfull relationships. Big Jack Horner felt a bit over the top and not really necessery, but this movie is forever great to rewatch. Too bad it's the only really good movie Dream Works made in reacent days, and it might just be only good sequeal they made. I mean, there's Shrek, but I didn't really enjoy it, and haven't watched it since, so"
"Apr 10, 2024",POSITIVE,This movie was entertaining for the kids and the adults alike. The characters were interesting and the animation was beautiful.
"Apr 6, 2024",POSITIVE,"Puss in Boots: The Last Wish is the decade-later sequel to a spinoff franchise and yet, it is the best movie in the Shrek franchise. That's no small feat when it has to match up against Shrek 2. Everything about this movie pushes the boundaries on how we view animated family movies. From a message about coming to terms with our own mortality to humor that doesn't talk down to its viewers. With 3 different kinds of antagonists, the movie is able to make sure none are too hot or too cold, striking that balance of just right across the board. Even a character like Perro, who you would expect to be the annoying comedic relief, is a fun side character who contributes to the themes and flow of the story. This movie was an incredible surprise that ensures that Puss will always be our favorite fearless hero."
"Apr 6, 2024",POSITIVE,"A very fun sequel that delivers unlike megamind 2. A fun, colorful, great story family film for all to enjoy."
"Apr 5, 2024",POSITIVE,"Given the movies that directly followed this, I'm convinced that Dreamworks didn't make this."
"Apr 5, 2024",POSITIVE,Nooo way This Movie Sooo AMAZING!!!
"Apr 3, 2024",NEUTRAL,every time jack was on screen it bored me unfortunately the hype didn't go as what i thought this movie would of been the wolf character bc of puss in boots last life i really like but he is barley in this movie unfortunately this movie is disappointing but i enjoyed it when it came to the very beginning and the 3rd act but the second act is boring bc jack wants a wish just for him to be so powerful bad motivation 82%
"Apr 1, 2024",POSITIVE,"Beauty of a movie, with amazing character growth and the designs are so GORGEROUS, i love the backgrouns and every little frame, the frame drops in fights are so so SO good we need more movies like this"
"Mar 31, 2024",POSITIVE,Honestly peak dream works that took a smaller character and made an absolutely amazing story line. The characters were all enjoyable and the comedic relief wasn't an annoying side character who serves no purpose to the story. He actually had a character and felt like an important part of the team.
"Mar 30, 2024",POSITIVE,This was an amazing movie 100% better than the 1st one
"Mar 30, 2024",POSITIVE,"A sequel to Puss in Boots being considered a cinematic masterpiece is a shocker and I absolutely agree. Everything from the incredible animation, to the compelling story  and the amazing performance from the voice actors. It's a non stop ride of action, emotion, comedy and I can't stress enough how amazing this film is. Chefs kiss and I hope this is the direction Dreamworks goes for Shrek 5."
"Mar 29, 2024",POSITIVE,"This film is fantastic in every way. The animation is beautiful, the comedy is spectacular and the movie is scary, funny, sad and exciting at the same time.

All the characters are so fun and unique. Everyone is giving it their all and it is incredible.

There are a lot of cameos from other character out of the Shrek franchise that are very fun to see on the big screen again.

There are great surprises sprinkled throughout that will excite and entertain you.

Last but not least this film has a surprising amount of dark moments and a wolf character that will maybe scare you.

Overall the movie is awesome .

If you want a movie for the whole family to watch and enjoy in the theater then this one is perfect."
"Mar 28, 2024",POSITIVE,"Puss in Boots returns for a sequel with the hugest bang possible. With a whole new animation design that resembles closely to Spiderverse & TMNT, the last wish made every fan rejoiced with it's sense of humour and amazing choreography matching to none. The film succeeded in doing something what Dreamworks is known for, targeting at mature audiences. With topics as death, depression, etc, it really is a dreamworks writing through and through. The film's major bonus point is the addition of most beloved fairy tale characters and showing their darker and gritty sides which really puts a new perspective in the minds of people who have grown up watching such titles. The story explores the last life of Puss which really puts a spin on what it means to live a life knowing there is no coming back. 
All in all,  a great film that made me love Dreamworks even more & hopeful in the future installments.

PROS:
-	Amazing Cinematography and Animation.
-	Great Villain and characters arc.
-	A complete and unique story.
CONS:
-	Some story points that feels to repetitive of the first movie but still blends in really well."
"Mar 28, 2024",NEUTRAL,"Let's go with the minuses - I was surprised by the level of violence portrayed in the movie at times. It's also quite loomingly scary, with the characters of Wolf (played by Wagner Moura) and ""Big"" Jack Horner (John Mulaney) being very violent. Wolf also occupies a very weird place in the film - I remained unclear if he was supposed to be a representation of death or death itself. The new animation style was interesting but didn't really seem to serve a real purpose except for it being there.

However, these are quite minor, and the movie itself is quite well put together, with logical reasons for each of the characters to look for the wish (maybe except Kitty, but it's a small thing in the grand scheme of things). Perrito (voiced by Harvey Guillen) and Goldilocks (played by she's-everywhere Florence Pugh) are interesting additions to the storyline. The humour is also quite well done (though again might fly over the kids' heads), and it was an enjoyable movie. 

Overall, a good movie, though keep it for the older kids."
