Date,Score,Reviews
"Oct 29, 2022",POSITIVE," Alright, beasties. It’s that time of year again. For this edition of Haunt-tober, I’m going to do a post a day but, like a great haul after trick or treating, I’m hoping to mix it up and deliver some surprises. There’ll be reviews, new or old, seen/unseen, TV or film. Depending on my wicked mood, there may also be lists, audio, or video. I hope you’ll enjoy it and remember: stay weird. A tragedy occurs and breaks up a family’s quiet, happy life. Young Francisca (Olivia Bond) is taught by her mother about human anatomy, which sparks a keen curiosity in her, but also an acceptance of life and death. When she gets older Francisca’s (Kika Magalhaes) interest grows in disturbing ways. The film chronicles her transition in a compelling, and sickening manner.  The film is only an hour and 16 minutes, yet each minute is felt. It’s not said as a negative, it’s just so heavy that you carry each scene with you as you go. It’s one of the oddest, but honestly, most impressive horror films I have seen in a long time. It manages to completely capture you, unnerve you, but also entrance you.  In stark black and white, there’s a foreboding cloud hanging over, and yet it is beautifully shot. The music is subtle and many scenes are filled with silence. Kika Magalhaes is fantastic, and stoic for most of the film, with moments where her facade breaks and the trauma and emotions overwhelm her. The film primarily takes in one location, a farmhouse in the middle of nowhere, and in ways, it feels like another world: Francisca’s. With no connection to anyone and a loneliness that pervades, she’s always yearning for the family she once had. The cinematography by Zach Kuperstein is also exquisite, heightening the sense of isolation.  The Eyes of My Mother is really one of a kind. It has a presence that doesn’t disappear when the credits roll. Each scene is meticulously crafted, and it is one where the atmosphere lives in you. A unique directorial debut that shouldn’t be overlooked.  We want to hear your personal, haunted/strange stories! Your fears/phobias… weird anecdotes! Tell us your favorite horrific film/tv show/book/collectible- anything!
If you’ve got something to share, I’d love to hear about it!
My only rules are to be kind. So, just be open and honest, and have fun!"
"Jan 14, 2022",POSITIVE,A bedtime freak-out fairy-tale for the genuinely disturbed
"Apr 28, 2021",POSITIVE,The way it twists and turns and follows this child's life as she leads into adulthood is very sickly entertaining.
"Mar 16, 2021",POSITIVE," Imagine you were stuck in a nightmare that you couldn’t wake up from. You try to wake up but no matter how hard you try, it’s futile. That is the experience of watching The Eyes of my Mother. It is probably one of the darkest and grim movies you will see all year. The movie begins with a young girl, Francesca, in the countryside who witnesses the brutal murder of her mother by a stranger she lets into her house. This event psychologically scars the girl in a huge way and we see that she gets older as the movie progresses. Her actions are to say the least are disturbing and that is an understatement. Saying what they are would be giving away too much but let’s just say it doesn’t involve giving flowers and making rainbows. Clocking in at 76 minutes, a length that so rare among feature films now but should be acceptable for some films, is a nuanced, beautiful film that deals with loss and death. That there is nothing after our last breath and that during our lives that grim reality is always present. Filming the movie in black and white was a great choice. There is no color both literally and metaphorically in the film. Kika Magalhaes (an actress who hasn’t really done anything of note yet) plays Francesca as an adult who still lives with her aging father. She gives a fantastic performance devoid of emotion and compassion. She plays the part so cold she could bring a new ice age. The way she says her lines has a unique, idiosyncratic cadence. However, it has to be stated Francesca is not a sympathetic character. She is a sad, pitiful person but nonetheless troubled human who makes reprehensible decisions. Don’t expect long, drowning lines of dialogue exposition. The movie has very little dialogue. When there is dialogue, mostly English is spoken but there are instances where characters speak in Portuguese. This is entirely a visual film where the story is moved by what happens in the scenes and not dialogue. It’s a great choice and more movies need to do this. During the press screening, four people walked out. This movie is not for everyone and it is going to cause disgust and resentment for some. Others will see a movie that opens a dialogue on the emptiness of life and death. It is going to stir emotions in everyone who sees it and it will not be a forgettable experience."
"Jul 3, 2020",NEGATIVE,"You can practically hear the filmmakers discussing what shocking event to include next. It tries very hard, with little larger understanding of why, and leaves lingering narrative holes."
"Apr 28, 2020",POSITIVE," Steve Prokopy is chief film critic for the Chicago-based arts outlet
Third Coast Review. For nearly 20 years, he was the Chicago editor for
Ain’t It Cool News, where he contributed film reviews and
filmmaker/actor interviews under the name “Capone.” Currently, he’s a
frequent contributor at /Film (SlashFilm.com) and Backstory Magazine.
He is also the public relations director for Chicago's independently
owned Music Box Theatre, and holds the position of Vice President for
the Chicago Film Critics Association. In addition, he is a programmer
for the Chicago Critics Film Festival, which has been one of the
city's most anticipated festivals since 2013. Support Third Coast Review and our coverage of Chicago arts and culture by making a small monthly pledge on Patreon or by making a donation on PayPal. Enjoying Third Coast Review news and reviews? Please consider supporting our arts and culture coverage by making a small monthly pledge or making a donation via PayPal. Choose the amount that works best for you, and know how much we appreciate your support!"
"Apr 19, 2020",POSITIVE," A young woman is thought to handle dead bodies and see them as normal as well as operating on them.   After her mother is killed in their house, she slowly unravels and assumes things to be normal as she learns to live her new life. Written and directed by Nicolas Pesce, the entirety of the film revolves around one young woman and her descent into possible madness as she adapts to her surroundings from childhood and handles death in a particular manner into adulthood and life changes.  The lead character Pesce builds here is a disturbed young woman who does not know any better.  The way she goes through life, constantly referring to her death mother and trying to make her proud while doing things that most would consider twisted or wrong. His direction gives the story an almost completely even tone which is well represented in the black and white images which give a specific ambiance and the choice of using English and Portuguese language in the film to represent the lead’s relationships with different people and situation.  This gives the film an interesting personality and a vibe that is not often seen.  The film has a unique take on loneliness and adapting to one’s surroundings and changes. Cast in this lead of Francisca as a child is Olivia Bond who does well with the part of this growing girl who has a dark curiosity about life, death, and the body.  As adult Francisca, Kika Magalhaes gives a layered, mysterious, and nuanced performance.  She carries most of the film with other much smaller characters coming and going without much screen time compared to her. Some of these smaller characters do stand out such as Francisca’s mother played by Diana Agostini who shows a quiet strength and softness while teaching her child about eyeballs and how cows are similar to humans while cutting a cow’s eyeball out of its head.  Also needing to be noted is Will Brill as Charlie who will not be spoiled for those wanting to see the film, however it can be said that his performance has an interesting arc and a wide array of emotions which he handles with talent. Creating the look of the film is created by the black and white look that feels desolate in parts and lush in others and by the cinematography by Zach Kuperstein who frames the scenes and characters much like old school photography and would. This is also helped in terms of look by impeccable art direction by Caroline Keenan Russell and costumes design by Whitney Anne Adams, both of these create a cohesive look and give the film a somewhat timeless or period less style as they are from a not clearly identified period yet feel familiar and comfortable.  These paired with the music by Ariel Loh, create a whole that has a specific look, sound, and feel. The effects are also well done with some gruesome wounds, new and healing, done by Janine Maloney and Cat Martin.  In the film’s calm darkness and fairly subdued nastiness (if such a thing is possible), these effects add some surprise and almost dread. However, the horror of this film does not come from these specifically but from the lead and her closeness with death and pain and how she seems to be absolutely ok with it all. The Eyes of My Mother is beautiful exploration of how a person’s view of life, death, pain, and normalcy can be warped from a young age and the slow loss of connection to the real world by being cut off from it and building her own world with her own values and family.  This film is emotional while not being fully in your face about it and it is oddly touching."
"Oct 3, 2019",POSITIVE," If Portugal were the portal to some Lynchian netherworld of dreams deferred, it would look something like Nicolas Pesce’s sumptuously grotesque directorial debut, The Eyes of My Mother. A striking palette of black and white cinematography from Zach Kuperstein recalls the scarred, destitute lives from the ruins of Arturo Ripstein’s filmography, a macabre yet uncharacteristically sound portrait of psychological unraveling. We all know the kind of potent degeneration to be fashioned on isolated farmhouses where dysfunctional children are paired with musings of surgical practices, as seen in films from Haneke or even last year’s Goodnight Mommy. Pesce, who previously directed multiple music videos, as well as assistant editor on Josh Mond’s James White (2015), debuts a spectacularly gruesome calling card which may deconstruct the notion of the physical lens through which living beings observe the world, but seems to hint these particular organs are hardly inherent windows to the soul. At a secluded farmhouse, a weathered mother (Diana Agostini) teaches her young daughter Francisca (Olivia Bond) about anatomy and death, imparting all her knowledge and skill from her former life as a surgeon in Portugal. When a disturbed visitor (Will Brill) suddenly visits their farmhouse one day, Francisca’s idyllic childhood comes to a screeching halt. Left alone with her notably introverted father (Paul Nazak), Francisca grows into a young woman (Kika Magalhaes) with only a terrifying secret in the barn to call her friend. But as her father’s health deteriorates, Francisca becomes worried about who else will keep her company at the farm, and we begin to understand just how warped her worldview has become. The Eyes of My Mother begins with the kind of secret teased in The Secret in Their Eyes (2009/2015) and develops into what could have been a follow-up to The Little Girl Who Lives Down the Lane (1976). Pesce leads a deliberate pace through three chapters of little Francisca’s development, each ironically titled for a figure or notion we’re about to see perverted (Mother, Father, Family). Eventually we circle back to its opening moments, which hints at the young woman’s own background considering the advanced age of the actors portraying her parents. Kuperstein’s stark frames stray over the faded, grim interior of the farmhouse, moments of extreme violence edited by Pesce himself for a disturbing comical undercurrent for the fashioning of Francisca, who is eventually comparable to the sociopathic tendencies of any number of male serial killers haunting cultural periphery throughout history. The trio of producers Sean Durkin, Antonio Campos, and Josh Mond should clue you into what to expect from Pesce’s tone, which also recalls a variety of Euro filmmakers, from early Julio Medem to Lucia Puenzo’s The Good Doctor (aka Wakolda). But just when you think you can predict the gruesome inevitability of Pesce’s finale, he throws an unexpected curveball with its third segment, which asserts the narrative’s contemporary setting. There’s an otherworldliness here, as nothing seems to add up, such as where and when this is taking place, as well as why Francisca’s parents left Portugal and a lucrative profession behind. Kika Magalhaes is the breakout talent here as the grown Francisca, a woman whose loneliness is as understandable as her unconscionable actions are horrific. A bizarre aside where Francisca preys on a young English-speaking Asian woman she picks up at a place called “Donna’s Bar” (which reinforces a sort of “Twin Peaks” element of particular displacement where English is the primary language with a notably diverse characters) is particularly comedic, and says volumes of Francisca’s characterization as a predator who has only learned to be a victim of her own making. The idea of possessing and moulding another human being for one’s own disposal is the film’s dark heartbeat, and as the title indicates, Francisca’s warped worldview is filtered through problematic notions of death and dismemberment. The Eyes of My Mother announces Pesce as a particularly talented director to watch, securing him a reputable seat amongst his impressive group of producers. Los Angeles based Nicholas Bell is IONCINEMA.com's Chief Film Critic and covers film festivals such as Sundance, Berlin, Cannes and TIFF. He is part of the critic groups on Rotten Tomatoes, The Los Angeles Film Critics Association (LAFCA), the Online Film Critics Society (OFCS) and GALECA. His top 3 for 2021: France (Bruno Dumont), Passing (Rebecca Hall) and Nightmare Alley (Guillermo Del Toro). He was a jury member at the 2019 Cleveland International Film Festival."
"Jun 13, 2019",POSITIVE," Presented in black and white and set in – what looks to be – the 1950s, an innocent-looking farm house sits in the rolling hills of, possibly, the rural Midwest.  Oddly, Mother, who looks more like a grandmother with decades of angst and stress carried in her face, cuts open a cow’s eyeball at the kitchen table and explains its anatomy to Francisca, who hangs on every word.   Later that day, a strange man approaches the house, and unfortunately, Mother and Francisca do not heed the classic warning, “Don’t talk to strangers.” Trust me when I state that Francisca is immensely dangerous, and Pesce’s camera skillfully captures her exploits with – sometimes - a minimalist approach.   For instance, the audience may witness an act of violence from a noticeably distant point of view or just out of frame.  In one scene, we only see the aftermath of bloodshed during an “ordinary” moment of cleanup, due to the mess that was just enacted off camera.  Generally speaking, murderous close ups are not particularly necessary in an effective use of “less is more” in the horror genre, and I applaud it here.  On the other hand, immediate murder is not always Francisca’s modus operandi, and conversely, the film absolutely features the sickening sights and sounds from the results of her carefully crafted decisions. Pesce shoots his beautifully horrific creation with a distinct arthouse flair and constructs an isolated environment, in which no one can hear you scream and no one can see the merciless transgressions.  With a runtime of just 76 minutes, Pesce does not mince words or waste time with the narrative.  He does, however, hold the camera (in place) long enough during a number of ghastly sequences that will make you crave a shower after the film’s conclusion to wash away the vile nature of humanity that you just experienced as a semi-willing viewer.  At the same time, no mere antiseptic rinse can remove the portrait of woman - brought up in a wholly unhealthy environment - from one’s mind, as Francisca promises to slink into an accessible mental crawlspace. Loneliness may do strange things to the mind, but be warned: “The Eyes of My Mother” may trigger permanent damage.  Jeff – a member of the Phoenix Critics Circle – has penned film reviews since 2008 and graduated from ASU’s Walter Cronkite School of Journalism.  Follow Jeff and the Phoenix Film Festival on Twitter @MitchFilmCritic and @PhoenixFilmFest, respectively. The Phoenix Film Festival is a program under the 501(c)3 non-profit organization Phoenix Film Foundation, and is a sibling of the Phoenix Film Society, International Horror and Sci-Fi Film Festival, Peoria Film Fest, IFP/Phoenix, Arizona Student Film Festival and Phoenix Critics Circle. The Phoenix Film Foundation is dedicated to promoting diversity and education in the arts, elevating underrepresented voices, and driving the growth of independent film in Arizona. Through film showcases and accessible educational initiatives, we cultivate a vibrant, inclusive cinematic community, utilizing it as a catalyst for personal growth, creative expression, and positive social change."
"Jun 4, 2019",POSITIVE,"A haunting slow-burn of a film, one that eats its way under the skin with sadistic precision"
