Date,Score,Reviews
"Mar 24, 2024",POSITIVE,Love all Robert's films. This one is no different.
"Mar 23, 2024",NEUTRAL,"Pretty good photography, not much of a story, liked the trippy Norse mythology stuff could have made a bit more of it."
"Mar 17, 2024",POSITIVE,"If The Northman isn't Robert Eggers' best movie, it's at least his boldest. It's finetuned and pinpoint beyond what you'd expect from an already exacting director, and the stunning ensemble cast is entirely dedicated to their profound roles – all led by Alexander Skarsgård and Anya Taylor-Joy.

<a href=""https://cinephilecorner.com/reviews/the-northman-movie-2022/"">The Northman movie review</a>"
"Mar 12, 2024",POSITIVE,"Beautiful story of revenge, very raw emotion, and an all around great Viking movie!! Alexander Skarsgård absolutely delivers in this and put so much into this and the supporting cast also holds up this captivating tale. A must see for anyone who is into Viking lore or a fan of Alexander Skarsgård."
"Mar 5, 2024",POSITIVE,"Almost like a classic Sword and Sorcerer film, but with no regard for the genre's conventions, which makes this film stand-out, and stand above."
"Feb 29, 2024",NEGATIVE,"Mediocre. Pretty basic story, nothing really surprising or departure from what you'd expect. Forgettable"
"Feb 28, 2024",POSITIVE,"What a great surprise! Immersed in the beautiful and creative shoots, I really loved this movie. This movie made me remember why I love movies this much and inspired me in my cinematography."
"Feb 27, 2024",NEGATIVE,"I do not  see what the critics see in this. Even with great cinematography, it was not good."
"Feb 21, 2024",POSITIVE,Eggers finally fulfills the promise he showed in his earlier work. A gorgeous and bold epic that both feels old fashioned (possibly ancient even) and excitingly new.
"Feb 14, 2024",NEUTRAL,"Because of it's length, lack of character development or even story depth, it might not be everyone's cup of tea, but if you look at it from a different perspective than you usually look at movies, you appreciate it for what it is: a brutal revenge tale with great cinematography."
"Feb 9, 2024",POSITIVE,"In a landscape that's been very fond of Vikings in recent years, it's nice to see a departure from the often poorly realised historical, and instead venture into the mythical, the fantastical.

Based on the story of Amleth, the original inspiration for Shakespear's Hamlet, this film is unapologetically cryptic and mysterious, while telling a cohesive and thrilling tale.

The wealth of historical accuracies to the time period are worth 5 stars in themselves (Seriously, look it up), but going into this film expect to see a work of fantasy and let yourself get lost in it. You won't be disappointed."
"Feb 4, 2024",NEGATIVE,"This movie was absolutely dreadful from start to finish. The writing was completely incoherent and nonsensical. None of the plot threads made any sense whatsoever. The attempts at symbolism fell completely flat. The tone shifted abruptly and inconsistently between scenes. It honestly felt like the writer was just making things up as they went along with no planning or forethought.

Even setting aside the abysmal writing, every other aspect of this movie was equally incompetent. The acting was laughably bad. The cinematography was amateurish. The pacing was horrible. The runtime was absurdly long considering there was no actual story being told. The whole production comes across as some film student's first attempt at an ""artistic"" movie that tries way too hard to be profound but ends up revealing only its own pretension.

The Northman has earned its place among the worst movies I have ever seen. The writing is the most glaring weakness, but every single component is flawed. Do not waste your time or money on this total disaster of a film. Easily one of the biggest cinematic misfires in recent memory."
"Feb 4, 2024",NEGATIVE,"Apparently, some reviewers think a pretty movie must be a good movie.  This one is visually sumptuous, but plagued by long boring stretches, the worst choreographed medieval fight scenes since movies in the 50's, moderate acting (Nicole Kidman barely shows up), too long, some goofiness that is hard to take seriously in a movie that wants oh so bad to be serious.   Never mind that the writers only read the Cliff Notes about Vikings.  I give it two stars because I am a sucker for a Viking movie."
"Jan 29, 2024",NEUTRAL,"Like all of Eggers' films, if you don't fully understand the lore, you'll likely be stuck at times. Although mostly good, I think it may be Eggers' weakest film yet. 🍅"
"Jan 22, 2024",POSITIVE,"Cinematography is crispy epic combined with crafty engaging storytelling, now this is a fůcking viking movie folks! Skål!!!"
"Jan 20, 2024",POSITIVE,"After being blown away by The VVitch and then seeing the masterpiece that is The Lighthouse, I knew that Eggers' had something special with The Northman. A fantastical epic about revenge and death, this film is a visual marvel that hooked me instantly. Amazing performances, interesting story, and brutal fight scenes have me rating this one a 4/5 stars. Brilliant film."
"Jan 18, 2024",NEGATIVE,Probably the worst movie I have seen in a long time. Weak plot and horrible acting. Even the special effects lame . Don't waste your time on this disaster. Fooled by the high rotten tomato's rating. Don't believe it.
"Jan 16, 2024",POSITIVE,"Prepare for a tale of vikings, vengeance and the road to vallhalla! When Prince Amleth's father is murdered by his uncle, he embarks on a quest of vengeance against the traitor who killed his father. Beautiful in its aesthetic and brutal in its violence, Eggars brings the world of Norse mythology to life!"
"Jan 13, 2024",POSITIVE,"Absolutely gorgeous, stunning on every way."
"Jan 12, 2024",NEGATIVE,I was thoroughly unimpressed.
"Jan 7, 2024",NEGATIVE,Unbelievably bad! Don’t waste your time. 
"Jan 3, 2024",POSITIVE,Movie was awesome! If you liked Conan the Barbarian from the 80's with Arnold then you will enjoy this. The action is great and the mythos is excellent. Alexander is good in this movie along with the supporting cast. It really made me feel like I was watching Arnold's Conan from the 80's! Worth watch for sure!
"Jan 2, 2024",NEGATIVE,"Great cast. 
Movie —- meh x 10"
