Date,Score,Reviews
"Feb 18, 2024",NEUTRAL,"Great acting and cinematogrpahy, the main theme and idea is pretty interesting, the slow pace gives you chills but still brings out a horror feel. The plot could be improved but overall it is enjoyable."
"Jan 17, 2024",POSITIVE,"Filme: Garota em Chamas Rebelião  -  A Bruxa: parte 1 – A Subversão				Assistido: 4-11-23
Elenco: @d_a__m_i @dntlrdl @gominsi @jungdaaeun 
Modelo: #ficção #fiction #ação #action 
Duração: 2h 5m	Ano: 2018
Minha opinião: Ultimamente tenho me surpreendido com os filmes que tenho visto sem pretensão e este um deles. Filme muito bem feito, efeitos, roteiro, interpretação dos atores. Por isso os coreanos vem se destacando nos cinemas internacionais. Aqui é um dos filmes de mudança genética em crianças, isso não é novidade pois existem outros que segue o mesmo gênero e até Kdorama. O filme todo gira em torno de Goo, que é um dos experimentos e ela foge das instalações do laboratório. Porem nesta fuga ela sofre um acidente e passar a ter aminésia. E acaba indo para uma fazenda e é adotada por ela. Os anos se passam e sua mâe adotiva tem uma doença degenerativa e eles precisam de dinheiro. E quando ela se inscreve em concurso e neste momento aqueles que a procuram, encontram e passam a persegui-la. Com muita luta, tiros e boas coreografias e muita ação e sangue para todo lado com um certo exagero. E muita força de seus poderes. E um final onde o rato na verdade pode ser o gato.
Roteiro e enredo muito bem articulado e foge do padrão de Hollywood.
Vale apena assistir? Sim, mas cuidado com a faixa etária.
Nota: 8,5"
"Dec 23, 2023",POSITIVE,Takes some time to get going but then knocks it out of the park.
"Aug 5, 2023",POSITIVE,"The first half of the movie sees our main hero hunted down for reasons unknown to her. Once she understands, the movie takes off. The action, blood and special effects do little to distract and only make you stay more engaged. Highly recommended!"
"Jul 23, 2023",NEUTRAL,More action than horror movie.  Well crafted story and well choreographed action.  Well worth the watch.
"Jun 5, 2023",NEGATIVE,"This movie is just meh. There are some logical discontinuities in this film which is a huge problem. Then you run into characters making decisions that don't make logical sense. On top of all of this the main character in my opinion is not likable. Once you find out that her farm life was fabricated she becomes very unlikable imo. On top of that she chooses her one friend to be someone who seems completely self centered, vain, and materialistic. Yeah I don't I just couldn't find much to enjoy in this. The action is also not that good in my opinion. I'd recommend most stay away."
"Apr 17, 2023",POSITIVE,The is as five star as it gets. The lead actor delivers one of the most epic memorable performances I've ever seen.
"Mar 4, 2023",POSITIVE,Superb movie and outstanding acting and great action!!!
"Feb 19, 2023",NEUTRAL,"Lots of slow scenes in the first two acts, or scenes that shouldn't even be there, but the whole thing ends up being pretty fun, even with a pristinely derivative story. A two hour runtime is too much though. This could have been a lot leaner and meaner, say 1:40. Way too many shots that stay on someone's face for too long before they speak. Sure, plenty of eye candy, but eye candy doesn't do a thing unless there's something behind it. Here, there mostly isn't."
"Feb 10, 2023",NEUTRAL,"Solid film that rolls out the backstory in an intelligent way. The protagonist goes from victim to controller and the action sequences remind me of an updated matrix. Part sci-fi, part supernatural - if you can get past reading subtitles, it's a win."
