Date,Score,Reviews
"Apr 11, 2024",NEGATIVE,"They just ruined one of the greatest video game. 
Awful casting and i feel just like watching Spider man"
"Apr 3, 2024",NEUTRAL,it's a good adventure movie with a classic adventure movie plot. The action scenes are well done and recall the video game saga of the same name. The film itself has good CGI. But a little inconsistent with the history of video games since this is a prequel to the first game.
"Mar 29, 2024",NEUTRAL,It was an entertaining movie to watch.
"Mar 28, 2024",NEUTRAL,"Decente película, buena, pero que podría haber sido mejor a mi parecer. Esta cinta se basa en los videojuegos del mismo nombre, los cuales tienen una gran calidad en general, por lo que esta cinta podría haber sido igual si tomaban muchas mas cosas de ellos. Su principal error es su titulo, ya que no encuentro nada de ""Uncharted"" en esta película, solo los nombres de los personajes. La historia podría ser cualquiera de aventura y listo, tiene bastantes conveniencias y entretiene bastante eso si, pero no encuentro un parecido con los juegos salvo algunas referencias en pocas escenas. Mi principal problema con esto es el cast, el cual no me gusto ya que sigo sin ver a Tom Holland como Nathan, a pesar de que se mueve muy bien en escenas de acción o persecución, pero tiene momentos que parece que hace el papel de siempre con chistes tontos con los que no conecto. Por otro lado, Mark Wahlberg como Sully tampoco me convenció, aunque me gusto un poquito mas, pero lo veo mas como Nathan que como Sully, y no me gusta que no le hayan puesto su bigote característico. Además, parece que se quieren alejar del aspecto de los personajes en los juegos pero Chloe se asemeja bastante a la vista en los juegos, por lo que no se que quisieron hacer. Por otro lados, los villanos son bastante malos y olvidables, Antonio Banderas a mi parecer tenia bastante potencial y podían hacer un villano brutal con el, pero no lo aprovecharon y se vuelve un villano mas que tiene rencor con su padre; y Braddock también me parece una villana algo sosa y sin carisma. Los efectos me parecen algo malos, ya que hay escenas que se nota bastante la pantalla verde, y algún que otro efecto como el fuego que a veces se ve mal; solo destaco algunas escenas como la del avión que a pesar de la pantalla verde algo notoria, no se ve para nada mal a mi parecer. La banda sonora me parece que cumple, el uso del tema original me pareció excelente y me hubiera gustado que lo hayan implementado mas. Por ultimo, destaco lo visto al final de la cinta, que hace que tenga algo de esperanza con el futuro de esta franquicia si la saben aprovechar y darle mas esencia a los personajes. En conclusión, una cinta decente a mi parecer, que entretiene bastante y si no conoces los juegos te va a resultar bastante buena, pero en mi caso no logro conectar del todo con los personajes y sigo sin notar la esencia de los mismos Nate y Sully que vi por primera vez en la Playstation; sin embargo, creo que no esta tan mal y a pesar de que su historia tenga algunas cosas sin sentido, logra contar algo divertido y con un futuro que podría ser prometedor. La recomiendo."
"Mar 25, 2024",NEGATIVE,"The film wasn't that bad in itself and the actors did their best, resulting in a thoroughly watchable flick. The problem was the footsteps of the previous computer games. The Uncharted series manages to inspire a curiosity for history and mythological treasure hunts that you only remember from childhood. The characters were distinctive and, in addition to their oneliners, had well-developed and realistic character traits that evolved over the games. All of this was what made the Uncharted title so special and unfortunately the film lacks all of this. The film takes a few snippets from the original, but turns them into an incomprehensible and disjointed patchwork that is held together by the action scenes and occasional humour. It's more as if the writers picked out some big name, watched a forced video summary and mistakenly thought to themselves: I can write that story better."
"Mar 17, 2024",POSITIVE,"Fun, pacy not too serious. Worth trying out. Tom Holland impressive"
"Mar 17, 2024",NEUTRAL,"Not bad overall. As a huge Tom Holland fan, I loved seeing him in this. But parts of it just felt like lazy writing, while it also felt quickly paced, yet this was 2hrs. It paced quick, but in a slow way. But still a good film overall."
"Mar 15, 2024",NEUTRAL,As a fan of the game series this movie is alright for people that have never played the games the movie is a nice indiana jones / mission inpossible genre but misses the aspect of curiosity somethimes overall an okay movie but not really worth watching twice as a game fan i did not like the movie due to the fact that charackters meet differently and some points do not make any sense also messing up 2 games in one movie to make at the end their own original plot kinda ruined the movie for me .
"Mar 14, 2024",NEGATIVE,A very typical action treasure hunting movie.
"Mar 9, 2024",POSITIVE,"Filme: Uncharted	@unchartedmovie			Assistido: 22-12-23
Elenco: @tomholland2013 @markwahlberg @sophiatali @tatigabrielle @rudeth @antoniobanderas 
Modelo: #ação #action #aventura #adventure
Duração: 1h 56m 	Ano:2022
Minha opinião: Mais um filme de caça ao tesouro, ao estilo Indiana Jones, Minas do Rei Salomão, A Cidade Perdida,.... Temos aqui o novo astro de Hollywood com um veteranao, Mark Wahlberg e outro veterano Antonio Banderas. Pena a forma da morte Santiago de forma tão fútil. E aforma que tentaram criar uma química entre Tom e Mark, e temos também o tempero que Chloe uma traidora e enganadora. Este filme tem haver com um jogo de vídeo game, eu nunca joguei, por isso não tenho como fazer uma compração. A estoria é de 2 irmãos que foram criados no orfanato, quando seu irmão mais velho foge e promete voltar, porem não volta. Até o dia que aparece Sullivan para contratar Drake para ir na busca do tesouro escondido. Mesmo relutando ele aceita e nesta corrida aparece mais uma pessoa que esta atrás do mapa Chloe. Então se junta, mas os bandidos que é Santiago e sua gang comandade por Braddock. Entre traições e pular de aviões, tem muita emoção, com CGI bem realizados. Até quando encontram o tesouro ao estilo de Goonies, mas aqui eles irão exageram mais com navios sendo guinchados por helicópteros. Até o ápice do final. Um filme com ação do inicio ao fim.
Roteiro e enredo bom. Mas existe uma diferença com sucessos como Indiana que sempre existiu uma equipe e quando alguém era colocado em perigo, exite aquela união para salvar.
Vale apena assistir? Sim
Nota: 8"
