Date,Score,Reviews
"Apr 11, 2024",NEGATIVE,"Really drawn out!, slow a@s, waste of time movie for a quick stupid ending. Like all Adam Sandler movie's lately do not waste your time you will be disappointed at the end. Wasted my time with this sh@t!"
"Apr 3, 2024",POSITIVE,"Absolute masterpiece. Def one of Adam's  best movies. Shows you the dark of a gambler's addiction, and the kind of trouble you can quickly find yourself in if you make the wrong bet."
"Mar 31, 2024",NEUTRAL,The whole I was curious on where the movie would end: Success or Tragedy. I like Sandler in this role. I was entertained.
"Mar 30, 2024",NEGATIVE,"This is by far the most boring movie I have ever watched. I went in very excited to watch the movie but what a disappointment. Please, don't watch if you value your time."
"Mar 24, 2024",NEGATIVE,"The movie sucked. Constant yelling, horrible makeup, and every Jewish stereotype imaginable was used in this movie. It was so bad that when I saw it in the theater I walked out half way through. I have never walked out of a movie because it was bad (I have left because my child was crying). My Jewish friends I was there to see it with were not happy with the movie either. They said Adam Sandler and others should have known better."
"Mar 16, 2024",POSITIVE,Very entertaining. Kept me on edge constantly and had a satisfying ending.
"Mar 2, 2024",POSITIVE,I've seen this movie beginning to end 2 times now. I absolutely love it. It definitely plays with your emotions leaving you intrigued but also stressed and frustrated with Sandler's every decision throughout the film.
"Mar 1, 2024",NEGATIVE,Wanted to like it but hard without any likeable characters. Pass for me
"Feb 18, 2024",POSITIVE,"As someone who stopped watching Adam Sandler movies long ago, because somehow they became annoying, it's awesome and refreshing to see him venture into roles lile this. He is much better at these types of roles than comedy. 
I know a few people in my life like this character and let me tell you: what an unbelievable performance from him. I couldn't take my eyes of the screen. You truly believe he is this flawed, self-sabotaging, ticking time bomb of a person.

Credit to the directors and writers as well. It's not easy to make a movie like this as riveting as this was."
"Feb 6, 2024",POSITIVE,"Are you ready to go all in, even if that means losing your own life?! Howard Ratner is a gambler who is behind on his gambling debts and needs to pay them back and quick, which proves complicated when he receives a blue opal that might be his ticket out or not. Adam Sandler manages to play a complex character who's at the end of his rope and we're entranced by what we see!"
"Jan 28, 2024",NEGATIVE,"Chaotic, Helter, skelter, a lot of screaming, and cussing and pandemonium. I’m not sure what attracts critics or viewers to this movie, but for me, it was kind of nerve-racking to watch, and not very good entertainment."
"Jan 26, 2024",NEUTRAL,"Sometimes you see a movie that you know instinctively is well made, but it's just not your tub of popcorn. This is one of those occasions for me. The filmmaking is actually quite striking at times, and the editing is outstanding. It doesn't feel anywhere close to its 135 minute running time. I appreciate when Sandler goes dramatic, and he does a fine job here. But for me it is loud and overbearing, the cinematic equivalent of being hit over the head with an anvil for a couple hours. It never lets up, which I suppose could be considered an asset, but I personally would have appreciated a couple places to catch my breath. I admittedly also had trouble keeping track of the myriad of characters that populate this film - the family, the mistress, the bad guys, the basketball players, the customers, the rappers... It is an exhausting experience. That said, I can't say that it was boring, so I ultimately have to give this a mixed/positive review."
