Date,Score,Reviews
"Apr 3, 2024",NEUTRAL,Fantastic movie. I still love it as an adult and my 7 year old son can't get enough.
"Feb 27, 2024",NEUTRAL,"The movie is constantly turning fantasy conventions on their head (the ""chosen one"" is a baby girl, but the ""chosen one"" is basically a McGuffin, the title character/central hero of the story would typically be a sidekick, Kilmer would typically be the hero but he's the sidekick, etc.) While its visuals have held up remarkably well."
"Feb 23, 2024",NEUTRAL,Great movie!!! One of my favorites growing up
"Feb 21, 2024",NEUTRAL,"Mediocre Lord of the Rings ripoff.  Ron Howard had a decent career, but this was no example...(you should wait another year to see Parenthood to see him at his best; which is pretty good.  Not this...)"
"Feb 21, 2024",NEUTRAL,This movie was part of my childhood. I still love it till this day 👍
"Feb 19, 2024",NEUTRAL,"Not perfect, but an 80s classic. And so, soooooo much better than the show, in so many ways"
"Jan 4, 2024",NEUTRAL,A charming fantasy classic
"Dec 6, 2023",NEUTRAL,One of the classic childhood fairytale memories. First Val Kilmer movie I saw.
"Dec 5, 2023",NEUTRAL,"It's Solid. I can see why someone would be really nostalgic for this if they grew up with it but also it's well done to boot. Warwick is the best thing and is likeable and charming. Everyone else does a solid job also. Kilmer can be a little weird and out of place every now and than but he eventually comes around and settles down and the two little guys can be a bit annoying also as the comedic relief. The villian isn't bad but I wish there was more focus and interaction between her and our heroes throughout besides the end. The music and cinematography are really good and are the highlight. There is amazing sweeping shots and really good effects throughout of all varieties. Sometimes it can be a little shotty but overally they are really clean. The editing and pacing are solid too. This can start a bit slow but once the action starts it's thrilling and a lot of fun. The main issue that holds this back from standing with contemporaries like The Princess Bride is it is VERY cheesy, senimental, and campy at times in the acting and over the top moments. Which are fun still. On paper this should'nt work as well as it does, but the overloading of charm and passion shines through. You can feel the love in making this and its chessiness is what gives it it's own identity. Also, I do wish there was perhaps a bit more characters besides Kilmer and Warwick to flesh out the adventure a bit more. If I was a kid watching this I'd probably love this a lot more which this is clearly aimed at. As it stands anyone who loves adventures, fantasies, any actors in this, the director, or grew up with this should check this out."
"Nov 2, 2023",NEUTRAL,"Fun to see George Lucas' style on another movie! Yes the storyline is ‘generic' and doesn't say much below the surface level, but it's a solid story that is easy to watch. The winning aspect of this movie is the loveable characters, they draw you in and are easy to root for."
"Sep 6, 2023",NEUTRAL,"Some magical beings show up at times with no explanation, but that doesn't stop this from being a really fun movie. Warwick Davis and Val Kilmer are hilarious together."
"Aug 25, 2023",NEUTRAL,"Slowish and taking itself a little too seriously, like most fantasy of its period, but entertaining."
"Aug 12, 2023",NEUTRAL,"Willow more like Willno, it's alright I guess"
"Jul 24, 2023",NEUTRAL,"It was a bit scary. 

The angel was spectacular. 

It was a bit long but it's a really good story."
"Jul 17, 2023",NEUTRAL,"Ron Howard's finest Work in my opinion. A PERFECT Fantasy Adventure. I love how Willow's friend Migosh stayed with Willow, when everyone else from his Village would not. A good lesson in Loyalty and courage, seen it several times and I'll see it MANY more!"
"Jul 16, 2023",NEUTRAL,"Willow had a budget of 35 million dollars and since its release, it has made a portion of that back."
"Jul 4, 2023",NEUTRAL,"4.5 is probably more than this movie strictly deserves, but I'm a sucker for the fantasy genre and Val Kilmer was so infectiously likable that I had to give it another .5 stars."
"Jul 4, 2023",NEUTRAL,"A pretty fun movie, takes me back to my younger days. Decent storyline, and good acting from some notable stars but surprising newcomers as well. Definitely recommend this for an easy, and entertaining nights viewing."
"Jun 7, 2023",NEUTRAL,A Masterpiece. A great movie who need study in Cinema 's school.
"May 25, 2023",NEUTRAL,This is an amazing classic I overlooked for far too long
"May 24, 2023",NEUTRAL,"Fun fantasy fluff. The characters aren't deep, and the plot isn't complicated, but it has nice sets/costumes/effects for its time...and is just fun! If you want a fantasy that doesn't get ""too dark"" or Too nerdy"" this is just right."
"May 24, 2023",NEUTRAL,THIS MOVIE FREAKED ME OUT AS A KID AND YET I STILL LOVE IT.
"May 21, 2023",NEUTRAL,"Willow wasn't one of Ron Howard's biggest critical darlings but it did grow enough of a fan base in the last 35 years as far as fantasy-adventure pictures are concerned This was a big deal for vertically challenged actors and allowed Warwick Davis to get his first starring role ever since he started out in Star Wars Taking place in a magical land run by evil Queen Bavmorda she tries to kill a young baby destined to overthrow her The baby's mother dies and the mid wife smuggles the child out to safety but is lost in the river The child ends up in the hands of a small man named Willow Willow lives in his dwarf village with a family and many others He's an aspiring magician hoping to master his skills and he finds out the secret of the baby and her importance Willow is then set on a quest to deliver the child to a powerful enchantress and hopefully defeat the queen with the help of a wand The queen's daughter Sorsha is tasked to hunt the child down, while Willow runs into a disaffected warrior named Madmartigan Willow still has to master his skills so he's not the best at it, he even accidentally casts a love spell over Madmartigan which of course causes a hilarious rift between him and Sorsha The film is steeped deep in fantasy with witches, fairies and dragons The pacing is pretty lackluster in this as it doesn't follow its own urgency At best the plot is generic as it's been done better But it's nice to watch Warwick Davis and Val Kilmer bounce off each other The effects aren't spectacular but fit with a fantasy film of this caliber There's nice character designs and it'll provide escapism for kids seeking a sword-and-sorcery diversion 'Willow' and its sequel tv series has a charming hokey ness to it all and make high fantasy goofy"
"Apr 29, 2023",NEUTRAL,A wonderful adventure with heart. It was great sharing this with my own children.
"Apr 27, 2023",NEUTRAL,"This is one of those movies  which pulls off the Gilbert and Sullivan trick of subverting the form whilst reinforcing it. 

Yes the overall story is quote unquote ""Generic"",  but its the performances that really bring this story to life.  Val Kilmer brings the lovable rogue Madmartigan to life, whilst Warrick Davies (with hair !!) plays the eponymous hero with great enthusiasm and energy that was lacking in the reboot. 

In a 'generic' retelling it would have been Madmartigan who was the main character rather than the sidekick,  but subverting the form by having that role go to someone who would normally serve as the Hero's conscience (in effect Davies plays both roles) brilliantly subverts the form and reinforces it at the time. 

It plays well to Tolkien's view that it is the small things that enable us to resist great evil. Yes the CGI is laughable by 21st Century standards but it works well with the a great cast who really brought the story to laugh."
"Apr 19, 2023",NEUTRAL,"Fun movie. A not too serious fantasy from 1988, so don't expect it to be anything near as good as a movie from 10-20 years later. However it's still enjoyable and funny. 

Modern critics on this site panned it for stealing from Harry Potter, apparently they don't know that this came out before Harry Potter was published. I'm not sure how one can be a professional critic without even knowing the dates that major influential works were published, it voids any review they give on an older work. 

It would be like accusing Dune of stealing from Star Wars or Lord of the Rings of stealing from Harry Potter, you just sound incredibly uninformed when you do that."
"Apr 17, 2023",NEUTRAL,"Great movie, probably not good reviews because too many morons that only like super cheezy and generic movies rate things here.  I guess I have to start reviewing or be at the mercy of idiots."
"Mar 21, 2023",NEUTRAL,Still amazing after all these years.
"Mar 20, 2023",NEUTRAL,"Fantasy story , lovely heart warming and good plot."
"Mar 17, 2023",NEUTRAL,classic and better than the remake XD
"Mar 16, 2023",NEUTRAL,An underrated classic that is a must see. Made back when movies were great! It's a shame that modern films aren't more like this.
"Mar 12, 2023",NEUTRAL,Best fantasy movie before Lord of The Rings.
"Mar 11, 2023",NEUTRAL,"Willow no está mal, es una película bastante entretenida, aunque siendo un film de fantasía, hubiera quedado más atractiva con más efectos especiales, aunque los que se ven aquí son aceptables. La historia está buena, la banda sonora también y el elenco. Val Kilmer es lo mejor de la cinta con su personaje bien descarado y divertido a la vez. El protagonista Willow es algo torpe, lo cual hace difícil que él tenga que ser el héroe de la historia, pero es un personaje entrañable y merecía ser aprovechado al máximo. No puedo decir que Willow es una de las mejores películas de fantasía que existen, pero es un clásico de culto interesante para los amantes de la fantasía. Mi calificación final para esta cinta es un 8/10."
"Feb 26, 2023",NEUTRAL,Mediocre Tolkien knockoff.  A good cast makes up for the weak writing.
"Feb 24, 2023",NEUTRAL,Great movie. I just watched it with my eight year old and told him how I watched it when I was eight years old. We both loved it. Sad that they made such a horrible sequel last year but the original was just brilliant.
"Feb 9, 2023",NEUTRAL,"So I watch this film for the first time, and it is corny as can be. I thought it was just a corny, lovable film, it has a lot of depth and a lot of entertaining moment. But it has a lot of corniness and cheesy aspects of the film. It's a film that I would watch ones which I did, and I probably would never watch again. It's not a bad movie. It's just not enjoyable all the way through."
"Feb 9, 2023",NEUTRAL,She desperately disappointing… gave up after 2nd episode…
"Feb 6, 2023",NEUTRAL,"A great classic which I've seen many times.  But it's not perfect.  As the two Brownies can be very annoying.  Plus some of the effects are good but not perfect, lastly some shit humor.  Which I can always do without.  But like I said, it is a classic and worth checking out."
