Date,Score,Reviews
"Nov 28, 2022",NEUTRAL," Fantasy adventure, starring Val Kilmer, Joanne Whalley and Warwick Davis. In a world of warriors and witches, fearsome beasts and fantastic beauties, young farmer Willow Ufgood seems an unlikely hero. But destiny demands that he undertake a perilous journey to protect a baby princess and help battle the evil Queen Bavmorda. This fun fantasy stars Warwick Davis as the titular hero, a modest farmer who goes on a quest to protect a special child from the evil queen Bavmorda (a menacing Jean Marsh). Val Kilmer is dashing and very funny as reckless swordsman Madmartigan, who both helps and hinders Willow on his mission, while Patricia Hayes captivates as the sorceress who attempts to teach Willow magic. Drawing on Tolkien, Greek myth and Star Wars (it's executive produced by George Lucas), the film is rather episodic in nature, but it wears its genre inspirations on its sleeve. On a fantasy roll after Splash and Cocoon, Ron Howard leans into the cheeky humour - one monster is called an Eborsisk, a dig at American film critics Roger Ebert and Gene Siskel - and keeps the energy high with a slew of inventive action scenes. The creaky monster effects (death dogs, trolls, man-pigs) are a delight, and James Horner's rousing score elevates the story to epic heights, ensuring that Willow delivers a stirring jolt of old-school escapism."
"Jun 21, 2022",POSITIVE," The names, logos, and other source identifying features of newspapers depicted in our database are the trademarks of their respective owners, and our use of newspaper content in the public domain or by private agreement does not imply any affiliation with, or endorsement from, the publishers of the newspaper titles that appear on our site. Newspapers.com makes these newspapers available for the purpose of historical research, and is not responsible for the content of any newspapers archived at our site."
"Feb 18, 2022",POSITIVE," Watched in a vacuum, Willow is a pleasant enough fantasy. It’s a there-and-back-again adventure about a little person and a roguish swordsman who join forces on an epic journey. Driven by a prophecy about a child who will bring peace to the land, our medieval heroes face deathdogs, a two-headed dragon, and an evil sorceress. It’s familiar stuff, to be sure. With its large-scale production values and special FX courtesy of Industrial Light & Magic, the story comes from executive producer George Lucas, who conceived the idea in the 1970s with the title Munchkins—in a nod to The Wizard of Oz (1939). Though Willow wasn’t the blockbuster Lucas had hoped for, it has since developed a cult following. The 1988 release seemed to always be on television in the subsequent years, ensuring that youngsters of a certain age grew up watching and rewatching a film that, theatrically, resulted in commercial failure. Still, it contains enough ‘80s nostalgia to entertain some viewers even today; there’s even talk of a television spin-off more than twenty years later. But in the wake of mature series like The Lord of the Rings and the later Harry Potter entries, Willow cannot help but feel catered to children with little awareness of how much it borrows from other sources. The story follows Willow Ufgood (Davis), a lowly farmer in a community of Hobbit-like little people called Nelwyns, none of whom take him seriously. One day, Willow finds a baby who, like Moses, has been put down the river for her own protection. The infant named Elora Danan means trouble for the dreaded Queen Bavmorda (Jean Marsh), the ruler of the taller Dakini people—a prophecy has said a magical infant will mark the end of her evil reign. When Willow, who dreams of being a great sorcerer, brings the child to a Nelwyn wise man (Billy Barty) and asks what to do, he is tasked with a long journey to return the child to the Dakini world. Along the way, Willow’s fellowship grows: he befriends antihero swordsman Madmartigan (Val Kilmer) who, like Aragorn, will transform from a rugged fighter to a fearless leader. He rescues sorceress Fin Raziel (Patricia Hayes) from her imprisonment in the body of a marsupial, and her two mouse-sized helpers, called Brownies (Kevin Pollack, Rick Overton), supply comic relief. Thanks to Madmartigan’s wooing, Bavmorda’s warrior daughter Sorsha (Joanne Whalley) also joins Willow’s quest. By the climax, Willow becomes a real magician and uses his size, and Bavmorda’s underestimation of his abilities, to vanquish the evil Dakini queen. He returns home a hero, having earned the respect of his village.  Even Howard has admitted that, to the film’s detriment, he was split by his collaboration with Lucas. “Halfway through the process I realized that for the first time, I was trying to make someone else’s movie. I was trying to get into George Lucas’s head because I trusted his tastes and instincts better than I trusted my own.” Watching the film, it’s unmistakable. Howard adopts a film grammar similar to the Star Wars aesthetic (which he would explore again two decades later in Solo: A Star Wars Story). Willow unfolds with transitional swipes and establishing shots of fantastical landscapes, many of them filmed on location in England and New Zealand. It boasts a large stop-motion creature that looks like the Rancor Pit monster from Return of the Jedi. If someone revealed that Lucas had secretly directed the picture, no one would be surprised. Then again, it would be difficult to identify a distinct style in Howard’s work outside of Willow. There’s no discernible authorial voice or formal techniques from Parenthood (1989) to Apollo 13 (1995) to Howard’s trilogy of Dan Brown adaptations. From one film to the next, Howard’s journeyman approach serves the material capably and nothing more, making his output recede from memory.  The counterargument to Willow’s derivativeness is that Lucas has simply explored his own interests and preoccupations. Lucas has a penchant for roguish heroes, from the dubious ethics of Indiana Jones to the criminal background of Han Solo. Madmartigan is cut from the same cloth. He’s also interested in the theme he describes as “Mr. Average Man rises to the occasion”—an idea explored in Luke Skywalker and Willow Ufgood. It’s not just that Lucas found a winning formula with Star Wars and never changed; it’s that he has a genuine fascination with such characters. Does that make Madmartigan’s antics any more palatable for someone who sees him as nothing more than a cheap knock-off? Perhaps not. But the criticism that Lucas has merely taken from the same well again and again is tantamount to critiquing John Ford for using the same type of cowboy or Alfred Hitchcock for obsessing over blonde women. Auteur directors often have recurring motifs, and Lucas is no different. Willow’s problem isn’t its use of story and character archetypes. The problem is that Dolman’s screenplay renders these molds without the slightest touch of genuine personality or imagination, which only accentuates how much they have been sketched from the same pattern. "
"Oct 4, 2021",POSITIVE," Warwick Davis was just 17 years old when they shot “Willow,” a fantasy film George Lucas had been thinking about since 1972. He wanted to make a picture exploring the theme of the little guy standing up to the big bully, and had the idea of using Little People actors to lend a literal visual cue within a sword-and-sorcery setting. Lucas actually pitched the idea to Davis when he was just 11 and playing the Ewok Wicket in “Return of the Jedi.” Imagine being a kid in a teddy bear costume, being asked by George Lucas if you wanted to star in his next big project. Shivers. Like a lot of 1980s fantasy, “Willow” was unfairly maligned and misunderstood. Directed by Ron Howard, it was clearly intended for a younger audience — as were the “Star Wars” films, at least under Lucas’ helm — and so people like me tended to devalue it because it didn’t feature blood, guts and boobs.  What it is is a gentle, imaginative fable in the mode of “The Hobbit,” as a young nobody is plucked from obscurity to do great things and change the course of the world. Story-wise the film, written by Bob Dolman, starts out suspiciously similar to “Dragonslayer,” another favorite of mine, as a would-be sorcerer’s apprentice is sent off on a grand adventure for which he is clearly not prepared. I revisited “Willow” for the first time in many years, watching it with my boys after buying it on Blu-ray — unaware it’s available on the Disney+ streaming platform. Oh well, I prefer physical media anyway. It’s unlikely the House of Mouse will ever go belly up, but I know I’ll always have my own copy. The boys, 7 and 10, were absolutely enthralled by it, and I appreciated it a lot more than I remembered. I was subsequently thrilled to learn that Disney is planning a streaming series reboot out in 2022, and even more pleased to learn that Davis will reprise his role of the now much older Willow Ufgood. The story is that the evil sorceress queen Bavmorda (Jean Marsh) is trying to preempt a prophecy that a baby girl born with a magical rune marking will prove her undoing. In having her minions try to kill the babe, the child Elora Danan is set adrift on a river in an earthen casket, very Moses-like, and discovered by Willow’s young children. Willow is something of an outcast in his village, short (even for a Nelwyn, as his people call themselves), a bit of a dreamer who performs magic tricks and pines to be picked by their lone wizard, The High Aldwin (Billy Barty), as his apprentice and inheritor. He’s continually bullied by Burglekutt (Mark Northover), the mocking bald-pated landlord who keeps threatening to take Willow’s land. The Aldwin assigns Willow and a few others to travel to the Crossroads and hand the baby over to the first Daikini (their word for big folk) who comes along. This turns out to be thief/swordsman/braggart Madmartigan, played with energy and glee by Val Kilmer, even though he’s been left to rot in a cage for unnamed crimes. Together they go on a journey to see the good witch Fin Raziel (Patrician Hayes) to deliver the powerful wand of the fairy queen Cherlindrea (Maria Holvöe) to take on Bavmorda. Things don’t go quite as planned, as Raziel is cursed into animal form, which changes as Willow inexpertly attempts to use the wand.  The baby Elora, with her bright strawberry ringlets, doesn’t say or do anything in the movie, her mere presence serving as integral to the plot while having no direct importance we can discern — a human MacGuffin. I had long known, and loved, the fact that Lucas named one of the film’s sub-villains, General Kael, after the late and great critic Pauline Kael, who seemed to take special delight in belittling Lucas’ projects over the years. Played by the hulking Pat Roach, Kael is a fearsome presence in his black armor and skull mask, though he doesn’t have a defined character beyond generic evil sword-swinger. Kael (the critic) seemed to take the joke in good humor, and then proceeded to trash the movie in her review — though, in fairness, most critics did at the time.  I had not known before now that the two-headed stop-motion dragon that Willow and Madmartigan fight near the end was unofficially named the Eborsisk, in “honor” of Siskel and Ebert — who both gave the flick a thumbs-down, though I doubt they were aware of the appellation. Some things about the film haven’t aged very well. Howard himself has said the special effects, an early offering from Lucas’ Industrial Light & Magic, seem “quaint” today. Howard was a newbie to action movies and the battles aren’t especially memorable, though Kilmer has a neat little trick where he spins his sword in a circle, catching the handle in mid-air. One thing that doesn’t stand up is the romance between Madmartigan and Sorsha, Bavmorda’s cunning warrior daughter played by Joanne Whalley. She’s depicted as a thoroughly despicable character, doing all sorts of depraved things at her mother’s behest, until Madmartigan is touched up with a faerie charm potion and professes his love for her, and she undergoes a near-instantaneous conversion to the good side.  I mean, 1980s Val Kilmer was pretty hot stuff, even in the awful long black wig they give him. But in story filled with strong women — the final epic battle between Raziel and Bavmorda is conspicuously man-free — Sorsha registers as a two-dimensional tart, severely underwritten. “Willow” ends about where you’d expect, with Bavmorda vanquished to the dark realm of nothingness she’s tried to send Elora to, Madmartigan and Sora affianced and Willow returned home a hero. He’s even gifted a spell book by Raziel, and I for one appreciated the inclusion of that crucial aspect of role playing games that doesn’t usually make the transition to fantasy films: the dividing of loot. Though I wouldn’t claim “Willow” to belong to the first tier of fantasy cinema, it’s undergone a deserved positive reckoning over the decades as many people who saw it as youngsters cherished its tender charms and passed it on to the next generation. "
"Dec 21, 2020",NEGATIVE," Actress Patty Duke. At the time of her 1962 film ""The Miracle Worker,"" Duke was the youngest actress to win an Oscar, for her role as Helen Keller. At 16, she was the youngest actress in television to have a prime-time series built around her. The success, however, masked personal misery which included depressions that led to suicide attempts and a string of failed marriages.  Duke has written an autobiography titled Call Me Anna. Rock Critic Ken Tucker reviews two new rap albums, one by Run-DMC, the top rap group, the other by D.J. Jazzy Jeff and the Fresh Prince, an emerging group that builds on the innovations of the first rappers. Singer Helen Merrill. Her latest album features arrangements by the late Gil Evans, with whom she first worked over 30 years ago. Merrill was one of the most acclaimed jazz stars of the 50s when she left America for Italy and then Japan. Transcripts are created on a rush deadline, and accuracy and availability may vary. This text may not be in its final form and may be updated or revised in the future. Please be aware that the authoritative record of Fresh Air interviews and reviews are the audio recordings of each segment. Film critic Stephen Schiff talks with Terry Gross about this years movies. He says 1988 was an unusually good year for American films, though his favorite Women on the Verge of a Nervous Breakdown, by Spanish director Pedro Almodovar. His least favorite movie was Willow. Guest film critic Michael Sragow, film critic for The San Francisco Examiner, reviews ""Colors,"" the controversial film about gangs and gang violence in Los Angeles. It stars Robert Duvall and Shawn Penn, and is directed by Dennis Hopper. Alexandra Auder's mother, Viva, was one of Andy Warhol's muses.  Growing up in Warhol's orbit meant Auder's childhood was an unusual one.  For several years, Viva, Auder and Auder's younger half-sister, Gaby Hoffmann, lived in the Chelsea Hotel in Manhattan.  It was was famous for having been home to Leonard Cohen, Dylan Thomas, Virgil Thomson, and Bob Dylan, among others. In the series Jury Duty, a solar contractor named Ronald Gladden has agreed to participate in what he believes is a documentary about the experience of being a juror--but what Ronald doesn't know is that the whole thing is fake. R.M.N. is based on an actual 2020 event in Ditrău, Romania, where 1,800 villagers voted to expel three Sri Lankans who worked at their local bakery."
"Dec 15, 2020",POSITIVE," 
Gold buzzers at the ready, BGT is back for 2024. Here's how you can watch Britain's Got Talent season 17 online ready for when it airs tonight, April 21.
 
Red Eye is a tense thriller series set on a passenger flight from London to China which stars Richard Armitage, Jing Lusi and Lesley Sharp.
 
Red Eye is a tense thriller series set on a passenger flight from London to China which stars Richard Armitage, Jing Lusi and Lesley Sharp.
 
Love & Marriage: Huntsville season 8 once again sees the Scotts, Martell and Melody anchoring the show. Here’s what we know about the new episodes.
 
Summer House: Martha’s Vineyard season 2 sees the cast from season 1 reunite for more fun and drama, with some new faces. Here’s everything we know about it.
 
General Hospital’s Willow may soon find out Drew is carrying on an affair with Nina. Will she blasts him and her birth mother for their shocking actions?
 
It's time to see what's happening in Salem in the coming week. Here are the Days of Our Lives spoilers for the week of April 22-26.
"
"Sep 8, 2020",POSITIVE," bold and adventurous fantasy from director Ron Howard and writer George Lucas, “Willow” has all the trademark creativeness and wonder that only this unique duo could produce. Wrought with wry humor, unrestrained mythological elements, and a good old-fashioned story of bravery and friendship, “Willow” is an essential stepping stone to many visual masterpieces, including “The Lord of the Rings” trilogy and the “Harry Potter” series. It’s a clear descendant of “Star Wars” (especially with all the odd names), “Labyrinth,” and “Legend,” but it nevertheless retains originality and provides plenty of influence. In the nearby forest, Willow Ufgood (Warwick Davis) and his dwarf family discover a human baby, which had been sent downstream in a desperate attempt to save its life from the evil, tyrannical Queen Bavmorda (Jean Marsh). A prophecy foreseeing the queen’s demise is based on the fate of the infant princess, and it’s up to Willow to safely deliver her to a band of rebels who can help fulfill the child’s destiny. During his quest, the miniature man trains to be a mighty sorcerer, but has only been able to conjure magic tricks thus far; he stumbles upon Madmartigan (Val Kilmer), a master swordsman with questionable honor, who’s been locked in an iron maiden and hung out for the birds; and he encounters Fin Raziel (Patricia Hayes), a powerful sorceress. Deceptive, but with a soft spot for acts of heroism, Madmartigan joins Willow in his mission, during which the twosome must outwit the likes of Bavmorda’s daughter Sorsha (Joanne Whalley); the fearsome General Kael (Pat Roach), who, similar to Darth Vader, sports a grim skull-like mask to hide his scarred face; a monstrous two-headed dragon; and a band of mischievous fairies. “Willow” possesses many ideas and themes that closely mimic elements found in Tolkien’s epic lore. Ufgood’s people are very much like Hobbits, except that the actors are actually dwarves and never shown to be miniscule in stature merely through camera tricks. The script incorporates a satirical social standpoint amongst the various species that live in the fantasy realm of Nockmaar: while the dwarfish “Nelwyns” are not at the bottom of the food chain, they are discriminated against and called “pecks” in a derogatory fashion. Humans are called “Daikinis,” and though they appear to rule most of the lands, there are also trolls, sprites, and other mythological inhabitants that contribute to a class hierarchy. The character designs are fascinating, as are the creature effects (helmed by Industrial Light & Magic and nominated for an Academy Award), which appear heavily influenced by “Star Wars.” Additionally, most of the editing and transition wipes resemble shots from Lucas’ 1977 science-fiction epic. It’s an entertaining precursor for contemporary fantasy blockbusters, sporting a unique story, amusing characters, and enough monsters and wizardry to alert audiences that George Lucas was involved. Although fairly typical of swords-and-sorcery pictures of the time (and not as hilariously innovative as “The Princess Bride”), “Willow” is well executed and visually thrilling. Designed by Mike Massie | © 2006-2024 Gone With The Twins | All movie related images © their respective owners. Articles on this site may not be distributed or reproduced without written consent."
"Mar 27, 2019",NEGATIVE,"Willow borrows shamelessly from sources as varied as the Bible, A Midsummer Night's Dream, The Wizard of Oz and even from Star Wars itself, plastering it all together in a witless, muddled pastiche."
"Dec 6, 2018",NEUTRAL," Our Flick of the Week is ”Willow,” the latest failure from the George Lucas production team. Coming after ”Howard the Duck,” one has to question whether ”Star Wars” creator Lucas has anything fresh to offer in the world of entertainment. ”Willow” certainly isn`t fresh. It`s a rehash of elements from previous Lucas films as well as everything from ”The Wizard of Oz” to ”Gulliver`s Travels.” The film is too violent for small children and too babyish for teenagers. It`s the story of a midget named Willow who is living peacefully in his midget village when he is asked to protect a baby who can save the world from being destroyed by an evil sorceress queen. Along the way through woods and rock piles, Willow meets an assortment of characters including a Han Solo-type wiseguy (Val Kilmer) and a wisecracking Yoda-type wiseman (Billy Barty). The tale moves at a ponderous pace despite Lucas` and director Ron Howard`s throwing dozens of characters at us. The reason for the seeming lethargy of the film is that we feel like we`ve seen it all before and seen it done better."
"Dec 6, 2018",POSITIVE," “Willow” (citywide) is a perfectly agreeable tale of magic, little people, heroic warriors, babies among the bulrushes and a wicked queen who must be overthrown lest the world be engulfed in evil. If it evaporates from memory with the airiness of a bubble bath, at least it leaves a friendly glow and a sense of a magical world lovingly evoked. “Willow” suffers by being known as the long-planned project of George Lucas, its executive producer, who chose Ron Howard to direct and newcomer Bob Dolman to write from Lucas’ own story. Any movie in the fantasy vein with the Lucas stamp on it comes with a heavy load of expectation. If you’re taking a little hand-holder to this concoction, you may be relieved to find that it’s not a ponderous dead weight, like “Krull,” of thudding memory. But for all its charm and considerable invention, “Willow” is never going to insinuate itself into the world’s unconscious like “Star Wars.” The Lucas fervor is here, that amazing ability to create worlds of imagination and sustain them with a combination of guile and glee. But the unique “Star Wars” edge--sophistication enough for adults, wonder enough for kids, effects enough for both--is softened and sweetened here, whether by the presence of another director or not is hard to say. The adventures befall Willow Ufgood, a staunch little Nelwyn, one of a race of farmers and miners. He’s played by a dauntless 3-foot-4 18-year-old, Warwick Davis, who a few years ago was busy acting inside a furry Ewok suit in “Return of the Jedi.” Despite his years, Davis somehow manages to be convincing as a husband and father and, best of all, as a living example to young children that not all derring-do has to wait until you’re big. (Davis may also have the most beautiful hands of any screen actor since John Barrymore.) Feelings vary, but over in this corner, when the final battle is in full swing and the treacherous Queen Bavmorda (Jean Marsh) is zapping lightning bolts around like some accident in Thomas Edison’s lab, the tendency to yawn becomes almost overwhelming. On the other hand, every minute spent in the world of the Nelwyns, who have the charm of all Seven Dwarfs at once and the Munchkins, too, seems to rush by. Adventure-hungry kids may find it just the other way around. It’s Willow’s tiny children who start things. They bring home a basket they’ve rescued from the river, containing Elora Danan, which is not some new variety of yogurt, but a red-haired baby girl who, by prophecy, will bring down the empire of Queen Bavmorda. Although he’d much rather stay safely at home, Willow dutifully sets out to take this baby back to the land of the Daikini, the big people. And so the adventure is off and loping. Next on the scene is a sort of low-rent warrior, Madmartigan (Val Kilmer), who fits right into the Han Solo/Harrison Ford tradition of scruffy heroes-in-spite-of-themselves. Kilmer’s physicality and his humor are nicely balanced, making Madmartigan a fine, lusty performance. He’s joined by a pair of 9-inch special-effects Brownies, Rool and Franjean (Kevin Pollak, Rick Overton), who seem to speak pure Billy Crystal. The Darth Vader this time is General Kael (Pat Roach) in a toothy skull mask, while the Queen’s daughter is herself a warrior, the red-haired Sorsha (Joanne Whalley), whose feats soon catch Madmartigan’s eye. If adventure movies have progressed at all since the days when men and boys did it all, it’s in characters like Sorsha and the benevolent magician Raziel (Patricia Hayes). This sorceress has to change into a half-dozen animal forms before she can shake a particularly nasty spell of Bavmorda’s, but her final, proper incarnation is as a woman in her 70s, old enough to know  everything . It’s a refreshing switch on that relentless ingenue, Glinda the Good. As always, the look of the picture is impeccable--the Nelwyns’ houses, igloo-shaped huts with a faintly Mediterranean look to their plaster walls, are set in a wonderfully inventive Renaissance Pleasure Faire village (Marin County ways die hard). There are a few fearsome inventions, like those hounds from hell, the Devil Dogs, and the costumes, the makeup and the hairdressings seem especially fine. (This is probably the first time Billy Barty went entirely unrecognized, and Val Kilmer’s wild, braided hair may start yet another trend.) But we’re grasping at straws here. By the end, “Willow” (MPAA-rated PG) is all roaring monsters being flung about castle walls and duels to the death in Bavmorda’s chambers . . . time for the adults to grab their hats and beat a quiet retreat. It’s too bad, since Lucas so clearly wants his films to do good and to carry positive messages. Willow and Madmartigan very nearly bring it off, but in the end they’re engulfed as effects overwhelm character and this slim story. A Lucasfilm Ltd. film presented by Metro-Goldwyn-Mayer. Executive producer George Lucas. Producer Nigel Wooll. Director Ron Howard. Story, Lucas. Screenplay Bob Dolman. Music James Horner. Camera Adrian Biddle. Production design Allan Cameron. Associate producer Joe Johnston. Visual effects Industrial Light & Magic, Dennis Muren, Michael McAlister, Phil Tippett. Special effects supervisor John Richardson. Costumes Barbara Lane. Editors Daniel Hanley, Michael Hill. Chief makeup artist Alan Boyle. Second-unit director Micky Moore. With Val Kilmer, Joanne Whalley, Warwick Davis, Jean Marsh, Patricia Hayes, Billy Barty, Pat Roach, Kevin Pollak, Rock Overton, David Steinberg, Gavan O’Herlihy."
